index,Index,Label,unit,start,last,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
WPU05                         ,WPU05                         ,"PPI Commodity data for Fuels and related products and power, not seasonally adjusted",Index base: 1982 = 100,1926-M01,2022-M01,10.3,9.1,8.7,8.6,8.1,7.0,7.3,6.9,7.6,7.6,7.9,8.0,7.9,7.5,7.4,7.9,8.1,8.3,8.6,8.7,9.3,11.1,13.1,12.4,12.6,13.0,13.0,13.4,13.2,13.2,13.6,14.3,13.7,13.7,13.9,14.0,14.0,13.9,13.5,13.8,14.1,14.4,14.3,14.6,15.3,16.6,17.1,19.4,30.1,35.4,38.3,43.6,46.5,58.9,82.8,100.2,100.0,95.9,94.8,91.4,69.8,70.2,66.7,72.9,82.3,81.2,80.4,80.0,77.8,78.0,85.8,86.1,75.3,80.5,103.5,105.3,93.2,112.9,126.9,156.4,166.7,177.6,214.6,158.7,185.8,215.9,212.1,211.8,209.8,160.5,145.9,163.7,181.6,168.7,144.0,200.103
WPU051                        ,WPU051                        ,"PPI Commodity data for Fuels and related products and power-Coal, not seasonally adjusted",Index base: 1982 = 100,1926-M01,2022-M01,8.5,8.4,7.9,7.7,7.6,7.3,7.1,7.0,7.7,7.8,7.9,7.9,7.9,7.8,7.8,8.3,8.7,9.2,9.6,9.9,10.6,12.9,15.6,15.5,15.6,15.9,16.0,16.6,15.6,15.4,16.8,18.3,18.0,18.0,17.9,17.7,17.5,17.5,17.5,17.5,17.9,18.7,19.4,21.1,28.1,34.0,36.2,40.8,62.2,72.2,68.9,72.8,80.4,84.3,87.4,93.0,100.0,100.5,102.2,102.2,100.8,97.1,95.4,95.5,97.5,97.2,95.0,96.1,96.7,95.0,94.5,96.3,93.6,90.7,87.9,96.2,99.8,99.9,109.2,116.8,126.6,130.7,161.7,182.5,189.5,207.1,211.4,208.1,199.9,194.0,189.6,195.8,199.6,199.9,189.0,189.237
WPU0511                       ,WPU0511                       ,"PPI Commodity data for Fuels and related products and power-Anthracite, not seasonally adjusted",Index base: 1982 = 100,1926-M01,2022-M01,9.5,9.1,8.7,8.5,8.4,8.6,8.4,7.8,7.6,7.5,7.6,7.3,7.4,7.2,7.5,7.8,8.1,8.5,9.0,9.4,10.3,11.2,12.5,13.0,13.5,15.0,15.3,16.9,15.7,14.8,15.1,16.7,16.7,17.0,16.8,16.1,15.8,16.1,16.5,15.8,15.6,15.6,16.7,18.3,20.5,22.6,23.6,26.1,38.6,58.2,60.2,61.3,63.0,64.2,72.4,90.9,100.0,96.4,95.5,96.3,99.7,100.1,101.2,103.4,105.3,105.6,105.8,105.9,106.2,105.0,104.8,105.1,105.8,104.9,103.9,106.2,107.6,111.3,119.6,136.1,156.3,160.3,177.6,183.2,178.9,190.1,209.0,198.1,193.2,192.2,183.3,184.5,189.4,198.1,197.0,200.35
WPU051101                     ,WPU051101                     ,"PPI Commodity data for Fuels and related products and power-Prepared anthracite shipped, not seasonally adjusted",Index base: 1982 = 100,1975-M01,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.6,59.5,60.6,62.3,63.5,71.5,88.5,100.0,96.7,95.7,96.9,,97.3,98.6,101.2,103.2,103.9,104.1,104.2,104.9,103.3,103.3,103.5,104.1,103.2,102.3,104.9,106.5,111.6,122.2,141.8,168.8,173.6,195.9,206.4,202.9,217.0,242.2,226.8,220.1,218.7,207.1,212.0,221.0,233.3,231.8,236.285
WPU05110117                   ,WPU05110117                   ,"PPI Commodity data for Fuels and related products and power-Prepared anthracite shipped, not seasonally adjusted",Index base: 1986.12 = 100,1991-M07,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.2,107.3,108.1,106.4,106.4,106.6,107.2,106.3,105.3,108.1,109.7,115.0,125.9,146.1,173.8,178.8,201.7,212.6,209.0,223.5,249.4,233.6,226.7,225.3,213.3,218.4,227.6,240.2,238.7,243.362
WPU051102                     ,WPU051102                     ,"PPI Commodity data for Fuels and related products and power-Unprepared anthracite shipped, not seasonally adjusted",Index base: 1982 = 100,1994-M01,2018-M12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.7,103.7,,,,,,,,,105.9,113.6,116.2,118.1,122.8,116.6,,114.2,117.7,117.5,117.3,117.1,115.2,107.9,,,,
WPU05110214                   ,WPU05110214                   ,"PPI Commodity data for Fuels and related products and power-Unprepared anthracite shipped, not seasonally adjusted",Index base: 1986.12 = 100,1986-M12,2018-M12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,99.0,,,,,,,,,101.1,108.4,110.9,112.7,117.1,111.3,,109.0,112.3,112.2,112.0,111.8,110.0,103.0,,,,
WPU0512                       ,WPU0512                       ,"PPI Commodity data for Fuels and related products and power-Bituminous coal and lignite, not seasonally adjusted",Index base: 1982 = 100,1926-M01,2022-M01,8.0,8.0,7.5,7.3,7.1,6.7,6.5,6.6,7.5,7.7,7.8,7.9,7.9,7.8,7.8,8.3,8.7,9.2,9.6,9.8,10.5,13.1,16.0,15.8,15.8,15.8,15.9,16.2,15.3,15.3,16.9,18.3,18.0,17.9,17.8,17.7,17.5,17.5,17.5,17.5,17.9,18.9,19.5,21.2,28.6,34.9,37.2,41.9,64.0,73.0,69.3,73.3,81.1,85.1,88.0,93.1,100.0,100.6,102.5,102.5,100.8,97.1,95.3,95.4,97.4,97.1,94.9,96.0,96.6,94.9,94.4,96.2,93.5,90.6,87.8,96.1,99.7,99.8,109.1,116.6,126.4,130.5,161.5,182.3,189.5,207.0,211.3,208.0,199.8,193.9,189.5,195.8,199.5,199.7,188.8,189.019
WPU051208                     ,WPU051208                     ,"PPI Commodity data for Fuels and related products and power-Unprepared bituminous coal and lignite, not seasonally adjusted",Index base: 1982 = 100,1981-M12,2021-M12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,102.5,105.7,105.4,105.3,101.4,98.3,98.3,101.9,100.9,99.4,99.4,97.5,93.9,93.9,94.1,87.2,86.2,85.6,87.2,87.2,89.2,100.6,111.8,117.0,125.4,136.0,146.1,149.7,160.0,171.1,161.4,152.1,145.5,133.4,135.5,137.2,139.9,131.2,
WPU0512081                    ,WPU0512081                    ,"PPI Commodity data for Fuels and related products and power-Unprepared bituminous coal and lignite, not seasonally adjusted",Index base: 1982 = 100,1981-M12,2021-M12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,102.5,105.7,105.4,105.3,,,,,,99.4,99.4,97.5,93.9,93.9,94.1,87.2,86.2,85.6,87.2,87.2,89.2,100.6,111.8,117.0,125.4,136.0,146.1,149.7,160.0,171.1,161.4,152.1,145.5,133.4,135.5,137.2,139.9,131.2,
