index,Index,Label,unit,start,last,2014,2015,2016,2017,2018,2019,2020,2021
WPUIP621A00                   ,WPUIP621A00                   ,"PPI Commodity data for Inputs to 621A00, offices of health practitioners, excl. capital investment, labor, and imports, not seasonally adjusted",Index base: 2013.03 = 100,2013-M03,2022-M01,102.7,104.4,105.8,108.6,110.8,113.9,114.7,120.441
WPUIP621A001                  ,WPUIP621A001                  ,"PPI Commodity data for Inputs to 621A00, goods, not seasonally adjusted",Index base: 2013.03 = 100,2013-M03,2022-M01,103.8,107.5,111.4,115.4,118.8,122.1,124.3,129.485
WPUIP621A0012                 ,WPUIP621A0012                 ,"PPI Commodity data for Inputs to 621A00, energy, not seasonally adjusted",Index base: 2013.03 = 100,2013-M03,2022-M01,105.9,106.7,105.7,108.7,108.9,108.8,109.2,114.67
WPUIP621A0013                 ,WPUIP621A0013                 ,"PPI Commodity data for Inputs to 621A00, goods less foods and energy, not seasonally adjusted",Index base: 2013.03 = 100,2013-M03,2022-M01,103.7,107.5,111.9,116.0,119.7,123.4,125.7,131.063
WPUIP621A002                  ,WPUIP621A002                  ,"PPI Commodity data for Inputs to 621A00, services, not seasonally adjusted",Index base: 2013.03 = 100,2013-M03,2022-M01,102.1,103.1,103.6,105.9,107.9,110.9,111.3,117.152
WPUIP621A0021                 ,WPUIP621A0021                 ,"PPI Commodity data for Inputs to 621A00, trade services, not seasonally adjusted",Index base: 2013.03 = 100,2013-M03,2022-M01,104.5,105.6,101.3,105.1,107.8,114.6,119.6,131.152
WPUIP621A0022                 ,WPUIP621A0022                 ,"PPI Commodity data for Inputs to 621A00, transportation and warehousing services, not seasonally adjusted",Index base: 2013.03 = 100,2013-M03,2022-M01,102.8,99.1,96.5,97.7,100.2,103.7,92.1,92.823
WPUIP621A0023                 ,WPUIP621A0023                 ,"PPI Commodity data for Inputs to 621A00, services less trade, transportation, and warehousing, not seasonally adjusted",Index base: 2013.03 = 100,2013-M03,2022-M01,101.4,102.6,104.5,106.4,108.2,110.2,109.5,113.91
