index,Index,Label,unit,start,last,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
WPUSI004011                   ,WPUSI004011                   ,"PPI Commodity data for Special indexes-Lumber and plywood, not seasonally adjusted",Index base: 1982 = 100,1967-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,34.6,40.5,44.8,38.9,45.1,52.7,66.7,67.7,63.9,76.4,89.6,103.3,112.6,105.3,104.9,100.0,111.2,110.3,107.0,108.1,113.8,116.7,123.1,121.9,122.1,141.7,174.8,180.0,171.5,173.7,185.1,173.7,185.3,173.2,167.1,165.7,172.4,202.7,196.3,185.3,175.3,166.4,153.1,169.8,167.9,176.5,199.3,213.0,199.6,200.1,214.8,232.3,209.2,244.7
WPUSI006111                   ,WPUSI006111                   ,"PPI Commodity data for Special indexes-All commodities except farm products, not seasonally adjusted",Index base: 1982 = 100,1967-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,33.0,33.8,35.0,36.4,37.6,39.1,42.9,51.7,57.2,59.9,63.9,68.8,77.3,89.0,97.6,100.0,101.2,103.6,103.7,100.7,103.3,107.1,112.4,116.6,117.2,118.1,119.7,121.4,125.8,128.1,128.6,125.7,127.1,134.7,136.0,133.1,139.8,148.2,159.7,167.6,174.4,191.4,175.4,186.9,202.0,202.9,204.1,206.0,191.5,187.1,195.4,204.4,202.1,196.5
WPUSI01102A                   ,WPUSI01102A                   ,"PPI Commodity data for Special indexes-Apples, not seasonally adjusted",Index base: 2008.06 = 100,2008-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.6,88.1,98.1,115.1,121.9,102.0,93.1,116.4,107.6,97.3,108.5,97.0
WPUSI01102B                   ,WPUSI01102B                   ,"PPI Commodity data for Special indexes-Berries, not seasonally adjusted",Index base: 2008.06 = 100,2008-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.1,161.8,146.1,144.4,151.7,149.0,128.0,135.5,124.2,124.3,134.2,121.4
WPUSI012011                   ,WPUSI012011                   ,"PPI Commodity data for Special indexes-Construction materials, not seasonally adjusted",Index base: 1982 = 100,1947-M01,2021-M11,23.5,26.0,25.5,27.4,29.9,29.6,30.0,30.1,31.4,32.7,32.7,32.6,33.7,33.2,32.5,32.4,32.5,32.9,33.3,34.3,34.7,36.7,38.8,39.1,41.5,44.0,48.1,55.9,60.4,65.1,71.1,79.3,87.3,92.5,98.2,100.0,103.4,106.4,107.6,107.3,109.5,115.7,119.5,119.6,120.4,122.5,128.6,133.8,138.8,139.6,142.1,141.4,142.8,144.1,142.8,144.0,147.1,161.5,169.6,180.2,183.2,196.4,189.2,194.5,201.1,205.8,209.3,214.4,213.6,213.9,221.6,235.7,235.7,239.2
WPUSI013011                   ,WPUSI013011                   ,"PPI Commodity data for Special indexes-All foods, not seasonally adjusted",Index base: 1982 = 100,1967-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,39.3,40.6,43.1,44.6,45.4,47.9,57.7,68.5,73.1,70.3,73.4,81.1,89.0,96.2,99.0,100.0,101.2,105.8,104.0,105.5,107.8,111.5,117.7,123.2,122.2,120.9,123.7,125.1,126.8,132.5,132.8,132.4,132.2,133.0,137.3,135.6,143.1,151.1,153.8,154.8,166.6,179.4,172.6,181.0,195.6,200.0,204.4,215.6,211.2,202.7,206.2,205.9,209.2,211.9
WPUSI017011                   ,WPUSI017011                   ,"PPI Commodity data for Special indexes-Fabricated metal products, not seasonally adjusted",Index base: 1982 = 100,1967-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,34.3,35.1,36.6,38.7,40.6,42.2,44.0,53.6,61.9,64.2,68.2,74.2,81.2,88.5,96.0,100.0,100.9,104.3,106.4,106.9,108.0,113.6,118.8,121.4,122.7,123.2,124.0,126.1,131.0,132.1,133.3,134.3,134.4,135.5,135.9,136.3,137.2,146.5,154.5,159.7,165.1,178.0,178.8,179.2,185.1,187.4,187.9,189.1,189.2,187.1,190.0,199.9,205.5,205.7
WPUSI018011                   ,WPUSI018011                   ,"PPI Commodity data for Special indexes-Special metals and metal products, not seasonally adjusted",Index base: 1982 = 100,1967-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,34.9,35.8,37.4,39.8,41.0,42.5,44.7,54.9,60.0,63.4,67.6,73.1,81.9,90.2,97.5,100.0,102.1,104.7,105.3,105.5,109.0,117.0,121.6,121.7,121.3,121.6,122.9,127.6,133.9,132.4,132.3,129.5,127.8,130.1,128.3,127.8,129.5,141.4,147.9,159.1,165.9,177.0,165.2,175.9,185.9,184.5,182.0,183.7,177.7,175.1,182.4,190.9,190.4,190.0
WPUSI019011                   ,WPUSI019011                   ,"PPI Commodity data for Special indexes-Copper and copper products, not seasonally adjusted",Index base: 1982 = 100,1967-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,53.9,56.8,63.3,70.9,62.9,63.5,75.6,97.3,78.5,82.7,82.4,83.9,107.5,119.7,109.9,100.0,106.0,100.3,99.3,99.4,113.5,153.5,176.3,168.8,154.9,153.5,135.1,155.2,191.2,162.1,156.1,123.8,119.0,134.1,125.7,122.8,131.3,183.7,235.0,401.9,442.8,444.6,330.3,437.2,498.5,454.5,430.5,409.6,353.2,319.9,374.2,394.8,374.5,380.3
WPUSI020011                   ,WPUSI020011                   ,"PPI Commodity data for Special indexes-Chemicals and allied products, including synthetic rubber and synthetic fibers and yarns, not seasonally adjusted",Index base: 1982 = 100,1967-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,35.2,,,,36.4,36.5,37.7,48.5,61.2,63.3,65.2,67.1,74.9,88.4,98.1,100.0,99.9,102.1,103.0,102.0,105.6,115.3,122.0,122.8,124.5,124.6,126.8,130.5,140.6,140.3,141.5,141.9,141.9,148.6,149.5,149.3,158.7,170.6,188.0,201.4,209.6,238.4,223.9,240.2,267.0,268.7,271.2,273.4,259.3,258.3,273.5,287.9,282.4,273.1
