index,Index,Label,unit,start,last,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
WPU11                         ,WPU11                         ,"PPI Commodity data for Machinery and equipment, not seasonally adjusted",Index base: 1982 = 100,1939-M01,2021-M11,,,,,,,,,,,,,,14.8,14.9,15.1,15.4,15.2,15.1,15.1,16.6,19.3,20.9,21.9,22.6,25.3,25.3,25.9,26.3,27.2,29.3,31.4,32.1,32.8,33.0,33.0,33.0,33.1,33.3,33.7,34.7,35.9,37.0,38.2,40.0,41.4,42.3,43.7,50.0,57.9,61.3,65.2,70.3,76.7,86.0,94.4,100.0,102.7,105.1,107.2,108.8,110.4,113.2,117.4,120.7,123.0,123.4,124.0,125.1,126.6,126.5,125.9,124.9,124.3,124.0,123.7,122.9,121.9,122.1,123.7,126.2,127.3,129.7,131.3,131.1,132.7,134.2,135.2,136.2,136.9,136.9,137.9,140.3,143.3,144.9
WPU111                        ,WPU111                        ,"PPI Commodity data for Machinery and equipment-Agricultural machinery and equipment, not seasonally adjusted",Index base: 1982 = 100,1926-M01,2021-M11,14.1,14.1,14.0,13.9,13.4,13.0,12.0,11.8,12.7,13.2,13.3,13.3,13.5,13.2,13.1,13.2,13.7,13.7,13.7,13.8,14.8,17.1,19.2,20.5,21.0,22.8,23.0,23.2,23.1,23.3,24.2,25.3,26.3,27.2,27.7,28.2,28.8,29.2,29.6,30.2,31.1,32.1,33.4,34.9,36.4,37.8,39.3,40.5,46.2,54.2,58.8,63.6,68.5,74.6,83.3,92.7,100.0,104.9,108.0,108.7,109.2,109.6,112.7,117.7,121.7,125.7,129.5,133.6,137.0,142.9,146.8,149.0,150.4,152.1,153.7,156.1,158.5,160.9,165.9,174.7,178.9,184.3,192.9,199.9,203.5,209.6,214.0,215.9,220.4,222.2,224.4,226.6,230.4,237.3,242.8
WPU1114                       ,WPU1114                       ,"PPI Commodity data for Machinery and equipment-Agricultural machinery and equipment, not seasonally adjusted",Index base: 2002.12 = 100,2002-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.8,103.9,109.3,112.0,115.4,120.8,125.1,127.4,131.2,134.0,135.2,138.0,139.1,140.5,141.9,144.3,148.6,152.0
WPU111401                     ,WPU111401                     ,"PPI Commodity data for Machinery and equipment-Commercial turf and grounds care equipment, including parts and attachments, not seasonally adjusted",Index base: 2002.12 = 100,2002-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.2,104.2,108.6,111.2,113.3,118.3,122.3,122.8,124.4,125.6,126.0,126.8,127.8,128.5,128.6,129.9,132.7,135.4
WPU11140111                   ,WPU11140111                   ,"PPI Commodity data for Machinery and equipment-Commercial turf and grounds care equipment, including parts and attachments, not seasonally adjusted",Index base: 2002.12 = 100,2002-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.2,104.2,108.6,111.2,113.3,118.3,122.3,122.8,124.4,125.6,126.0,126.8,127.8,128.5,128.6,129.9,132.7,135.4
WPU111402                     ,WPU111402                     ,"PPI Commodity data for Machinery and equipment-Farm plows, harrows, rollers, pulverizers, etc., and attachments, not seasonally adjusted",Index base: 2002.12 = 100,2002-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.2,115.3,122.2,131.2,134.1,142.4,156.6,157.7,159.8,164.9,166.8,171.5,174.0,175.8,177.1,185.4,193.2,194.6
WPU11140211                   ,WPU11140211                   ,"PPI Commodity data for Machinery and equipment-Farm plows, harrows, rollers, pulverizers, etc., and attachments, not seasonally adjusted",Index base: 2002.12 = 100,2002-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.2,115.3,122.2,131.2,134.1,142.4,156.6,157.7,159.8,164.9,166.8,171.5,174.0,175.8,177.1,185.4,193.2,194.6
WPU111403                     ,WPU111403                     ,"PPI Commodity data for Machinery and equipment-Farm-type (power take-off hp) wheel tractors (2/4-wheel drive)(with or without attachments), not seasonally adjusted",Index base: 2002.12 = 100,2002-M12,2019-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7,102.1,105.6,109.2,111.7,118.7,121.8,122.1,123.6,125.5,125.9,128.0,130.4,131.6,133.1,135.2,,
WPU11140311                   ,WPU11140311                   ,"PPI Commodity data for Machinery and equipment-Farm-type (power take-off hp) wheel tractors (2/4-wheel drive)(with or without attachments), not seasonally adjusted",Index base: 2002.12 = 100,2002-M12,2019-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7,102.1,105.6,109.2,111.7,118.7,121.8,122.1,123.6,125.5,125.9,128.0,130.4,131.6,133.1,135.2,,
WPU111404                     ,WPU111404                     ,"PPI Commodity data for Machinery and equipment-Farm dairy equipment, sprayers and dusters, farm blowers, and attachments, not seasonally adjusted",Index base: 2002.12 = 100,2002-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.3,101.6,104.8,100.0,107.9,111.7,117.1,122.1,131.9,134.4,136.6,139.6,142.1,146.1,149.7,148.1,148.5,148.5
