index,Index,Label,unit,start,last,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
WPU30                         ,WPU30                         ,"PPI Commodity data for Transportation services, not seasonally adjusted",Index base: 2009.06 = 100,2009-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.9,112.9,117.5,119.7,122.9,121.3,119.7,122.2,128.3,132.4,129.6,138.952
WPU301                        ,WPU301                        ,"PPI Commodity data for Transportation services-Transportation of freight and mail, not seasonally adjusted",Index base: 2009.06 = 100,2009-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.9,111.7,116.1,118.9,122.2,121.4,120.1,122.9,129.6,133.5,134.3,146.319
WPU3011                       ,WPU3011                       ,"PPI Commodity data for Transportation services-Rail transportation of freight and mail, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.4,101.6,110.5,115.5,118.8,121.1,116.5,113.7,117.8,124.6,128.4,128.3,134.686
WPU301101                     ,WPU301101                     ,"PPI Commodity data for Transportation services-Rail transportation of freight and mail, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.4,101.6,110.5,115.5,118.8,121.1,116.5,113.7,117.8,124.6,128.4,128.3,134.686
WPU30110101                   ,WPU30110101                   ,"PPI Commodity data for Transportation services-Rail transportation of freight and mail, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.4,101.6,110.5,115.5,118.8,121.1,116.5,113.7,117.8,124.6,128.4,128.3,134.686
WPU3012                       ,WPU3012                       ,"PPI Commodity data for Transportation services-Truck transportation of freight, not seasonally adjusted",Index base: 2009.06 = 100,2009-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,108.0,111.8,113.3,115.5,113.4,112.2,114.9,122.6,125.4,124.7,140.328
WPU301201                     ,WPU301201                     ,"PPI Commodity data for Transportation services-Local motor carrying, not seasonally adjusted",Index base: 2009.06 = 100,2009-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.9,104.1,106.0,107.9,108.2,107.2,105.4,105.9,111.2,115.9,115.0,121.093
WPU30120101                   ,WPU30120101                   ,"PPI Commodity data for Transportation services-Local motor carrying, not seasonally adjusted",Index base: 2009.06 = 100,2009-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.9,104.1,106.0,107.9,108.2,107.2,105.4,105.9,111.2,115.9,115.0,121.093
WPU301202                     ,WPU301202                     ,"PPI Commodity data for Transportation services-Long-distance motor carrying, not seasonally adjusted",Index base: 2009.06 = 100,2009-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.5,109.7,114.3,115.6,118.4,116.0,114.9,118.3,126.8,128.9,128.3,147.595
WPU30120201                   ,WPU30120201                   ,"PPI Commodity data for Transportation services-Long-distance motor carrying, not seasonally adjusted",Index base: 2009.06 = 100,2009-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.5,109.7,114.3,115.6,118.4,116.0,114.9,118.3,126.8,128.9,128.3,147.595
WPU3013                       ,WPU3013                       ,"PPI Commodity data for Transportation services-Water transportation of freight, not seasonally adjusted",Index base: 2009.06 = 100,2009-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.8,120.8,123.4,121.3,122.4,121.9,114.5,113.2,116.8,122.8,118.0,124.223
WPU301301                     ,WPU301301                     ,"PPI Commodity data for Transportation services-Deep sea water transportation of freight, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.7,94.7,98.2,96.3,96.2,101.4,100.1,93.2,101.4,112.5,119.4,112.5,126.746
WPU30130101                   ,WPU30130101                   ,"PPI Commodity data for Transportation services-Deep sea water transportation of freight, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.7,94.7,98.2,96.3,96.2,101.4,100.1,93.2,101.4,112.5,119.4,112.5,126.746
WPU301302                     ,WPU301302                     ,"PPI Commodity data for Transportation services-Coastal and intercoastal water transportation of freight, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.9,103.8,111.5,117.3,114.6,114.6,119.6,112.8,99.7,91.7,91.4,91.5,92.777
WPU30130201                   ,WPU30130201                   ,"PPI Commodity data for Transportation services-Coastal and intercoastal water transportation of freight, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.9,103.8,111.5,117.3,114.6,114.6,119.6,112.8,99.7,91.7,91.4,91.5,92.777
WPU301303                     ,WPU301303                     ,"PPI Commodity data for Transportation services-Great Lakes-St Lawrence Seaway water transportation of freight, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.3,102.6,114.3,126.2,129.3,124.9,,,116.2,123.2,127.1,121.5,131.307
WPU30130301                   ,WPU30130301                   ,"PPI Commodity data for Transportation services-Great lakes-St Lawrence Seaway water transportation of freight, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.3,102.6,114.3,126.2,129.3,124.9,,,116.2,123.2,127.1,121.5,131.307
WPU301304                     ,WPU301304                     ,"PPI Commodity data for Transportation services-Inland waterways transportation of freight, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.2,95.9,107.7,112.5,108.1,103.3,99.1,93.8,89.2,89.1,96.5,93.5,86.365
WPU30130401                   ,WPU30130401                   ,"PPI Commodity data for Transportation services-Inland waterways transportation of freight, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.2,95.9,107.7,112.5,108.1,103.3,99.1,93.8,89.2,89.1,96.5,93.5,86.365
WPU3014                       ,WPU3014                       ,"PPI Commodity data for Transportation services-Air transportation of freight, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.4,100.1,111.3,116.1,114.9,115.8,112.5,110.7,109.7,112.1,111.8,113.3,117.818
WPU301401                     ,WPU301401                     ,"PPI Commodity data for Transportation services-Air transportation of freight, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.4,100.1,111.3,116.1,114.9,115.8,112.5,110.7,109.7,112.1,111.8,113.3,117.818
WPU30140102                   ,WPU30140102                   ,"PPI Commodity data for Transportation services-Air transportation of freight, domestic, not seasonally adjusted",Index base: 2016.01 = 100,2016-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,100.1,103.8,104.2,104.1,105.938
WPU30140103                   ,WPU30140103                   ,"PPI Commodity data for Transportation services-Air transportation of freight, international, not seasonally adjusted",Index base: 2016.01 = 100,2016-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,90.7,92.1,91.5,93.4,98.152
WPU3015                       ,WPU3015                       ,"PPI Commodity data for Transportation services-Pipeline transportation (partial), not seasonally adjusted",Index base: 2009.06 = 100,2009-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.9,124.7,131.6,139.6,147.9,154.8,157.9,157.2,158.2,163.1,169.0,173.721
WPU301501                     ,WPU301501                     ,"PPI Commodity data for Transportation services-Pipeline transportation of petroleum products, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.4,119.3,121.2,127.9,135.6,143.6,150.4,153.4,152.7,153.7,158.5,164.1,168.737
WPU30150101                   ,WPU30150101                   ,"PPI Commodity data for Transportation services-Pipeline transportation of crude petroleum, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.7,130.5,131.4,139.0,150.1,158.2,165.6,168.5,165.5,164.7,169.6,176.3,183.52
WPU30150102                   ,WPU30150102                   ,"PPI Commodity data for Transportation services-Pipeline transportation of refined petroleum products, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.2,107.3,110.1,116.0,120.9,128.7,134.7,137.8,138.9,141.3,145.9,150.6,152.846
WPU3016                       ,WPU3016                       ,"PPI Commodity data for Transportation services-Courier, messenger, and U.S. postal services, not seasonally adjusted",Index base: 2009.06 = 100,2009-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.5,112.1,117.5,122.8,128.8,131.5,131.2,134.3,139.9,145.8,150.6,159.044
WPU301601                     ,WPU301601                     ,"PPI Commodity data for Transportation services-U.S. Postal Service, not seasonally adjusted",Index base: 1989.06 = 100,1972-M01,2022-M02,36.6,36.6,42.7,44.0,54.6,55.1,60.6,64.6,64.4,74.0,79.2,79.2,79.3,85.3,86.5,86.5,96.6,100.0,100.0,117.9,119.8,119.8,119.8,132.2,132.3,132.3,132.3,135.3,135.2,143.4,150.2,155.0,155.0,155.0,164.7,171.9,178.9,185.0,187.7,190.6,195.7,202.5,213.2,216.6,215.1,217.1,221.6,230.2,237.1,246.831
WPU30160107                   ,WPU30160107                   ,"PPI Commodity data for Transportation services-Mailing services (market dominant services), not seasonally adjusted",Index base: 2012.12 = 100,2012-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.5,108.4,110.3,107.9,108.3,110.0,113.2,115.2,119.952
WPU301601071                  ,WPU301601071                  ,"PPI Commodity data for Transportation services-First class mail, not seasonally adjusted",Index base: 1989.06 = 100,1972-M01,2022-M02,34.2,34.2,40.9,42.1,53.0,53.0,57.7,61.3,61.5,72.6,81.7,81.7,81.7,86.7,87.7,87.7,96.9,100.0,100.0,115.6,117.0,117.0,117.0,127.0,127.0,127.0,127.0,129.0,129.0,136.2,142.6,146.8,146.8,146.8,154.5,157.8,162.8,169.0,171.8,174.8,179.5,184.0,194.9,198.0,193.6,194.5,198.1,203.9,207.6,215.793
WPU301601072                  ,WPU301601072                  ,"PPI Commodity data for Transportation services-Periodicals mail, not seasonally adjusted",Index base: 1989.06 = 100,1972-M01,2022-M02,28.5,28.6,38.5,40.5,50.6,50.7,63.3,72.3,72.3,74.9,76.1,76.1,76.1,86.3,88.3,88.3,97.1,100.0,100.0,121.7,123.6,123.6,123.6,139.1,139.1,139.1,139.1,143.5,143.5,170.2,190.0,202.5,202.5,202.5,213.0,213.9,219.1,223.9,225.1,227.4,232.6,238.5,252.2,256.3,250.1,249.1,253.6,260.9,266.3,278.482
WPU301601073                  ,WPU301601073                  ,"PPI Commodity data for Transportation services-Standard class mail, not seasonally adjusted",Index base: 1989.06 = 100,1972-M01,2022-M02,30.8,30.9,37.3,38.6,48.5,48.5,52.4,55.3,55.5,66.2,73.6,74.2,74.6,81.3,82.6,82.6,95.7,100.0,100.0,125.6,129.1,129.1,129.1,146.5,146.5,146.5,146.5,152.1,152.1,157.7,164.3,169.7,169.7,169.7,185.5,201.5,212.9,217.2,218.4,221.1,226.9,232.4,245.1,248.8,243.3,243.8,246.4,253.6,258.6,270.591
WPU301601074                  ,WPU301601074                  ,"PPI Commodity data for Transportation services-Package services mail, not seasonally adjusted",Index base: 1989.06 = 100,1972-M01,2022-M02,36.9,36.9,39.6,41.0,48.3,48.3,59.7,67.8,67.8,73.3,75.4,75.4,75.4,82.5,83.9,83.9,96.0,100.0,100.0,114.3,115.6,115.6,115.6,139.0,139.0,139.0,139.0,150.3,150.3,156.3,160.8,163.9,163.9,163.9,173.6,190.4,202.7,215.5,223.9,224.4,229.0,234.2,247.7,251.8,245.7,245.8,247.6,253.5,258.3,268.01
WPU301601075                  ,WPU301601075                  ,"PPI Commodity data for Transportation services-Special services and fees, not seasonally adjusted",Index base: 1989.06 = 100,1972-M01,2022-M02,24.1,24.1,24.1,26.4,38.6,48.2,57.4,64.0,64.0,70.5,72.7,72.7,72.7,79.9,81.4,81.4,95.4,100.0,100.0,116.6,118.1,118.1,118.1,134.4,134.4,134.4,134.4,136.5,136.5,159.6,170.0,177.7,177.7,177.7,187.9,198.9,207.8,214.6,217.2,219.5,224.7,237.5,253.8,262.5,260.0,263.8,268.6,276.0,275.6,285.245
WPU30160108                   ,WPU30160108                   ,"PPI Commodity data for Transportation services-Shipping services (competitive services), not seasonally adjusted",Index base: 2012.12 = 100,2012-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,111.0,112.0,123.2,128.7,133.8,144.2,155.5,161.55
WPU301602                     ,WPU301602                     ,"PPI Commodity data for Transportation services-Courier and messenger services, except air, not seasonally adjusted",Index base: 2009.04 = 100,2009-M04,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0,116.3,124.2,132.6,139.5,145.6,144.3,146.6,154.1,161.1,167.8,177.802
WPU30160201                   ,WPU30160201                   ,"PPI Commodity data for Transportation services-Courier and messenger services, except air, not seasonally adjusted",Index base: 2009.04 = 100,2009-M04,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0,116.3,124.2,132.6,139.5,145.6,144.3,146.6,154.1,161.1,167.8,177.802
WPU301603                     ,WPU301603                     ,"PPI Commodity data for Transportation services-Air mail and package delivery services, excluding by USPS, not seasonally adjusted",Index base: 2009.04 = 100,2009-M04,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.4,129.9,137.9,141.9,147.2,146.3,148.9,158.4,170.0,177.7,180.8,196.909
WPU30160301                   ,WPU30160301                   ,"PPI Commodity data for Transportation services-Air mail and package delivery services, excluding by USPS, not seasonally adjusted",Index base: 2009.04 = 100,2009-M04,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.4,129.9,137.9,141.9,147.2,146.3,148.9,158.4,170.0,177.7,180.8,196.909
WPU302                        ,WPU302                        ,"PPI Commodity data for Transportation services-Transportation of passengers (partial), not seasonally adjusted",Index base: 2009.06 = 100,2009-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.4,119.4,124.6,124.4,126.7,121.8,118.7,120.2,123.3,127.8,112.7,113.394
WPU3021                       ,WPU3021                       ,"PPI Commodity data for Transportation services-Rail transportation of passengers, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,100.7,105.1,109.1,112.5,113.3,115.2,117.1,119.8,122.1,125.4,127.6,130.155
WPU302101                     ,WPU302101                     ,"PPI Commodity data for Transportation services-Rail transportation of passengers, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,100.7,105.1,109.1,112.5,113.3,115.2,117.1,119.8,122.1,125.4,127.6,130.155
WPU30210101                   ,WPU30210101                   ,"PPI Commodity data for Transportation services-Rail transportation of passengers, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,100.7,105.1,109.1,112.5,113.3,115.2,117.1,119.8,122.1,125.4,127.6,130.155
WPU3022                       ,WPU3022                       ,"PPI Commodity data for Transportation services-Airline passenger services, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.5,102.8,110.2,115.0,114.7,116.9,112.3,109.3,110.7,113.6,117.7,103.6,104.21
WPU302201                     ,WPU302201                     ,"PPI Commodity data for Transportation services-Airline passenger services, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.5,102.8,110.2,115.0,114.7,116.9,112.3,109.3,110.7,113.6,117.7,103.6,104.21
WPU30220101                   ,WPU30220101                   ,"PPI Commodity data for Transportation services-Airline passenger services, domestic, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.3,104.0,111.7,116.7,116.7,119.3,116.1,113.4,114.3,116.3,120.3,104.9,106.837
WPU30220102                   ,WPU30220102                   ,"PPI Commodity data for Transportation services-Airline passenger services, international, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.2,98.5,104.6,109.0,107.7,108.3,98.5,94.4,97.7,103.9,108.5,98.5,94.826
WPU31                         ,WPU31                         ,"PPI Commodity data for Services related to transportation activities, not seasonally adjusted",Index base: 2009.06 = 100,2009-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.6,105.3,107.0,108.6,110.2,109.7,109.5,110.9,113.5,115.5,113.6,133.481
WPU311                        ,WPU311                        ,"PPI Commodity data for Services related to transportation activities-Services related to water transportation, not seasonally adjusted",Index base: 2009.06 = 100,2009-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,107.1,110.5,111.7,113.5,113.3,114.7,116.3,119.9,122.7,124.3,128.404
WPU3111                       ,WPU3111                       ,"PPI Commodity data for Services related to transportation activities-Towing, tugging, docking, and related services, not seasonally adjusted",Index base: 2009.03 = 100,2009-M03,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,107.7,111.5,111.1,113.3,109.7,109.3,107.6,112.7,115.8,116.0,123.622
WPU311101                     ,WPU311101                     ,"PPI Commodity data for Services related to transportation activities-Towing, tugging, docking and related services, not seasonally adjusted",Index base: 2009.03 = 100,2009-M03,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,107.7,111.5,111.1,113.3,109.7,109.3,107.6,112.7,115.8,116.0,123.622
WPU31110101                   ,WPU31110101                   ,"PPI Commodity data for Services related to transportation activities-Towing, tugging, docking and related services, not seasonally adjusted",Index base: 2009.03 = 100,2009-M03,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,107.7,111.5,111.1,113.3,109.7,109.3,107.6,112.7,115.8,116.0,123.622
WPU3112                       ,WPU3112                       ,"PPI Commodity data for Services related to transportation activities-Operation of port waterfront terminals, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.4,109.4,117.0,122.2,126.1,129.5,132.8,135.8,141.2,143.6,146.9,148.5,150.902
