index,Index,Label,unit,start,last,2015,2016,2017,2018,2019,2020
WPUIP333130                   ,WPUIP333130                   ,"PPI Commodity data for Inputs to 333130, mining & oil & gas field machinery mfg., excl. cap. invest., labor, & imports, not seasonally adjusted",Index base: 2014.04 = 100,2014-M04,2021-M11,99.0,98.2,101.7,107.3,108.7,107.7
WPUIP3331301                  ,WPUIP3331301                  ,"PPI Commodity data for Inputs to 333130, goods, not seasonally adjusted",Index base: 2014.04 = 100,2014-M04,2021-M11,96.9,94.3,98.0,102.9,102.9,100.5
WPUIP33313012                 ,WPUIP33313012                 ,"PPI Commodity data for Inputs to 333130, energy, not seasonally adjusted",Index base: 2014.04 = 100,2014-M04,2021-M11,97.8,85.5,92.9,102.8,98.9,95.5
WPUIP33313013                 ,WPUIP33313013                 ,"PPI Commodity data for Inputs to 333130, goods less foods and energy, not seasonally adjusted",Index base: 2014.04 = 100,2014-M04,2021-M11,96.9,94.8,98.3,103.0,103.0,100.7
WPUIP3331302                  ,WPUIP3331302                  ,"PPI Commodity data for Inputs to 333130, services, not seasonally adjusted",Index base: 2014.04 = 100,2014-M04,2021-M11,102.9,105.2,108.5,115.4,119.6,121.5
WPUIP33313021                 ,WPUIP33313021                 ,"PPI Commodity data for Inputs to 333130, trade services, not seasonally adjusted",Index base: 2014.04 = 100,2014-M04,2021-M11,105.0,103.9,106.4,113.8,119.3,125.2
WPUIP33313022                 ,WPUIP33313022                 ,"PPI Commodity data for Inputs to 333130, transportation and warehousing services, not seasonally adjusted",Index base: 2014.04 = 100,2014-M04,2021-M11,97.0,95.5,97.4,102.7,105.5,100.8
WPUIP33313023                 ,WPUIP33313023                 ,"PPI Commodity data for Inputs to 333130, services less trade, transportation, and warehousing, not seasonally adjusted",Index base: 2014.04 = 100,2014-M04,2021-M11,101.1,109.8,114.8,120.9,123.3,120.1
