index,Index,Label,unit,start,last,2015,2016,2017,2018,2019,2020,2021
WPUIP326100                   ,WPUIP326100                   ,"PPI Commodity data for Inputs to 326100, plastics products manufacturing, excl. capital investment, labor, and imports, not seasonally adjusted",Index base: 2014.03 = 100,2014-M03,2022-M01,92.8,89.5,94.5,98.9,95.9,93.6,117.612
WPUIP3261001                  ,WPUIP3261001                  ,"PPI Commodity data for Inputs to 326100, goods, not seasonally adjusted",Index base: 2014.03 = 100,2014-M03,2022-M01,90.8,87.4,92.9,97.3,92.2,88.5,115.13
WPUIP32610012                 ,WPUIP32610012                 ,"PPI Commodity data for Inputs to 326100, energy, not seasonally adjusted",Index base: 2014.03 = 100,2014-M03,2022-M01,92.4,86.8,97.9,102.1,99.3,95.1,104.763
WPUIP32610013                 ,WPUIP32610013                 ,"PPI Commodity data for Inputs to 326100, goods less foods and energy, not seasonally adjusted",Index base: 2014.03 = 100,2014-M03,2022-M01,90.7,87.5,92.6,96.9,91.7,88.1,115.998
WPUIP3261002                  ,WPUIP3261002                  ,"PPI Commodity data for Inputs to 326100, services, not seasonally adjusted",Index base: 2014.03 = 100,2014-M03,2022-M01,100.9,97.7,100.7,105.2,109.5,111.6,121.708
WPUIP32610021                 ,WPUIP32610021                 ,"PPI Commodity data for Inputs to 326100, trade services, not seasonally adjusted",Index base: 2014.03 = 100,2014-M03,2022-M01,103.0,98.2,101.7,106.1,111.4,116.4,130.271
WPUIP32610022                 ,WPUIP32610022                 ,"PPI Commodity data for Inputs to 326100, transportation and warehousing services, not seasonally adjusted",Index base: 2014.03 = 100,2014-M03,2022-M01,97.8,96.2,98.7,104.5,107.3,105.2,113.45
WPUIP32610023                 ,WPUIP32610023                 ,"PPI Commodity data for Inputs to 326100, services less trade, transportation, and warehousing, not seasonally adjusted",Index base: 2014.03 = 100,2014-M03,2022-M01,100.0,100.3,102.5,105.4,107.5,103.4,106.743
