index,Index,Label,unit,start,last,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
WPU01                         ,WPU01                         ,"PPI Commodity data for Farm products, not seasonally adjusted",Index base: 1982 = 100,1913-M01,2022-M02,18.0,17.9,18.0,21.3,32.6,37.4,39.8,38.0,22.3,23.7,24.9,25.2,27.7,25.3,25.1,26.7,26.4,22.4,16.4,12.2,13.0,16.5,19.8,20.4,21.8,17.3,16.5,17.1,20.8,26.7,30.9,31.2,32.4,37.5,45.1,48.5,41.9,44.0,51.2,48.4,43.8,43.2,40.5,40.0,41.1,42.9,40.2,40.1,39.7,40.4,39.6,39.0,40.7,43.7,41.3,42.3,45.0,45.8,46.6,51.6,72.7,77.4,77.0,78.8,79.4,87.7,99.6,102.9,105.2,100.0,102.4,105.5,95.1,92.9,95.5,104.9,110.9,112.2,105.7,103.6,107.1,106.3,107.4,122.4,112.9,104.6,98.4,99.5,103.8,99.0,111.5,123.3,118.5,117.0,143.4,161.3,134.6,151.0,186.7,192.5,195.3,197.4,173.8,157.0,161.8,160.9,161.5,157.9,198.035
WPU011                        ,WPU011                        ,"PPI Commodity data for Farm products-Fruits & melons, fresh/dry vegs. & nuts, not seasonally adjusted",Index base: 1982 = 100,1926-M01,2022-M02,,,,,,,,,,,,,,27.0,25.8,25.6,25.7,25.8,18.5,14.3,15.5,16.9,15.6,18.4,18.9,14.2,15.7,16.0,16.8,24.8,33.5,33.4,33.7,35.7,36.0,37.4,36.3,33.4,35.6,44.0,36.7,36.3,38.1,38.1,37.9,41.0,37.6,39.0,36.3,37.9,37.3,40.1,39.5,39.8,39.4,42.0,43.4,44.0,47.3,50.3,66.3,75.8,72.4,70.3,75.8,85.3,90.3,94.1,105.4,100.0,103.3,109.6,102.7,103.9,106.8,108.5,114.6,117.5,114.7,96.9,106.9,104.6,108.5,122.5,115.5,117.5,117.4,111.1,114.4,116.1,112.9,123.2,130.1,140.2,153.9,157.6,146.7,161.9,170.4,154.4,176.8,180.0,186.7,190.4,197.6,196.3,204.9,207.1,200.474
WPU0111                       ,WPU0111                       ,"PPI Commodity data for Farm products-Fresh fruits and melons, not seasonally adjusted",Index base: 1982 = 100,1947-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,33.3,36.3,35.7,32.3,38.9,38.0,39.4,37.9,37.7,40.6,41.5,37.1,42.8,41.2,42.5,42.7,43.6,38.5,41.7,42.2,47.1,43.5,42.3,48.0,48.2,57.2,60.8,66.6,67.4,74.9,90.1,98.2,100.3,96.6,100.0,106.4,106.8,108.1,112.9,112.0,113.5,113.2,118.1,129.9,84.0,84.5,82.7,85.8,100.8,99.4,90.5,103.6,91.4,97.7,91.5,84.1,104.9,102.8,111.0,123.4,122.9,110.4,123.8,117.7,119.0,121.2,124.5,124.2,138.7,147.9,145.1,136.3,139.1,146.48
WPU011101                     ,WPU011101                     ,"PPI Commodity data for Farm products-Citrus fruits, not seasonally adjusted",Index base: 1982 = 100,1947-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6,39.6,51.0,47.6,44.8,44.5,43.1,46.6,46.1,50.7,46.9,56.8,46.6,55.6,54.1,53.5,60.7,58.3,53.2,51.3,51.5,61.3,55.6,58.0,67.0,61.0,68.2,71.4,71.1,72.8,85.5,101.1,123.0,101.2,101.0,100.0,100.7,104.7,118.4,114.8,125.9,142.0,136.0,150.8,204.8,103.9,110.7,108.1,107.3,128.4,111.8,110.0,158.6,96.4,125.7,131.6,104.9,150.7,141.7,176.1,182.4,156.9,164.3,163.8,160.0,172.8,175.3,214.6,213.9,252.7,307.7,330.6,245.8,299.4,290.647
WPU01110101                   ,WPU01110101                   ,"PPI Commodity data for Farm products-Grapefruits, not seasonally adjusted",Index base: 1982 = 100,1947-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2,31.6,49.8,54.4,43.6,41.1,44.7,40.1,41.9,50.3,46.9,56.0,39.5,52.5,44.0,48.7,61.7,63.6,61.0,59.9,50.1,65.1,53.3,65.1,74.7,66.5,72.5,62.1,70.7,73.2,76.9,95.0,115.8,105.2,122.6,100.0,107.2,,123.8,139.5,,155.4,,211.2,188.7,175.9,146.2,131.6,,,,169.4,195.3,165.1,183.3,188.2,204.3,254.9,315.5,311.8,239.2,,279.6,289.1,,,260.3,312.0,316.5,,448.9,475.6,,,550.235
WPU01110104                   ,WPU01110104                   ,"PPI Commodity data for Farm products-Lemons, not seasonally adjusted",Index base: 1982 = 100,1947-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.2,47.1,62.3,46.8,50.0,42.4,49.3,49.0,49.2,49.2,45.3,47.7,48.1,52.4,48.5,51.8,54.4,50.0,59.5,59.2,63.0,61.8,80.7,72.7,83.8,81.0,83.1,93.8,110.7,91.3,97.2,121.9,149.2,101.9,82.2,100.0,95.0,106.8,130.0,99.7,117.4,125.1,130.9,139.2,163.0,168.1,212.2,202.8,203.7,196.9,239.9,211.7,228.9,194.1,213.2,236.4,167.9,203.2,201.9,238.2,315.0,330.2,,262.9,,230.4,,,353.9,333.2,353.1,383.1,292.7,297.0,341.837
WPU01110105                   ,WPU01110105                   ,"PPI Commodity data for Farm products-Valencia oranges, not seasonally adjusted",Index base: 1982 = 100,1947-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,25.1,40.8,39.5,36.7,32.2,36.3,35.2,36.3,44.4,37.9,48.0,41.8,42.6,43.9,37.7,57.1,49.3,41.3,41.2,39.8,48.9,49.7,45.6,56.4,53.8,54.7,52.6,54.3,58.2,74.9,83.7,86.3,78.7,95.6,100.0,79.9,,131.7,112.3,,,,,,,,,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,
WPU01110106                   ,WPU01110106                   ,"PPI Commodity data for Farm products-Navel oranges, not seasonally adjusted",Index base: 1982 = 100,1947-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,43.6,48.6,45.5,43.9,48.0,40.3,51.4,49.2,51.0,49.5,62.6,48.7,63.0,63.2,63.8,60.1,68.4,48.8,50.2,51.6,64.0,49.1,53.3,56.0,51.4,62.9,73.8,65.4,62.7,86.2,104.2,112.7,79.9,72.0,100.0,69.4,104.5,94.4,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPU011102                     ,WPU011102                     ,"PPI Commodity data for Farm products-Other fruits and berries, not seasonally adjusted",Index base: 1982 = 100,1947-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.2,32.6,33.2,33.2,29.4,38.7,37.2,36.0,34.7,34.1,41.9,37.2,35.9,41.1,37.4,39.6,38.6,41.2,34.6,38.1,39.2,43.0,39.4,34.5,42.3,44.1,53.6,57.2,64.7,65.6,71.2,86.3,89.4,99.9,95.1,100.0,108.4,107.5,104.5,112.0,106.9,103.1,104.9,106.4,104.8,76.6,73.4,74.0,79.6,94.6,97.8,85.5,90.4,91.7,89.4,81.7,79.9,93.3,93.3,96.0,115.6,123.5,107.6,123.8,115.0,117.5,119.7,116.6,114.0,127.1,129.0,121.8,122.2,119.1,131.342
WPU01110205                   ,WPU01110205                   ,"PPI Commodity data for Farm products-Avocados, not seasonally adjusted",Index base: 1991.12 = 100,1991-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,52.5,,,109.8,,,,138.6,127.9,,,128.3,,,,,,,,,,,,,,,,181.2,
