index,Index,Label,unit,start,last,2014,2015,2016,2017,2018,2019,2020
WPUIP325510                   ,WPUIP325510                   ,"PPI Commodity data for Inputs to 325510, paint and coating manufacturing, excl. capital investment, labor, and imports, not seasonally adjusted",Index base: 2013.03 = 100,2013-M03,2021-M11,98.7,92.2,88.8,93.4,98.6,97.3,95.6
WPUIP3255101                  ,WPUIP3255101                  ,"PPI Commodity data for Inputs to 325510, goods, not seasonally adjusted",Index base: 2013.03 = 100,2013-M03,2021-M11,98.2,90.3,86.9,92.0,97.3,94.6,91.7
WPUIP32551012                 ,WPUIP32551012                 ,"PPI Commodity data for Inputs to 325510, energy, not seasonally adjusted",Index base: 2013.03 = 100,2013-M03,2021-M11,97.6,74.8,64.0,75.5,87.9,81.1,65.9
WPUIP32551013                 ,WPUIP32551013                 ,"PPI Commodity data for Inputs to 325510, goods less foods and energy, not seasonally adjusted",Index base: 2013.03 = 100,2013-M03,2021-M11,98.2,90.9,88.0,92.7,97.5,95.2,92.9
WPUIP3255102                  ,WPUIP3255102                  ,"PPI Commodity data for Inputs to 325510, services, not seasonally adjusted",Index base: 2013.03 = 100,2013-M03,2021-M11,102.6,103.2,99.5,101.9,106.9,111.5,115.0
WPUIP32551021                 ,WPUIP32551021                 ,"PPI Commodity data for Inputs to 325510, trade services, not seasonally adjusted",Index base: 2013.03 = 100,2013-M03,2021-M11,103.1,105.0,100.1,102.1,106.8,112.0,116.7
WPUIP32551022                 ,WPUIP32551022                 ,"PPI Commodity data for Inputs to 325510, transportation and warehousing services, not seasonally adjusted",Index base: 2013.03 = 100,2013-M03,2021-M11,101.9,99.3,97.6,100.5,106.8,109.6,109.3
