index,Index,Label,unit,start,last,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
WPU14                         ,WPU14                         ,"PPI Commodity data for Transportation equipment, not seasonally adjusted",Index base: 1982 = 100,1969-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4,41.9,44.2,45.5,46.1,50.3,56.7,60.5,64.6,69.5,75.3,82.9,94.3,100.0,102.8,105.2,107.9,110.5,112.5,114.3,117.7,121.5,126.4,130.4,133.7,137.2,139.7,141.7,141.6,141.2,141.8,143.8,145.2,144.6,145.7,148.6,151.0,152.6,155.0,158.6,162.2,163.4,166.1,169.8,171.8,174.1,176.5,177.4,179.0,181.2,182.9,183.8
WPU141                        ,WPU141                        ,"PPI Commodity data for Transportation equipment-Motor vehicles and equipment, not seasonally adjusted",Index base: 1982 = 100,1926-M13,2021-M11,16.7,16.0,16.2,16.7,15.7,14.9,14.5,13.9,14.6,14.0,13.9,14.9,15.9,15.6,16.1,17.2,18.8,18.8,18.9,19.2,22.3,25.5,28.2,30.1,30.0,31.6,33.4,33.3,33.4,34.3,36.3,37.9,39.0,39.9,39.3,39.2,39.2,38.9,39.1,39.2,39.2,39.8,40.9,41.7,43.3,45.7,47.0,47.4,51.4,57.6,61.2,65.2,70.0,75.8,83.1,94.6,100.0,102.2,104.1,106.4,109.1,111.7,113.1,116.2,118.2,122.1,124.9,128.0,131.4,133.0,134.1,132.7,131.4,131.7,132.3,131.5,129.9,129.6,131.0,131.5,131.0,132.2,134.1,137.0,137.6,139.4,142.2,143.4,145.2,147.4,147.9,149.3,151.1,151.9,152.1
WPU1411                       ,WPU1411                       ,"PPI Commodity data for Transportation equipment-Motor vehicles, not seasonally adjusted",Index base: 1982 = 100,1947-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,29.2,32.3,34.5,34.3,36.2,38.2,38.0,38.1,39.3,41.5,43.3,44.7,45.7,45.0,44.8,44.5,44.1,44.0,43.9,43.6,44.0,45.0,45.7,47.2,49.9,51.1,51.4,55.3,60.6,64.5,68.5,73.8,80.0,87.1,95.4,100.0,102.4,104.7,107.8,111.4,113.8,114.9,118.1,120.4,125.9,129.9,134.2,139.1,140.3,141.5,139.7,137.7,138.4,139.4,138.2,135.4,135.4,137.1,136.4,133.0,133.5,135.1,139.3,139.7,140.9,144.6,146.1,148.8,152.2,153.5,155.6,156.9,157.4,157.0
WPU141101                     ,WPU141101                     ,"PPI Commodity data for Transportation equipment-Passenger cars and chassis, not seasonally adjusted",Index base: 1982 = 100,1926-M13,2021-M11,19.1,18.5,19.0,19.5,18.4,17.6,17.1,16.5,17.4,16.8,16.6,17.8,18.9,18.5,19.0,20.5,22.5,22.5,22.5,22.6,26.6,30.8,34.3,37.1,36.9,38.5,41.3,41.1,41.4,42.7,44.9,46.7,48.0,49.1,48.5,48.3,47.8,47.4,47.3,47.0,46.6,47.0,47.9,48.5,50.0,52.6,54.0,54.2,57.8,63.0,66.8,70.7,75.9,81.9,88.9,96.2,100.0,102.2,104.0,106.9,110.2,112.9,113.0,115.5,118.3,124.1,126.9,129.8,133.9,134.1,135.4,133.6,131.9,131.3,132.8,132.0,129.5,129.5,131.7,131.8,128.0,126.2,128.9,130.9,129.0,129.9,131.2,130.3,131.2,133.4,133.5,134.1,134.0,134.9,134.6
WPU14110131                   ,WPU14110131                   ,"PPI Commodity data for Transportation equipment-Passenger cars, not seasonally adjusted",Index base: 1982.06 = 100,1991-M07,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.6,129.5,133.6,133.9,135.1,133.3,131.6,131.1,132.5,131.8,129.3,129.3,131.5,131.5,127.8,126.0,128.6,130.6,128.7,129.6,130.9,130.1,130.9,133.1,133.2,133.8,133.8,134.6,134.3
WPU141104                     ,WPU141104                     ,"PPI Commodity data for Transportation equipment-Motorcycles, including three-wheel motorbikes, motorscooters, mopeds, and parts, not seasonally adjusted",Index base: 1982 = 100,1972-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.3,75.0,79.6,79.4,78.9,84.2,91.2,92.4,96.5,100.0,102.1,103.4,,,,,,,,,,,,,,,159.1,161.9,165.8,169.4,172.2,173.1,175.4,,176.6,178.0,178.8,179.8,180.2,,,,186.7,189.0,190.2,190.9,192.8,192.7
WPU14110401                   ,WPU14110401                   ,"PPI Commodity data for Transportation equipment-Motorcycles, including three-wheel motorbikes, motorscooters, mopeds, and parts, not seasonally adjusted",Index base: 1982 = 100,1999-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.4,174.4,178.5,182.5,185.4,186.4,188.9,,190.2,191.7,192.6,193.7,194.1,,,,201.0,203.6,204.8,205.6,207.6,207.5
WPU141105                     ,WPU141105                     ,"PPI Commodity data for Transportation equipment-Trucks, truck tractors, & bus chassis 14,000 lb or less, incl. minivans & suvs, not seasonally adjusted",Index base: 1982 = 100,1964-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8,37.6,37.5,37.8,39.0,40.1,42.0,45.3,46.2,47.0,52.3,56.9,60.4,64.8,70.5,76.4,83.3,95.0,100.0,102.6,106.7,112.2,117.7,121.1,125.0,129.5,130.0,135.5,142.4,150.3,157.1,159.0,160.3,158.9,155.2,157.5,157.6,155.0,150.5,150.2,151.3,148.4,143.3,145.3,146.0,151.8,153.3,154.6,160.1,162.9,166.9,171.4,173.1,176.1,178.0,177.8,176.8
WPU14110571                   ,WPU14110571                   ,"PPI Commodity data for Transportation equipment-Trucks, truck tractors, & bus chassis 14,000 lb or less, incl. minivans & suvs, not seasonally adjusted",Index base: 1982.12 = 100,1982-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7,,,,,,,,,137.0,144.6,151.2,153.0,154.2,152.9,149.3,151.6,151.6,149.2,144.8,144.5,145.6,142.7,137.9,139.8,140.5,146.1,147.5,148.7,154.0,156.8,160.6,164.9,166.6,169.4,171.2,171.0,170.1
WPU141106                     ,WPU141106                     ,"PPI Commodity data for Transportation equipment-Trucks, over 14,000 lbs GVW, not seasonally adjusted",Index base: 1982 = 100,1964-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9,31.5,31.9,32.9,34.0,35.0,36.3,38.4,39.3,39.8,44.5,50.7,56.1,61.2,66.8,73.4,82.3,92.9,100.0,103.6,108.0,108.8,113.4,111.8,112.4,117.2,120.3,123.6,128.6,133.9,138.7,144.1,144.5,140.4,142.4,146.5,148.0,147.7,152.2,154.2,155.7,162.4,169.1,177.2,182.2,190.3,195.7,200.0,205.8,209.3,213.5,218.1,222.6,227.1,229.9,232.3,234.6
