index,Index,Label,unit,start,last,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
WPU04                         ,WPU04                         ,"PPI Commodity data for Hides, skins, leather, and related products, not seasonally adjusted",Index base: 1982 = 100,1926-M01,2021-M11,17.1,18.4,20.7,18.6,17.1,14.7,12.5,13.8,14.8,15.3,16.3,17.9,15.8,16.3,17.2,18.4,20.1,20.1,19.9,20.1,23.3,31.7,32.1,30.4,32.9,37.7,30.5,31.0,29.5,29.4,31.2,31.2,31.6,35.9,34.6,34.9,35.3,34.3,34.4,35.9,39.4,38.1,39.3,41.5,42.0,43.4,50.0,54.5,55.2,56.5,63.9,68.3,76.1,96.1,94.7,99.3,100.0,103.2,109.0,108.9,113.0,120.4,131.4,136.3,141.7,138.9,140.4,143.7,148.5,153.7,150.5,154.2,148.0,146.0,151.5,158.4,157.6,162.3,164.5,165.4,168.4,173.6,173.1,157.0,181.4,199.9,202.3,217.9,229.1,210.4,195.1,192.1,180.4,165.9,157.1
WPU041                        ,WPU041                        ,"PPI Commodity data for Hides, skins, leather, and related products-Hides and skins, incl. cattle, not seasonally adjusted",Index base: 1982 = 100,1926-M01,2021-M11,20.5,24.6,30.4,23.0,18.7,12.3,8.6,13.6,14.0,16.4,19.3,23.2,15.1,17.3,18.8,22.2,24.1,23.5,22.4,23.9,30.3,47.6,44.5,38.8,45.0,51.9,27.5,29.8,24.1,24.7,25.8,24.1,25.1,39.6,29.7,31.9,31.4,24.9,25.9,32.9,41.7,27.9,29.6,34.6,29.0,32.1,59.6,70.8,54.6,48.6,72.0,79.9,100.5,149.2,103.4,104.7,100.0,109.8,143.8,126.1,147.7,179.9,,212.9,217.9,174.2,174.0,184.2,206.3,215.5,191.8,201.8,158.2,145.9,174.0,189.7,176.9,185.6,189.3,189.9,196.8,209.2,192.4,124.0,224.9,272.7,272.2,305.7,326.6,258.8,213.2,204.3,171.0,128.7,107.5
WPU0419                       ,WPU0419                       ,"PPI Commodity data for Hides, skins, leather, and related products-Hides and skins, incl. cattle, not seasonally adjusted",Index base: 2001.06 = 100,2001-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,85.0,86.7,87.0,90.1,95.8,88.1,56.8,103.0,124.9,124.6,140.0,149.5,118.5,97.6,93.6,78.3,58.9,49.2
WPU041901                     ,WPU041901                     ,"PPI Commodity data for Hides, skins, leather, and related products-Hides, skins, and pelts, made in slaughtering plants, not seasonally adjusted",Index base: 2001.06 = 100,2001-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,85.0,86.7,87.0,90.1,95.8,88.1,56.8,103.0,124.9,124.6,140.0,149.5,118.5,97.6,93.6,78.3,58.9,49.2
WPU04190108                   ,WPU04190108                   ,"PPI Commodity data for Hides, skins, leather, and related products-Hides, skins, and pelts, made in slaughtering plants, not seasonally adjusted",Index base: 2001.06 = 100,2001-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,85.0,86.7,87.0,90.1,95.8,88.1,56.8,103.0,124.9,124.6,140.0,149.5,118.5,97.6,93.6,78.3,58.9,49.2
WPU042                        ,WPU042                        ,"PPI Commodity data for Hides, skins, leather, and related products-Leather, not seasonally adjusted",Index base: 1982 = 100,1926-M01,2021-M11,16.2,17.7,20.4,18.3,16.4,13.9,10.5,11.5,12.1,13.0,13.8,15.7,13.6,14.2,15.0,15.8,16.4,16.4,16.4,16.5,20.7,31.4,29.9,27.7,31.8,37.0,26.6,27.7,25.3,25.1,27.1,26.8,27.4,33.2,30.1,30.9,31.6,29.7,30.0,31.5,35.3,32.1,32.8,34.9,34.6,36.2,45.1,51.4,49.6,48.7,60.4,64.6,76.6,114.6,99.8,102.7,100.0,106.2,119.6,113.4,122.9,140.9,167.5,170.4,177.5,168.4,163.7,168.6,179.6,191.4,177.9,182.7,178.4,176.3,182.2,200.9,202.5,214.0,220.6,219.6,223.7,230.6,234.3,221.1,233.0,261.8,258.8,282.6,301.3,268.6,238.2,227.0,203.9,183.1,164.3
WPU0427                       ,WPU0427                       ,"PPI Commodity data for Hides, skins, leather, and related products-Finished and unfinished leather, not seasonally adjusted",Index base: 1997.12 = 100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.8,96.6,99.9,110.1,111.0,117.3,120.9,120.4,122.6,126.4,128.4,121.2,127.7,143.5,141.9,154.9,165.2,147.2,130.6,124.5,111.8,100.4,90.1
WPU042701                     ,WPU042701                     ,"PPI Commodity data for Hides, skins, leather, and related products-Finished and unfinished leather, not seasonally adjusted",Index base: 1997.12 = 100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.8,96.6,99.9,110.1,111.0,117.3,120.9,120.4,122.6,126.4,128.4,121.2,127.7,143.5,141.9,154.9,165.2,147.2,130.6,124.5,111.8,100.4,90.1
WPU04270102                   ,WPU04270102                   ,"PPI Commodity data for Hides, skins, leather, and related products-Finished and unfinished leather, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7,100.2,102.2,105.4,106.9,100.6,106.1,119.7,118.3,129.2,137.8,122.8,108.9,103.8,93.2,83.7,75.1
WPU043                        ,WPU043                        ,"PPI Commodity data for Hides, skins, leather, and related products-Footwear, not seasonally adjusted",Index base: 1982 = 100,1926-M01,2021-M11,14.6,14.9,16.0,15.5,14.9,13.7,12.6,13.1,14.3,14.3,14.6,15.3,14.9,15.0,15.7,16.5,18.3,18.4,18.4,18.4,20.4,25.8,27.6,27.2,28.7,32.7,30.2,30.1,30.1,30.2,32.1,32.6,32.9,34.9,35.8,35.9,36.3,36.2,36.3,37.0,39.5,40.8,42.8,44.7,46.2,47.7,50.8,53.3,57.1,60.3,64.8,68.8,74.7,89.0,95.2,98.3,100.0,102.1,102.7,104.8,106.9,109.4,115.1,120.8,125.6,128.6,132.0,134.4,135.5,139.2,141.6,143.7,144.7,144.5,144.9,145.8,146.0,147.1,146.2,148.1,149.3,151.6,156.9,159.9,162.4,168.0,176.5,185.1,191.1,196.0,199.5,201.9,203.5,208.8,210.0
