index,Index,Label,unit,start,last,2014,2015,2016,2017,2018,2019,2020,2021
WPUIP336111                   ,WPUIP336111                   ,"PPI Commodity data for Inputs to 336111, automobile manufacturing, excluding capital investment, labor, and imports, not seasonally adjusted",Index base: 2013.03 = 100,2013-M03,2022-M02,100.5,101.1,100.4,102.0,104.3,107.7,109.8,119.315
WPUIP3361111                  ,WPUIP3361111                  ,"PPI Commodity data for Inputs to 336111, goods, not seasonally adjusted",Index base: 2013.03 = 100,2013-M03,2022-M02,100.3,100.3,99.4,99.9,101.8,102.8,103.2,107.521
WPUIP33611113                 ,WPUIP33611113                 ,"PPI Commodity data for Inputs to 336111, goods less foods and energy, not seasonally adjusted",Index base: 2013.03 = 100,2013-M03,2022-M02,100.3,100.3,99.4,99.9,101.8,102.8,103.2,107.521
WPUIP3361112                  ,WPUIP3361112                  ,"PPI Commodity data for Inputs to 336111, services, not seasonally adjusted",Index base: 2013.03 = 100,2013-M03,2022-M02,101.3,103.9,103.9,108.0,111.3,119.5,125.1,145.895
WPUIP33611121                 ,WPUIP33611121                 ,"PPI Commodity data for Inputs to 336111, trade services, not seasonally adjusted",Index base: 2013.03 = 100,2013-M03,2022-M02,101.2,104.3,104.3,108.5,111.6,120.1,126.1,147.113
WPUIP33611122                 ,WPUIP33611122                 ,"PPI Commodity data for Inputs to 336111, transportation and warehousing services, not seasonally adjusted",Index base: 2013.03 = 100,2013-M03,2022-M02,101.7,99.9,98.8,101.2,108.0,110.5,109.9,123.62
WPUIP336411                   ,WPUIP336411                   ,"PPI Commodity data for Inputs to 336411, airplane manufacturing, excluding capital investment, labor, and imports, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,100.8,101.3,102.7,105.0,107.1,108.4,118.31
WPUIP3364111                  ,WPUIP3364111                  ,"PPI Commodity data for Inputs to 336411, goods, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,100.2,100.3,101.2,103.1,104.0,104.6,111.662
WPUIP33641112                 ,WPUIP33641112                 ,"PPI Commodity data for Inputs to 336411, energy, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,87.4,64.9,65.7,89.4,79.2,71.2,100.154
WPUIP33641113                 ,WPUIP33641113                 ,"PPI Commodity data for Inputs to 336411, goods less foods and energy, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,100.3,100.5,101.4,103.2,104.2,104.7,111.795
WPUIP3364112                  ,WPUIP3364112                  ,"PPI Commodity data for Inputs to 336411, services, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,104.4,105.8,109.3,113.1,118.6,122.3,141.578
WPUIP33641121                 ,WPUIP33641121                 ,"PPI Commodity data for Inputs to 336411, trade services, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,105.1,104.7,108.5,112.5,120.6,126.7,153.732
WPUIP33641122                 ,WPUIP33641122                 ,"PPI Commodity data for Inputs to 336411, transportation and warehousing services, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,99.2,98.2,100.5,107.3,109.7,109.1,122.792
WPUIP33641123                 ,WPUIP33641123                 ,"PPI Commodity data for Inputs to 336411, services less trade, transportation, and warehousing, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,102.3,106.5,109.7,112.5,114.5,115.0,123.841
WPUIP336611                   ,WPUIP336611                   ,"PPI Commodity data for Inputs to 336611, ship building and repairing, excluding capital investment, labor, and imports, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,100.1,101.3,104.8,109.6,112.3,113.0,127.899
WPUIP3366111                  ,WPUIP3366111                  ,"PPI Commodity data for Inputs to 336611, goods, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,99.1,98.2,101.3,105.5,107.2,107.6,121.105
WPUIP33661112                 ,WPUIP33661112                 ,"PPI Commodity data for Inputs to 336611, energy, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,102.5,95.2,106.2,111.8,109.6,107.8,113.769
WPUIP33661113                 ,WPUIP33661113                 ,"PPI Commodity data for Inputs to 336611, goods less foods and energy, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,99.0,98.3,101.1,105.3,107.1,107.5,121.288
WPUIP3366112                  ,WPUIP3366112                  ,"PPI Commodity data for Inputs to 336611, services, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,102.0,106.5,110.5,116.4,120.9,122.1,138.423
WPUIP33661121                 ,WPUIP33661121                 ,"PPI Commodity data for Inputs to 336611, trade services, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,103.7,103.1,106.1,111.9,118.6,124.6,163.753
WPUIP33661122                 ,WPUIP33661122                 ,"PPI Commodity data for Inputs to 336611, transportation and warehousing services, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,98.9,97.3,99.3,104.7,107.6,102.7,111.413
WPUIP33661123                 ,WPUIP33661123                 ,"PPI Commodity data for Inputs to 336611, services less trade, transportation, and warehousing, not seasonally adjusted",Index base: 2014.02 = 100,2014-M02,2022-M02,,101.6,110.2,115.3,121.1,123.9,122.1,128.548
