index,Index,Label,unit,start,last,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
WPU80                         ,WPU80                         ,"PPI Commodity data for Construction (partial), not seasonally adjusted",Index base: 2009.06 = 100,2009-M06,2022-M01,,,,,,97.9,99.9,102.6,104.5,107.4,109.5,110.8,113.2,117.3,122.5,124.8,131.21
WPU801                        ,WPU801                        ,"PPI Commodity data for Construction (partial)-New nonresidential building construction, not seasonally adjusted",Index base: 2009.06 = 100,2009-M06,2022-M01,,,,,,97.9,100.1,103.2,105.1,108.3,110.4,111.6,114.0,118.8,124.9,128.0,134.635
WPU8011                       ,WPU8011                       ,"PPI Commodity data for Construction (partial)-New nonresidential building construction, not seasonally adjusted",Index base: 2009.06 = 100,2009-M06,2022-M01,,,,,,97.9,100.1,103.2,105.1,108.3,110.4,111.6,114.0,118.8,124.9,128.0,134.635
WPU801101                     ,WPU801101                     ,"PPI Commodity data for Construction (partial)-New warehouse building construction, not seasonally adjusted",Index base: 2004.12 = 100,2004-M12,2022-M01,104.5,112.3,119.0,124.4,127.0,123.6,126.4,131.1,134.6,137.9,140.5,142.8,146.9,152.0,159.5,162.0,174.249
WPU80110101                   ,WPU80110101                   ,"PPI Commodity data for Construction (partial)-New warehouse building construction, not seasonally adjusted",Index base: 2004.12 = 100,2004-M12,2022-M01,104.5,112.3,119.0,124.4,127.0,123.6,126.4,131.1,134.6,137.9,140.5,142.8,146.9,152.0,159.5,162.0,174.249
WPU801102                     ,WPU801102                     ,"PPI Commodity data for Construction (partial)-New school building construction, not seasonally adjusted",Index base: 2005.12 = 100,2005-M12,2022-M01,,105.7,118.0,123.5,131.9,131.5,135.1,139.7,141.9,146.6,149.4,150.7,153.8,160.4,169.8,174.2,180.437
WPU80110201                   ,WPU80110201                   ,"PPI Commodity data for Construction (partial)-New school building construction, not seasonally adjusted",Index base: 2005.12 = 100,2005-M12,2022-M01,,105.7,118.0,123.5,131.9,131.5,135.1,139.7,141.9,146.6,149.4,150.7,153.8,160.4,169.8,174.2,180.437
WPU801103                     ,WPU801103                     ,"PPI Commodity data for Construction (partial)-New office building construction, not seasonally adjusted",Index base: 2006.06 = 100,2006-M06,2022-M01,,,107.8,112.2,115.2,112.4,114.7,117.9,119.7,123.0,126.1,128.0,130.9,136.4,142.6,146.0,154.926
WPU80110301                   ,WPU80110301                   ,"PPI Commodity data for Construction (partial)-New office building construction, not seasonally adjusted",Index base: 2006.06 = 100,2006-M06,2022-M01,,,107.8,112.2,115.2,112.4,114.7,117.9,119.7,123.0,126.1,128.0,130.9,136.4,142.6,146.0,154.926
WPU801104                     ,WPU801104                     ,"PPI Commodity data for Construction (partial)-New industrial building construction, not seasonally adjusted",Index base: 2007.06 = 100,2007-M06,2022-M01,,,,105.5,107.8,105.3,107.2,110.1,112.7,116.3,118.6,119.3,122.3,128.1,135.7,139.8,147.058
WPU80110401                   ,WPU80110401                   ,"PPI Commodity data for Construction (partial)-New industrial building construction, not seasonally adjusted",Index base: 2007.06 = 100,2007-M06,2022-M01,,,,105.5,107.8,105.3,107.2,110.1,112.7,116.3,118.6,119.3,122.3,128.1,135.7,139.8,147.058
WPU801105                     ,WPU801105                     ,"PPI Commodity data for Construction (partial)-New health care building construction, not seasonally adjusted",Index base: 2012.06 = 100,2012-M06,2022-M01,,,,,,,,,101.4,104.5,105.3,105.9,107.4,111.8,116.8,119.6,125.374
WPU80110501                   ,WPU80110501                   ,"PPI Commodity data for Construction (partial)-New health care building construction, not seasonally adjusted",Index base: 2012.06 = 100,2012-M06,2022-M01,,,,,,,,,101.4,104.5,105.3,105.9,107.4,111.8,116.8,119.6,125.374
WPU802                        ,WPU802                        ,"PPI Commodity data for Construction (partial)-Maintenance and repair of nonresidential buildings (partial), not seasonally adjusted",Index base: 2009.04 = 100,2009-M04,2022-M01,,,,,,102.2,103.5,105.0,106.8,109.1,111.3,112.9,115.4,117.4,120.6,121.1,126.968
WPU8021                       ,WPU8021                       ,"PPI Commodity data for Construction (partial)-Maintenance and repair of nonresidential buildings (partial), not seasonally adjusted",Index base: 2009.04 = 100,2009-M04,2022-M01,,,,,,102.2,103.5,105.0,106.8,109.1,111.3,112.9,115.4,117.4,120.6,121.1,126.968
WPU802101                     ,WPU802101                     ,"PPI Commodity data for Construction (partial)-Maintenance and repair of nonresidential buildings (partial), not seasonally adjusted",Index base: 2009.04 = 100,2009-M04,2022-M01,,,,,,102.2,103.5,105.0,106.8,109.1,111.3,112.9,115.4,117.4,120.6,121.1,126.968
WPU80210101                   ,WPU80210101                   ,"PPI Commodity data for Construction (partial)-Maintenance and repair of nonresidential buildings (partial), not seasonally adjusted",Index base: 2009.04 = 100,2009-M04,2022-M01,,,,,,102.2,103.5,105.0,106.8,109.1,111.3,112.9,115.4,117.4,120.6,121.1,126.968
