index,Index,Label,unit,start,last,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
WPU10                         ,WPU10                         ,"PPI Commodity data for Metals and metal products, not seasonally adjusted",Index base: 1982 = 100,1926-M01,2021-M11,13.7,12.9,12.9,13.3,12.0,10.8,9.9,10.2,11.2,11.2,11.4,13.1,12.6,12.5,12.5,12.8,13.0,12.9,12.9,13.1,14.7,18.2,20.7,20.9,22.0,24.5,24.5,25.3,25.5,27.2,29.6,30.2,30.0,30.6,30.6,30.5,30.2,30.3,31.1,32.0,32.8,33.2,34.0,36.0,38.7,39.4,40.9,44.0,57.0,61.5,65.0,69.3,75.3,86.0,95.0,99.6,100.0,101.8,104.8,104.4,103.2,107.1,118.7,124.1,122.9,120.2,119.2,119.2,124.8,134.5,131.0,131.8,127.8,124.6,128.1,125.4,125.9,129.2,149.6,160.8,181.6,193.5,213.0,186.8,207.6,225.9,219.9,213.5,215.0,200.3,194.3,207.8,223.6,221.3,219.9
WPU101                        ,WPU101                        ,"PPI Commodity data for Metals and metal products-Iron and steel, not seasonally adjusted",Index base: 1982 = 100,1926-M01,2021-M11,11.3,10.6,10.6,10.7,10.1,9.4,9.0,8.9,9.8,9.8,9.9,11.1,11.1,10.8,10.7,10.9,11.0,11.0,11.0,11.2,12.4,15.1,17.6,17.8,19.1,20.8,21.0,22.1,22.4,23.7,26.1,28.0,28.4,29.0,28.6,28.7,28.3,28.2,28.6,28.9,29.1,29.5,30.1,31.6,34.0,35.9,37.9,40.2,52.7,59.3,63.7,68.0,74.8,83.6,90.0,98.5,100.0,101.3,105.3,104.8,101.1,104.6,115.7,119.1,117.2,114.1,111.5,116.0,122.0,128.8,125.8,126.5,122.5,114.0,116.6,109.7,114.1,121.5,162.4,171.1,186.5,201.1,246.4,184.0,223.5,253.2,240.7,226.4,232.1,195.6,187.0,212.0,237.8,222.2,208.3
WPU1011                       ,WPU1011                       ,"PPI Commodity data for Metals and metal products-Iron ores, not seasonally adjusted",Index base: 1982 = 100,1947-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,20.1,21.9,26.0,27.9,30.0,31.2,34.8,35.7,36.3,39.2,41.2,40.1,38.5,38.7,39.1,37.5,37.2,36.2,36.1,36.1,35.9,35.2,35.2,35.9,37.0,37.0,38.3,44.2,55.4,61.3,66.8,69.9,77.8,87.8,96.3,100.0,101.2,101.2,97.5,91.5,84.2,82.8,82.8,83.3,83.6,83.7,82.7,82.7,91.8,96.7,96.3,95.4,94.9,94.8,96.2,95.2,95.9,98.2,116.9,132.5,128.8,142.5,145.0,147.1,165.4,180.8,127.0,135.4,132.0,124.3,131.9,136.8,145.5,148.7
WPU101105                     ,WPU101105                     ,"PPI Commodity data for Metals and metal products-Iron ores, not seasonally adjusted",Index base: 1997.12 = 100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.3,99.7,99.6,101.0,100.0,100.8,103.2,122.9,139.2,135.4,149.7,152.3,154.6,173.8,190.0,133.4,142.3,138.7,130.6,138.6,143.7,152.9,156.2
WPU10110555                   ,WPU10110555                   ,"PPI Commodity data for Metals and metal products-Iron ores, not seasonally adjusted",Index base: 1997.12 = 100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.3,99.7,99.6,101.0,100.0,100.8,103.2,122.9,139.2,135.4,149.7,152.3,154.6,173.8,190.0,133.4,142.3,138.7,130.6,138.6,143.7,152.9,156.2
WPU1012                       ,WPU1012                       ,"PPI Commodity data for Metals and metal products-Iron and steel scrap, not seasonally adjusted",Index base: 1982 = 100,1947-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,55.4,69.9,46.2,59.8,67.9,65.3,58.9,45.6,59.8,75.7,66.8,53.6,57.3,47.3,50.1,40.9,39.4,47.0,48.3,45.8,42.9,39.9,47.6,59.6,49.1,52.3,80.7,151.6,105.4,111.2,99.2,113.6,146.8,140.9,140.6,100.0,107.4,123.7,112.6,109.6,128.4,177.1,173.7,166.0,147.6,139.2,172.5,192.9,202.7,191.1,188.9,165.0,139.2,142.1,120.0,141.4,182.6,323.7,289.8,335.2,406.8,566.8,338.1,541.1,646.8,566.0,526.7,543.1,342.8,328.5,440.4,523.5,413.3,406.6
WPU101211                     ,WPU101211                     ,"PPI Commodity data for Metals and metal products-Carbon steel scrap, not seasonally adjusted",Index base: 1986.12 = 100,1986-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.6,162.6,157.9,154.4,136.3,129.2,166.4,185.3,191.2,182.8,181.2,158.3,133.5,136.3,115.1,135.6,175.1,315.8,277.2,317.2,364.2,519.5,303.4,487.4,586.8,514.4,480.3,494.9,311.2,298.9,401.6,481.3,379.3,372.7
WPU10121191                   ,WPU10121191                   ,"PPI Commodity data for Metals and metal products-Heavy melting scrap, not seasonally adjusted",Index base: 1996.06 = 100,1996-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5,85.4,71.2,72.6,59.8,70.0,90.8,152.2,142.4,170.6,198.7,271.8,169.7,270.1,331.9,303.3,288.2,292.9,181.7,180.7,236.7,291.5,229.7,221.2
WPU10121192                   ,WPU10121192                   ,"PPI Commodity data for Metals and metal products-Carbon steel scrap bundles, not seasonally adjusted",Index base: 1996.06 = 100,1996-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6,82.8,70.8,71.0,60.8,73.9,95.8,194.9,152.5,172.1,192.8,314.0,162.0,265.9,309.7,263.5,229.8,229.1,155.8,149.9,218.3,247.6,195.3,189.3
WPU10121193                   ,WPU10121193                   ,"PPI Commodity data for Metals and metal products-Shredded carbon steel scrap, not seasonally adjusted",Index base: 1996.06 = 100,1996-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.7,84.7,72.2,71.9,60.6,69.1,92.0,154.7,145.9,156.5,183.8,258.7,155.5,224.1,282.4,258.9,240.1,238.9,149.9,148.4,188.6,226.7,182.0,180.0
