index,Index,Label,unit,start,last,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
WPU06                         ,WPU06                         ,"PPI Commodity data for Chemicals and allied products, not seasonally adjusted",Index base: 1982 = 100,1933-M01,2021-M11,,,,,,,,16.2,17.0,17.7,17.8,18.6,17.7,17.6,17.9,19.5,21.7,21.9,22.2,22.3,24.1,32.1,32.8,30.0,30.4,34.8,33.0,33.4,33.8,33.7,33.9,34.6,34.9,34.8,34.8,34.5,33.9,33.5,33.6,33.9,34.0,34.2,34.1,34.2,35.0,35.6,35.6,37.6,50.2,62.0,64.0,65.9,68.0,76.0,89.0,98.4,100.0,100.3,102.9,103.7,102.6,106.4,116.3,123.0,123.6,125.6,125.9,128.2,132.1,142.5,142.1,143.6,143.9,144.2,151.0,151.8,151.9,161.8,174.4,192.0,205.8,214.8,245.5,229.4,246.6,275.1,276.6,279.2,280.9,266.0,265.1,280.8,295.1,289.1,279.8
WPU061                        ,WPU061                        ,"PPI Commodity data for Chemicals and allied products-Industrial chemicals, not seasonally adjusted",Index base: 1982 = 100,1926-M13,2021-M11,19.9,19.8,19.6,19.8,19.3,17.9,17.7,17.3,17.3,17.6,17.5,17.5,17.2,16.8,16.9,17.4,19.2,19.2,19.1,19.1,19.8,23.3,24.7,22.7,23.8,28.4,27.1,27.7,27.7,27.9,28.6,29.1,29.1,29.2,29.3,28.6,28.1,27.6,27.4,27.7,27.9,28.4,28.6,28.4,28.6,28.9,28.7,29.3,43.0,58.7,62.2,63.5,64.0,74.9,91.9,103.1,100.0,97.3,96.8,96.0,91.5,95.5,106.8,114.8,113.2,111.8,109.3,110.4,114.3,128.4,126.7,126.4,121.4,118.9,129.1,128.4,127.3,141.7,162.8,188.5,212.4,226.4,274.6,234.1,269.2,324.7,306.9,301.2,288.9,242.2,228.1,254.0,274.0,252.6,226.3
WPU0613                       ,WPU0613                       ,"PPI Commodity data for Chemicals and allied products-Basic inorganic chemicals, not seasonally adjusted",Index base: 1982 = 100,1973-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2,55.0,59.2,61.1,63.2,66.6,77.6,93.1,100.0,95.1,94.3,96.7,95.3,94.5,100.9,108.9,111.7,112.5,109.8,108.9,110.4,117.2,119.3,116.8,117.9,108.9,108.9,118.5,115.9,121.1,125.5,141.4,173.8,186.0,261.4,271.9,253.2,300.9,298.2,281.1,270.3,270.0,252.1,256.8,276.9,279.6,272.3
WPU061302                     ,WPU061302                     ,"PPI Commodity data for Chemicals and allied products-Inorganic chemicals, other than alkalies and chlorine, not seasonally adjusted",Index base: 1982 = 100,1973-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7,52.1,56.3,59.5,63.0,67.8,78.8,92.9,100.0,98.1,98.7,101.2,100.9,99.4,104.0,111.1,114.7,115.8,114.2,114.2,114.5,116.3,119.3,119.3,117.4,113.1,112.1,116.1,116.4,119.2,123.1,134.8,166.3,181.5,261.9,270.0,259.6,311.3,307.0,286.4,275.3,275.2,253.7,254.9,272.8,280.5,275.0
WPU06130209                   ,WPU06130209                   ,"PPI Commodity data for Chemicals and allied products-Aluminum compounds, not seasonally adjusted",Index base: 1995.06 = 100,1995-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.8,87.5,81.7,78.0,91.1,91.8,92.3,93.1,102.7,120.5,125.4,127.7,147.9,135.2,126.5,138.9,140.5,137.0,138.0,137.7,,125.0,134.1,137.9,138.3
WPU0613020T                   ,WPU0613020T                   ,"PPI Commodity data for Chemicals and allied products-Inorganic acids, inc. hydrochloric, sulfuric acid and other, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.3,79.2,92.4,111.8,108.8,98.8,98.2,88.4,85.2,105.0,106.9,80.0
WPU0613020T1                  ,WPU0613020T1                  ,"PPI Commodity data for Chemicals and allied products-Sulfuric acid, not seasonally adjusted",Index base: 1987.06 = 100,1987-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.5,111.0,111.5,113.3,107.8,103.4,102.8,105.3,107.3,108.3,108.1,101.5,96.6,107.0,124.3,134.4,150.8,167.1,169.2,172.1,236.2,,,151.9,155.4,138.6,127.0,139.5,129.7,124.5,139.3,143.1,130.4
WPU0613020T2                  ,WPU0613020T2                  ,"PPI Commodity data for Chemicals and allied products-Other inorganic acids, inc. hydrochloric, not seasonally adjusted",Index base: 2002.06 = 100,2002-M06,2008-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.3,91.2,100.8,103.0,110.7,131.1,,,,,,,,,,,,
WPU06130213                   ,WPU06130213                   ,"PPI Commodity data for Chemicals and allied products-Lime, not seasonally adjusted",Index base: 1982 = 100,1974-M05,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7,52.3,60.0,63.3,69.6,75.6,84.4,92.2,100.0,99.2,96.6,97.5,96.3,97.9,97.9,99.7,104.0,105.1,105.9,106.1,106.6,108.7,112.2,113.8,116.3,116.6,116.0,118.8,122.3,124.5,130.0,142.1,154.5,164.4,175.8,209.2,211.6,218.6,228.0,230.4,236.5,240.8,237.7,240.8,247.7,259.2,267.7
WPU06130217                   ,WPU06130217                   ,"PPI Commodity data for Chemicals and allied products-Potassium & sodium compounds, ex. bleaches, not seasonally adjusted",Index base: 2001.06 = 100,2001-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.3,97.7,100.1,112.0,134.0,137.6,208.1,276.3,252.2,274.8,281.4,273.5,280.9,283.2,274.3,277.3,285.6,297.6,305.4
