UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
C,7,2013,9,4104437,2094266,2010171,1547450,1475132,303986,295442,32693,32025,104074,104315,5827,5602,100236,97655,1639163,1564462,355398,346167,54895,53690,141429,140190,13240,12781,1592691,1525769,1112451,1055511,278849,271073,17888,17313,98689,99243,4034,3869,80780,78760,1186692,1127803,321174,312905,32728,31925,130094,129404,9566,9174,501575,484402,434999,419621,25137,24369,14805,14712,5385,5072,1793,1733,19456,18895,452471,436659,34224,33262,22167,21765,11335,10786,3674,3607
C,7,2013,10,4074286,2077929,1996357,1538660,1468375,302030,294109,32432,31352,103517,103727,5786,5577,95504,93217,1625775,1553563,350820,341778,54272,52803,138827,138076,13043,12393,1586143,1520038,1111651,1054707,277421,270606,17627,17004,98300,98663,3991,3884,77153,75174,1182310,1123709,317693,309915,32327,31467,128055,127515,9410,9034,491786,476319,427009,413668,24609,23503,14805,14348,5217,5064,1795,1693,18351,18043,443465,429854,33127,31863,21945,21336,10772,10561,3633,3359
C,7,2013,11,4057122,2069297,1987825,1533123,1463390,307394,298976,32285,31077,99150,98652,5622,5435,91723,90295,1616775,1545528,354115,345593,53852,52620,132726,131110,12547,12199,1584127,1518325,1111130,1055205,283193,275523,17802,17142,94142,93834,3922,3763,73938,72858,1178823,1121803,321820,314036,32262,31716,122295,121053,9159,8864,485170,469500,421993,408185,24201,23453,14483,13935,5008,4818,1700,1672,17785,17437,437952,423725,32295,31557,21590,20904,10431,10057,3388,3335
C,7,2013,12,4157448,2122002,2035446,1569877,1498044,318768,309432,32446,31586,103034,101538,5633,5586,92244,89260,1653752,1579323,365597,355148,54624,53003,136753,133698,12660,12414,1633665,1563151,1144577,1086689,294461,286093,18224,17616,98049,96822,3982,3849,74372,72082,1212380,1152577,333080,323961,33344,32217,126425,123884,9256,8991,488337,472295,425300,411355,24307,23339,14222,13970,4985,4716,1651,1737,17872,17178,441372,426746,32517,31187,21280,20786,10328,9814,3404,3423
C,7,2013,13,4219450,2157355,2062095,1597660,1518427,328859,317946,33431,32105,100975,99677,5866,5518,90564,88422,1680129,1598551,374730,363538,56063,54099,133296,130950,12739,12256,1668136,1591376,1171221,1108596,304593,294420,18961,18058,96010,94952,4142,3903,73209,71447,1238097,1173558,342534,332146,34449,33207,123292,121190,9362,8986,489219,470719,426439,409831,24266,23526,14470,14047,4965,4725,1724,1615,17355,16975,442032,424993,32196,31392,21614,20892,10004,9760,3377,3270
C,7,2013,14,4148681,2120660,2028021,1576902,1500445,321046,310546,32319,31408,96825,95120,5730,5339,87838,85163,1656701,1577633,365222,354047,54552,53265,128128,124955,12742,11898,1648342,1571875,1165176,1103119,297451,287796,18493,17838,91938,90401,4028,3802,71256,68919,1230145,1165775,334179,324024,34009,33091,118267,115299,9362,8790,472318,456146,411726,397326,23595,22750,13826,13570,4887,4719,1702,1537,16582,16244,426556,411858,31043,30023,20543,20174,9861,9656,3380,3108
C,7,2013,15,4148777,2121065,2027712,1576689,1498623,323265,312595,32307,31471,98433,97051,5669,5368,84702,82604,1653420,1573585,365581,354378,54286,52993,128327,125819,12270,11650,1653783,1578775,1168663,1107033,300130,290346,18442,18074,93715,92359,4069,3821,68764,67142,1231163,1168185,335430,325174,33792,33267,118858,116540,9138,8612,467282,448937,408026,391590,23135,22249,13865,13397,4718,4692,1600,1547,15938,15462,422257,405400,30151,29204,20494,19726,9469,9279,3132,3038
C,7,2013,16,4160125,2125197,2034928,1582066,1506163,322919,313060,32162,31016,100507,98785,5587,5212,81956,80692,1656323,1579037,363140,353297,54145,52818,129634,126962,12061,11577,1659955,1589968,1175810,1117718,299962,291333,18297,17761,95784,94185,3975,3721,66127,65250,1235965,1176769,333175,324705,33626,33082,120222,117849,8900,8587,465242,444960,406256,388445,22957,21727,13865,13255,4723,4600,1612,1491,15829,15442,420358,402268,29965,28592,20519,19736,9412,9113,3161,2990
C,7,2013,17,4194180,2147623,2046557,1601566,1516270,323585,314576,32376,30800,103925,101202,5730,5384,80441,78325,1674337,1586978,362412,352989,54509,52543,132679,128882,12131,11704,1682295,1603280,1194447,1128696,301053,293115,18487,17668,99281,96602,4100,3811,64927,63388,1253371,1186092,333144,324903,33931,32991,123493,119889,9030,8734,465328,443277,407119,387574,22532,21461,13889,13132,4644,4600,1630,1573,15514,14937,420966,400886,29268,28086,20578,19552,9186,8993,3101,2970
C,7,2013,18,4276397,2189261,2087136,1624942,1540638,340267,329423,32969,31511,106941,103290,5672,5589,78470,76685,1695439,1609346,377681,366931,55091,53245,135173,130342,12224,11958,1717769,1640056,1212253,1149768,317140,307437,18967,18114,102083,98737,4024,3944,63302,62056,1269205,1205512,347935,338388,34561,33632,125992,121501,9068,8908,471492,447080,412689,390870,23127,21986,14002,13397,4858,4553,1648,1645,15168,14629,426234,403834,29746,28543,20530,19613,9181,8841,3156,3050
C,7,2013,19,4332658,2208022,2124636,1630287,1560434,353171,344497,33312,32321,110977,106398,5542,5778,74733,75208,1697109,1627571,388211,380510,54629,54381,138420,133023,11974,12174,1733458,1675035,1214070,1167232,329815,322286,19360,18761,106308,101772,3917,4159,59988,60825,1267755,1221624,358545,352037,34271,34567,129457,124195,8892,9113,474564,449601,416217,393202,23356,22211,13952,13560,4669,4626,1625,1619,14745,14383,429354,405947,29666,28473,20358,19814,8963,8828,3082,3061
C,7,2013,20,4391070,2239995,2151075,1650180,1577938,364368,353051,34538,32984,113806,109135,5725,5813,71378,72154,1713834,1642143,397094,386799,55329,54926,140358,134893,11892,12074,1760064,1702333,1229211,1185058,340492,330928,19961,19433,109138,104483,3988,4186,57274,58245,1280350,1236964,367208,358555,34439,35159,131726,126330,8834,9084,479931,448742,420969,392880,23876,22123,14577,13551,4668,4652,1737,1627,14104,13909,433484,405179,29886,28244,20890,19767,8632,8563,3058,2990
C,7,2013,21,4505018,2291033,2213985,1689242,1623640,369990,362962,35851,33688,120673,115895,5991,5975,69286,71825,1750631,1687134,400505,395538,56739,55570,147037,142554,12178,12464,1801890,1758137,1260289,1225519,345785,339477,20637,20046,115805,111049,4097,4291,55277,57755,1309223,1276654,370317,365906,35246,35685,138242,133643,8989,9301,489143,455848,428953,398121,24205,23485,15214,13642,4868,4846,1894,1684,14009,14070,441408,410480,30188,29632,21493,19885,8795,8911,3189,3163
C,7,2013,22,4585787,2318969,2266818,1709576,1660180,370845,370297,35689,33279,130686,126737,6644,6372,65529,69953,1766904,1721390,398943,401871,55434,54526,156719,153463,12997,13046,1832676,1816631,1284562,1268730,345877,345921,20280,19847,125485,121532,4673,4614,51799,55987,1329737,1317677,368178,371336,33873,34912,147617,144149,9674,9912,486293,450187,425014,391450,24968,24376,15409,13432,5201,5205,1971,1758,13730,13966,437167,403713,30765,30535,21561,19614,9102,9314,3323,3134
C,7,2013,23,4581555,2312935,2268620,1711419,1663146,362506,366893,34960,32403,135905,133568,6919,6614,61226,65996,1765068,1720964,388076,396020,53550,52876,160606,158740,12818,12862,1829549,1826874,1288207,1278975,338009,342474,19546,19426,130712,128580,4817,4838,48258,52581,1330345,1324943,358132,365680,32354,33842,151729,150003,9448,9785,483386,441746,423212,384171,24497,24419,15414,12977,5193,4988,2102,1776,12968,13415,434723,396021,29944,30340,21196,19034,8877,8737,3370,3077
C,7,2013,24,4404932,2223454,2181478,1653032,1600241,336951,345067,33469,30604,136549,137817,6652,6350,56801,61399,1702704,1653843,360135,371612,51266,49677,159332,161795,12272,12307,1762007,1763913,1248953,1236713,313825,322004,18448,18307,131675,132922,4707,4699,44399,49268,1287658,1279610,331715,343261,30527,31910,151073,153462,9195,9442,461447,417565,404079,363528,23126,23063,15021,12297,4874,4895,1945,1651,12402,12131,415046,374233,28420,28351,20739,17767,8259,8333,3077,2865
