Descriptions:,Unit:,Multiplier:,Currency:,Unique Identifier:,Series Name:
Aerospace and miscellaneous transportation eq.  (NAICS = 3364-9); s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G3364T9.S,IP.G3364T9.S
Aerospace and miscellaneous transportation eq.  (NAICS = 3364-9); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G3364T9.N,IP.G3364T9.N
Furniture and related product  (NAICS = 337); s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G337.S,IP.G337.S
Furniture and related product  (NAICS = 337); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G337.N,IP.G337.N
Miscellaneous  (NAICS = 339); s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G339.S,IP.G339.S
Miscellaneous  (NAICS = 339); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G339.N,IP.G339.N
Nondurable manufacturing (NAICS); s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.GMFN.S,IP.GMFN.S
Nondurable manufacturing (NAICS); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.GMFN.N,IP.GMFN.N
"Food, beverage, and tobacco  (NAICS = 311,2); s.a. IP",Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G311A2.S,IP.G311A2.S
"Food, beverage, and tobacco  (NAICS = 311,2); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G311A2.N,IP.G311A2.N
"Textiles and products  (NAICS = 313,4); s.a. IP",Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G313A4.S,IP.G313A4.S
"Textiles and products  (NAICS = 313,4); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G313A4.N,IP.G313A4.N
"Apparel and leather goods  (NAICS = 315,6); s.a. IP",Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G315A6.S,IP.G315A6.S
"Apparel and leather goods  (NAICS = 315,6); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G315A6.N,IP.G315A6.N
Paper  (NAICS = 322); s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G322.S,IP.G322.S
Paper  (NAICS = 322); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G322.N,IP.G322.N
Printing and related support activities  (NAICS = 323); s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G323.S,IP.G323.S
Printing and related support activities  (NAICS = 323); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G323.N,IP.G323.N
Petroleum and coal products  (NAICS = 324); s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G324.S,IP.G324.S
Petroleum and coal products  (NAICS = 324); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G324.N,IP.G324.N
Chemical  (NAICS = 325); s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G325.S,IP.G325.S
Chemical  (NAICS = 325); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G325.N,IP.G325.N
Plastics and rubber products  (NAICS = 326); s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G326.S,IP.G326.S
Plastics and rubber products  (NAICS = 326); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G326.N,IP.G326.N
Other manufacturing; s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.GMFO.S,IP.GMFO.S
Other manufacturing; n.s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.GMFO.N,IP.GMFO.N
Mining  (NAICS = 21); s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G21.S,IP.G21.S
Mining  (NAICS = 21); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G21.N,IP.G21.N
"Electric and gas utilities  (NAICS = 2211,2); s.a. IP",Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G2211A2.S,IP.G2211A2.S
"Electric and gas utilities  (NAICS = 2211,2); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G2211A2.N,IP.G2211A2.N
"Electric power generation, transmission, and distribution  (NAICS = 2211); s.a. IP",Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G2211.S,IP.G2211.S
"Electric power generation, transmission, and distribution  (NAICS = 2211); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G2211.N,IP.G2211.N
Natural gas distribution  (NAICS = 2212); s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G2212.S,IP.G2212.S
Natural gas distribution  (NAICS = 2212); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G2212.N,IP.G2212.N
Crude processing (capacity); s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.B5610C.S,IP.B5610C.S
Crude processing (capacity); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.B5610C.N,IP.B5610C.N
Primary & semifinished processing (capacity); s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.B562A3C.S,IP.B562A3C.S
Primary & semifinished processing (capacity); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.B562A3C.N,IP.B562A3C.N
Finished processing (capacity); s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.B5640C.S,IP.B5640C.S
Finished processing (capacity); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.B5640C.N,IP.B5640C.N
Durable manufacturing (NAICS); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.GMFD.S,IP.GMFD.S
Durable manufacturing (NAICS); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.GMFD.N,IP.GMFD.N
Motor vehicles and parts  (NAICS = 3361-3); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3361T3.S,IP.G3361T3.S
Motor vehicles and parts  (NAICS = 3361-3); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3361T3.N,IP.G3361T3.N
Aerospace and miscellaneous transportation eq.  (NAICS = 3364-9); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3364T9.S,IP.G3364T9.S
Aerospace and miscellaneous transportation eq.  (NAICS = 3364-9); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3364T9.N,IP.G3364T9.N
Wood product  (NAICS = 321); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G321.S,IP.G321.S
Wood product  (NAICS = 321); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G321.N,IP.G321.N
Sawmills and wood preservation  (NAICS = 3211); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3211.S,IP.N3211.S
Sawmills and wood preservation  (NAICS = 3211); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3211.N,IP.N3211.N
"Plywood and misc. wood products  (NAICS = 3212,9); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3212A9.S,IP.G3212A9.S
"Plywood and misc. wood products  (NAICS = 3212,9); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3212A9.N,IP.G3212A9.N
"Veneer, plywood, and engineered wood product  (NAICS = 3212); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3212.S,IP.G3212.S
"Veneer, plywood, and engineered wood product  (NAICS = 3212); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3212.N,IP.G3212.N
"Veneer and plywood  (NAICS = 321211,2); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G321211A2.S,IP.G321211A2.S
"Veneer and plywood  (NAICS = 321211,2); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G321211A2.N,IP.G321211A2.N
Reconstituted wood product  (NAICS = 321219); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G321219.S,IP.G321219.S
Reconstituted wood product  (NAICS = 321219); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G321219.N,IP.G321219.N
Other wood product  (NAICS = 3219); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3219.S,IP.G3219.S
Other wood product  (NAICS = 3219); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3219.N,IP.G3219.N
Millwork  (NAICS = 32191); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G32191.S,IP.G32191.S
Millwork  (NAICS = 32191); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G32191.N,IP.G32191.N
Wood container and pallet  (NAICS = 32192); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N32192.S,IP.N32192.S
Wood container and pallet  (NAICS = 32192); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N32192.N,IP.N32192.N
All other wood product  (NAICS = 32199); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G32199.S,IP.G32199.S
All other wood product  (NAICS = 32199); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G32199.N,IP.G32199.N
Manufactured home (mobile home)  (NAICS = 321991); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N321991.S,IP.N321991.S
Manufactured home (mobile home)  (NAICS = 321991); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N321991.N,IP.N321991.N
Nonmetallic mineral product  (NAICS = 327); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G327.S,IP.G327.S
Nonmetallic mineral product  (NAICS = 327); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G327.N,IP.G327.N
