Descriptions:,Unit:,Multiplier:,Currency:,Unique Identifier:,Series Name:
Fabricated metal product  (NAICS = 332); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G332.S,IP.G332.S
Fabricated metal product  (NAICS = 332); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G332.N,IP.G332.N
Forging and stamping  (NAICS = 3321); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3321.S,IP.N3321.S
Forging and stamping  (NAICS = 3321); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3321.N,IP.N3321.N
Cutlery and handtool  (NAICS = 3322); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3322.S,IP.N3322.S
Cutlery and handtool  (NAICS = 3322); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3322.N,IP.N3322.N
Architectural and structural metals  (NAICS = 3323); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3323.S,IP.N3323.S
Architectural and structural metals  (NAICS = 3323); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3323.N,IP.N3323.N
Hardware  (NAICS = 3325); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3325.S,IP.G3325.S
Hardware  (NAICS = 3325); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3325.N,IP.G3325.N
Spring and wire product  (NAICS = 3326); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3326.S,IP.N3326.S
Spring and wire product  (NAICS = 3326); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3326.N,IP.N3326.N
"Machine shops; turned product; and screw, nut, and bolt  (NAICS = 3327); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3327.S,IP.G3327.S
"Machine shops; turned product; and screw, nut, and bolt  (NAICS = 3327); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3327.N,IP.G3327.N
"Coating, engraving, heat treating, and allied activities  (NAICS = 3328); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3328.S,IP.N3328.S
"Coating, engraving, heat treating, and allied activities  (NAICS = 3328); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3328.N,IP.N3328.N
Other fabricated metal product  (NAICS = 3329); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3329.S,IP.G3329.S
Other fabricated metal product  (NAICS = 3329); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3329.N,IP.G3329.N
Ball and roller bearing  (NAICS = 332991); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G332991.S,IP.G332991.S
Ball and roller bearing  (NAICS = 332991); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G332991.N,IP.G332991.N
Machinery  (NAICS = 333); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G333.S,IP.G333.S
Machinery  (NAICS = 333); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G333.N,IP.G333.N
"Agriculture, construction, and mining machinery  (NAICS = 3331); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3331.S,IP.G3331.S
"Agriculture, construction, and mining machinery  (NAICS = 3331); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3331.N,IP.G3331.N
Agricultural implement  (NAICS = 33311); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G33311.S,IP.G33311.S
Agricultural implement  (NAICS = 33311); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G33311.N,IP.G33311.N
Farm machinery and equipment  (NAICS = 333111); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G333111.S,IP.G333111.S
Farm machinery and equipment  (NAICS = 333111); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G333111.N,IP.G333111.N
Construction machinery  (NAICS = 33312); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G33312.S,IP.G33312.S
Construction machinery  (NAICS = 33312); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G33312.N,IP.G33312.N
Mining and oil and gas field machinery  (NAICS = 33313); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N33313.S,IP.N33313.S
Mining and oil and gas field machinery  (NAICS = 33313); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N33313.N,IP.N33313.N
Industrial machinery  (NAICS = 3332); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3332.S,IP.G3332.S
Industrial machinery  (NAICS = 3332); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3332.N,IP.G3332.N
"Commercial and service industry machinery and other general purpose machinery  (NAICS = 3333,9); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3333A9.S,IP.G3333A9.S
"Commercial and service industry machinery and other general purpose machinery  (NAICS = 3333,9); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3333A9.N,IP.G3333A9.N
"HVAC, metalworking, and power transmission machinery  (NAICS = 3334-6); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3334T6.S,IP.G3334T6.S
"HVAC, metalworking, and power transmission machinery  (NAICS = 3334-6); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3334T6.N,IP.G3334T6.N
"Ventilation, heating, air-conditioning, and commercial refrigeration equipment  (NAICS = 3334); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3334.S,IP.G3334.S
"Ventilation, heating, air-conditioning, and commercial refrigeration equipment  (NAICS = 3334); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3334.N,IP.G3334.N
Metalworking machinery  (NAICS = 3335); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3335.S,IP.G3335.S
Metalworking machinery  (NAICS = 3335); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3335.N,IP.G3335.N
"Engine, turbine, and power transmission equipment  (NAICS = 3336); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3336.S,IP.G3336.S
"Engine, turbine, and power transmission equipment  (NAICS = 3336); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3336.N,IP.G3336.N
Computer and electronic product  (NAICS = 334); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G334.S,IP.G334.S
Computer and electronic product  (NAICS = 334); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G334.N,IP.G334.N
Computer and peripheral equipment  (NAICS = 3341); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3341.S,IP.G3341.S
Computer and peripheral equipment  (NAICS = 3341); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3341.N,IP.G3341.N
Communications equipment  (NAICS = 3342); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3342.S,IP.G3342.S
Communications equipment  (NAICS = 3342); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3342.N,IP.G3342.N
Audio and video equipment  (NAICS = 3343); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3343.S,IP.G3343.S
Audio and video equipment  (NAICS = 3343); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3343.N,IP.G3343.N
Semiconductor and other electronic component  (NAICS = 3344); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3344.S,IP.G3344.S
Semiconductor and other electronic component  (NAICS = 3344); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3344.N,IP.G3344.N
"Navigational, measuring, electromedical, and control instruments  (NAICS = 3345); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3345.S,IP.G3345.S
"Navigational, measuring, electromedical, and control instruments  (NAICS = 3345); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3345.N,IP.G3345.N
"Electrical equipment, appliance, and component  (NAICS = 335); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G335.S,IP.G335.S
"Electrical equipment, appliance, and component  (NAICS = 335); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G335.N,IP.G335.N
Household appliance  (NAICS = 3352); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3352.S,IP.G3352.S
Household appliance  (NAICS = 3352); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3352.N,IP.G3352.N
Small electrical appliance  (NAICS = 33521); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G33521.S,IP.G33521.S
Small electrical appliance  (NAICS = 33521); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G33521.N,IP.G33521.N
Major appliance  (NAICS = 33522); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G33522.S,IP.G33522.S
Major appliance  (NAICS = 33522); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G33522.N,IP.G33522.N
"Electrical equipment except appliances  (NAICS = 3351,3,9); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G335@2.S,IP.G335@2.S
"Electrical equipment except appliances  (NAICS = 3351,3,9); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G335@2.N,IP.G335@2.N
Electric lighting equipment  (NAICS = 3351); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3351.S,IP.G3351.S
Electric lighting equipment  (NAICS = 3351); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3351.N,IP.G3351.N
Electrical equipment  (NAICS = 3353); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3353.S,IP.G3353.S
Electrical equipment  (NAICS = 3353); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3353.N,IP.G3353.N
Other electrical equipment and component  (NAICS = 3359); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3359.S,IP.G3359.S
Other electrical equipment and component  (NAICS = 3359); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3359.N,IP.G3359.N
Battery  (NAICS = 33591); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G33591.S,IP.G33591.S
Battery  (NAICS = 33591); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G33591.N,IP.G33591.N
Communication and energy wire and cable  (NAICS = 33592); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N33592.S,IP.N33592.S
Communication and energy wire and cable  (NAICS = 33592); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N33592.N,IP.N33592.N
"Other electrical equipment  (NAICS = 33593,9); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G33593T9.S,IP.G33593T9.S
"Other electrical equipment  (NAICS = 33593,9); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G33593T9.N,IP.G33593T9.N
Transportation equipment  (NAICS = 336); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G336.S,IP.G336.S
Transportation equipment  (NAICS = 336); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G336.N,IP.G336.N
Motor vehicle  (NAICS = 3361); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3361.S,IP.G3361.S
Motor vehicle  (NAICS = 3361); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3361.N,IP.G3361.N
Automobile and light duty motor vehicle  (NAICS = 33611); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G33611.S,IP.G33611.S
Automobile and light duty motor vehicle  (NAICS = 33611); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G33611.N,IP.G33611.N
Automobile  (NAICS = 336111); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G336111.S,IP.G336111.S
Automobile  (NAICS = 336111); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G336111.N,IP.G336111.N
Light truck and utility vehicle  (NAICS = 336112); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G336112.S,IP.G336112.S
Light truck and utility vehicle  (NAICS = 336112); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G336112.N,IP.G336112.N
Heavy duty truck  (NAICS = 33612); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G33612.S,IP.G33612.S
Heavy duty truck  (NAICS = 33612); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G33612.N,IP.G33612.N
Motor vehicle body and trailer  (NAICS = 3362); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3362.S,IP.G3362.S
Motor vehicle body and trailer  (NAICS = 3362); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3362.N,IP.G3362.N
Truck trailer  (NAICS = 336212); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G336212.S,IP.G336212.S
Truck trailer  (NAICS = 336212); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G336212.N,IP.G336212.N
Motor home  (NAICS = 336213); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N336213.S,IP.N336213.S
Motor home  (NAICS = 336213); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N336213.N,IP.N336213.N
Travel trailer and camper  (NAICS = 336214); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G336214.S,IP.G336214.S
Travel trailer and camper  (NAICS = 336214); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G336214.N,IP.G336214.N
Motor vehicle parts  (NAICS = 3363); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3363.S,IP.G3363.S
Motor vehicle parts  (NAICS = 3363); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3363.N,IP.G3363.N
Aerospace product and parts  (NAICS = 3364); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3364.S,IP.G3364.S
Aerospace product and parts  (NAICS = 3364); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3364.N,IP.G3364.N
Aircraft and parts  (NAICS = 336411-3); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G336411T3.S,IP.G336411T3.S
Aircraft and parts  (NAICS = 336411-3); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G336411T3.N,IP.G336411T3.N
"Railroad eq., ships and boats, and other transportation equipment  (NAICS = 3365-9); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3365T9.S,IP.G3365T9.S
"Railroad eq., ships and boats, and other transportation equipment  (NAICS = 3365-9); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3365T9.N,IP.G3365T9.N
Railroad rolling stock  (NAICS = 3365); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3365.S,IP.N3365.S
Railroad rolling stock  (NAICS = 3365); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3365.N,IP.N3365.N
Ship and boat building  (NAICS = 3366); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3366.S,IP.G3366.S
Ship and boat building  (NAICS = 3366); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3366.N,IP.G3366.N
Other transportation equipment  (NAICS = 3369); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3369.S,IP.N3369.S
Other transportation equipment  (NAICS = 3369); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3369.N,IP.N3369.N
Furniture and related product  (NAICS = 337); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G337.S,IP.G337.S
Furniture and related product  (NAICS = 337); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G337.N,IP.G337.N
Household and institutional furniture and kitchen cabinet  (NAICS = 3371); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3371.S,IP.N3371.S
Household and institutional furniture and kitchen cabinet  (NAICS = 3371); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3371.N,IP.N3371.N
"Office and other furniture  (NAICS = 3372,9); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3372A9.S,IP.G3372A9.S
"Office and other furniture  (NAICS = 3372,9); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3372A9.N,IP.G3372A9.N
Miscellaneous  (NAICS = 339); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G339.S,IP.G339.S
Miscellaneous  (NAICS = 339); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G339.N,IP.G339.N
Medical equipment and supplies  (NAICS = 3391); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3391.S,IP.N3391.S
Medical equipment and supplies  (NAICS = 3391); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3391.N,IP.N3391.N
Logging  (NAICS = 1133); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N1133.S,IP.N1133.S
Logging  (NAICS = 1133); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N1133.N,IP.N1133.N
Nondurable manufacturing (NAICS); s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.GMFN.S,IP.GMFN.S
Nondurable manufacturing (NAICS); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.GMFN.N,IP.GMFN.N
Food  (NAICS = 311); s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.G311.S,IP.G311.S
Food  (NAICS = 311); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.G311.N,IP.G311.N
Animal food  (NAICS = 3111); s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.G3111.S,IP.G3111.S
Animal food  (NAICS = 3111); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.G3111.N,IP.G3111.N
Grain and oilseed milling  (NAICS = 3112); s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.G3112.S,IP.G3112.S
Grain and oilseed milling  (NAICS = 3112); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.G3112.N,IP.G3112.N
Sugar and confectionery product  (NAICS = 3113); s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.G3113.S,IP.G3113.S
Sugar and confectionery product  (NAICS = 3113); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.G3113.N,IP.G3113.N
Fruit and vegetable preserving and specialty food  (NAICS = 3114); s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.G3114.S,IP.G3114.S
Fruit and vegetable preserving and specialty food  (NAICS = 3114); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.G3114.N,IP.G3114.N
Dairy product  (NAICS = 3115); s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.G3115.S,IP.G3115.S
Dairy product  (NAICS = 3115); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.G3115.N,IP.G3115.N
Dairy product (except frozen)  (NAICS = 31151); s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.G31151.S,IP.G31151.S
Dairy product (except frozen)  (NAICS = 31151); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.G31151.N,IP.G31151.N
Fluid milk  (NAICS = 311511); s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.N311511.S,IP.N311511.S
Fluid milk  (NAICS = 311511); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.N311511.N,IP.N311511.N
Creamery butter  (NAICS = 311512); s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.N311512.S,IP.N311512.S
Creamery butter  (NAICS = 311512); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.N311512.N,IP.N311512.N
Cheese  (NAICS = 311513); s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.N311513.S,IP.N311513.S
Cheese  (NAICS = 311513); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.N311513.N,IP.N311513.N
"Dry, condensed, and evaporated dairy product  (NAICS = 311514); s.a. IP",Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.N311514.S,IP.N311514.S
"Dry, condensed, and evaporated dairy product  (NAICS = 311514); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.N311514.N,IP.N311514.N
Ice cream and frozen dessert  (NAICS = 31152); s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.N31152.S,IP.N31152.S
Ice cream and frozen dessert  (NAICS = 31152); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.N31152.N,IP.N31152.N
Animal slaughtering and processing  (NAICS = 3116); s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.G3116.S,IP.G3116.S
Animal slaughtering and processing  (NAICS = 3116); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.G3116.N,IP.G3116.N
Animal (except poultry) slaughtering and meat processing  (NAICS = 311611-3); s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.G311611T3.S,IP.G311611T3.S
Animal (except poultry) slaughtering and meat processing  (NAICS = 311611-3); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.G311611T3.N,IP.G311611T3.N
Beef  (NAICS = 311611-3pt.); s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.N311611T3B.S,IP.N311611T3B.S
Beef  (NAICS = 311611-3pt.); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.N311611T3B.N,IP.N311611T3B.N
Pork  (NAICS = 311611-3pt.); s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.N311611T3P.S,IP.N311611T3P.S
Pork  (NAICS = 311611-3pt.); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.N311611T3P.N,IP.N311611T3P.N
Miscellaneous meats  (NAICS = 311611-3pt.); s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.N311611T3Z.S,IP.N311611T3Z.S
Miscellaneous meats  (NAICS = 311611-3pt.); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.N311611T3Z.N,IP.N311611T3Z.N
Poultry processing  (NAICS = 311615); s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.N311615.S,IP.N311615.S
Poultry processing  (NAICS = 311615); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.N311615.N,IP.N311615.N
Bakeries and tortilla  (NAICS = 3118); s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.N3118.S,IP.N3118.S
Bakeries and tortilla  (NAICS = 3118); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_NONDURABLE_GOODS_DETAIL/IP.N3118.N,IP.N3118.N
