index,Index,Label,unit,start,last,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
WDU11710101                   ,WDU11710101                   ,"PPI Commodity data for Machinery and equipment-Lampholder, incandescent, 660 watts, not seasonally adjusted, discontinued",Index base: 1967 = 100,1962-M01,1981-M13,,,,,,,,,,,,,,,,85.8,85.8,85.8,93.9,98.8,100.0,104.7,109.7,115.2,120.4,123.4,133.1,158.0,170.7,178.6,191.1,206.4,239.9,267.6,296.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU11710102                   ,WDU11710102                   ,"PPI Commodity data for Machinery and equipment-Lampholder, fluorescent, 660 watts, not seasonally adjusted, discontinued",Index base: 1967 = 100,1961-M01,1981-M13,,,,,,,,,,,,,,,88.5,86.4,85.9,91.4,91.9,94.4,100.0,105.6,107.7,108.2,109.5,109.7,113.4,128.4,140.0,144.2,154.5,165.7,195.3,219.1,228.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU11710103                   ,WDU11710103                   ,"PPI Commodity data for Machinery and equipment-Power outlet, residential, not seasonally adjusted, discontinued",Index base: 1967 = 100,1961-M01,1981-M13,,,,,,,,,,,,,,,85.7,87.9,84.3,85.9,87.9,94.1,100.0,107.7,115.8,125.5,131.5,134.8,140.0,160.5,182.7,189.1,200.6,216.0,239.8,270.4,317.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU11710104                   ,WDU11710104                   ,"PPI Commodity data for Machinery and equipment-Switch, regular mechanical, tumbler, not seasonally adjusted, discontinued",Index base: 1967 = 100,1961-M01,1981-M12,,,,,,,,,,,,,,,78.6,80.0,80.3,83.3,84.3,92.9,100.0,106.2,112.5,121.6,127.4,129.6,134.8,151.5,174.0,187.6,200.2,214.7,242.7,270.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU11710105                   ,WDU11710105                   ,"PPI Commodity data for Machinery and equipment-Lightning arrestors, not seasonally adjusted, discontinued",Index base: 1982 = 100,1967-M01,1986-M06,,,,,,,,,,,,,,,,,,,,,52.5,53.4,52.4,52.6,54.3,53.9,55.1,61.1,66.5,70.8,75.4,77.2,80.2,85.5,95.0,100.0,102.3,103.8,106.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU11710106                   ,WDU11710106                   ,"PPI Commodity data for Machinery and equipment-Attach. plug cap & flanged inlet, ex. pin & sleeve, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,1993-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.3,104.4,109.6,112.9,119.7,119.7,130.9,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU11710109                   ,WDU11710109                   ,"PPI Commodity data for Machinery and equipment-Incandescent lampholders, not seasonally adjusted, discontinued",Index base: 1982 = 100,1962-M01,1994-M09,,,,,,,,,,,,,,,,24.2,24.2,24.2,26.4,27.8,28.2,29.5,30.9,32.4,33.9,34.7,37.5,44.5,48.0,50.3,53.8,58.1,67.5,75.3,83.3,,107.0,114.0,118.6,123.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU11710111                   ,WDU11710111                   ,"PPI Commodity data for Machinery and equipment-Lampholders excluding incandescent, not seasonally adjusted, discontinued",Index base: 1982 = 100,1982-M04,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.6,107.0,110.1,111.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU11710112                   ,WDU11710112                   ,"PPI Commodity data for Machinery and equipment-Pin & sleeve: outlet, plug cap & connector body, not seasonally adjusted, discontinued",Index base: 1982 = 100,1982-M05,1999-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.5,115.4,,,,,,,,,,198.0,207.7,213.3,229.7,234.0,238.2,,,,,,,,,,,,,,,,,,,,
WDU11710113                   ,WDU11710113                   ,"PPI Commodity data for Machinery and equipment-Convenience and power outlet: 2-pole, 3-wire and up, not seasonally adjusted, discontinued",Index base: 1982 = 100,1982-M04,1993-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.4,101.5,98.7,101.5,102.3,103.0,104.9,110.6,118.1,120.4,123.9,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU11710117                   ,WDU11710117                   ,"PPI Commodity data for Machinery and equipment-Precision snap-acting switches, exc. limit & dimmers, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M12,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,101.4,105.0,107.0,107.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU11710118                   ,WDU11710118                   ,"PPI Commodity data for Machinery and equipment-A.c. single pole switches, except mercury, not seasonally adjusted, discontinued",Index base: 1982 = 100,1982-M04,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.4,117.2,119.1,126.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU11710119                   ,WDU11710119                   ,"PPI Commodity data for Machinery and equipment-Gen. use switches, ex. non-mercury a.c. single pole, not seasonally adjusted, discontinued",Index base: 1982 = 100,1982-M03,1983-M03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU11710121                   ,WDU11710121                   ,"PPI Commodity data for Machinery and equipment-Appliance and fixture switches, except dimmers, not seasonally adjusted, discontinued",Index base: 1982 = 100,1985-M05,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU11710122                   ,WDU11710122                   ,"PPI Commodity data for Machinery and equipment-Automotive and aircraft switches, not seasonally adjusted, discontinued",Index base: 1982 = 100,1983-M11,1999-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.5,110.5,111.3,,,,,,,,,121.4,121.9,121.4,,120.0,,,,,,,,,,,,,,,,,,,,
WDU11710123                   ,WDU11710123                   ,"PPI Commodity data for Machinery and equipment-Dimmers and all other special purposes switches, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M12,1999-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,104.4,109.2,114.1,117.8,117.3,119.7,121.8,122.7,119.5,122.3,127.8,132.1,135.9,136.7,139.5,141.2,145.0,,,,,,,,,,,,,,,,,,,,
WDU11710124                   ,WDU11710124                   ,"PPI Commodity data for Machinery and equipment-Metal contacts, precious and all other, not seasonally adjusted, discontinued",Index base: 1982 = 100,1984-M09,1999-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.6,104.0,,,,,,,,111.2,111.3,110.4,108.7,108.4,108.9,,,,,,,,,,,,,,,,,,,,
WDU11710128                   ,WDU11710128                   ,"PPI Commodity data for Machinery and equipment-Band or strip terminal & splicer, machine installed, not seasonally adjusted, discontinued",Index base: 1982 = 100,1984-M02,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.6,108.9,109.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
