index,Index,Label,unit,start,last,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
WDU131101                     ,WDU131101                     ,"PPI Commodity data for Nonmetallic mineral products-Plate glass, not seasonally adjusted, discontinued",Index base: 1967 = 100,1971-M11,1980-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.4,126.4,133.0,147.3,153.3,159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU13110101                   ,WDU13110101                   ,"PPI Commodity data for Nonmetallic mineral products-Plate glass, 1/4 inch, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,,,,,,,,,,,,,,,,,,,,,,76.4,80.6,83.8,90.9,97.0,97.0,101.7,105.8,108.0,113.5,116.8,116.4,116.1,112.2,106.5,101.2,97.6,97.4,94.8,92.9,100.0,104.1,109.7,,,115.0,115.0,115.0,120.4,126.4,133.0,147.3,153.3,159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU131102                     ,WDU131102                     ,"PPI Commodity data for Nonmetallic mineral products-Window glass, not seasonally adjusted, discontinued",Index base: 1967 = 100,1971-M01,1980-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.8,,,,177.7,206.4,223.5,248.4,,279.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU13110207                   ,WDU13110207                   ,"PPI Commodity data for Nonmetallic mineral products-Window glass, style B, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,,,,,,,,,,,,,,,,,,,,,,54.7,57.4,59.6,62.8,67.5,67.5,71.9,75.1,78.3,81.4,83.4,83.3,83.1,80.5,80.8,83.8,87.8,95.6,94.3,94.2,100.0,108.3,113.9,115.6,124.8,128.2,136.4,158.4,177.7,206.4,223.5,248.4,,278.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU131103                     ,WDU131103                     ,"PPI Commodity data for Nonmetallic mineral products-Safety glass, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,,,,,,,,,,,,,,,,,,,,,,76.2,80.6,85.6,81.5,85.3,85.8,90.6,91.5,93.8,97.1,97.1,97.1,97.1,97.1,96.6,96.3,97.0,98.5,97.7,98.3,100.0,102.9,108.0,114.9,126.0,124.3,119.1,125.2,135.1,143.1,154.2,162.5,173.4,188.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU13110317                   ,WDU13110317                   ,"PPI Commodity data for Nonmetallic mineral products-Automobile windshield, not seasonally adjusted, discontinued",Index base: 1971.12 = 100,1971-M12,1980-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.1,86.1,90.2,94.5,100.7,104.9,109.7,117.0,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU13110318                   ,WDU13110318                   ,"PPI Commodity data for Nonmetallic mineral products-Automobile backlight, not seasonally adjusted, discontinued",Index base: 1971.12 = 100,1972-M03,1980-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.6,114.9,121.6,138.5,146.4,163.3,173.4,185.0,199.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU131104                     ,WDU131104                     ,"PPI Commodity data for Nonmetallic mineral products-Laminated glass, not seasonally adjusted, discontinued",Index base: 1983.06 = 100,1983-M06,2006-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.6,100.1,100.9,102.7,102.1,102.2,102.1,100.4,99.9,98.7,99.3,95.8,91.3,89.5,89.0,88.9,89.5,93.9,91.3,88.6,84.6,86.8,89.9,,,,,
WDU13110412                   ,WDU13110412                   ,"PPI Commodity data for Nonmetallic mineral products-Laminated glass, made of purchased glass, not seasonally adjusted, discontinued",Index base: 2004.12 = 100,2004-M12,2006-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.7,108.4,,,,,
WDU13110413                   ,WDU13110413                   ,"PPI Commodity data for Nonmetallic mineral products-For construction/architectural uses, not seasonally adjusted, discontinued",Index base: 1987.12 = 100,1987-M12,2004-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7,98.7,88.7,87.3,,,,93.4,95.1,94.5,95.0,98.0,108.9,132.9,129.4,127.0,125.4,,,,,,,
