index,Index,Label,unit,start,last,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
WDU01130104                   ,WDU01130104                   ,"PPI Commodity data for Farm products-Dry pink beans, not seasonally adjusted, discontinued",Index base: 1991.12 = 100,1991-M12,2015-M08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.2,146.9,142.8,132.3,164.2,169.3,148.4,124.2,99.6,139.1,230.9,199.6,214.6,221.0,200.5,237.2,,,,,453.0,,
WDU01130105                   ,WDU01130105                   ,"PPI Commodity data for Farm products-Dry peas, not seasonally adjusted, discontinued",Index base: 1991.12 = 100,1991-M12,2015-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.7,102.2,103.1,132.0,128.9,128.3,94.2,83.1,75.2,93.5,132.1,149.2,131.2,91.7,99.2,163.6,256.2,209.4,171.4,213.2,254.7,292.5,256.5
WDU01130106                   ,WDU01130106                   ,"PPI Commodity data for Farm products-Dry lentils, not seasonally adjusted, discontinued",Index base: 1991.12 = 100,1991-M12,2015-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.3,104.9,87.0,91.5,110.9,95.8,70.4,75.8,77.0,68.5,88.9,127.8,127.6,93.0,72.8,139.0,,211.1,212.7,,,,
WDU01130109                   ,WDU01130109                   ,"PPI Commodity data for Farm products-Dry garbanzo beans, not seasonally adjusted, discontinued",Index base: 2011.12 = 100,2011-M12,2015-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0
WDU01130227                   ,WDU01130227                   ,"PPI Commodity data for Farm products-Green onions, not seasonally adjusted, discontinued",Index base: 1991.12 = 100,1991-M12,2011-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.1,75.1,,,,,,,,,,268.6,470.6,322.7,268.0,310.2,257.3,265.1,,,,
WDU01130233                   ,WDU01130233                   ,"PPI Commodity data for Farm products-Radishes, not seasonally adjusted, discontinued",Index base: 1991.12 = 100,1991-M12,2011-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.8,310.3,258.8,278.9,212.5,210.9,306.6,,,,221.5,250.2,254.6,270.9,284.0,295.0,,292.4,314.8,,,,
WDU01130331                   ,WDU01130331                   ,"PPI Commodity data for Farm products-Sweet potatoes, New York, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1991-M13,,,,,,,,,,,,,,,,,,,,,,31.3,36.3,36.3,27.9,34.4,58.4,46.0,35.0,35.8,33.0,39.8,44.8,34.6,32.9,42.7,39.2,30.8,49.3,47.5,38.3,49.2,60.6,46.0,48.0,57.2,63.9,76.1,70.7,90.9,71.6,100.7,112.3,76.8,95.6,160.9,100.0,86.6,154.9,111.3,88.8,162.4,170.8,210.5,168.3,128.5,,,,,,,,,,,,,,,,,,,,,,,
WDU01130332                   ,WDU01130332                   ,"PPI Commodity data for Farm products-Sweet potatoes, Chicago, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1991-M13,,,,,,,,,,,,,,,,,,,,,,25.5,28.5,38.3,24.4,37.5,57.2,46.7,35.2,36.3,29.8,39.2,41.4,33.5,34.3,44.5,38.7,32.6,48.6,43.9,36.5,46.4,52.4,45.4,47.3,52.1,58.8,68.8,69.1,87.4,69.3,99.5,102.6,81.3,95.3,141.4,100.0,84.8,148.8,112.2,87.0,139.9,158.8,195.3,156.1,125.8,,,,,,,,,,,,,,,,,,,,,,,
WDU011304                     ,WDU011304                     ,"PPI Commodity data for Farm products-Irish potatoes for consumer use, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2011-M13,,,,,,,,,,,,,,,,,,,,,,35.1,40.6,37.4,30.9,35.2,52.6,33.3,32.1,36.6,43.5,31.9,35.3,34.9,41.0,29.0,28.7,28.8,42.1,50.4,35.0,33.3,32.7,39.0,41.7,37.7,45.0,74.4,90.7,75.6,69.5,71.6,76.9,72.2,103.3,131.1,100.0,106.5,132.4,101.3,104.1,120.1,113.9,153.6,157.3,125.7,118.4,144.9,142.0,142.6,133.9,106.1,122.5,126.9,100.5,128.9,173.2,96.2,94.1,115.8,160.0,129.0,210.0,155.7,141.1,206.0,,,
WDU01130402                   ,WDU01130402                   ,"PPI Commodity data for Farm products-Round white potatoes, not seasonally adjusted, discontinued",Index base: 1991.12 = 100,1991-M12,2011-M12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.3,104.9,116.1,93.0,104.8,99.4,105.1,,92.0,135.0,168.5,126.3,133.0,166.2,275.0,168.1,255.3,200.4,177.2,,,,
