index,Index,Label,unit,start,last,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
WDUSOP1500                    ,WDUSOP1500                    ,"PPI Commodity data for Stage of processing-Crude nonfood materials less energy, not seasonally adjusted, discontinued",Index base: 1982 = 100,1973-M01,2015-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,70.8,83.3,69.3,80.2,79.8,87.8,106.2,113.1,111.7,100.0,105.3,111.7,104.9,103.1,115.7,133.0,137.9,136.3,128.2,128.4,140.2,156.2,173.6,155.8,156.5,142.1,135.2,145.2,130.7,135.7,152.5,193.0,202.4,244.5,282.6,324.4,248.4,329.1,390.4,369.6,351.2,345.7,296.0
WDUSOP1510                    ,WDUSOP1510                    ,"PPI Commodity data for Stage of processing-Crude energy materials, not seasonally adjusted, discontinued",Index base: 1982 = 100,1974-M01,2015-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.8,33.3,35.3,40.4,45.2,54.9,73.1,97.7,100.0,98.7,98.0,93.3,71.8,75.0,67.7,75.9,85.9,80.4,78.8,76.7,72.1,69.4,85.0,87.3,68.6,78.5,122.1,122.3,102.0,147.2,174.6,234.0,226.9,232.8,309.4,176.8,216.7,240.4,218.5,234.9,233.3,141.2
WDUSOP1600                    ,WDUSOP1600                    ,"PPI Commodity data for Stage of processing-Crude materials less energy, not seasonally adjusted, discontinued",Index base: 1982 = 100,1974-M01,2015-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.4,75.9,77.6,78.1,87.5,101.5,106.5,105.7,100.0,102.6,106.3,97.0,95.4,100.9,112.6,117.7,118.6,110.9,110.7,116.3,119.3,123.5,130.0,123.5,113.6,107.9,111.7,112.2,108.7,123.4,144.0,143.5,152.3,182.6,205.4,164.8,197.0,240.0,241.1,239.4,245.5,211.4
WDUSOP2000                    ,WDUSOP2000                    ,"PPI Commodity data for Stage of processing-Intermediate materials, supplies, and components, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,23.3,25.2,24.2,25.3,28.4,27.5,27.7,27.9,28.4,29.6,30.3,30.4,30.8,30.8,30.6,30.6,30.7,30.8,31.2,32.0,32.2,33.0,34.1,35.4,36.8,38.2,42.4,52.5,58.0,60.9,64.9,69.5,78.4,90.3,98.6,100.0,100.6,103.1,102.7,99.1,101.5,107.1,112.0,114.5,114.4,114.7,116.2,118.5,124.9,125.7,125.6,123.0,123.2,129.2,129.7,127.8,133.7,142.6,154.0,164.0,170.7,188.3,172.5,183.4,199.8,200.7,200.8,201.9,188.0
WDUSOP2100                    ,WDUSOP2100                    ,"PPI Commodity data for Stage of processing-Materials and components for manufacturing, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,24.9,26.8,25.7,26.9,30.5,29.3,29.7,29.8,30.5,32.0,32.7,32.8,33.3,33.3,32.9,32.7,32.7,33.1,33.6,34.3,34.5,35.3,36.5,38.0,38.9,40.4,44.1,56.0,61.7,64.0,67.4,72.0,80.9,91.7,98.7,100.0,101.2,104.1,103.3,102.2,105.3,113.2,118.1,118.7,118.1,117.9,118.9,122.1,130.4,128.6,128.3,126.1,124.6,128.1,127.4,126.1,129.7,137.9,146.0,155.9,162.4,177.2,162.7,174.0,189.8,189.0,188.1,188.6,177.3
WDUSOP2110                    ,WDUSOP2110                    ,"PPI Commodity data for Stage of processing-Materials for food manufacturing, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,36.9,38.0,32.7,34.0,37.9,36.4,36.5,36.1,35.0,35.2,35.8,36.6,35.3,35.7,36.9,36.1,37.9,37.3,38.3,40.0,39.2,39.8,42.0,44.3,45.7,47.0,57.2,82.0,82.1,70.6,71.9,81.0,89.9,103.7,102.1,100.0,101.3,106.3,101.5,98.4,100.8,106.0,112.7,117.9,115.3,113.9,115.6,118.5,119.5,125.3,123.2,123.2,120.8,119.2,124.3,123.2,134.4,145.0,146.0,146.2,161.4,180.4,165.1,174.4,193.4,198.1,199.4,210.7,203.4
WDUSOP2120                    ,WDUSOP2120                    ,"PPI Commodity data for Stage of processing-Materials for nondurable manufacturing, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,33.5,35.4,32.3,33.9,39.3,35.4,35.1,34.5,34.7,35.2,35.7,35.3,35.9,35.9,35.1,34.9,34.6,34.8,35.2,35.4,35.2,35.6,36.0,36.5,37.0,38.5,42.6,54.6,61.4,64.8,66.8,69.2,78.3,91.2,100.5,100.0,98.5,102.1,100.5,98.1,102.2,112.9,118.5,118.0,116.7,115.4,115.5,119.2,135.1,130.5,129.6,126.7,124.9,132.6,131.8,129.2,137.2,147.8,163.2,175.0,184.0,214.3,191.6,215.4,249.2,245.4,242.9,238.4,207.7
WDUSOP2130                    ,WDUSOP2130                    ,"PPI Commodity data for Stage of processing-Materials for durable manufacturing, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,17.5,19.8,20.4,21.5,23.9,24.0,25.0,25.6,26.9,28.5,29.5,29.7,30.4,30.4,30.0,30.0,30.0,30.6,31.2,31.8,32.3,33.4,35.2,37.0,38.1,39.9,43.1,55.4,60.8,64.8,70.2,76.2,87.3,97.1,100.7,100.0,103.0,104.9,103.3,101.2,106.2,118.7,123.6,120.7,117.2,117.2,119.1,125.2,135.6,131.3,132.8,128.0,125.1,129.0,125.1,124.7,127.9,146.6,158.3,180.5,189.8,203.3,168.9,186.6,204.2,199.1,194.6,197.0,184.9
WDUSOP2140                    ,WDUSOP2140                    ,"PPI Commodity data for Stage of processing-Components for manufacturing, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,21.3,23.0,23.4,24.3,27.6,27.6,28.1,28.3,29.5,32.2,33.5,33.8,34.2,34.0,33.7,33.4,33.4,33.7,34.2,35.4,36.5,37.3,38.5,40.6,41.9,42.9,44.3,51.1,57.8,60.8,64.5,69.2,75.8,84.6,94.7,100.0,102.4,105.0,106.4,107.5,108.8,112.3,116.4,119.0,121.0,122.0,123.0,124.3,126.5,126.9,126.4,125.9,125.7,126.2,126.4,126.1,125.9,127.4,129.9,134.5,136.3,140.3,141.0,142.2,145.8,147.7,149.1,150.1,150.2
WDUSOP2200                    ,WDUSOP2200                    ,"PPI Commodity data for Stage of processing-Materials and components for construction, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,22.5,24.9,24.9,26.2,28.7,28.5,29.0,29.1,30.3,31.8,32.0,32.0,32.9,32.7,32.2,32.1,32.2,32.5,32.8,33.6,34.0,35.7,37.7,38.3,40.8,43.0,46.5,55.0,60.1,64.1,69.3,76.5,84.2,91.3,97.9,100.0,102.8,105.6,107.3,108.1,109.8,116.1,121.3,122.9,124.5,126.5,132.0,136.6,142.1,143.6,146.5,146.8,148.9,150.7,150.6,151.3,153.6,166.4,176.6,188.4,192.5,205.4,202.9,205.7,212.8,218.4,222.7,227.4,228.5
