index,Index,Label,unit,start,last,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
WDUSOP2800                    ,WDUSOP2800                    ,"PPI Commodity data for Stage of processing-Intermediate foods and feeds, not seasonally adjusted, discontinued",Index base: 1982 = 100,1967-M01,2015-M13,,,,,,,,,,,,,,,,,,,,,41.8,41.5,42.9,45.6,46.7,49.5,70.3,83.6,81.6,77.4,79.6,84.8,94.5,105.5,104.6,100.0,103.6,105.7,97.3,96.2,99.2,109.5,113.8,113.3,111.1,110.7,112.7,114.8,114.8,128.1,125.4,116.2,111.1,111.7,115.9,115.5,125.9,137.1,133.8,135.2,154.4,181.6,166.0,171.7,192.3,201.5,204.3,210.9,197.8
WDUSOP2900                    ,WDUSOP2900                    ,"PPI Commodity data for Stage of processing-Intermediate materials less food and energy, not seasonally adjusted, discontinued",Index base: 1982 = 100,1973-M01,2015-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3,54.0,60.2,63.8,67.6,72.5,80.7,90.3,97.7,100.0,101.6,104.7,105.2,104.9,107.8,115.2,120.2,120.9,121.4,122.0,123.8,127.1,135.2,134.0,134.2,133.5,133.1,136.6,136.4,135.8,138.5,146.5,154.6,163.8,168.4,180.9,173.4,180.8,192.0,192.6,193.8,195.2,189.4
WDUSOP2910                    ,WDUSOP2910                    ,"PPI Commodity data for Stage of processing-Intermediate energy goods, not seasonally adjusted, discontinued",Index base: 1982 = 100,1974-M01,2015-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1,38.7,41.5,46.8,49.1,61.1,84.9,100.5,100.0,95.3,95.5,92.6,72.6,73.0,70.9,76.1,85.5,85.1,84.3,84.6,83.0,84.1,89.8,89.0,80.8,84.3,101.7,104.1,95.9,111.9,123.2,149.2,162.8,174.6,208.1,162.5,187.8,219.8,218.3,213.6,211.4,168.9
WDUSOP2920                    ,WDUSOP2920                    ,"PPI Commodity data for Stage of processing-Intermediate materials less energy, not seasonally adjusted, discontinued",Index base: 1982 = 100,1974-M01,2015-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.2,61.7,64.7,68.5,73.4,81.7,91.4,98.2,100.0,101.7,104.6,104.7,104.5,107.3,114.6,119.5,120.4,120.8,121.3,123.2,126.3,134.0,133.6,133.7,132.4,131.7,135.0,135.1,134.5,137.7,145.8,153.3,162.1,167.6,180.9,172.8,180.0,192.2,193.7,195.0,197.0,190.4
WDUSOP3000                    ,WDUSOP3000                    ,"PPI Commodity data for Stage of processing-Finished goods, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,26.4,28.5,27.7,28.2,30.8,30.6,30.3,30.4,30.5,31.3,32.5,33.2,33.1,33.4,33.4,33.5,33.4,33.5,34.1,35.2,35.6,36.6,38.0,39.3,40.5,41.8,45.6,52.6,58.2,60.8,64.7,69.8,77.6,88.0,96.1,100.0,101.6,103.7,104.7,103.2,105.4,108.0,113.6,119.2,121.7,123.2,124.7,125.5,127.9,131.3,131.8,130.7,133.0,138.0,140.7,138.9,143.3,148.5,155.7,160.4,166.6,177.1,172.5,179.8,190.5,194.2,196.6,200.4,193.8
WDUSOP3100                    ,WDUSOP3100                    ,"PPI Commodity data for Stage of processing-Finished consumer goods, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,28.6,30.8,29.4,29.9,32.7,32.3,31.7,31.7,31.5,32.0,32.9,33.6,33.3,33.6,33.6,33.7,33.5,33.6,34.2,35.4,35.6,36.5,37.9,39.1,40.2,41.5,46.0,53.1,58.2,60.4,64.3,69.4,77.5,88.6,96.6,100.0,101.3,103.3,103.8,101.4,103.6,106.2,112.1,118.2,120.5,121.7,123.0,123.3,125.6,129.5,130.2,128.9,132.0,138.2,141.5,139.4,145.3,151.7,160.4,166.0,173.5,186.3,179.1,189.1,203.3,207.3,210.2,214.6,204.3
WDUSOP3110                    ,WDUSOP3110                    ,"PPI Commodity data for Stage of processing-Finished consumer foods, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,31.9,34.9,32.1,32.7,36.7,36.4,34.5,34.2,33.4,33.3,34.4,36.5,34.8,35.5,35.4,35.7,35.3,35.4,36.8,39.2,38.5,40.0,42.4,43.8,44.5,46.9,56.5,64.4,69.8,69.6,73.3,79.9,87.3,92.4,97.8,100.0,101.0,105.4,104.6,107.3,109.5,112.6,118.7,124.4,124.1,123.3,125.7,126.8,129.0,133.6,134.5,134.3,135.1,137.2,141.3,140.1,145.9,152.7,155.7,156.7,167.0,178.3,175.5,182.4,193.9,199.0,203.4,212.5,209.7
WDUSOP3111                    ,WDUSOP3111                    ,"PPI Commodity data for Stage of processing-Finished consumer foods, crude, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,39.3,42.4,40.1,36.5,41.9,44.6,41.6,37.5,39.1,39.1,38.5,41.0,37.3,39.8,38.0,38.4,37.8,38.9,39.0,41.5,39.6,42.5,45.9,46.0,45.8,48.0,63.6,71.6,71.7,76.7,79.5,85.8,92.3,93.9,104.4,100.0,102.4,111.4,102.9,105.6,107.1,109.8,119.6,123.0,119.3,107.6,114.4,111.3,118.8,129.2,126.6,127.2,125.5,123.5,127.7,128.5,130.0,138.2,140.2,151.3,170.2,175.5,157.8,172.6,182.3,167.9,189.3,194.1,209.8
WDUSOP3112                    ,WDUSOP3112                    ,"PPI Commodity data for Stage of processing-Finished consumer foods, processed, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,31.1,34.0,31.1,32.4,36.2,35.4,33.6,34.0,32.7,32.7,34.1,36.1,34.7,35.2,35.3,35.6,35.2,35.2,36.8,39.2,38.8,40.0,42.3,43.9,44.7,47.2,55.8,63.9,70.3,69.0,72.7,79.4,86.8,92.3,97.2,100.0,100.9,104.9,104.8,107.4,109.6,112.7,118.6,124.4,124.4,124.4,126.5,127.9,129.8,133.8,135.1,134.8,135.9,138.3,142.4,141.0,147.2,153.9,156.9,157.1,166.7,178.6,177.3,183.3,195.0,202.0,204.9,214.3,210.0
WDUSOP3120                    ,WDUSOP3120                    ,"PPI Commodity data for Stage of processing-Consumer nondurable goods less food, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,24.2,25.7,24.7,25.1,27.0,26.3,26.6,26.7,26.8,27.3,27.9,27.8,28.2,28.4,28.4,28.4,28.5,28.4,28.8,29.3,30.0,30.6,31.5,32.5,33.5,34.1,36.1,44.0,48.9,52.4,56.8,60.0,69.3,85.1,95.8,100.0,100.5,101.1,101.7,93.3,94.9,97.3,103.8,111.5,115.0,117.3,117.6,116.2,118.8,123.3,124.3,122.2,127.9,138.7,142.8,139.8,148.4,156.6,172.0,182.6,191.7,210.5,194.1,210.1,231.5,235.0,237.8,241.1,221.1
WDUSOP3130                    ,WDUSOP3130                    ,"PPI Commodity data for Stage of processing-Consumer durable goods, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,32.9,35.2,36.1,36.5,38.9,39.2,39.5,39.8,40.2,41.6,42.8,43.4,43.9,43.8,43.6,43.4,43.1,43.3,43.2,43.4,44.1,45.1,45.9,47.2,48.9,50.0,50.9,55.5,61.0,63.7,67.4,73.6,80.8,91.0,96.4,100.0,102.8,104.5,106.5,108.9,111.5,113.8,117.6,120.4,123.9,125.7,128.0,130.9,132.7,134.2,133.7,132.9,133.0,133.9,134.0,133.0,133.1,135.0,136.6,136.9,138.3,141.2,144.3,144.9,147.4,151.0,152.3,153.8,155.9
WDUSOP3200                    ,WDUSOP3200                    ,"PPI Commodity data for Stage of processing-Capital equipment, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,19.8,21.6,22.7,23.2,25.5,25.9,26.3,26.7,27.4,29.5,31.3,32.1,32.7,32.8,32.9,33.0,33.1,33.4,33.8,34.6,35.8,37.0,38.3,40.1,41.7,42.8,44.2,50.5,58.2,62.1,66.1,71.3,77.5,85.8,94.6,100.0,102.8,105.2,107.5,109.7,111.7,114.3,118.8,122.9,126.7,129.1,131.4,134.1,136.7,138.3,138.2,137.6,137.6,138.8,139.7,139.1,139.5,141.4,144.6,146.9,149.5,153.8,156.7,157.3,159.7,162.8,164.2,166.4,168.5
WDUSOP3210                    ,WDUSOP3210                    ,"PPI Commodity data for Stage of processing-Capital equipment for manufacturing industries, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,17.5,19.1,20.0,20.6,22.7,23.2,23.5,23.9,24.7,26.8,28.5,29.3,29.8,30.2,30.3,30.5,30.6,31.0,31.5,32.5,33.8,35.0,36.2,38.1,39.6,40.5,42.2,48.8,56.5,60.3,64.5,70.1,77.1,86.0,94.9,100.0,102.3,104.9,107.4,109.7,111.8,115.5,120.3,124.5,127.8,129.3,131.2,133.2,135.8,137.2,137.7,137.9,138.5,139.5,140.4,140.0,139.9,142.4,146.0,149.2,152.5,157.3,159.2,159.6,162.5,165.1,166.6,168.7,170.4
WDUSOP3220                    ,WDUSOP3220                    ,"PPI Commodity data for Stage of processing-Capital equipment for nonmanufacturing industries, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,21.9,23.8,25.0,25.5,27.9,28.3,28.7,29.0,29.8,31.8,33.6,34.5,35.1,34.8,34.8,34.9,34.8,35.1,35.4,36.0,37.0,38.2,39.5,41.3,43.0,44.2,45.3,51.2,58.9,62.9,66.8,71.8,77.7,85.7,94.4,100.0,103.0,105.4,107.6,109.7,111.6,113.9,118.2,122.2,126.3,129.0,131.4,134.3,137.0,138.6,138.4,137.4,137.3,138.6,139.4,138.7,139.3,141.0,144.1,145.9,148.3,152.5,155.8,156.4,158.7,161.8,163.3,165.5,167.7
WDUSOP3300                    ,WDUSOP3300                    ,"PPI Commodity data for Stage of processing-Finished consumer goods excluding foods, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,27.4,29.2,28.6,29.0,31.1,30.7,31.0,31.1,31.3,32.1,32.9,32.9,33.3,33.5,33.4,33.4,33.4,33.3,33.6,34.1,34.7,35.5,36.3,37.4,38.7,39.4,41.2,48.2,53.2,56.5,60.6,64.9,73.5,87.1,96.1,100.0,101.2,102.2,103.3,98.5,100.7,103.1,108.9,115.3,118.7,120.8,121.7,121.6,124.0,127.6,128.2,126.4,130.5,138.4,141.4,138.8,144.7,150.9,161.9,169.2,175.6,189.1,179.4,190.4,205.5,209.1,211.4,214.1,201.1
WDUSOP3400                    ,WDUSOP3400                    ,"PPI Commodity data for Stage of processing-Finished goods, excluding foods, not seasonally adjusted, discontinued",Index base: 1982 = 100,1967-M01,2015-M13,,,,,,,,,,,,,,,,,,,,,35.0,35.9,36.9,38.2,39.6,40.4,42.0,48.8,54.7,58.1,62.2,66.7,74.6,86.7,95.6,100.0,101.8,103.2,104.6,101.9,104.0,106.5,111.8,117.4,120.9,123.1,124.4,125.1,127.5,130.5,130.9,129.5,132.3,138.1,140.4,138.3,142.4,147.2,155.5,161.0,166.2,176.6,171.1,178.3,188.9,192.2,194.2,196.7,189.3
WDUSOP3500                    ,WDUSOP3500                    ,"PPI Commodity data for Stage of processing-Finished goods less food and energy, not seasonally adjusted, discontinued",Index base: 1982 = 100,1973-M01,2015-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1,53.6,59.7,63.1,66.9,71.9,78.3,87.1,94.6,100.0,103.0,105.5,108.1,110.6,113.3,117.0,122.1,126.6,131.1,134.2,135.8,137.1,140.0,142.0,142.4,143.7,146.1,148.0,150.0,150.2,150.5,152.7,156.4,158.7,161.7,167.2,171.5,173.6,177.8,182.4,185.1,188.6,192.3
WDUSOP3510                    ,WDUSOP3510                    ,"PPI Commodity data for Stage of processing-Finished energy goods, not seasonally adjusted, discontinued",Index base: 1982 = 100,1974-M01,2015-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2,30.7,34.3,39.7,42.3,57.1,85.2,101.5,100.0,95.2,91.2,87.6,63.0,61.8,59.8,65.7,75.0,78.1,77.8,78.0,77.0,78.1,83.2,83.4,75.1,78.8,94.1,96.7,88.8,102.0,113.0,132.6,145.9,156.3,178.7,146.9,166.9,193.0,192.4,192.0,191.7,157.3
WDUSOP3520                    ,WDUSOP3520                    ,"PPI Commodity data for Stage of processing-Finished goods less energy, not seasonally adjusted, discontinued",Index base: 1982 = 100,1975-M01,2015-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.4,64.8,68.6,74.0,80.7,88.4,95.4,100.0,102.5,105.5,107.2,109.7,112.3,115.8,121.2,126.0,129.1,131.1,132.9,134.2,136.9,139.6,140.2,141.1,143.0,144.9,147.6,147.3,149.0,152.4,155.9,157.9,162.8,169.8,172.3,175.5,181.4,186.1,189.2,194.0,196.2
WDUSOP3600                    ,WDUSOP3600                    ,"PPI Commodity data for Stage of processing-Finished consumer goods less food and energy, not seasonally adjusted, discontinued",Index base: 1982 = 100,1973-M01,2015-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4,55.5,60.6,63.7,67.3,72.2,78.8,87.8,94.6,100.0,103.1,105.7,108.4,111.1,114.2,118.5,124.0,128.8,133.7,137.3,138.5,139.0,141.9,144.3,145.1,147.7,151.7,154.0,156.9,157.6,157.9,160.3,164.3,166.7,170.0,176.4,181.6,185.1,190.8,196.8,200.8,205.4,210.7
WDUSOP3610                    ,WDUSOP3610                    ,"PPI Commodity data for Stage of processing-Finished consumer goods less energy, not seasonally adjusted, discontinued",Index base: 1982 = 100,1974-M01,2015-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.7,63.9,65.7,69.4,74.9,81.7,89.3,95.7,100.0,102.4,105.6,107.0,109.7,112.5,116.3,122.1,127.2,130.0,131.8,133.5,134.2,136.9,140.1,141.0,142.5,145.2,147.4,150.8,150.8,153.1,157.2,160.8,162.7,168.7,176.9,179.2,183.9,191.7,197.4,201.5,207.7,210.0
WDUSOP3620                    ,WDUSOP3620                    ,"PPI Commodity data for Stage of processing-Consumer nondurable goods less food and energy, not seasonally adjusted, discontinued",Index base: 1982 = 100,1974-M01,2015-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.9,60.8,64.2,67.9,71.5,77.5,85.4,93.3,100.0,103.4,106.8,110.0,113.1,116.3,122.0,128.8,134.9,140.8,145.8,146.1,144.4,148.5,151.4,153.4,159.1,166.3,169.8,175.2,177.5,177.9,180.8,187.1,191.5,197.0,206.8,214.3,220.8,230.0,238.5,245.3,253.5,262.2
WDUSOPCNMT                    ,WDUSOPCNMT                    ,"PPI Commodity data for Stage of processing-Crude nonfood materials, not seasonally adjusted, discontinued",Index base: 1982 = 100,1967-M01,2015-M13,,,,,,,,,,,,,,,,,,,,,21.1,21.6,22.5,23.8,24.7,27.0,34.3,44.1,43.7,48.2,51.7,57.5,69.6,84.6,101.8,100.0,100.7,102.2,96.9,81.6,87.9,85.5,93.4,101.5,94.6,93.5,94.7,94.8,96.8,104.5,106.4,88.4,94.3,130.4,126.8,111.4,148.2,179.2,223.4,230.6,246.3,313.9,197.5,249.3,284.0,263.1,269.2,265.7,183.7
