index,Index,Label,unit,start,last,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
WDU15110101                   ,WDU15110101                   ,"PPI Commodity data for Miscellaneous products-Toy train electric. . . . . . . . . . . . . . . . . . . . . ., not seasonally adjusted, discontinued",Index base: 1967 = 100,1967-M01,1967-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15110102                   ,WDU15110102                   ,"PPI Commodity data for Miscellaneous products-Non-powered transportation toy, not seasonally adjusted, discontinued",Index base: 1982 = 100,1977-M12,1985-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.4,77.7,84.2,91.9,100.0,100.2,105.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15110103                   ,WDU15110103                   ,"PPI Commodity data for Miscellaneous products-Race car set, not seasonally adjusted, discontinued",Index base: 1982 = 100,1968-M01,1978-M07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.7,66.6,66.1,61.5,61.8,63.7,72.6,76.6,78.0,78.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15110104                   ,WDU15110104                   ,"PPI Commodity data for Miscellaneous products-Sports oriented games, not seasonally adjusted, discontinued",Index base: 1982 = 100,1977-M12,1985-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.7,84.7,92.0,95.4,100.0,103.2,99.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15110111                   ,WDU15110111                   ,"PPI Commodity data for Miscellaneous products-Mechanical or battery operated toy, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1977-M08,,,,,,,,,,,,,,,,,,,,,,60.3,60.3,60.3,61.4,66.6,62.1,61.1,58.8,58.6,59.7,60.0,60.0,60.0,60.0,60.7,61.0,62.5,62.5,62.5,62.5,62.5,62.5,59.8,,,,73.7,77.8,87.6,88.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15110115                   ,WDU15110115                   ,"PPI Commodity data for Miscellaneous products-Metal toy, not seasonally adjusted, discontinued",Index base: 1967 = 100,1960-M01,1977-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.4,83.1,83.6,86.2,87.0,89.1,90.1,100.0,108.1,114.0,119.6,125.4,129.4,134.5,162.7,188.2,202.4,207.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15110121                   ,WDU15110121                   ,"PPI Commodity data for Miscellaneous products-Wooden toy, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1977-M13,,,,,,,,,,,,,,,,,,,,,,74.5,85.1,97.5,100.1,103.8,103.8,102.4,87.9,88.4,88.5,88.5,88.5,88.3,88.3,88.3,92.8,92.8,94.2,94.3,94.3,100.0,105.0,115.8,123.7,127.9,132.7,135.7,161.6,179.5,197.1,209.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15110122                   ,WDU15110122                   ,"PPI Commodity data for Miscellaneous products-Toy gun, not seasonally adjusted, discontinued",Index base: 1982 = 100,1977-M12,1985-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,72.9,81.8,92.0,100.0,101.8,104.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15110131                   ,WDU15110131                   ,"PPI Commodity data for Miscellaneous products-Rubber ball, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1975-M13,,,,,,,,,,,,,,,,,,,,,,118.0,99.1,94.1,95.7,105.9,94.9,93.4,90.8,89.8,92.0,90.2,89.2,86.9,88.5,89.5,89.5,89.4,88.5,90.6,90.6,100.0,101.0,103.3,111.4,115.4,118.9,133.0,157.5,173.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15110133                   ,WDU15110133                   ,"PPI Commodity data for Miscellaneous products-Playing cards, not seasonally adjusted, discontinued",Index base: 1967 = 100,1957-M01,1980-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.7,101.3,102.3,102.3,101.1,100.0,100.0,100.0,100.0,100.0,100.0,104.8,116.2,,,,,,,,,215.6,236.2,254.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
