series_id                     ,group_code,item_code,seasonal,base_date,series_title,footnote_codes,begin_year,begin_period,end_year,end_period
WDS0112                       ,01,12,S,198200,"PPI Commodity data for Farm products-Dried fruits, bulk, seasonally adjusted, discontinued",,1967,M01,1975,M12
WDS011304                     ,01,1304,S,198200,"PPI Commodity data for Farm products-Irish potatoes for consumer use, seasonally adjusted, discontinued",,1975,M01,2000,M12
WDS01330191                   ,01,330191,S,198200,"PPI Commodity data for Farm products-Choice, seasonally adjusted, discontinued",,1975,M01,1991,M07
WDS014103                     ,01,4103,S,199112,"PPI Commodity data for Farm products-Slaughter hens, seasonally adjusted, discontinued",,1994,M01,2001,M12
WDS0152                       ,01,52,S,198200,"PPI Commodity data for Farm products-Wool, seasonally adjusted, discontinued",,1980,M01,2000,M12
WDS015201                     ,01,5201,S,198200,"PPI Commodity data for Farm products-Wool, seasonally adjusted, discontinued",,1984,M01,2000,M12
WDS0153                       ,01,53,S,198200,"PPI Commodity data for Farm products-Foreign wool, seasonally adjusted, discontinued",,1967,M01,1985,M12
WDS0155                       ,01,55,S,198200,"PPI Commodity data for Farm products-Plant fibers, except cotton, seasonally adjusted, discontinued",,1967,M01,1982,M12
WDS0162                       ,01,62,S,198200,"PPI Commodity data for Farm products-Milk, manufacturing grade, seasonally adjusted, discontinued",,1967,M01,2001,M12
WDS016201                     ,01,6201,S,198200,"PPI Commodity data for Farm products-Milk, manufacturing grade, seasonally adjusted, discontinued",,1991,M07,2001,M12
WDS0182                       ,01,82,S,198200,"PPI Commodity data for Farm products-Hayseeds, seasonally adjusted, discontinued",,1975,M01,1991,M06
WDS019                        ,01,9,S,198200,"PPI Commodity data for Farm products-Other farm products, seasonally adjusted, discontinued",,1967,M01,1997,M12
WDS019102                     ,01,9102,S,198200,"PPI Commodity data for Farm products-Cocoa beans, seasonally adjusted, discontinued",,1973,M01,1985,M12
WDS019103                     ,01,9103,S,198200,"PPI Commodity data for Farm products-Tea, seasonally adjusted, discontinued",,1975,M01,1985,M07
WDS01910331                   ,01,910331,S,198200,"PPI Commodity data for Farm products-Black, seasonally adjusted, discontinued",,1975,M01,1985,M07
WDS0192                       ,01,92,S,198200,"PPI Commodity data for Farm products-Leaf tobacco, seasonally adjusted, discontinued",,1990,M01,1990,M12
WDS019201                     ,01,9201,S,198200,"PPI Commodity data for Farm products-Leaf tobacco, seasonally adjusted, discontinued",,1981,M01,1990,M12
WDS01920101                   ,01,920101,S,198200,"PPI Commodity data for Farm products-Leaf tobacco, seasonally adjusted, discontinued",,1973,M01,1990,M12
WDS019301                     ,01,9301,S,198200,"PPI Commodity data for Farm products-Tree nuts, seasonally adjusted, discontinued",,1991,M10,1991,M11
WDS021101                     ,02,1101,S,198200,"PPI Commodity data for Processed foods and feeds-White pan bread, seasonally adjusted, discontinued",,1975,M01,1989,M12
WDS021103                     ,02,1103,S,197700,"PPI Commodity data for Processed foods and feeds-Other bakery products, seasonally adjusted, discontinued",,1975,M01,1980,M12
WDS021201                     ,02,1201,S,198200,"PPI Commodity data for Processed foods and feeds-Flour, seasonally adjusted, discontinued",,1973,M01,1983,M06
WDS021202                     ,02,1202,S,198200,"PPI Commodity data for Processed foods and feeds-Flour base mixes and doughs, seasonally adjusted, discontinued",,1973,M01,1983,M06
WDS02210315                   ,02,210315,S,198200,"PPI Commodity data for Processed foods and feeds-USDA prime and choice lamb, seasonally adjusted, discontinued",,1975,M01,1980,M12
WDS022204                     ,02,2204,S,196700,"PPI Commodity data for Processed foods and feeds-Turkeys, seasonally adjusted, discontinued",,1975,M01,1981,M12
WDS022302                     ,02,2302,S,198200,"PPI Commodity data for Processed foods and feeds-Fresh packaged fish and seafood, seasonally adjusted, discontinued",,1975,M01,2003,M12
WDS022303                     ,02,2303,S,198200,"PPI Commodity data for Processed foods and feeds-Frozen packaged fish and seafood, seasonally adjusted, discontinued",,1975,M01,1989,M12
WDS0243                       ,02,43,S,198200,"PPI Commodity data for Processed foods and feeds-Dried and dehydrated fruits, seasonally adjusted, discontinued",,1975,M01,1989,M12
WDS02520101                   ,02,520101,S,198200,"PPI Commodity data for Processed foods and feeds-Raw cane sugar, seasonally adjusted, discontinued",,1980,M01,1989,M12
WDS025504                     ,02,5504,S,198512,"PPI Commodity data for Processed foods and feeds-Sweetening syrups and molasses, seasonally adjusted, discontinued",,1990,M01,1991,M06
WDS026201                     ,02,6201,S,198200,"PPI Commodity data for Processed foods and feeds-Cola, excluding diet cola, seasonally adjusted, discontinued",,1986,M01,1996,M12
WDS026205                     ,02,6205,S,198200,"PPI Commodity data for Processed foods and feeds-Other carbonated drinks, seasonally adjusted, discontinued",,1986,M01,1996,M12
WDS026207                     ,02,6207,S,199612,"PPI Commodity data for Processed foods and feeds-Bottled carbonated soft drinks, seasonally adjusted, discontinued",,2000,M01,2011,M12
WDS026209                     ,02,6209,S,199612,"PPI Commodity data for Processed foods and feeds-Soft drink flavoring syrup sold bulk, seasonally adjusted, discontinued",,2001,M01,2001,M12
WDS026302                     ,02,6302,S,198200,"PPI Commodity data for Processed foods and feeds-Cocoa, seasonally adjusted, discontinued",,1975,M01,1982,M12
WDS0272                       ,02,72,S,198200,"PPI Commodity data for Processed foods and feeds-Cottonseed oil, crude, seasonally adjusted, discontinued",,1967,M01,1989,M12
WDS0274                       ,02,74,S,198200,"PPI Commodity data for Processed foods and feeds-Shortening and cooking oils, seasonally adjusted, discontinued",,1967,M01,1985,M06
WDS0276                       ,02,76,S,198200,"PPI Commodity data for Processed foods and feeds-Shortening and cooking oil, seasonally adjusted, discontinued",,1967,M01,1989,M12
WDS0291                       ,02,91,S,198200,"PPI Commodity data for Processed foods and feeds-Grain by-product feeds, seasonally adjusted, discontinued",,1975,M01,1998,M06
WDS029101                     ,02,9101,S,198200,"PPI Commodity data for Processed foods and feeds-Grain by-product feeds, seasonally adjusted, discontinued",,1991,M07,1998,M06
WDS0316                       ,03,16,S,197512,"PPI Commodity data for Textile products and apparel-Staple, seasonally adjusted, discontinued",,1976,M01,1981,M06
WDS0317                       ,03,17,S,197512,"PPI Commodity data for Textile products and apparel-Tow, seasonally adjusted, discontinued",,1976,M01,1981,M06
WDS0343                       ,03,43,S,198200,"PPI Commodity data for Textile products and apparel-Knits, seasonally adjusted, discontinued",,1976,M01,1989,M12
WDS035                        ,03,5,S,196700,"PPI Commodity data for Textile products and apparel-Apparel, seasonally adjusted, discontinued",,1967,M01,1977,M12
WDS038101                     ,03,8101,S,198200,"PPI Commodity data for Textile products and apparel-Women's, seasonally adjusted, discontinued",,1977,M01,1989,M12
WDS03810163                   ,03,810163,S,198200,"PPI Commodity data for Textile products and apparel-Tailored coats, ex. fur, all leather & raincoats, seasonally adjusted, discontinued",,1984,M01,1990,M10
WDS038102                     ,03,8102,S,198200,"PPI Commodity data for Textile products and apparel-Men's and boys', seasonally adjusted, discontinued",,1975,M01,1996,M12
WDS038103                     ,03,8103,S,198200,"PPI Commodity data for Textile products and apparel-Girls', children's and infants', seasonally adjusted, discontinued",,1975,M01,1989,M12
WDS038302                     ,03,8302,S,198200,"PPI Commodity data for Textile products and apparel-Camping tents, seasonally adjusted, discontinued",,1984,M01,1989,M12
WDS0392                       ,03,92,S,198706,"PPI Commodity data for Textile products and apparel-Contract work on textile products, seasonally adjusted, discontinued",,1997,M01,1999,M12
WDS039201                     ,03,9201,S,198706,"PPI Commodity data for Textile products and apparel-Contract work on textile products, seasonally adjusted, discontinued",,1997,M01,1999,M12
WDS0411                       ,04,11,S,198200,"PPI Commodity data for Hides, skins, leather, and related products-Cattle hides, seasonally adjusted, discontinued",,1975,M01,1991,M12
WDS041101                     ,04,1101,S,198200,"PPI Commodity data for Hides, skins, leather, and related products-Cattle hides, seasonally adjusted, discontinued",,1984,M01,1991,M12
