index,Index,Label,unit,start,last,2010,2011,2012
WDUID6322                     ,WDUID6322                     ,"PPI Commodity data for Intermediate demand by commodity type-Transportation and warehousing of goods for intermediate demand, not seasonally adjusted, discontinued",Index base: 2009.11 = 100,2009-M11,2012-M13,103.2,109.1,113.0
WDUID633                      ,WDUID633                      ,"PPI Commodity data for Intermediate demand by commodity type-Trade services for intermediate demand, not seasonally adjusted, discontinued",Index base: 2009.11 = 100,2009-M11,2012-M13,100.8,103.1,106.8
