index,Index,Label,unit,start,last,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
WDU071101                     ,WDU071101                     ,"PPI Commodity data for Rubber and plastic products-Natural rubber, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1985-M13,,,,,,,,,47.1,46.9,38.3,92.5,131.1,83.9,52.8,53.6,86.5,75.6,69.7,61.9,81.4,85.3,65.7,63.8,58.9,56.3,55.1,53.5,44.7,45.3,57.8,47.9,41.1,40.6,74.6,85.5,67.6,87.8,93.6,108.2,136.7,156.2,121.8,100.0,122.5,112.1,95.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU07110101                   ,WDU07110101                   ,"PPI Commodity data for Rubber and plastic products-Latex, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1985-M13,,,,,,,,,46.6,43.7,39.5,75.4,111.7,74.2,52.2,49.2,72.9,60.6,57.0,51.9,62.8,65.0,51.1,50.5,47.7,46.1,45.9,43.5,39.4,39.3,45.1,38.8,36.2,36.7,53.3,73.7,61.0,76.8,83.1,94.3,115.8,136.6,116.7,100.0,112.9,112.6,102.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU07110102                   ,WDU07110102                   ,"PPI Commodity data for Rubber and plastic products-No. 1 ribbed smoked sheets, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1985-M13,,,,,,,,,46.1,48.5,38.8,91.2,134.4,85.3,53.1,51.6,86.0,75.8,68.7,62.3,80.6,85.0,65.5,63.0,58.0,55.6,56.7,52.1,43.9,43.8,57.8,46.5,39.8,40.0,77.6,87.8,65.9,87.3,92.0,110.2,141.8,161.2,125.2,100.0,123.7,109.5,92.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU07110103                   ,WDU07110103                   ,"PPI Commodity data for Rubber and plastic products-No. 3 ribbed smoked sheets, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1985-M13,,,,,,,,,47.2,47.0,37.5,93.2,130.5,84.9,51.7,53.6,89.0,78.2,71.0,61.9,83.1,88.4,68.1,64.9,59.7,58.0,58.7,54.2,45.4,45.4,59.9,48.3,40.9,40.1,79.2,85.4,66.7,88.3,92.9,112.4,146.0,163.0,122.9,100.0,126.7,113.4,94.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU07110104                   ,WDU07110104                   ,"PPI Commodity data for Rubber and plastic products-No. 3 thin brown, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1977-M09,,,,,,,,,103.2,93.0,82.0,203.0,272.8,167.5,116.0,123.2,181.2,158.1,152.8,130.3,190.8,193.2,145.0,145.7,133.6,122.9,105.5,123.5,100.0,103.9,130.6,111.1,94.0,92.4,168.1,192.6,154.6,197.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU07110211                   ,WDU07110211                   ,"PPI Commodity data for Rubber and plastic products-Butyl, regular, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1978-M06,,,,,,,,,68.6,68.6,68.6,69.1,76.9,76.9,78.9,83.4,85.2,85.2,85.2,85.2,85.2,85.2,85.2,87.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,102.4,104.7,126.7,149.8,164.0,173.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU07110212                   ,WDU07110212                   ,"PPI Commodity data for Rubber and plastic products-Polychloroprene, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1982-M01,,,,,,,,,25.6,27.9,27.9,27.9,33.1,33.1,34.9,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.9,35.8,43.7,53.4,,,64.7,69.1,81.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU07110213                   ,WDU07110213                   ,"PPI Commodity data for Rubber and plastic products-Styrene butadiene,hot, not seasonally adjusted, discontinued",Index base: 1967 = 100,1956-M01,1981-M06,,,,,,,,,,,,,,,,,,106.4,106.3,106.3,106.3,106.3,106.0,101.1,101.4,101.4,101.4,101.4,100.0,99.3,101.1,101.4,101.5,101.4,101.3,140.1,156.5,158.6,,175.2,211.0,263.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU07110214                   ,WDU07110214                   ,"PPI Commodity data for Rubber and plastic products-Styrene butadiene,cold, not seasonally adjusted, discontinued",Index base: 1967 = 100,1956-M01,1981-M05,,,,,,,,,,,,,,,,,,107.4,107.1,107.1,107.1,107.1,106.7,101.8,102.1,102.1,102.1,102.1,100.0,98.9,101.6,102.1,102.3,102.5,103.3,136.3,146.8,153.8,163.9,173.2,213.1,264.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU07110215                   ,WDU07110215                   ,"PPI Commodity data for Rubber and plastic products-Polybutadiene, not seasonally adjusted, discontinued",Index base: 1982 = 100,1965-M12,1998-M07,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6,38.6,38.6,37.1,37.1,37.3,37.1,37.1,37.1,45.1,48.4,51.0,56.5,60.3,70.9,87.9,101.2,,,,,,,,,,,80.4,81.2,83.1,104.7,97.9,94.1,,,,,,,,,,,,,,,,,,,,,
WDU07110216                   ,WDU07110216                   ,"PPI Commodity data for Rubber and plastic products-Polyisoprene, non-pigmented, not seasonally adjusted, discontinued",Index base: 1970.12 = 100,1971-M01,1974-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.1,101.9,112.0,177.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU07110217                   ,WDU07110217                   ,"PPI Commodity data for Rubber and plastic products-Nitrile-solid, not seasonally adjusted, discontinued",Index base: 1982 = 100,1971-M12,2003-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,44.6,48.8,53.3,57.8,61.6,64.1,66.2,79.0,,,,,,,,,,,,,,,118.9,,,,126.8,126.8,126.6,131.0,,,,,,,,,,,,,,,,
WDU07110218                   ,WDU07110218                   ,"PPI Commodity data for Rubber and plastic products-Ethylene-propylene,nonstaining, not seasonally adjusted, discontinued",Index base: 1971.12 = 100,1971-M12,1981-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,119.7,141.1,158.4,178.0,201.6,229.9,273.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU07110219                   ,WDU07110219                   ,"PPI Commodity data for Rubber and plastic products-Styrene butadiene-solid, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,2003-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,94.5,93.6,93.2,81.9,95.2,112.9,106.3,110.8,98.1,98.8,101.1,102.3,132.0,118.5,112.2,104.2,97.9,114.0,110.8,109.3,,,,,,,,,,,,,,,,
WDU07110221                   ,WDU07110221                   ,"PPI Commodity data for Rubber and plastic products-Styrene butadiene-latex, not seasonally adjusted, discontinued",Index base: 1982 = 100,1982-M10,2003-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.1,100.1,96.8,94.8,,,,,,,,,,,113.5,110.1,105.3,107.4,112.2,111.2,,,,,,,,,,,,,,,,
WDU07110222                   ,WDU07110222                   ,"PPI Commodity data for Rubber and plastic products-Specialty elastomers, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,99.4,97.7,97.6,96.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU07110231                   ,WDU07110231                   ,"PPI Commodity data for Rubber and plastic products-Ethylene propylene, not seasonally adjusted, discontinued",Index base: 1983.06 = 100,1992-M01,2003-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.1,,,127.1,129.6,127.2,134.8,135.6,135.0,140.3,125.0,,,,,,,,,,,,,,,,
WDU07110299                   ,WDU07110299                   ,"PPI Commodity data for Rubber and plastic products-Other synthetic rubber, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,2003-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,99.4,97.7,97.6,96.9,97.9,104.1,111.5,110.5,112.7,,,,135.4,133.7,131.6,131.6,129.6,129.5,136.8,135.6,,,,,,,,,,,,,,,,
WDU071103                     ,WDU071103                     ,"PPI Commodity data for Rubber and plastic products-Reclaimed rubber, not seasonally adjusted, discontinued",Index base: 1982 = 100,1971-M01,1993-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8,,,,60.9,67.4,71.3,74.2,81.7,88.8,93.3,100.0,102.5,106.7,107.5,98.5,,,,,,95.8,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU07110321                   ,WDU07110321                   ,"PPI Commodity data for Rubber and plastic products-Reclaimed rubber, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1993-M04,,,,,,,,,34.4,35.7,37.1,39.6,44.2,44.2,44.2,44.2,44.7,46.4,48.6,48.6,48.6,48.6,,48.6,48.6,48.6,48.6,48.6,48.6,48.6,48.6,48.6,48.8,47.6,47.7,55.4,60.8,67.7,71.3,74.2,81.7,88.8,93.3,100.0,102.3,106.7,107.5,98.5,,,95.8,96.1,96.1,95.8,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU07120101                   ,WDU07120101                   ,"PPI Commodity data for Rubber and plastic products-Passenger car non-radial tires, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1998-M08,,,,,,,,,27.5,28.7,28.1,31.6,36.6,36.6,36.8,37.9,41.6,43.3,43.6,43.9,40.1,36.2,36.4,36.4,37.9,36.8,37.4,39.1,41.2,42.4,43.5,46.1,45.0,44.6,45.0,52.7,58.5,63.1,68.1,71.9,82.3,96.2,100.0,100.0,95.8,95.1,95.9,94.8,92.9,93.1,,,,,,,,91.6,89.2,,,,,,,,,,,,,,,,,,,,,
WDU07120102                   ,WDU07120102                   ,"PPI Commodity data for Rubber and plastic products-Passenger car pneumatic tires, bias-belted, not seasonally adjusted, discontinued",Index base: 1982 = 100,1974-M12,1988-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.4,64.0,67.0,71.1,81.9,94.6,100.9,100.0,99.2,99.6,99.4,96.7,93.5,96.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU07120103                   ,WDU07120103                   ,"PPI Commodity data for Rubber and plastic products-Passenger car radial tires, not seasonally adjusted, discontinued",Index base: 1982 = 100,1974-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1,63.5,65.6,68.8,79.8,92.1,95.5,100.0,95.4,93.7,90.1,89.4,88.1,89.6,93.5,93.5,94.0,95.3,95.6,94.9,96.4,91.8,89.9,87.3,86.0,85.9,87.1,88.4,90.8,,,,,,,,,,,,,,,
WDU07120111                   ,WDU07120111                   ,"PPI Commodity data for Rubber and plastic products-Tractor and implement pneumatic tires, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2003-M09,,,,,,,,,19.7,21.2,22.0,23.5,28.1,28.1,28.4,29.4,31.9,33.2,32.8,33.8,34.3,35.3,35.3,32.5,33.7,34.0,34.4,35.7,36.6,38.1,36.6,38.8,40.7,41.9,43.2,54.0,61.1,66.9,71.2,73.7,83.1,94.0,98.8,100.0,96.4,97.2,97.8,97.6,98.0,110.9,,,,,,,,131.0,125.4,124.7,119.2,117.2,118.0,117.3,,,,,,,,,,,,,,,,
WDU07120121                   ,WDU07120121                   ,"PPI Commodity data for Rubber and plastic products-Other pneumatic and all solid tires, not seasonally adjusted, discontinued",Index base: 1983.06 = 100,1983-M06,2010-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.7,100.2,,,,108.5,109.8,114.0,113.9,116.1,118.0,126.5,127.8,127.2,127.1,126.5,126.0,125.2,124.8,126.7,131.6,132.7,137.9,137.3,142.6,147.5,154.8,,,,,,,,
WDU071202                     ,WDU071202                     ,"PPI Commodity data for Rubber and plastic products-Inner tubes, not seasonally adjusted, discontinued",Index base: 1982 = 100,1939-M01,2003-M13,27.8,26.2,28.9,36.3,38.1,35.0,33.4,32.9,29.2,27.3,26.7,28.0,29.7,28.1,27.3,28.0,30.9,33.1,32.9,33.2,32.8,33.3,33.5,32.9,34.1,34.5,32.9,33.4,34.0,34.6,30.2,31.9,33.2,34.4,36.2,47.1,54.6,58.4,63.2,66.9,76.8,88.2,97.4,100.0,91.3,86.0,86.9,,,,,,,,,,,103.9,104.1,105.8,109.7,113.6,117.7,110.4,109.3,,,,,,,,,,,,,,,
WDU07120221                   ,WDU07120221                   ,"PPI Commodity data for Rubber and plastic products-Passenger car/motorcycle innertubes, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1986-M06,,,,,,,,,31.1,29.1,28.3,29.7,31.5,29.9,29.1,29.9,32.7,35.2,35.5,36.0,35.6,35.7,35.9,35.1,36.2,36.4,33.2,33.0,33.8,34.5,26.7,28.3,29.0,30.3,31.8,41.5,50.4,54.6,58.4,65.5,78.4,88.1,98.4,100.0,95.8,80.9,77.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU07120223                   ,WDU07120223                   ,"PPI Commodity data for Rubber and plastic products-Truck/bus inner tubes, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1990-M03,,,,,,,,,28.4,26.1,25.7,26.8,28.5,26.7,26.0,26.6,29.4,31.2,30.3,30.3,29.7,31.0,31.1,30.4,31.7,32.3,32.2,33.2,33.9,34.4,32.7,34.6,36.4,37.5,39.4,51.3,57.4,61.0,66.4,67.9,75.6,88.3,,,,,,,,,102.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU07120351                   ,WDU07120351                   ,"PPI Commodity data for Rubber and plastic products-Tread rubber, natural and synthetic, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,2003-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.7,100.9,100.9,101.0,98.0,101.0,103.4,106.5,109.2,107.2,108.3,111.6,120.0,120.5,119.9,119.7,119.4,120.8,124.1,127.1,,,,,,,,,,,,,,,,
WDU07120352                   ,WDU07120352                   ,"PPI Commodity data for Rubber and plastic products-Tire flaps, not seasonally adjusted, discontinued",Index base: 1983.06 = 100,1983-M06,1985-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU07120353                   ,WDU07120353                   ,"PPI Commodity data for Rubber and plastic products-Other tire sundries and repair materials, n.e.c., not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.8,105.8,108.6,113.2,119.8,124.4,129.5,131.9,136.5,137.6,138.5,143.2,153.3,160.1,162.9,166.9,169.5,172.8,174.1,172.6,173.5,,,,,,,,,,,,,,,
WDU07130101                   ,WDU07130101                   ,"PPI Commodity data for Rubber and plastic products-Tennis shoes,bals,men's, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1969-M13,,,,,,,,,62.8,68.6,66.7,63.6,72.7,72.9,72.6,72.3,71.1,79.6,83.7,89.2,94.3,98.1,98.5,99.1,99.3,99.5,99.5,99.5,100.0,101.6,103.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU07130105                   ,WDU07130105                   ,"PPI Commodity data for Rubber and plastic products-Basketball shoes, bals, men's, not seasonally adjusted, discontinued",Index base: 1971.12 = 100,1971-M12,1980-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,106.8,115.7,128.3,132.0,143.6,153.5,162.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU07130107                   ,WDU07130107                   ,"PPI Commodity data for Rubber and plastic products-Protective footwear, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,2011-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.9,100.0,103.8,107.0,110.5,113.1,113.7,117.0,124.5,129.4,137.9,142.4,147.1,152.8,157.2,159.9,157.5,161.2,164.0,167.2,146.0,143.3,144.4,147.4,150.7,159.0,160.5,174.3,178.8,177.0,179.1,,,,,,,
WDU07130108                   ,WDU07130108                   ,"PPI Commodity data for Rubber and plastic products-Shoes with fabric uppers, exc sandals & slippers, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,2011-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.2,103.9,107.9,108.2,107.1,107.3,108.1,107.8,108.1,108.7,108.6,108.6,109.2,110.7,111.6,,,114.8,114.7,115.4,115.2,115.3,,113.6,113.3,,,,,,,
WDU07130111                   ,WDU07130111                   ,"PPI Commodity data for Rubber and plastic products-Rubber boots, men's, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1974-M13,,,,,,,,,55.3,58.4,58.6,61.2,70.9,70.4,68.0,69.8,73.8,79.4,81.7,85.6,88.3,90.5,90.6,91.2,91.2,91.2,94.5,94.7,100.0,106.9,112.8,117.4,126.4,128.8,131.2,142.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU07130121                   ,WDU07130121                   ,"PPI Commodity data for Rubber and plastic products-Gaiters, work, men's, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1973-M13,,,,,,,,,55.1,58.2,58.4,61.1,70.6,70.1,68.0,69.5,73.4,78.9,81.6,85.5,89.7,93.3,93.4,94.0,94.0,94.0,95.3,95.4,100.0,105.7,111.2,125.1,135.2,136.7,140.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU07130122                   ,WDU07130122                   ,"PPI Commodity data for Rubber and plastic products-Gaiters, dress, men's, not seasonally adjusted, discontinued",Index base: 1971.12 = 100,1971-M12,1972-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU07130131                   ,WDU07130131                   ,"PPI Commodity data for Rubber and plastic products-Rubbers,men's, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1972-M13,,,,,,,,,49.9,52.9,53.1,55.5,65.4,64.9,64.5,68.0,71.3,76.6,79.5,83.3,88.4,92.7,92.8,93.4,93.4,93.4,97.2,97.5,100.0,105.3,109.0,,,122.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
