WDUSI336111                   ,WDUSI336111                   ,"PPI Commodity data for Special indexes-Inputs to 336111, automobile manufacturing, excluding capital investment, labor, and imports, not seasonally adjusted, discontinued",Index base: 2013.03 = 100,2013-M03,2014-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.5
WDUSI3361111                  ,WDUSI3361111                  ,"PPI Commodity data for Special indexes-Inputs to 336111, goods, not seasonally adjusted, discontinued",Index base: 2013.03 = 100,2013-M03,2014-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.3
WDUSI33611113                 ,WDUSI33611113                 ,"PPI Commodity data for Special indexes-Inputs to 336111, goods less foods and energy, not seasonally adjusted, discontinued",Index base: 2013.03 = 100,2013-M03,2014-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.3
WDUSI3361112                  ,WDUSI3361112                  ,"PPI Commodity data for Special indexes-Inputs to 336111, services, not seasonally adjusted, discontinued",Index base: 2013.03 = 100,2013-M03,2014-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.3
WDUSI33611121                 ,WDUSI33611121                 ,"PPI Commodity data for Special indexes-Inputs to 336111, trade services, not seasonally adjusted, discontinued",Index base: 2013.03 = 100,2013-M03,2014-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.2
WDUSI33611122                 ,WDUSI33611122                 ,"PPI Commodity data for Special indexes-Inputs to 336111, transportation and warehousing services, not seasonally adjusted, discontinued",Index base: 2013.03 = 100,2013-M03,2014-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.7
WDUSI621A00                   ,WDUSI621A00                   ,"PPI Commodity data for Special indexes-Inputs to 621A00, offices of health practitioners, exc. capital investment, labor, and imports, not seasonally adjusted, discontinued",Index base: 2013.03 = 100,2013-M03,2014-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.7
WDUSI621A001                  ,WDUSI621A001                  ,"PPI Commodity data for Special indexes-Inputs to 621A00, goods, not seasonally adjusted, discontinued",Index base: 2013.03 = 100,2013-M03,2014-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.8
WDUSI621A0012                 ,WDUSI621A0012                 ,"PPI Commodity data for Special indexes-Inputs to 621A00, energy, not seasonally adjusted, discontinued",Index base: 2013.03 = 100,2013-M03,2014-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.9
WDUSI621A0013                 ,WDUSI621A0013                 ,"PPI Commodity data for Special indexes-Inputs to 621A00, goods less foods and energy, not seasonally adjusted, discontinued",Index base: 2013.03 = 100,2013-M03,2014-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.7
WDUSI621A002                  ,WDUSI621A002                  ,"PPI Commodity data for Special indexes-Inputs to 621A00, services, not seasonally adjusted, discontinued",Index base: 2013.03 = 100,2013-M03,2014-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.1
WDUSI621A0021                 ,WDUSI621A0021                 ,"PPI Commodity data for Special indexes-Inputs to 621A00, trade services, not seasonally adjusted, discontinued",Index base: 2013.03 = 100,2013-M03,2014-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.5
WDUSI621A0022                 ,WDUSI621A0022                 ,"PPI Commodity data for Special indexes-Inputs to 621A00, transportation and warehousing services, not seasonally adjusted, discontinued",Index base: 2013.03 = 100,2013-M03,2014-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.8
WDUSI621A0023                 ,WDUSI621A0023                 ,"PPI Commodity data for Special indexes-Inputs to 621A00, services less trade, transportation, and warehousing, not seasonally adjusted, discontinued",Index base: 2013.03 = 100,2013-M03,2014-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.4
