index,Index,Label,unit,start,last,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
WDU10410105                   ,WDU10410105                   ,"PPI Commodity data for Metals and metal products-Padlock combination, not seasonally adjusted, discontinued",Index base: 1982 = 100,1975-M12,1985-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.9,78.5,82.1,85.9,92.3,98.1,100.0,100.3,101.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10410106                   ,WDU10410106                   ,"PPI Commodity data for Metals and metal products-Padlock, disc tumbler, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1975-M13,31.4,31.4,31.4,38.5,47.0,48.3,51.5,52.9,53.5,59.8,66.4,72.6,75.0,75.4,80.8,83.5,83.5,85.9,86.5,91.8,100.0,102.3,105.6,111.8,117.8,123.4,130.2,157.3,181.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10410107                   ,WDU10410107                   ,"PPI Commodity data for Metals and metal products-Cabinet hardware, other than hinges, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1979-M06,15.3,15.3,15.3,15.7,18.1,18.1,18.1,18.1,19.8,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.4,20.5,22.5,25.5,26.0,26.7,27.5,28.4,29.2,30.5,36.7,43.0,49.8,54.8,59.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10410108                   ,WDU10410108                   ,"PPI Commodity data for Metals and metal products-Padlock, pin tumbler, not seasonally adjusted, discontinued",Index base: 1982 = 100,1962-M12,1985-M06,,,,,,,,,,,,,,,,23.4,24.1,24.5,25.5,27.0,28.9,29.6,30.3,34.4,36.4,37.3,39.1,47.8,58.4,59.5,60.0,61.5,68.3,77.0,88.9,100.0,100.5,98.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10410109                   ,WDU10410109                   ,"PPI Commodity data for Metals and metal products-Padlocks, not seasonally adjusted, discontinued",Index base: 1985.06 = 100,1990-M07,2007-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.4,116.7,122.1,124.3,126.8,128.5,122.8,123.1,124.8,128.6,133.5,136.7,140.6,145.5,148.4,153.3,,,,,,,,,,,,,,
WDU10410111                   ,WDU10410111                   ,"PPI Commodity data for Metals and metal products-Cabinet hinge, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1984-M09,29.8,30.7,32.6,33.5,36.7,36.7,38.2,38.8,39.6,42.9,42.7,42.6,42.5,43.2,43.5,43.5,43.5,41.6,36.8,37.8,37.4,37.8,40.1,42.5,44.6,46.5,49.4,56.6,65.5,66.9,68.4,76.4,85.2,90.8,98.8,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10410112                   ,WDU10410112                   ,"PPI Commodity data for Metals and metal products-Magnetic catch, not seasonally adjusted, discontinued",Index base: 1967.12 = 100,1968-M01,1975-M13,,,,,,,,,,,,,,,,,,,,,,102.7,106.3,111.5,117.7,122.0,124.2,140.2,154.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10410113                   ,WDU10410113                   ,"PPI Commodity data for Metals and metal products-Door lock, mortise, std. duty, keyed, not seasonally adjusted, discontinued",Index base: 1982 = 100,1975-M12,1985-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.9,69.3,75.9,86.3,93.1,100.0,103.6,106.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10410114                   ,WDU10410114                   ,"PPI Commodity data for Metals and metal products-Door lock, bored, std. duty, keyed, not seasonally adjusted, discontinued",Index base: 1982 = 100,1971-M01,1985-M06,,,,,,,,,,,,,,,,,,,,,,,,,38.9,40.2,41.9,46.2,50.3,52.3,55.7,62.0,68.7,80.9,91.0,100.0,103.6,111.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10410115                   ,WDU10410115                   ,"PPI Commodity data for Metals and metal products-Apartment door lock no. 160a, not seasonally adjusted, discontinued",Index base: 1968.12 = 100,1969-M01,1975-M13,,,,,,,,,,,,,,,,,,,,,,,100.5,105.2,108.4,111.0,114.3,121.4,128.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10410116                   ,WDU10410116                   ,"PPI Commodity data for Metals and metal products-Door lock, bored, residential, keyless, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1985-M06,21.1,22.0,21.1,22.9,27.1,25.4,26.7,27.7,27.6,29.5,31.5,32.8,33.2,33.3,34.2,34.0,32.7,33.1,34.8,38.4,38.4,36.6,37.7,40.5,42.9,43.1,44.2,49.9,53.7,55.2,60.4,65.8,72.7,83.7,94.1,100.0,103.8,108.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10410117                   ,WDU10410117                   ,"PPI Commodity data for Metals and metal products-Door lock set, front door, no. 150, not seasonally adjusted, discontinued",Index base: 1967 = 100,1962-M12,1975-M13,,,,,,,,,,,,,,,,91.7,91.7,91.8,92.6,96.7,100.0,102.8,108.2,115.9,123.5,124.7,126.9,142.9,152.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10410118                   ,WDU10410118                   ,"PPI Commodity data for Metals and metal products-Door lock, bored, residential, keyed, not seasonally adjusted, discontinued",Index base: 1982 = 100,1975-M12,1985-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,66.8,71.8,78.2,88.7,97.2,100.0,97.7,98.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10410119                   ,WDU10410119                   ,"PPI Commodity data for Metals and metal products-Exit device, not seasonally adjusted, discontinued",Index base: 1982 = 100,1968-M01,1985-M06,,,,,,,,,,,,,,,,,,,,,,35.7,36.5,39.1,39.1,39.4,40.5,42.7,,,49.5,52.9,57.0,72.7,91.3,100.0,101.2,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10410121                   ,WDU10410121                   ,"PPI Commodity data for Metals and metal products-Full mortise hinges, light wt., not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1985-M06,17.3,19.4,20.9,24.0,26.9,27.5,28.5,31.0,32.3,32.3,32.3,32.3,32.3,33.2,33.0,32.8,33.3,32.9,33.8,35.2,36.0,36.8,36.8,38.5,39.8,41.0,41.9,47.4,56.8,59.8,61.8,69.1,74.8,82.6,91.1,100.0,105.4,110.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10410122                   ,WDU10410122                   ,"PPI Commodity data for Metals and metal products-Door locks, locksets, lock trim, excluding architectural trim, not seasonally adjusted, discontinued",Index base: 1985.06 = 100,1985-M06,2007-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.3,103.6,108.4,114.0,120.0,126.8,131.9,135.4,138.8,143.9,148.3,152.9,156.2,158.0,160.3,162.9,166.3,166.4,166.3,168.7,176.3,,,,,,,,,,,,,,
WDU10410124                   ,WDU10410124                   ,"PPI Commodity data for Metals and metal products-Hinges, excluding cabinet hinges, including spring hinges, not seasonally adjusted, discontinued",Index base: 1985.06 = 100,1985-M06,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.3,95.8,100.8,104.8,108.2,106.8,106.8,108.6,110.0,111.7,111.4,107.9,106.9,106.3,107.0,108.6,108.7,109.0,,,,,,,,,,,,,,,,,
WDU10410125                   ,WDU10410125                   ,"PPI Commodity data for Metals and metal products-Sash fastener, not seasonally adjusted, discontinued",Index base: 1982 = 100,1968-M01,1985-M06,,,,,,,,,,,,,,,,,,,,,,33.8,36.2,38.3,39.0,39.4,40.9,56.9,71.8,73.0,79.8,77.1,81.3,86.0,95.9,100.0,108.8,114.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10410126                   ,WDU10410126                   ,"PPI Commodity data for Metals and metal products-Sash lift, not seasonally adjusted, discontinued",Index base: 1967.12 = 100,1968-M01,1975-M13,,,,,,,,,,,,,,,,,,,,,,101.2,108.0,119.4,,124.8,132.0,175.6,208.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10410127                   ,WDU10410127                   ,"PPI Commodity data for Metals and metal products-Casement operator, not seasonally adjusted, discontinued",Index base: 1967.12 = 100,1968-M01,1972-M13,,,,,,,,,,,,,,,,,,,,,,102.9,110.3,143.2,142.7,147.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10410129                   ,WDU10410129                   ,"PPI Commodity data for Metals and metal products-Screen door closer, pneumatic type, not seasonally adjusted, discontinued",Index base: 1982 = 100,1971-M01,1982-M13,,,,,,,,,,,,,,,,,,,,,,,,,37.7,39.0,40.7,47.8,53.8,57.5,63.5,69.0,75.1,83.7,93.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10410131                   ,WDU10410131                   ,"PPI Commodity data for Metals and metal products-Door closer, overhead, commodity grade, not seasonally adjusted, discontinued",Index base: 1982 = 100,1963-M01,1985-M06,,,,,,,,,,,,,,,,,44.6,44.6,44.6,44.6,45.7,46.0,46.8,47.3,47.3,48.3,49.9,54.9,60.2,,66.0,71.6,78.6,88.3,96.6,100.0,107.0,111.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10410132                   ,WDU10410132                   ,"PPI Commodity data for Metals and metal products-Door controls, closers and checking devices, not seasonally adjusted, discontinued",Index base: 1985.06 = 100,1985-M06,1998-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.7,105.3,110.4,112.2,120.8,125.6,129.6,133.9,136.7,142.4,148.5,153.6,,,,,,,,,,,,,,,,,,,,,,,
WDU10410134                   ,WDU10410134                   ,"PPI Commodity data for Metals and metal products-Sliding door hardware, not seasonally adjusted, discontinued",Index base: 1967.12 = 100,1968-M01,1975-M13,,,,,,,,,,,,,,,,,,,,,,101.1,108.3,115.2,122.6,125.1,127.2,141.4,159.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10410135                   ,WDU10410135                   ,"PPI Commodity data for Metals and metal products-Kick plate, not seasonally adjusted, discontinued",Index base: 1982 = 100,1976-M12,1979-M08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.5,79.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10410136                   ,WDU10410136                   ,"PPI Commodity data for Metals and metal products-Door stop, not seasonally adjusted, discontinued",Index base: 1982 = 100,1976-M12,1985-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.7,77.6,82.6,87.3,94.7,100.0,107.6,113.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10410137                   ,WDU10410137                   ,"PPI Commodity data for Metals and metal products-Cabinet pull, not seasonally adjusted, discontinued",Index base: 1982 = 100,1975-M12,1984-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.6,63.8,70.5,75.1,84.3,95.7,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
