index,Index,Label,unit,start,last,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
WDU05110101                   ,WDU05110101                   ,"PPI Commodity data for Fuels and related products and power-Chestnut, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1986-M13,,,,,,,,,,,,,,,,,,,,,,14.2,15.9,16.6,17.3,19.5,19.7,21.3,19.2,17.7,18.5,20.0,19.5,19.4,19.1,18.3,17.8,18.3,19.0,17.7,17.5,17.6,18.8,20.0,22.1,23.5,24.4,26.9,40.2,60.2,62.2,62.4,63.3,64.3,72.5,87.7,100.0,97.6,98.3,100.2,99.4,,,,,,,,,,,,,,,,,,,,,,,,
WDU05110103                   ,WDU05110103                   ,"PPI Commodity data for Fuels and related products and power-Buckwheat no. 1, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1986-M13,,,,,,,,,,,,,,,,,,,,,,8.9,9.9,10.1,10.4,11.6,12.2,14.8,14.2,13.5,13.4,15.2,15.4,15.6,15.4,14.5,14.2,14.5,14.5,14.0,13.9,14.0,15.0,16.9,19.4,22.2,23.3,25.8,37.8,57.6,59.6,61.6,64.2,65.7,73.3,89.9,100.0,,,,100.6,,,,,,,,,,,,,,,,,,,,,,,,
WDU05110104                   ,WDU05110104                   ,"PPI Commodity data for Fuels and related products and power-Buckwheat no. 2, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.5,100.0,96.5,96.3,97.8,98.6,,,,,,,,,,,,,,,,,,,,,,,,
WDU05110106                   ,WDU05110106                   ,"PPI Commodity data for Fuels and related products and power-Buckwheat no. 4, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,94.5,88.6,90.6,91.2,,,,,,,,,,,,,,,,,,,,,,,,
WDU05110107                   ,WDU05110107                   ,"PPI Commodity data for Fuels and related products and power-Buckwheat no. 5, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M06,1984-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,94.2,88.6,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU05110109                   ,WDU05110109                   ,"PPI Commodity data for Fuels and related products and power-Stove, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,100.0,97.6,97.6,99.5,98.8,,,,,,,,,,,,,,,,,,,,,,,,
WDU05110111                   ,WDU05110111                   ,"PPI Commodity data for Fuels and related products and power-Pea, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.1,100.0,97.8,96.4,98.5,100.8,,,,,,,,,,,,,,,,,,,,,,,,
WDU051201                     ,WDU051201                     ,"PPI Commodity data for Fuels and related products and power-Domestic sizes, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1981-M13,,,,,,,,,,,,,,,,,,,,,,70.5,86.1,86.6,89.1,89.1,89.1,90.2,88.2,89.3,93.5,98.4,99.7,101.2,101.1,99.7,98.1,98.2,96.5,96.4,97.9,100.0,102.6,108.5,141.9,166.6,176.2,192.0,367.4,538.0,499.2,516.8,558.3,576.7,581.5,606.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU05120101                   ,WDU05120101                   ,"PPI Commodity data for Fuels and related products and power-Retail dealers, not seasonally adjusted, discontinued",Index base: 1973.12 = 100,1974-M04,1981-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.4,254.5,236.1,244.5,264.2,272.8,275.1,287.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU05120104                   ,WDU05120104                   ,"PPI Commodity data for Fuels and related products and power-Large sizes, not seasonally adjusted, discontinued",Index base: 1967 = 100,1954-M05,1973-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.2,89.4,92.9,97.5,98.6,100.3,100.4,99.3,97.9,98.1,96.5,96.9,98.6,100.0,103.6,108.9,136.4,154.2,162.4,175.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU05120105                   ,WDU05120105                   ,"PPI Commodity data for Fuels and related products and power-Stoker, not seasonally adjusted, discontinued",Index base: 1967 = 100,1955-M01,1973-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.7,96.3,101.7,103.3,104.6,104.1,102.1,100.1,100.0,97.9,96.9,97.9,100.0,101.8,108.2,147.6,179.3,190.2,206.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU051202                     ,WDU051202                     ,"PPI Commodity data for Fuels and related products and power-Spot sales of prepared bituminous coal, not seasonally adjusted, discontinued",Index base: 1982 = 100,1954-M05,2001-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,18.4,20.5,22.4,22.0,21.4,21.2,21.0,21.0,20.9,21.1,21.1,21.8,22.8,23.7,25.7,34.9,42.7,45.6,51.5,76.9,84.8,80.3,84.0,90.7,89.9,90.2,95.7,100.0,101.3,103.5,99.6,98.2,94.8,93.5,90.9,95.0,92.6,89.8,89.3,94.5,92.1,90.6,91.5,92.6,92.3,90.3,121.2,,,,,,,,,
WDU05120208                   ,WDU05120208                   ,"PPI Commodity data for Fuels and related products and power-Screenings, not seasonally adjusted, discontinued",Index base: 1967 = 100,1954-M05,1973-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.5,80.0,89.7,98.1,95.9,93.1,92.1,91.2,90.8,90.9,91.9,91.8,94.8,100.0,103.6,112.8,153.2,187.3,199.2,226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU05120209                   ,WDU05120209                   ,"PPI Commodity data for Fuels and related products and power-Steam electric utilities, not seasonally adjusted, discontinued",Index base: 1982 = 100,1973-M12,2001-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9,80.8,71.1,77.3,88.8,84.9,88.2,96.8,,,,101.2,100.5,97.2,96.1,92.4,96.4,94.1,91.0,90.6,97.2,95.2,92.7,92.2,93.6,93.6,91.3,130.1,,,,,,,,,
WDU05120211                   ,WDU05120211                   ,"PPI Commodity data for Fuels and related products and power-Manufacturing, not seasonally adjusted, discontinued",Index base: 1973.12 = 100,1973-M12,1981-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.1,230.0,224.2,233.1,252.7,251.4,250.8,267.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU05120212                   ,WDU05120212                   ,"PPI Commodity data for Fuels and related products and power-Metallurgical/coke producers, not seasonally adjusted, discontinued",Index base: 1982 = 100,1958-M01,1995-M03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,12.5,12.5,12.4,12.4,12.4,12.5,12.5,12.8,13.0,13.2,14.3,19.6,24.0,25.7,28.1,55.1,80.6,85.2,87.0,91.3,92.0,90.5,94.7,100.0,,,,,85.2,85.1,87.2,91.4,85.0,,,86.4,,,,,,,,,,,,,,,,
