index,Index,Label,unit,start,last,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
CUURA104AA0      ,CUURA104AA0      ,"All items - old base in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1967=100,1917-M12,1997-M13,45.2,51.9,59.6,53.3,49.7,50.8,51.3,53.0,53.4,52.5,52.1,52.1,50.4,45.7,40.6,38.0,39.5,40.7,41.2,42.8,41.9,41.0,41.6,43.8,48.3,51.4,52.4,53.7,58.3,67.7,72.5,71.6,72.2,78.2,79.7,80.2,80.9,80.3,82.3,84.9,87.5,88.6,90.5,91.3,92.1,93.1,94.3,95.8,98.3,100.0,104.7,110.4,116.4,121.5,125.3,132.9,147.3,160.0,168.3,179.8,195.5,217.3,247.2,272.5,288.0,308.4,319.0,326.2,330.2,340.0,350.6,366.4,385.1,400.8,414.9,426.9,441.3,455.2,467.5,479.2
CUURA104SA0      ,CUURA104SA0      ,"All items in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1917-M12,1997-M13,14.8,17.0,19.5,17.5,16.3,16.6,16.8,17.4,17.5,17.2,17.1,17.1,16.5,15.0,13.3,12.5,12.9,13.3,13.5,14.0,13.7,13.4,13.6,14.4,15.8,16.8,17.2,17.6,19.1,22.2,23.8,23.5,23.7,25.6,26.1,26.3,26.5,26.3,27.0,27.8,28.7,29.0,29.7,29.9,30.2,30.5,30.9,31.4,32.2,32.8,34.3,36.2,38.1,39.8,41.1,43.6,48.3,52.4,55.2,58.9,64.1,71.2,81.0,89.3,94.4,101.1,104.5,106.9,108.2,111.4,114.9,120.1,126.2,131.3,136.0,139.9,144.6,149.2,153.2,157.0
CUURA104SA0E     ,CUURA104SA0E     ,"Energy in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1978-M04,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.9,82.4,93.3,95.1,100.9,104.0,104.7,92.5,92.2,90.5,97.8,109.2,113.4,112.9,111.9,116.5,119.4,120.2,125.5
CUURA104SA0L1E   ,CUURA104SA0L1E   ,"All items less food and energy in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1982-M02,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.3,101.0,105.7,108.7,112.0,115.5,120.2,124.7,130.1,135.8,141.6,146.1,151.1,156.4,160.5,164.5
CUURA104SA0L2    ,CUURA104SA0L2    ,"All items less shelter in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1976-M01,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.4,62.5,67.0,73.5,81.8,90.2,95.4,100.6,104.0,106.0,106.3,109.4,112.8,118.7,124.8,129.4,133.3,136.9,140.7,145.0,149.0,153.2
CUURA104SA0L5    ,CUURA104SA0L5    ,"All items  less medical care in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2,34.8,36.6,38.6,40.4,41.5,44.1,48.9,53.0,55.6,59.3,64.5,71.7,81.6,89.9,94.7,101.1,104.2,106.4,107.3,110.1,113.4,118.4,124.1,128.7,133.0,136.6,141.0,145.5,149.1,152.9
CUURA104SA0LE    ,CUURA104SA0LE    ,"All items less energy in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1978-M04,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,80.9,88.8,94.3,101.1,104.6,107.2,110.4,114.2,118.3,123.2,128.7,134.0,139.3,143.8,148.5,153.4,157.8,161.4
CUURA104SAA      ,CUURA104SAA      ,"Apparel in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1952-M10,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,42.9,42.2,43.2,44.4,44.5,44.6,45.3,45.6,45.9,46.9,47.7,48.6,49.9,51.2,54.2,57.8,59.1,61.2,63.3,65.4,70.5,72.5,73.8,75.2,77.6,82.6,87.1,93.7,97.7,101.2,101.2,102.8,100.4,107.0,114.2,121.2,125.0,129.5,133.0,134.5,133.2,135.3,134.6,140.9
CUURA104SAC      ,CUURA104SAC      ,"Commodities in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2,38.9,40.7,42.5,43.8,44.9,48.3,54.1,58.5,60.6,63.7,68.5,76.1,85.5,92.9,96.0,101.1,102.9,104.2,102.8,106.2,109.7,114.6,120.1,123.8,126.6,129.6,132.2,135.7,139.2,142.6
CUURA104SACL1    ,CUURA104SACL1    ,"Commodities less food in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,41.4,43.2,44.9,46.4,47.3,48.9,53.4,57.6,60.3,62.7,66.4,74.0,84.6,92.2,95.0,100.9,104.1,105.5,101.5,104.1,108.3,112.5,117.7,121.1,123.7,125.8,127.8,131.6,133.8,137.7
