index,Index,Label,unit,start,last,1997-S1,1997-S2,1998-S1,1998-S2,1999-S1,1999-S2,2000-S1,2000-S2,2001-S1,2001-S2,2002-S1,2002-S2,2003-S1,2003-S2,2004-S1,2004-S2,2005-S1,2005-S2,2006-S1,2006-S2,2007-S1,2007-S2,2008-S1,2008-S2,2009-S1,2009-S2,2010-S1,2010-S2,2011-S1,2011-S2,2012-S1,2012-S2,2013-S1,2013-S2,2014-S1,2014-S2,2015-S1,2015-S2,2016-S1,2016-S2,2017-S1,2017-S2
CUUSA311SAD      ,CUUSA311SAD      ,"Durables in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2017-S03,,,99.9,99.5,99.1,97.7,98.0,97.6,96.9,96.0,95.1,95.2,94.9,92.4,91.7,91.2,91.0,90.1,89.7,88.8,88.38,87.063,87.032,85.68,85.635,85.649,86.006,85.811,85.015,85.657,84.722,83.81,83.983,83.668,83.241,82.348,81.092,80.28,79.984,78.382,78.633,76.699
CUUSA311SAE      ,CUUSA311SAE      ,"Education and communication in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2017-S03,,,100.4,102.3,102.0,103.1,103.3,104.7,106.3,109.6,110.5,112.5,112.6,112.6,112.4,113.9,115.4,118.5,120.7,123.8,123.298,126.613,127.079,130.223,131.188,133.407,135.196,137.448,136.922,139.373,140.767,142.273,142.691,143.73,144.694,147.832,147.792,152.488,153.137,151.996,150.851,151.688
CUUSA311SAEC     ,CUUSA311SAEC     ,"Education and communication commodities in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2017-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,99.176,97.999,96.324,95.081,92.012,89.969,91.993,91.281,88.019,85.249,83.059,83.706,78.767,78.705,77.701,78.214
CUUSA311SAES     ,CUUSA311SAES     ,"Education and communication services in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2017-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,100.791,102.746,102.48,104.604,106.066,107.544,107.661,108.602,109.798,112.789,113.041,116.892,118.079,117.13,116.301,116.936
CUUSA311SAF      ,CUUSA311SAF      ,"Food and beverages in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1996.11=100,1997-S01,2017-S03,99.9,100.4,101.5,101.7,103.1,103.2,104.8,106.2,107.8,109.6,111.4,112.1,113.2,115.9,119.3,120.7,121.8,124.0,125.6,126.8,129.151,132.142,134.823,138.883,139.647,139.329,139.372,140.33,144.41,146.45,147.982,148.858,150.132,150.948,153.055,154.25,155.302,156.014,156.377,156.863,157.53,158.675
CUUSA311SAF1     ,CUUSA311SAF1     ,"Food in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1996.11=100,1997-S01,2017-S03,99.7,100.2,101.4,101.6,103.1,103.1,104.9,106.3,107.9,109.5,111.3,112.2,113.2,116.3,119.9,121.2,122.3,124.8,126.2,127.6,129.844,133.073,135.921,140.318,141.092,140.495,140.723,141.66,145.957,148.134,149.661,150.57,151.653,152.333,154.508,155.682,156.636,157.407,157.792,158.298,158.903,160.207
CUUSA311SAF11    ,CUUSA311SAF11    ,"Food at home in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2017-S03,,,100.5,99.5,100.9,100.7,102.1,103.2,105.2,107.1,109.1,109.5,110.0,114.2,118.3,119.8,119.9,123.1,123.3,124.0,126.992,129.086,132.817,137.072,136.538,135.126,135.018,135.51,140.947,143.976,145.268,144.832,145.316,145.548,147.637,148.063,148.3,148.613,147.904,146.489,146.632,147.056
CUUSA311SAF116   ,CUUSA311SAF116   ,"Alcoholic beverages in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.11=100,1998-S01,2017-S03,,,100.5,100.2,100.3,101.1,102.3,102.8,105.0,107.6,109.3,108.6,110.5,108.8,110.3,111.6,112.5,111.5,113.9,114.1,116.662,117.353,118.376,118.929,119.571,122.033,120.257,121.39,123.158,123.779,125.526,126.002,129.501,131.921,133.031,134.401,136.43,136.514,136.548,136.755,138.27,137.234
CUUSA311SAG      ,CUUSA311SAG      ,"Other goods and services in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1996.11=100,1997-S01,2017-S03,101.5,103.8,105.6,107.7,112.6,116.8,119.9,121.5,121.6,127.2,130.7,134.6,134.8,135.3,136.1,137.8,138.6,142.2,142.2,143.5,147.483,149.151,153.864,155.026,161.729,164.857,167.582,167.714,168.956,171.54,173.654,173.874,175.645,176.576,178.411,179.898,177.617,179.133,178.667,179.141,178.199,178.47
CUUSA311SAGC     ,CUUSA311SAGC     ,"Other goods in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2017-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,99.036,97.261,98.105,99.729,100.716,100.757,102.371,102.432,103.338,104.72,100.627,101.485,100.024,98.941,96.604,96.698
