index,Index,Label,unit,start,last,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CUUR0200AA0      ,CUUR0200AA0      ,"All items - old base in Midwest urban, all urban consumers, not seasonally adjusted",Index base: 1977.12=100,1966-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.4,56.7,59.8,63.2,65.5,67.5,71.5,79.3,86.2,91.2,97.4,105.3,118.2,134.0,146.6,157.0,162.6,168.6,173.7,175.8,182.1,189.0,197.6,207.3,215.5,221.4,227.8,234.4,241.5,248.9,255.0,259.1,264.7,273.9,281.2,284.5,290.1,297.1,306.6,314.0,322.357,334.168,332.024,338.502,349.398,356.488,361.483,366.779,364.802,367.902,374.018,381.203,386.875,390.558,410.411
CUUR0200SA0      ,CUUR0200SA0      ,"All items in Midwest urban, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1966-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4,34.8,36.8,38.8,40.3,41.5,43.9,48.7,53.0,56.1,59.9,64.7,72.6,82.4,90.1,96.5,99.9,103.6,106.8,108.0,111.9,116.1,121.5,127.4,132.4,136.1,140.0,144.0,148.4,153.0,156.7,159.3,162.7,168.3,172.8,174.9,178.3,182.6,188.4,193.0,198.123,205.382,204.064,208.046,214.743,219.1,222.17,225.425,224.21,226.115,229.874,234.29,237.776,240.04,252.242
CUUR0200SA0E     ,CUUR0200SA0E     ,"Energy in Midwest urban, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,66.4,84.8,95.1,97.5,101.0,101.6,102.7,89.2,90.2,90.1,94.9,100.8,100.1,99.4,100.6,100.5,100.4,107.4,108.3,101.2,104.6,124.3,128.1,119.0,135.0,150.3,175.5,191.3,205.007,231.596,185.759,206.482,238.608,239.106,238.152,238.213,195.657,183.105,197.181,208.171,202.478,182.916,226.72
CUUR0200SA0L1    ,CUUR0200SA0L1    ,"All items less food in Midwest urban, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,71.0,81.1,89.2,96.2,100.0,103.8,107.3,108.2,111.9,116.1,121.3,126.9,132.1,136.2,140.4,144.6,149.0,153.5,157.1,159.6,163.0,168.9,173.3,175.3,178.8,183.0,189.0,193.6,198.424,205.037,202.746,207.121,213.606,217.716,220.828,223.648,221.65,223.775,227.957,232.674,236.146,237.705,250.15
CUUR0200SA0L1E   ,CUUR0200SA0L1E   ,"All items less food and energy in Midwest urban, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.5,71.6,80.6,88.2,95.9,99.9,104.2,108.1,111.8,116.3,121.2,126.4,132.1,138.3,143.2,147.8,152.8,157.9,162.0,166.2,170.1,173.6,177.4,181.9,185.8,187.7,190.4,193.8,197.1,200.849,204.968,208.319,210.705,214.124,218.711,222.396,225.671,228.645,232.667,235.77,239.819,244.455,248.399,257.667
CUUR0200SA0L2    ,CUUR0200SA0L2    ,"All items less shelter in Midwest urban, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.8,74.8,83.3,91.2,96.4,100.0,103.7,106.4,106.8,110.2,114.2,119.6,125.5,130.4,133.7,137.4,141.0,144.8,149.0,152.2,153.9,156.9,162.5,166.7,167.2,170.5,174.9,181.6,186.5,191.767,200.584,198.087,203.423,211.717,216.144,218.535,221.236,217.495,217.561,220.359,223.484,225.053,225.969,239.371
CUUR0200SA0L5    ,CUUR0200SA0L5    ,"All items  less medical care in Midwest urban, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.9,72.9,82.7,90.4,96.7,99.9,103.4,106.4,107.3,111.0,115.0,120.1,125.7,130.2,133.4,137.0,140.6,144.7,149.2,152.9,155.1,158.3,163.7,167.8,169.5,172.5,176.4,181.9,186.0,190.653,197.727,195.846,199.448,205.883,209.738,212.395,215.221,213.437,214.581,218.041,222.449,225.495,226.914,239.393
CUUR0200SA0LE    ,CUUR0200SA0LE    ,"All items less energy in Midwest urban, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.2,73.4,82.0,89.5,96.4,99.8,103.9,107.4,110.9,115.3,120.1,125.5,131.5,137.3,141.5,145.8,150.4,155.4,159.7,163.8,167.6,171.0,174.9,179.5,183.2,185.2,188.3,192.0,195.3,199.533,204.765,208.286,210.531,214.636,219.418,222.956,226.636,229.699,233.167,235.955,239.755,244.217,248.572,258.016
CUUR0200SAA      ,CUUR0200SAA      ,"Apparel in Midwest urban, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1966-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8,54.8,57.7,60.1,62.1,63.4,65.8,70.4,73.7,76.4,80.0,81.7,84.9,90.5,94.6,97.8,100.5,101.7,104.6,104.5,108.8,115.5,118.7,123.2,126.9,129.1,130.9,131.4,130.5,129.7,131.8,130.6,128.0,124.8,122.9,118.3,115.2,114.8,113.3,110.2,110.171,111.29,112.08,111.807,114.251,119.171,121.148,121.977,118.191,117.172,117.806,117.455,116.159,109.972,111.721
CUUR0200SAC      ,CUUR0200SAC      ,"Commodities in Midwest urban, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.9,77.2,86.3,93.0,97.0,99.9,103.0,104.9,103.5,107.0,110.8,116.0,121.9,125.5,127.6,130.1,132.8,135.6,138.9,140.9,141.0,143.1,147.4,149.0,147.4,148.0,150.7,156.1,159.3,163.258,170.503,166.025,170.675,180.076,183.937,184.183,184.873,178.077,175.471,176.84,179.17,179.516,178.231,192.835
