index,Index,Label,unit,start,last,1984-S1,1984-S2,1985-S1,1985-S2,1986-S1,1986-S2,1987-S1,1987-S2,1988-S1,1988-S2,1989-S1,1989-S2,1990-S1,1990-S2,1991-S1,1991-S2,1992-S1,1992-S2,1993-S1,1993-S2,1994-S1,1994-S2,1995-S1,1995-S2,1996-S1,1996-S2,1997-S1,1997-S2,1998-S1,1998-S2,1999-S1,1999-S2,2000-S1,2000-S2,2001-S1,2001-S2,2002-S1,2002-S2,2003-S1,2003-S2,2004-S1,2004-S2,2005-S1,2005-S2,2006-S1,2006-S2,2007-S1,2007-S2,2008-S1,2008-S2,2009-S1,2009-S2,2010-S1,2010-S2,2011-S1,2011-S2,2012-S1,2012-S2,2013-S1,2013-S2,2014-S1,2014-S2,2015-S1,2015-S2,2016-S1,2016-S2,2017-S1,2017-S2,2018-S1,2018-S2,2019-S1,2019-S2,2020-S1,2020-S2,2021-S1,2021-S2
CUUS0400AA0      ,CUUS0400AA0      ,"All items - old base in West urban, all urban consumers, not seasonally adjusted",Index base: 1977.12=100,1984-S01,2021-S03,165.4,169.4,172.6,176.4,177.5,179.6,183.0,186.6,190.2,194.3,199.4,203.5,209.2,215.8,220.1,223.7,227.9,231.3,235.1,237.4,240.3,243.4,247.2,249.1,253.2,256.4,259.6,262.2,264.5,267.1,271.2,274.7,279.8,285.4,291.3,294.4,297.4,299.8,304.3,305.3,310.2,313.6,318.6,324.4,330.5,334.5,340.893,345.224,354.028,356.064,352.039,355.387,356.896,358.231,366.008,369.427,374.296,376.949,380.015,382.377,386.919,389.67,390.807,394.832,398.048,402.755,409.141,414.4,422.6,428.502,433.899,440.112,442.334,446.895,456.411,473.024
CUUS0400SA0      ,CUUS0400SA0      ,"All items in West urban, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,102.3,104.8,106.8,109.1,109.8,111.1,113.2,115.5,117.7,120.2,123.3,125.9,129.4,133.5,136.2,138.4,141.0,143.1,145.5,146.9,148.7,150.6,152.9,154.1,156.6,158.6,160.6,162.2,163.6,165.2,167.8,170.0,173.1,176.5,180.2,182.1,184.0,185.5,188.2,188.9,191.9,194.0,197.1,200.7,204.5,206.9,210.89,213.57,219.016,220.276,217.786,219.857,220.79,221.616,226.428,228.543,231.555,233.196,235.093,236.555,239.365,241.066,241.77,244.26,246.25,249.161,253.112,256.365,261.438,265.089,268.428,272.272,273.646,276.468,282.355,292.632
CUUS0400SA0E     ,CUUS0400SA0E     ,"Energy in West urban, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,100.2,101.8,102.0,102.9,92.8,84.7,87.1,91.0,89.8,92.3,96.1,97.5,98.5,111.2,105.3,105.6,106.7,112.8,111.5,111.9,110.3,115.1,114.2,113.5,114.6,115.3,115.0,118.2,108.7,107.7,111.6,118.7,125.8,137.5,145.6,139.1,134.5,141.4,154.2,152.8,163.6,172.3,180.5,205.9,215.0,216.1,225.166,231.18,261.496,248.296,196.891,225.735,232.472,236.956,268.421,269.636,278.326,275.509,276.194,273.287,278.344,268.234,239.56,239.155,219.183,228.848,235.73,242.664,259.838,269.855,263.267,272.289,247.337,248.294,280.06,316.911
CUUS0400SA0L1    ,CUUS0400SA0L1    ,"All items less food in West urban, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,102.2,104.9,107.0,109.8,110.2,111.4,113.3,115.9,118.1,120.5,123.3,125.9,129.2,133.6,136.1,138.9,141.5,143.9,146.3,147.8,149.5,151.5,153.7,155.0,157.5,159.3,161.1,162.7,163.9,165.5,168.0,170.5,173.9,177.4,181.1,182.9,184.7,186.2,189.1,189.3,192.1,194.3,197.5,201.4,205.5,208.1,211.751,214.229,219.645,220.16,217.261,220.021,220.918,221.723,226.381,228.2,231.311,232.977,234.858,236.392,239.098,240.307,240.843,243.367,245.51,248.996,253.149,256.661,262.123,266.004,269.203,273.322,273.767,275.987,282.161,292.383
CUUS0400SA0L1E   ,CUUS0400SA0L1E   ,"All items less food and energy in West urban, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,102.5,105.4,107.9,110.7,112.8,115.3,117.4,119.8,122.4,124.7,127.5,130.3,133.8,137.4,140.9,143.9,146.8,148.8,151.5,153.2,155.3,157.0,159.5,161.1,163.8,165.6,167.8,169.2,171.5,173.4,175.9,177.9,180.9,183.5,186.8,189.5,192.0,193.0,194.9,195.2,197.4,198.9,201.7,203.4,207.1,209.8,213.067,215.233,218.343,220.165,221.832,222.152,222.519,222.991,225.205,227.102,229.67,231.791,233.811,235.795,238.411,240.644,243.792,246.607,250.747,253.732,257.695,260.948,265.481,268.885,272.959,276.708,279.227,281.575,285.772,293.982
CUUS0400SA0L2    ,CUUS0400SA0L2    ,"All items less shelter in West urban, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,102.8,104.9,106.6,108.2,108.3,109.0,111.0,113.1,115.4,117.9,121.4,123.5,127.0,130.9,133.4,135.4,137.9,140.2,142.6,143.9,145.7,147.5,150.0,150.7,153.3,154.9,156.7,157.9,158.5,159.3,161.4,163.1,165.9,169.2,172.1,172.5,173.4,174.8,177.7,177.9,181.1,183.0,186.0,190.2,193.3,195.0,197.916,200.26,206.234,206.98,202.831,206.858,209.309,210.592,216.733,218.804,221.759,222.992,224.188,224.664,226.855,227.098,225.654,226.585,226.386,227.241,229.611,231.323,235.676,238.065,239.739,242.102,242.182,245.166,252.053,262.993
CUUS0400SA0L5    ,CUUS0400SA0L5    ,"All items  less medical care in West urban, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,102.3,104.7,106.6,108.8,109.3,110.3,112.3,114.4,116.6,118.9,121.9,124.3,127.6,131.5,134.0,135.9,138.3,140.2,142.4,143.6,145.3,147.1,149.3,150.4,152.8,154.7,156.6,158.1,159.5,161.1,163.5,165.6,168.6,172.0,175.5,177.2,178.9,180.2,182.8,183.3,186.1,188.2,191.0,194.5,198.1,200.4,204.074,206.567,211.828,213.014,210.078,212.032,212.681,213.402,218.077,220.086,222.879,224.332,226.19,227.551,230.19,231.791,232.131,234.576,236.206,238.934,242.918,246.023,250.925,254.49,257.608,261.034,261.693,264.421,270.538,281.045
CUUS0400SA0LE    ,CUUS0400SA0LE    ,"All items less energy in West urban, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,102.6,105.1,107.4,109.9,111.9,114.2,116.4,118.5,121.1,123.6,126.7,129.4,133.2,136.5,140.0,142.4,145.1,146.9,149.6,151.1,153.2,154.9,157.5,158.9,161.6,163.7,165.9,167.3,169.8,171.6,174.1,175.8,178.6,181.3,184.6,187.3,189.8,190.8,192.7,193.6,196.0,197.5,200.2,201.9,205.4,208.0,211.53,213.959,217.432,219.873,221.322,221.243,221.727,222.269,225.004,227.209,229.761,231.779,233.792,235.621,238.351,240.961,243.895,246.624,250.292,252.723,256.486,259.49,263.729,266.947,271.037,274.536,277.738,280.71,284.889,293.45
CUUS0400SAA      ,CUUS0400SAA      ,"Apparel in West urban, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,100.3,103.1,104.0,105.9,104.1,106.8,108.4,110.7,112.9,112.0,114.7,113.6,118.3,119.4,122.5,124.8,127.0,125.0,126.3,124.1,126.0,124.4,125.1,122.2,126.4,123.4,124.3,121.9,123.4,122.4,122.9,120.3,121.3,119.7,119.8,115.4,116.1,112.7,114.2,110.2,113.3,110.1,110.7,108.9,110.9,113.2,112.476,111.963,113.569,111.109,114.301,112.652,113.342,111.854,114.037,115.828,118.939,119.949,120.619,119.442,120.335,120.366,119.268,118.365,119.67,119.343,119.245,118.267,118.842,117.669,116.761,116.184,113.234,111.891,114.558,117.799
CUUS0400SAC      ,CUUS0400SAC      ,"Commodities in West urban, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,102.4,103.7,105.2,105.8,104.7,104.1,106.4,108.1,109.8,111.9,115.6,117.1,120.7,124.1,125.7,126.6,128.7,130.3,131.8,131.8,132.9,134.5,136.2,136.3,139.5,140.1,141.6,142.0,142.1,142.3,144.6,145.9,148.3,150.6,152.0,151.0,150.6,150.7,153.0,152.0,155.2,156.0,158.5,161.7,163.5,164.3,166.724,168.064,173.881,172.504,166.157,170.03,171.972,172.287,179.43,180.953,183.841,183.57,183.887,182.998,184.39,183.451,180.244,180.277,178.129,177.891,180.166,180.852,184.299,185.634,186.576,188.313,187.47,190.497,197.339,209.255
