index,Index,Label,unit,start,last,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CUUR0000SAT      ,CUUR0000SAT      ,"Transportation in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1935-M03,2022-M02,14.2,14.3,14.5,14.6,14.3,14.2,14.7,16.0,15.9,15.9,15.9,16.7,18.5,20.6,22.1,22.7,24.1,25.7,26.5,26.1,25.8,26.2,27.7,28.6,29.8,29.8,30.1,30.8,30.9,31.4,31.9,32.3,33.3,34.3,35.7,37.5,39.5,39.9,41.2,45.8,50.1,55.1,59.0,61.7,70.5,83.1,93.2,97.0,99.3,103.7,106.4,102.3,105.4,108.7,114.1,120.5,123.8,126.5,130.4,134.3,139.1,143.0,144.3,141.6,144.4,153.3,154.3,152.9,157.6,163.1,173.9,180.9,184.682,195.549,179.252,193.396,212.366,217.337,217.412,215.939,199.067,194.894,201.565,210.664,210.068,201.334,230.657
CUUR0000SAT1     ,CUUR0000SAT1     ,"Private transportation in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1935-M03,2022-M02,14.6,14.9,15.4,15.5,14.9,14.7,15.5,17.7,17.4,17.4,17.3,18.3,20.8,23.0,24.4,24.5,25.6,27.3,27.8,27.1,26.7,27.1,28.6,29.5,30.8,30.6,30.8,31.4,31.6,32.0,32.5,32.9,33.8,34.8,36.0,37.5,39.4,39.7,41.0,46.2,50.6,55.6,59.7,62.5,71.7,84.2,93.8,97.1,99.3,103.6,106.2,101.2,104.2,107.6,112.9,118.8,121.9,124.6,127.5,131.4,136.3,140.0,141.0,137.9,140.5,149.1,150.0,148.8,153.6,159.4,170.2,177.0,180.778,191.039,174.762,188.747,207.641,212.752,212.399,210.994,193.698,189.502,196.635,206.442,205.774,198.661,229.703
CUUR0000SATCLTB  ,CUUR0000SATCLTB  ,"Transportation commodities less motor fuel in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.128,104.566,106.125,106.553,106.464,106.436,105.765,104.285,104.116,104.835,106.505,121.272
CUUR0000SETA     ,CUUR0000SETA     ,"New and used motor vehicles in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1993-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.8,95.5,99.4,101.0,100.5,100.1,100.1,100.8,101.3,99.2,96.5,94.2,95.6,95.6,94.303,93.291,93.486,97.149,99.77,100.604,100.931,100.796,100.754,100.209,98.878,99.13,99.453,100.68,114.491
CUUR0000SETA01   ,CUUR0000SETA01   ,"New vehicles in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1935-M13,2022-M02,20.3,20.4,20.8,21.8,21.3,21.4,23.0,,,,,,34.1,37.3,40.9,41.2,43.1,46.8,47.3,46.5,44.9,46.1,48.6,50.1,52.3,51.6,51.6,51.4,51.1,50.9,49.8,48.9,49.3,50.7,51.5,53.1,55.3,54.8,54.8,58.0,63.0,67.0,70.5,75.9,81.9,88.5,93.9,97.5,99.9,102.6,106.1,110.6,114.4,116.5,119.2,121.4,126.0,129.2,132.7,137.6,141.0,143.7,144.3,143.4,142.9,142.8,142.1,140.0,137.9,137.1,137.9,137.6,136.254,134.194,135.623,138.005,141.883,144.232,145.783,146.275,147.135,147.358,146.992,146.287,146.834,147.6,156.24
CUUR0000SETA02   ,CUUR0000SETA02   ,"Used cars and trucks in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1952-M12,2022-M02,,,,,,,,,,,,,,,,,,,26.7,22.7,21.5,20.7,23.2,24.0,26.8,25.0,26.0,28.4,28.7,30.0,29.8,29.0,29.9,,30.9,31.2,33.0,33.1,35.2,36.7,43.8,50.3,54.7,55.8,60.2,62.3,76.9,88.8,98.7,112.5,113.7,108.8,113.1,118.0,120.4,117.6,118.1,123.2,133.9,141.7,156.5,157.0,151.1,150.6,152.0,155.8,158.7,152.0,142.9,133.3,139.4,140.0,135.747,133.951,126.973,143.128,149.011,150.33,149.887,149.094,147.12,143.488,138.259,138.385,139.763,144.221,182.628
CUUR0000SETA03   ,CUUR0000SETA03   ,"Leased cars and trucks in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 2001.12=100,2001-M12,2021-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,96.8,93.6,92.7,93.1,92.637,95.055,102.414,96.956,94.36,89.489,86.746,84.782,84.223,84.538,84.799,89.174,86.947,,
CUUR0000SETA04   ,CUUR0000SETA04   ,"Car and truck rental in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.8,104.6,107.7,103.5,109.3,108.1,105.1,106.7,110.4,113.686,117.686,127.556,123.783,123.892,123.567,125.769,127.894,127.791,131.125,128.306,126.722,127.472,128.311,190.396
CUUR0000SETB     ,CUUR0000SETB     ,"Motor fuel in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1935-M03,2022-M02,13.1,13.6,14.2,13.8,12.9,12.7,13.3,14.1,14.3,14.3,14.2,14.5,16.4,18.6,19.1,19.0,19.5,20.0,21.2,21.8,22.1,22.8,23.8,23.4,23.7,24.4,24.1,24.3,24.2,24.1,25.1,25.6,26.4,26.8,27.6,27.9,28.1,28.4,31.2,42.2,45.1,47.0,49.7,51.8,70.1,97.4,108.5,102.8,99.4,97.9,98.7,77.1,80.2,80.9,88.5,101.2,99.4,99.0,98.0,98.5,100.0,106.3,106.2,92.2,100.7,129.3,124.7,116.6,135.8,160.4,195.7,221.0,239.07,279.652,201.978,239.178,302.619,312.66,303.85,292.435,213.062,188.389,212.721,241.861,233.234,195.242,265.083
CUUR0000SETB01   ,CUUR0000SETB01   ,"Gasoline (all types) in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1935-M03,2022-M02,13.1,13.7,14.2,13.8,12.9,12.7,13.3,14.1,14.3,14.3,14.2,14.5,16.4,18.6,19.1,19.0,19.5,20.0,21.2,21.8,22.1,22.8,23.8,23.5,23.7,24.4,24.1,24.3,24.2,24.1,25.1,25.6,26.4,26.8,27.7,27.9,28.1,28.4,31.2,42.2,45.1,47.0,49.7,51.8,70.2,97.5,108.5,102.8,99.4,97.8,98.6,77.0,80.1,80.8,88.5,101.0,99.2,99.0,97.7,98.2,99.8,105.9,105.8,91.6,100.1,128.6,124.0,116.0,135.1,159.7,194.7,219.9,237.959,277.457,201.555,238.594,301.694,311.47,302.577,290.889,212.007,187.602,211.77,240.599,232.003,194.13,264.017
