index,Index,Label,unit,start,last,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CUURA311SA0      ,CUURA311SA0      ,"All items in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1996.11=100,1996-M11,2017-M13,100.8,102.1,104.2,107.6,110.4,113.0,116.2,119.5,124.3,128.8,133.464,139.499,139.814,142.218,146.975,150.212,152.5,154.847,155.353,157.18,159.202
CUURA311SA0E     ,CUURA311SA0E     ,"Energy in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1996.11=100,1996-M11,2017-M13,102.8,96.4,100.1,116.7,114.3,109.0,120.7,133.0,154.4,171.0,188.448,222.453,189.149,200.639,226.9,228.813,228.204,223.44,187.387,181.298,194.586
CUURA311SA0L1E   ,CUURA311SA0L1E   ,"All items less food and energy in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1996.11=100,1996-M11,2017-M13,100.8,102.8,104.8,107.2,110.5,113.7,116.4,118.5,122.3,126.1,129.677,133.408,135.883,137.835,140.963,144.413,146.953,149.581,152.242,154.702,156.089
CUURA311SA0L2    ,CUURA311SA0L2    ,"All items less shelter in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2017-M13,,101.1,102.9,106.3,108.1,109.1,111.7,114.2,118.8,122.4,126.158,132.687,131.375,134.422,139.447,141.735,143.503,145.083,143.613,144.574,146.351
CUURA311SA0L5    ,CUURA311SA0L5    ,"All items  less medical care in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1996.11=100,1996-M11,2017-M13,100.7,101.9,104.0,107.4,110.3,112.8,116.1,119.3,124.2,128.7,133.388,139.374,139.603,141.76,146.472,149.509,151.511,153.835,153.892,155.482,157.295
CUURA311SA0LE    ,CUURA311SA0LE    ,"All items less energy in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2017-M13,,102.0,103.9,106.4,109.6,112.8,115.4,118.1,121.7,125.5,129.202,133.321,135.809,137.539,141.027,144.409,146.846,149.527,152.071,154.332,155.727
CUURA311SAA      ,CUURA311SAA      ,"Apparel in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1996.11=100,1996-M11,2017-M13,98.5,99.3,98.3,98.2,98.6,92.4,90.0,86.0,90.9,91.7,92.707,93.029,93.701,91.381,97.848,99.233,95.618,96.72,94.876,102.21,103.04
CUURA311SAC      ,CUURA311SAC      ,"Commodities in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2017-M13,,100.4,101.7,105.3,106.2,106.0,107.6,109.8,113.8,116.4,118.727,123.974,120.346,122.716,129.282,130.804,130.739,130.892,126.163,125.362,126.292
CUURA311SACL1    ,CUURA311SACL1    ,"Commodities less food in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2017-M13,,100.2,101.3,105.5,105.2,103.1,103.9,104.3,108.8,111.0,112.249,116.785,110.106,113.45,120.299,121.085,120.161,118.978,111.225,109.555,110.232
CUURA311SACL11   ,CUURA311SACL11   ,"Commodities less food and beverages in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2017-M13,,100.2,101.3,105.7,105.1,102.8,103.6,104.0,108.6,110.8,111.929,116.621,109.494,112.999,120.047,120.758,119.607,118.235,109.994,108.215,108.876
CUURA311SAD      ,CUURA311SAD      ,"Durables in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2017-M13,,99.7,98.4,97.8,96.4,95.2,93.6,91.5,90.6,89.2,87.722,86.356,85.642,85.908,85.336,84.266,83.825,82.794,80.686,79.183,77.666
CUURA311SAE      ,CUURA311SAE      ,"Education and communication in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2017-M13,,101.4,102.6,104.0,107.9,111.5,112.6,113.1,117.0,122.2,124.955,128.651,132.298,136.322,138.148,141.52,143.211,146.263,150.14,152.566,151.269
CUURA311SAEC     ,CUURA311SAEC     ,"Education and communication commodities in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2010-M01,2017-M13,,,,,,,,,,,,,,98.587,95.702,90.99,91.637,86.634,83.382,78.736,77.958
CUURA311SAES     ,CUURA311SAES     ,"Education and communication services in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2010-M01,2017-M13,,,,,,,,,,,,,,101.769,103.542,106.805,108.131,111.293,114.966,117.604,116.618
CUURA311SAF      ,CUURA311SAF      ,"Food and beverages in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1996.11=100,1996-M11,2017-M13,100.1,101.6,103.1,105.5,108.7,111.7,114.5,120.0,122.9,126.2,130.647,136.853,139.488,139.851,145.43,148.42,150.54,153.652,155.658,156.62,158.102
CUURA311SAF1     ,CUURA311SAF1     ,"Food in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1996.11=100,1996-M11,2017-M13,100.0,101.5,103.1,105.6,108.7,111.8,114.7,120.6,123.5,126.9,131.459,138.119,140.793,141.192,147.046,150.115,151.993,155.095,157.022,158.045,159.555
CUURA311SAF11    ,CUURA311SAF11    ,"Food at home in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2017-M13,,100.0,100.8,102.7,106.1,109.3,112.1,119.1,121.5,123.6,128.039,134.945,135.832,135.264,142.461,145.05,145.432,147.85,148.456,147.197,146.844
CUURA311SAF116   ,CUURA311SAF116   ,"Alcoholic beverages in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.11=100,1997-M11,2017-M13,,100.3,100.7,102.6,106.3,108.9,109.7,110.9,112.0,114.0,117.007,118.653,120.802,120.823,123.468,125.764,130.711,133.716,136.472,136.652,137.752
CUURA311SAG      ,CUURA311SAG      ,"Other goods and services in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1996.11=100,1996-M11,2017-M13,102.6,106.6,114.7,120.7,124.4,132.6,135.1,137.0,140.4,142.8,148.317,154.445,163.293,167.648,170.248,173.764,176.11,179.155,178.375,178.904,178.334
CUURA311SAGC     ,CUURA311SAGC     ,"Other goods in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2010-M01,2017-M13,,,,,,,,,,,,,,98.148,98.917,100.736,102.402,104.029,101.056,99.482,96.651
CUURA311SAGS     ,CUURA311SAGS     ,"Other personal services in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2010-M01,2017-M13,,,,,,,,,,,,,,102.799,104.952,107.27,108.461,110.477,112.017,113.755,115.291
CUURA311SAH      ,CUURA311SAH      ,"Housing in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1996.11=100,1996-M11,2017-M13,101.0,103.1,105.5,108.9,113.0,117.3,121.6,125.9,130.7,136.4,142.958,149.648,152.12,152.369,154.784,158.495,161.294,164.288,167.608,170.631,173.076
CUURA311SAH1     ,CUURA311SAH1     ,"Shelter in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2017-M13,,103.4,106.2,109.5,114.9,120.7,125.4,130.0,135.5,141.7,147.848,152.999,156.446,157.644,161.788,166.932,170.398,174.095,178.99,182.671,185.208
CUURA311SAH2     ,CUURA311SAH2     ,"Fuels and utilities in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2017-M13,,105.6,108.1,112.8,112.0,109.0,115.5,120.8,132.0,142.2,160.304,188.906,186.525,183.813,180.417,177.382,182.29,185.874,184.275,190.364,196.871
CUURA311SAH21    ,CUURA311SAH21    ,"Household energy in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2017-M13,,107.0,109.4,114.2,113.3,108.9,115.3,121.0,132.1,143.6,165.037,194.913,191.544,182.827,178.881,174.013,177.286,178.732,174.701,179.218,185.502
