index,Index,Label,unit,start,last,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4
EIUCTCANTOT                   ,EIUCTCANTOT                   ,"Monthly terms of trade index, All goods, Canada, not seasonally adjusted",Index base: 2017.12=100,2017-M12,2022-M02,100.0,102.5,99.1,102.8,117.8,96.9,98.1,98.3,99.6,110.5,106.7,101.6,100.3,92.0,86.6,93.6,90.0
EIUCTCHNTOT                   ,EIUCTCHNTOT                   ,"Monthly terms of trade index, All goods, China, not seasonally adjusted",Index base: 2017.12=100,2017-M12,2022-M02,100.0,102.4,101.8,98.0,98.7,100.0,99.3,99.0,99.2,96.2,97.5,98.4,102.1,106.0,108.1,107.4,107.0
EIUCTEECTOT                   ,EIUCTEECTOT                   ,"Monthly terms of trade index, All goods, European Union, not seasonally adjusted",Index base: 2017.12=100,2017-M12,2022-M02,100.0,101.1,101.4,101.6,101.9,102.6,102.8,103.1,102.7,100.8,100.1,100.1,100.5,101.9,103.5,102.2,103.2
EIUCTGERTOT                   ,EIUCTGERTOT                   ,"Monthly terms of trade index, All goods, Germany, not seasonally adjusted",Index base: 2017.12=100,2017-M12,2022-M02,100.0,104.9,104.5,103.7,104.2,104.3,105.7,106.7,106.5,107.0,107.3,108.4,107.6,105.8,107.7,104.3,103.7
EIUCTINDUSTOT                 ,EIUCTINDUSTOT                 ,"Monthly terms of trade index, All goods, Industrialized Countries, not seasonally adjusted",Index base: 2017.12=100,2017-M12,2022-M02,100.0,100.4,99.6,101.0,105.7,99.4,99.6,99.3,99.3,101.6,100.7,99.9,100.1,97.4,97.1,99.9,99.2
EIUCTJPNTOT                   ,EIUCTJPNTOT                   ,"Monthly terms of trade index, All goods, Japan, not seasonally adjusted",Index base: 2017.12=100,2017-M12,2022-M02,100.0,101.2,100.5,99.4,99.2,98.9,98.9,99.0,99.2,95.2,95.8,98.1,100.2,104.8,108.7,108.8,109.3
EIUCTLATTOT                   ,EIUCTLATTOT                   ,"Monthly terms of trade index, All goods, Latin America, not seasonally adjusted",Index base: 2017.12=100,2017-M12,2022-M02,100.0,100.6,101.6,101.4,102.5,103.5,101.3,101.4,102.8,103.3,98.8,98.2,101.1,108.9,113.7,112.8,111.0
EIUCTMEXTOT                   ,EIUCTMEXTOT                   ,"Monthly terms of trade index, All goods, Mexico, not seasonally adjusted",Index base: 2017.12=100,2017-M12,2022-M02,100.0,101.1,102.6,102.1,101.8,103.3,101.2,101.2,102.2,101.2,96.4,96.8,100.7,108.0,118.4,116.7,115.7
EIUCTPRIMTOT                  ,EIUCTPRIMTOT                  ,"Monthly terms of trade index, All goods, Pacific Rim, not seasonally adjusted",Index base: 2017.12=100,2017-M12,2022-M02,100.0,101.2,100.8,99.0,99.6,100.3,100.1,100.5,99.9,98.5,97.9,98.7,101.2,105.7,108.0,108.9,109.0
