index,Index,Label,unit,start,last,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
JTU000000000000000OSL         ,JTU000000000000000OSL         ,0,L,2000-M12,2022-M01,4449.0,4512.0,4298.0,3974.0,3944.0,4697.0,4242.0,3995.0,3601.0,3846.0,3813.0,4064.0,4150.0,4371.0,4491.0,4389.0,4181.0,4067.0,4006.0,4105.0,4199.0
JTU000000000000000OSR         ,JTU000000000000000OSR         ,0,R,2000-M12,2022-M01,3.4,3.5,3.3,3.0,2.9,3.4,3.1,2.9,2.7,3.0,2.9,3.0,3.0,3.1,3.2,3.0,2.9,2.7,2.7,2.9,2.9
JTU000000MW0000000OSL         ,JTU000000MW0000000OSL         ,0,L,2000-M12,2022-M01,1082.0,1000.0,919.0,803.0,918.0,1033.0,952.0,931.0,770.0,872.0,902.0,961.0,921.0,912.0,906.0,916.0,848.0,844.0,796.0,861.0,888.0
JTU000000MW0000000OSR         ,JTU000000MW0000000OSR         ,0,R,2000-M12,2022-M01,3.4,3.2,3.0,2.6,3.0,3.3,3.0,3.0,2.6,2.9,3.0,3.2,3.0,2.9,2.9,2.9,2.6,2.6,2.4,2.8,2.8
JTU000000NE0000000OSL         ,JTU000000NE0000000OSL         ,0,L,2000-M12,2022-M01,815.0,849.0,850.0,823.0,714.0,864.0,806.0,746.0,712.0,723.0,704.0,771.0,776.0,800.0,849.0,737.0,748.0,768.0,723.0,645.0,698.0
JTU000000NE0000000OSR         ,JTU000000NE0000000OSR         ,0,R,2000-M12,2022-M01,3.2,3.4,3.4,3.3,2.8,3.4,3.1,2.9,2.8,2.9,2.8,3.1,3.0,3.1,3.2,2.8,2.8,2.8,2.6,2.5,2.7
JTU000000SO0000000OSL         ,JTU000000SO0000000OSL         ,0,L,2000-M12,2022-M01,1591.0,1583.0,1585.0,1420.0,1330.0,1725.0,1424.0,1390.0,1310.0,1367.0,1392.0,1463.0,1527.0,1714.0,1758.0,1725.0,1622.0,1480.0,1507.0,1525.0,1636.0
JTU000000SO0000000OSR         ,JTU000000SO0000000OSR         ,0,R,2000-M12,2022-M01,3.4,3.4,3.4,3.0,2.8,3.5,2.9,2.8,2.8,2.9,2.9,3.0,3.1,3.4,3.4,3.3,3.0,2.7,2.7,2.9,3.0
JTU000000WE0000000OSL         ,JTU000000WE0000000OSL         ,0,L,2000-M12,2022-M01,958.0,1081.0,945.0,928.0,985.0,1073.0,1061.0,928.0,813.0,887.0,814.0,871.0,930.0,943.0,978.0,1011.0,965.0,970.0,982.0,1073.0,981.0
JTU000000WE0000000OSR         ,JTU000000WE0000000OSR         ,0,R,2000-M12,2022-M01,3.3,3.8,3.3,3.2,3.3,3.5,3.4,3.0,2.8,3.1,2.8,2.9,3.0,3.0,3.0,3.1,2.8,2.8,2.8,3.2,2.9
JTU100000000000000OSL         ,JTU100000000000000OSL         ,100000,L,2000-M12,2022-M01,3856.0,3790.0,3614.0,3308.0,3308.0,4027.0,3478.0,3403.0,3010.0,3092.0,3103.0,3322.0,3410.0,3637.0,3788.0,3699.0,3483.0,3340.0,3263.0,3194.0,3462.0
JTU100000000000000OSR         ,JTU100000000000000OSR         ,100000,R,2000-M12,2022-M01,3.5,3.5,3.3,3.0,2.9,3.5,3.0,3.0,2.8,2.9,2.8,3.0,3.0,3.1,3.2,3.0,2.8,2.6,2.5,2.7,2.8
JTU110099000000000OSL         ,JTU110099000000000OSL         ,110099,L,2000-M12,2022-M01,30.0,35.0,45.0,36.0,29.0,41.0,27.0,29.0,28.0,25.0,21.0,24.0,28.0,37.0,35.0,61.0,27.0,21.0,17.0,19.0,16.0
JTU110099000000000OSR         ,JTU110099000000000OSR         ,110099,R,2000-M12,2022-M01,5.0,6.0,7.9,6.1,4.6,6.0,3.7,3.8,4.0,3.5,2.7,2.8,3.2,4.2,4.3,9.1,4.0,2.9,2.3,3.2,2.8
JTU230000000000000OSL         ,JTU230000000000000OSL         ,230000,L,2000-M12,2022-M01,276.0,236.0,195.0,180.0,226.0,334.0,222.0,217.0,134.0,179.0,148.0,124.0,124.0,131.0,152.0,191.0,181.0,154.0,202.0,153.0,158.0
JTU230000000000000OSR         ,JTU230000000000000OSR         ,230000,R,2000-M12,2022-M01,4.0,3.5,2.9,2.6,3.1,4.3,2.9,3.0,2.2,3.2,2.7,2.2,2.1,2.1,2.4,2.8,2.6,2.1,2.7,2.1,2.1
