index,Index,Label,unit,start,last,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
JTU000000000000000QUL         ,JTU000000000000000QUL         ,0,L,2000-M12,2022-M01,34929.0,30586.0,28267.0,30788.0,33745.0,35667.0,34856.0,30443.0,20901.0,22261.0,23667.0,25007.0,27451.0,30415.0,33659.0,35880.0,37711.0,40356.0,42193.0,35870.0,47825.0
JTU000000000000000QUR         ,JTU000000000000000QUR         ,0,R,2000-M12,2022-M01,26.4,23.4,21.7,23.4,25.2,26.1,25.3,22.2,15.9,17.1,17.9,18.6,20.1,21.9,23.7,24.9,25.7,27.1,28.0,25.2,32.7
JTU000000MW0000000QUL         ,JTU000000MW0000000QUL         ,0,L,2000-M12,2022-M01,8571.0,6773.0,6155.0,6540.0,7107.0,7566.0,7531.0,6552.0,4501.0,5045.0,5456.0,5633.0,6223.0,6760.0,7480.0,7972.0,8116.0,8995.0,9199.0,8005.0,10541.0
JTU000000MW0000000QUR         ,JTU000000MW0000000QUR         ,0,R,2000-M12,2022-M01,27.2,21.9,20.0,21.2,22.9,24.2,24.0,21.0,15.1,17.1,18.2,18.6,20.3,21.7,23.7,24.9,25.2,27.7,28.1,26.0,33.3
JTU000000NE0000000QUL         ,JTU000000NE0000000QUL         ,0,L,2000-M12,2022-M01,5619.0,4805.0,4195.0,4721.0,5240.0,5349.0,4884.0,4599.0,3195.0,3574.0,3516.0,3815.0,4011.0,4247.0,4804.0,5132.0,5424.0,5390.0,5706.0,4797.0,6387.0
JTU000000NE0000000QUR         ,JTU000000NE0000000QUR         ,0,R,2000-M12,2022-M01,22.2,19.2,16.9,19.0,20.9,21.0,19.0,17.8,12.8,14.4,14.0,15.1,15.8,16.5,18.3,19.3,20.1,19.8,20.8,18.8,24.6
JTU000000SO0000000QUL         ,JTU000000SO0000000QUL         ,0,L,2000-M12,2022-M01,13090.0,11975.0,11262.0,12234.0,13320.0,14555.0,14172.0,12229.0,8380.0,8938.0,9491.0,10209.0,11009.0,12551.0,13769.0,14394.0,15319.0,16477.0,17273.0,15213.0,20192.0
JTU000000SO0000000QUR         ,JTU000000SO0000000QUR         ,0,R,2000-M12,2022-M01,28.1,26.0,24.3,26.0,27.7,29.6,28.4,24.6,17.6,18.9,19.8,21.0,22.2,24.8,26.6,27.3,28.6,30.2,31.2,28.8,37.1
JTU000000WE0000000QUL         ,JTU000000WE0000000QUL         ,0,L,2000-M12,2022-M01,7641.0,7033.0,6654.0,7291.0,8077.0,8198.0,8268.0,7061.0,4825.0,4703.0,5205.0,5350.0,6210.0,6859.0,7608.0,8384.0,8853.0,9492.0,10013.0,7856.0,10708.0
JTU000000WE0000000QUR         ,JTU000000WE0000000QUR         ,0,R,2000-M12,2022-M01,26.6,24.7,23.3,25.1,27.0,26.8,26.7,23.1,16.7,16.4,18.0,17.9,20.2,21.7,23.5,25.3,26.1,27.4,28.4,23.7,31.4
JTU100000000000000QUL         ,JTU100000000000000QUL         ,100000,L,2000-M12,2022-M01,33065.0,28811.0,26592.0,29096.0,31946.0,33655.0,32877.0,28799.0,19657.0,20925.0,22241.0,23437.0,25875.0,28726.0,31794.0,33838.0,35677.0,38191.0,39951.0,33535.0,45456.0
