index,Index,Label,unit,start,last,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
JTU400000000000000LDR         ,JTU400000000000000LDR         ,400000,R,2000-M12,2021-M10,19.3,19.9,19.6,19.8,19.4,16.6,17.2,19.2,20.5,15.7,15.3,15.1,14.8,15.4,15.0,13.6,13.6,15.1,14.6,27.1
JTU420000000000000LDL         ,JTU420000000000000LDL         ,420000,L,2000-M12,2021-M10,845.0,787.0,753.0,785.0,733.0,658.0,787.0,900.0,999.0,754.0,632.0,678.0,554.0,615.0,570.0,493.0,489.0,500.0,614.0,1019.0
JTU420000000000000LDR         ,JTU420000000000000LDR         ,420000,R,2000-M12,2021-M10,14.8,14.0,13.6,14.0,12.8,11.3,13.2,15.3,18.1,14.0,11.5,12.1,9.8,10.7,9.9,8.5,8.4,8.6,10.4,18.1
JTU440000000000000LDL         ,JTU440000000000000LDL         ,440000,L,2000-M12,2021-M10,3407.0,3475.0,3387.0,3342.0,3320.0,2980.0,3052.0,3340.0,3028.0,2443.0,2517.0,2438.0,2504.0,2629.0,2583.0,2305.0,2299.0,2658.0,2420.0,4410.0
JTU440000000000000LDR         ,JTU440000000000000LDR         ,440000,R,2000-M12,2021-M10,22.4,23.1,22.7,22.2,21.7,19.4,19.7,21.8,20.8,16.9,17.2,16.4,16.6,17.1,16.5,14.6,14.5,16.8,15.5,29.7
JTU480099000000000LDL         ,JTU480099000000000LDL         ,480099,L,2000-M12,2021-M10,748.0,789.0,801.0,924.0,984.0,720.0,722.0,806.0,1062.0,655.0,679.0,709.0,755.0,814.0,867.0,896.0,948.0,1013.0,1021.0,1767.0
JTU480099000000000LDR         ,JTU480099000000000LDR         ,480099,R,2000-M12,2021-M10,15.0,16.4,16.8,19.2,20.0,14.3,14.2,15.9,22.1,13.8,14.0,14.3,14.9,15.6,16.0,16.1,16.5,16.9,16.4,29.0
JTU510000000000000LDL         ,JTU510000000000000LDL         ,510000,L,2000-M12,2021-M10,586.0,530.0,503.0,381.0,342.0,358.0,367.0,381.0,464.0,326.0,280.0,288.0,405.0,454.0,344.0,306.0,397.0,412.0,463.0,663.0
JTU510000000000000LDR         ,JTU510000000000000LDR         ,510000,R,2000-M12,2021-M10,16.1,15.6,15.8,12.2,11.2,11.8,12.1,12.8,16.5,12.0,10.5,10.8,15.0,16.7,12.5,10.9,14.1,14.5,16.2,24.6
JTU510099000000000LDL         ,JTU510099000000000LDL         ,510099,L,2000-M12,2021-M10,790.0,867.0,786.0,799.0,854.0,890.0,1083.0,1071.0,1270.0,768.0,656.0,690.0,748.0,666.0,702.0,704.0,684.0,637.0,639.0,1107.0
JTU510099000000000LDR         ,JTU510099000000000LDR         ,510099,R,2000-M12,2021-M10,10.0,10.9,9.7,9.9,10.4,10.6,13.0,13.1,16.2,10.0,8.5,8.9,9.5,8.3,8.6,8.5,8.1,7.4,7.3,12.7
