index,Index,Label,unit,start,last,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
JTU000000000000000TSL         ,JTU000000000000000TSL         ,0,L,2000-M12,2021-M12,64348.0,58719.0,56918.0,58459.0,61185.0,62632.0,62652.0,59882.0,51939.0,48671.0,49614.0,51093.0,52564.0,55931.0,59930.0,61512.0,63447.0,66201.0,67993.0,81493.0
JTU000000000000000TSR         ,JTU000000000000000TSR         ,0,R,2000-M12,2021-M12,48.7,44.9,43.7,44.4,45.6,45.9,45.4,43.6,39.6,37.3,37.6,38.1,38.5,40.3,42.3,42.6,43.3,44.5,45.1,57.3
JTU000000MW0000000TSL         ,JTU000000MW0000000TSL         ,0,L,2000-M12,2021-M12,15985.0,13164.0,12334.0,12558.0,13541.0,13553.0,13930.0,13010.0,11260.0,11152.0,11351.0,11421.0,11468.0,12338.0,13353.0,13807.0,13824.0,14622.0,14396.0,18095.0
JTU000000MW0000000TSR         ,JTU000000MW0000000TSR         ,0,R,2000-M12,2021-M12,50.8,42.5,40.2,40.8,43.6,43.3,44.3,41.7,37.8,37.7,37.9,37.6,37.4,39.7,42.3,43.2,42.8,45.0,44.0,58.8
JTU000000NE0000000TSL         ,JTU000000NE0000000TSL         ,0,L,2000-M12,2021-M12,11100.0,10129.0,9691.0,10300.0,10340.0,10042.0,9855.0,9851.0,9123.0,8802.0,8406.0,8693.0,8815.0,8907.0,9464.0,9898.0,10293.0,10087.0,10389.0,13914.0
JTU000000NE0000000TSR         ,JTU000000NE0000000TSR         ,0,R,2000-M12,2021-M12,43.8,40.5,39.0,41.4,41.2,39.5,38.2,38.1,36.5,35.4,33.5,34.4,34.6,34.6,36.1,37.3,38.2,37.0,37.8,53.7
JTU000000SO0000000TSL         ,JTU000000SO0000000TSL         ,0,L,2000-M12,2021-M12,22733.0,21799.0,21682.0,21878.0,23002.0,24288.0,24171.0,22696.0,19313.0,17906.0,18990.0,19855.0,20170.0,21858.0,23418.0,23648.0,25110.0,26298.0,27007.0,30119.0
JTU000000SO0000000TSR         ,JTU000000SO0000000TSR         ,0,R,2000-M12,2021-M12,48.8,47.2,46.9,46.5,47.9,49.4,48.5,45.7,40.6,37.8,39.6,40.8,40.7,43.2,45.3,44.9,46.9,48.2,48.7,57.7
JTU000000WE0000000TSL         ,JTU000000WE0000000TSL         ,0,L,2000-M12,2021-M12,14530.0,13626.0,13213.0,13722.0,14302.0,14747.0,14697.0,14327.0,12242.0,10810.0,10867.0,11124.0,12111.0,12829.0,13694.0,14157.0,14223.0,15194.0,16197.0,19370.0
JTU000000WE0000000TSR         ,JTU000000WE0000000TSR         ,0,R,2000-M12,2021-M12,50.6,47.8,46.3,47.2,47.8,48.2,47.5,46.9,42.3,37.8,37.5,37.2,39.4,40.7,42.3,42.7,42.0,43.9,45.9,58.3
