File or Sheet,unit,last updated
ASM,Thousands,2022-06-27
Flights,Thousands,2022-06-27
Flights_US,Thousands,2022-06-27
LoadFactor,Passenger-miles as a proportion of available seat-miles in percent,2022-06-27
Passengers,Thousands,2022-06-27
RPM,The number of passengers and the distance flown in thousands,2022-06-27
