File or Sheet,unit,last updated
ASM,The number of seats and the distance flown in thousands,2021-12-24
Flights,Thousands,2021-12-24
Flights_US,Thousands,2021-12-24
LoadFactor,Passenger-miles as a proportion of available seat-miles in percent,2021-12-24
Passengers,Thousands,2021-12-24
RPM,The number of passengers and the distance flown in thousands,2021-12-24
