index,Index,Label,unit,start,last,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CEU4300000007    ,CEU4300000007    ,43000000,7,1972-M01,2021-M11,40.8,40.8,40.5,40.0,40.2,40.0,39.9,39.7,39.3,39.0,38.4,38.6,39.0,38.9,38.5,38.6,37.3,37.5,37.7,37.3,37.4,38.9,39.5,38.9,39.0,39.3,38.6,37.6,37.3,36.6,36.7,36.7,37.2,37.0,36.8,36.9,36.4,36.0,37.1,37.8,38.0,38.5,38.4,38.7,38.8,38.4,38.4,37.9,38.3
CEU4300000008    ,CEU4300000008    ,43000000,8,1972-M01,2021-M11,5.42,5.8,6.17,6.56,7.07,7.59,8.16,8.76,9.47,10.18,10.67,11.01,11.18,11.29,11.48,11.81,11.9,12.23,12.5,12.61,12.75,12.69,12.81,13.15,13.4,13.73,14.07,14.5,15.0,15.27,15.71,16.2,16.46,16.65,17.21,17.67,18.36,18.74,19.1,19.42,19.47,19.73,20.43,20.66,20.83,21.22,21.75,22.36,22.75
CEU4300000030    ,CEU4300000030    ,43000000,30,1972-M01,2021-M11,221.12,236.65,249.55,262.3,283.91,303.67,325.07,348.03,372.3,397.46,410.08,424.62,436.23,438.72,441.76,455.87,443.82,458.49,471.7,470.51,476.83,493.02,505.45,511.24,522.93,539.22,543.72,544.81,559.63,559.22,576.77,594.7,611.99,615.26,633.23,651.78,667.57,674.19,707.93,734.06,739.12,758.79,785.5,800.14,807.25,813.69,835.39,847.97,870.56
CEU4300000031    ,CEU4300000031    ,43000000,31,1972-M01,2021-M11,525.23,529.42,503.13,484.84,496.35,498.64,495.53,476.1,449.1,434.86,423.2,425.47,422.29,410.4,406.78,405.22,379.33,373.97,365.66,350.34,345.03,346.95,347.15,341.28,339.34,342.14,340.46,333.83,331.34,322.32,327.9,330.76,331.7,322.13,321.27,321.44,316.3,321.61,330.86,331.29,326.71,330.88,337.46,345.17,344.87,340.38,340.77,340.25,345.12
CEU4300000032    ,CEU4300000032    ,43000000,32,1972-M01,2021-M11,12.87,12.98,12.44,12.13,12.36,12.46,12.44,11.98,11.42,11.14,11.01,11.03,10.82,10.56,10.57,10.5,10.17,9.98,9.69,9.39,9.23,8.93,8.8,8.78,8.7,8.71,8.81,8.88,8.88,8.8,8.93,9.01,8.92,8.72,8.73,8.71,8.7,8.94,8.93,8.76,8.61,8.6,8.78,8.91,8.9,8.88,8.87,8.97,9.02
CEU4300000034    ,CEU4300000034    ,43000000,34,1972-M01,2021-M11,71.2,73.1,73.3,68.6,70.0,72.1,74.4,76.7,74.7,72.9,68.3,67.4,72.4,74.3,74.4,77.5,78.1,81.1,84.0,82.7,83.0,88.8,94.0,95.8,98.4,101.1,102.8,103.3,105.7,102.8,100.0,98.7,101.9,105.2,107.9,109.5,107.9,100.2,101.5,105.7,109.5,112.8,117.0,123.3,126.9,130.6,137.4,142.1,140.3
CEU4300000035    ,CEU4300000035    ,43000000,35,1972-M01,2021-M11,24.6,27.0,28.8,28.6,31.5,34.8,38.6,42.8,45.1,47.3,46.4,47.2,51.5,53.4,54.4,58.2,59.2,63.1,66.9,66.4,67.4,71.7,76.7,80.2,84.0,88.3,92.0,95.4,100.9,99.9,100.0,101.7,106.8,111.5,118.2,123.1,126.1,119.5,123.4,130.6,135.6,141.7,152.2,162.1,168.3,176.4,190.3,202.3,203.1
CEU4300000081    ,CEU4300000081    ,43000000,81,1972-M01,2021-M11,94125.0,96561.0,96894.0,90620.0,92530.0,95211.0,98263.0,101410.0,98767.0,96360.0,90257.0,89019.0,95668.0,98126.0,98315.0,102387.0,103202.0,107101.0,111044.0,109321.0,109687.0,117273.0,124262.0,126634.0,130080.0,133562.0,135778.0,136482.0,139695.0,135773.0,132133.0,130351.0,134701.0,138995.0,142585.0,144699.0,142528.0,132344.0,134068.0,139623.0,144653.0,149034.0,154594.0,162936.0,167726.0,172573.0,181586.0,187753.0,185402.0
CEU4300000082    ,CEU4300000082    ,43000000,82,1972-M01,2021-M11,510168.0,559835.0,597380.0,594600.0,654100.0,722924.0,801517.0,887940.0,935657.0,980994.0,962631.0,980437.0,1069663.0,1107544.0,1128331.0,1209093.0,1228249.0,1309510.0,1387978.0,1378088.0,1398759.0,1487700.0,1592045.0,1664671.0,1743469.0,1833596.0,1910658.0,1979435.0,2094876.0,2073103.0,2075909.0,2111191.0,2217646.0,2313902.0,2454285.0,2556288.0,2616941.0,2479893.0,2561013.0,2711157.0,2815911.0,2940602.0,3158927.0,3365793.0,3493683.0,3661512.0,3949497.0,4198696.0,4217087.0
CEU4348100007    ,CEU4348100007    ,43481000,7,1990-M01,2021-M10,,,,,,,,,,,,,,,,,,,39.5,38.6,38.6,44.2,44.2,42.2,42.2,42.8,42.3,37.6,36.6,36.2,36.3,36.3,37.1,37.5,35.4,33.8,30.7,31.3,34.0,33.7,32.1,31.6,32.1,32.9,32.4,31.3,30.4,30.4,30.0
CEU4348100008    ,CEU4348100008    ,43481000,8,1990-M01,2021-M10,,,,,,,,,,,,,,,,,,,12.58,12.64,12.07,10.95,11.06,11.5,11.77,11.16,11.39,12.15,13.57,14.84,15.45,16.0,17.06,17.77,19.72,21.77,23.85,24.1,24.56,26.02,25.09,28.69,31.86,31.25,32.18,33.02,33.6,33.56,35.61
CEU4348100030    ,CEU4348100030    ,43481000,30,1990-M01,2021-M10,,,,,,,,,,,,,,,,,,,496.75,488.33,466.16,483.84,488.81,485.42,497.13,478.31,481.67,456.91,496.14,536.48,560.55,580.17,633.03,667.19,698.67,735.16,732.78,753.96,835.02,877.6,806.14,907.6,1023.33,1029.68,1041.83,1032.33,1022.86,1019.38,1068.71
CEU4348100031    ,CEU4348100031    ,43481000,31,1990-M01,2021-M10,,,,,,,,,,,,,,,,,,,385.08,363.61,337.31,340.49,335.72,324.05,322.6,303.5,301.61,279.97,293.75,309.21,318.68,322.68,343.11,349.31,354.47,362.56,347.2,359.66,390.26,396.07,356.34,395.77,439.63,444.19,445.08,431.85,417.25,409.02,423.67
CEU4348100032    ,CEU4348100032    ,43481000,32,1990-M01,2021-M10,,,,,,,,,,,,,,,,,,,9.75,9.41,8.73,7.71,7.6,7.68,7.64,7.08,7.13,7.44,8.03,8.55,8.78,8.9,9.25,9.3,10.01,10.74,11.3,11.5,11.48,11.74,11.09,12.51,13.69,13.48,13.75,13.81,13.71,13.47,14.12
CEU4348100034    ,CEU4348100034    ,43481000,34,1990-M01,2021-M10,,,,,,,,,,,,,,,,,,,103.2,100.8,100.2,115.5,113.8,105.5,108.0,114.4,117.7,109.3,111.7,108.9,100.0,91.3,90.2,90.3,81.9,79.6,75.1,72.2,74.4,72.0,69.8,66.3,67.4,70.8,72.8,74.2,73.3,73.9,61.2
CEU4348100035    ,CEU4348100035    ,43481000,35,1990-M01,2021-M10,,,,,,,,,,,,,,,,,,,84.0,82.5,78.2,81.8,81.5,78.5,82.3,82.6,86.7,85.9,98.1,104.6,100.0,94.5,99.6,103.8,104.5,112.2,116.0,112.6,118.3,121.3,113.3,123.0,139.0,143.2,151.6,158.5,159.4,160.4,141.1
