index,Index,Label,unit,start,last,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CEU3200000007    ,CEU3200000007    ,32000000,7,1939-M01,2022-M02,37.4,36.9,38.8,40.2,42.4,43.0,42.2,40.4,40.1,39.6,38.8,39.6,39.5,39.6,39.5,38.9,39.8,39.5,39.1,38.7,39.6,39.1,39.2,39.6,39.5,39.6,39.9,40.1,39.6,39.7,39.5,39.0,39.1,39.5,39.4,38.9,38.6,39.2,39.2,39.2,39.1,38.8,38.9,38.2,39.2,39.4,39.4,39.6,40.0,39.9,39.9,39.6,39.7,40.0,40.1,40.5,40.1,40.1,40.5,40.5,40.5,40.3,39.9,40.0,39.8,40.0,39.9,40.6,40.9,40.4,39.8,40.8,40.8,41.1,41.2,41.3,41.4,41.2,41.3,41.6,41.1,40.5,41.3
CEU3200000008    ,CEU3200000008    ,32000000,8,1939-M01,2022-M02,0.34,0.36,0.4,0.48,0.56,0.62,0.66,0.77,0.91,1.02,1.07,1.12,1.22,1.28,1.35,1.39,1.45,1.54,1.62,1.69,1.75,1.82,1.88,1.94,1.99,2.06,2.13,2.22,2.34,2.51,2.68,2.85,3.04,3.25,3.47,3.78,4.14,4.47,4.88,5.3,5.78,6.32,6.95,7.5,7.84,8.14,8.47,8.71,8.93,9.19,9.5,9.87,10.18,10.45,10.7,10.96,11.3,11.68,12.04,12.45,12.85,13.31,13.75,14.15,14.63,15.05,15.27,15.33,15.67,16.15,16.56,16.8,17.06,17.29,17.56,17.75,18.16,18.74,19.32,19.95,20.6,21.28,22.19
CEU3200000009    ,CEU3200000009    ,32000000,9,1956-M01,2022-M02,,,,,,,,,,,,,,,,,,2.4,2.3,2.2,2.7,2.5,2.5,2.7,2.7,2.8,3.1,3.3,3.1,3.2,3.3,2.9,2.9,3.3,3.4,3.0,2.7,3.0,3.1,3.2,3.0,2.8,2.7,2.5,2.9,3.1,3.1,3.3,3.6,3.6,3.6,3.8,4.0,4.2,4.3,4.6,4.3,4.4,4.6,4.6,4.6,4.5,4.1,4.2,4.1,4.4,4.4,4.4,4.1,3.7,3.2,3.8,4.0,4.1,4.3,4.3,4.3,4.1,4.2,4.4,4.2,3.8,4.1
CEU3200000030    ,CEU3200000030    ,32000000,30,1939-M01,2022-M02,12.73,13.32,15.52,19.35,23.74,26.53,27.8,31.03,36.68,40.29,41.29,44.3,48.01,50.6,53.11,54.28,57.51,60.98,63.49,65.31,69.38,71.19,73.75,76.7,78.84,81.67,85.11,88.91,92.71,99.66,105.77,111.17,118.91,128.4,136.87,147.31,159.94,175.31,191.3,207.8,225.71,245.11,270.6,286.34,307.54,320.97,333.35,345.07,357.24,366.91,378.98,390.65,404.25,417.92,429.2,443.79,452.87,467.91,487.04,504.09,520.06,536.89,548.3,566.75,582.48,602.53,609.08,622.0,640.12,652.22,658.4,685.07,696.0,710.16,723.82,733.64,751.05,771.4,798.2,829.8,846.35,862.57,917.15
CEU3200000031    ,CEU3200000031    ,32000000,31,1964-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,261.76,268.49,272.73,275.92,284.74,286.64,285.05,292.16,304.99,306.2,297.0,295.64,306.49,314.12,316.77,308.77,295.67,296.06,295.5,308.16,310.72,311.83,317.74,317.55,313.6,309.12,302.83,301.01,302.4,302.04,304.8,302.32,303.64,309.04,315.65,318.66,317.87,316.02,322.2,323.96,326.57,318.89,315.58,315.69,309.03,314.08,320.18,314.11,313.91,315.63,315.18,323.99,329.55,333.9,338.49,339.6,341.95,345.43
CEU3200000032    ,CEU3200000032    ,32000000,32,1964-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,6.72,6.81,6.96,7.17,7.26,7.31,7.47,7.72,7.76,7.62,7.65,7.81,8.01,8.08,7.91,7.62,7.6,7.74,7.86,7.88,7.92,8.02,7.94,7.85,7.75,7.65,7.58,7.56,7.53,7.53,7.54,7.58,7.64,7.8,7.87,7.88,7.93,8.04,8.14,8.16,7.99,7.78,7.73,7.65,7.9,7.85,7.7,7.64,7.66,7.63,7.83,8.01,8.08,8.14,8.27,8.44,8.36
CEU3200000033    ,CEU3200000033    ,32000000,33,1956-M01,2022-M02,,,,,,,,,,,,,,,,,,1.5,1.58,1.64,1.69,1.77,1.82,1.87,1.93,1.99,2.05,2.13,2.25,2.41,2.57,2.75,2.93,3.12,3.33,3.64,4.0,4.31,4.69,5.1,5.57,6.1,6.72,7.26,7.56,7.83,8.15,8.36,8.55,8.8,9.09,9.41,9.7,9.94,10.16,10.38,10.73,11.07,11.39,11.79,12.16,12.62,13.08,13.44,13.91,14.27,14.47,14.55,14.91,15.44,15.91,16.05,16.26,16.48,16.7,16.87,17.27,17.85,18.38,18.94,19.59,20.33,21.15
CEU3200000034    ,CEU3200000034    ,32000000,34,1939-M01,2022-M02,92.4,92.0,108.5,118.7,129.1,129.9,126.2,129.1,130.1,128.9,120.2,125.8,126.5,125.4,126.7,119.6,124.6,124.2,120.5,115.1,120.7,118.8,117.4,120.3,119.7,121.2,125.3,129.9,128.7,131.2,131.9,127.8,126.1,130.9,132.9,128.6,118.0,124.5,126.8,128.7,128.9,124.3,123.9,115.8,118.6,122.0,119.8,120.7,123.5,124.7,125.2,123.0,120.8,121.7,122.7,124.7,123.1,120.5,120.9,119.4,116.1,113.3,106.0,100.0,94.7,92.7,90.3,90.4,89.7,86.9,78.1,78.0,77.9,78.6,78.6,80.0,81.2,81.6,83.1,84.2,82.9,78.6,81.2
CEU3200000035    ,CEU3200000035    ,32000000,35,1939-M01,2022-M02,2.2,2.3,3.1,4.0,5.1,5.7,5.9,7.0,8.4,9.3,9.0,9.9,10.9,11.3,12.0,11.8,12.7,13.6,13.8,13.7,14.9,15.3,15.6,16.5,16.9,17.7,18.9,20.4,21.3,23.3,25.0,25.8,27.1,30.0,32.6,34.4,34.5,39.4,43.7,48.2,52.6,55.5,60.8,61.4,65.7,70.1,71.7,74.3,77.9,81.0,84.0,85.7,86.9,89.9,92.8,96.6,98.3,99.5,102.9,105.1,105.5,106.6,103.0,100.0,97.9,98.6,97.4,97.9,99.3,99.2,91.3,92.6,93.9,96.0,97.5,100.3,104.2,108.1,113.5,118.6,120.7,118.2,127.4
CEU3200000081    ,CEU3200000081    ,32000000,81,1939-M01,2022-M02,156906.0,156102.0,184125.0,201500.0,219120.0,220416.0,214131.0,219122.0,220771.0,218743.0,204023.0,213501.0,214759.0,212777.0,215052.0,203044.0,211465.0,210774.0,204444.0,195340.0,204923.0,201682.0,199247.0,204145.0,203091.0,205732.0,212681.0,220410.0,218353.0,222651.0,223896.0,216885.0,214046.0,222152.0,225542.0,218209.0,200318.0,211374.0,215131.0,218376.0,218737.0,211009.0,210235.0,196474.0,201320.0,206999.0,203324.0,204883.0,209530.0,211602.0,212574.0,208741.0,205038.0,206565.0,208211.0,211606.0,208927.0,204587.0,205280.0,202727.0,197128.0,192363.0,179900.0,169725.0,160761.0,157415.0,153234.0,153479.0,152187.0,147500.0,132503.0,132409.0,132257.0,133408.0,133380.0,135717.0,137808.0,138578.0,141098.0,142834.0,140755.0,133435.0,137887.0
CEU3200000082    ,CEU3200000082    ,32000000,82,1939-M01,2022-M02,53478.0,56337.0,73556.0,97073.0,122768.0,135942.0,140936.0,168195.0,201945.0,222765.0,217292.0,238620.0,261256.0,271899.0,289408.0,283078.0,305688.0,325501.0,331886.0,329383.0,358849.0,367553.0,375005.0,395724.0,405059.0,424232.0,453137.0,489078.0,511460.0,559500.0,599485.0,618481.0,650720.0,721731.0,782911.0,825674.0,829457.0,945688.0,1049467.0,1158453.0,1263955.0,1333558.0,1461491.0,1473783.0,1578938.0,1684885.0,1722324.0,1783679.0,1871903.0,1945349.0,2018575.0,2059563.0,2087125.0,2159367.0,2227955.0,2319870.0,2361446.0,2389027.0,2471560.0,2524371.0,2533931.0,2560590.0,2474470.0,2401860.0,2351486.0,2369198.0,2339162.0,2352300.0,2384726.0,2382632.0,2194000.0,2224981.0,2256018.0,2306897.0,2342711.0,2408673.0,2503008.0,2597175.0,2725658.0,2849601.0,2900244.0,2839591.0,3059464.0
CEU3200000083    ,CEU3200000083    ,32000000,83,1956-M01,2022-M02,,,,,,,,,,,,,,,,,,12997.0,11813.0,11127.0,14028.0,12871.0,12701.0,13852.0,13888.0,14744.0,16533.0,18399.0,16936.0,18227.0,18717.0,16139.0,16025.0,18295.0,19224.0,16793.0,13902.0,16146.0,16978.0,17711.0,16760.0,15058.0,14815.0,12782.0,15055.0,16189.0,15768.0,16854.0,18665.0,18918.0,18918.0,20263.0,20416.0,21545.0,22205.0,23806.0,22296.0,22559.0,23437.0,22911.0,22535.0,21224.0,18420.0,17937.0,16578.0,17143.0,16899.0,16452.0,15433.0,13584.0,10794.0,12428.0,12917.0,13192.0,13841.0,14071.0,14335.0,13892.0,14326.0,15228.0,14536.0,12501.0,13599.0
CEU3231100007    ,CEU3231100007    ,32311000,7,1990-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3,39.2,39.2,39.3,39.8,39.6,39.5,39.8,40.1,40.2,40.1,39.6,39.6,39.3,39.3,39.0,40.1,40.7,40.5,40.0,40.7,40.2,40.6,40.8,40.8,41.0,41.4,41.7,42.0,41.5,41.3,41.5
CEU3231100008    ,CEU3231100008    ,32311000,8,1990-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.04,9.32,9.59,9.82,10.0,10.27,10.5,10.77,11.09,11.4,11.77,12.18,12.55,12.8,12.98,13.04,13.13,13.55,14.0,14.39,14.41,14.63,15.02,15.44,15.55,15.9,16.52,16.92,17.49,18.19,18.9,19.96
CEU3231100009    ,CEU3231100009    ,32311000,9,1990-M01,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,4.2,4.3,4.3,4.6,4.5,4.6,4.7,5.0,5.2,4.9,4.7,4.6,4.4,4.7,4.7,4.8,4.7,4.6,4.2,4.5,4.5,4.5,4.6,4.5,4.5,4.7,4.8,4.9,4.7,4.2,4.4
CEU3231100030    ,CEU3231100030    ,32311000,30,1990-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.8,364.9,375.69,386.07,398.53,406.75,414.74,428.58,444.72,458.73,472.09,481.81,497.25,502.92,509.55,508.55,526.02,551.21,566.88,575.4,586.52,588.19,609.69,629.7,634.95,652.26,683.74,705.82,734.72,754.14,780.53,829.17
CEU3231100031    ,CEU3231100031    ,32311000,31,1990-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.81,271.71,271.85,271.69,273.72,271.53,269.14,271.94,278.47,281.08,279.51,277.7,282.69,279.71,276.18,266.26,266.88,271.84,268.6,274.48,274.12,265.46,269.5,274.59,272.78,281.38,292.1,295.26,299.71,302.6,309.43,312.29
