index,Index,Label,unit,start,last,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CEU3200000002    ,CEU3200000002    ,32000000,2,2006-M03,2022-M02,39.5,39.3,38.8,39.8,39.9,40.2,40.2,40.1,40.1,39.9,40.0,40.3,39.9,39.5,40.1
CEU3200000003    ,CEU3200000003    ,32000000,3,2006-M03,2022-M02,19.71,20.19,20.65,20.91,21.16,21.56,21.94,22.4,22.92,23.73,24.44,24.69,25.18,26.35,27.21
CEU3200000004    ,CEU3200000004    ,32000000,4,2006-M03,2022-M02,3.3,3.1,2.6,3.2,3.2,3.3,3.4,3.4,3.4,3.3,3.4,3.6,3.4,3.2,3.4
CEU3200000011    ,CEU3200000011    ,32000000,11,2006-M03,2022-M02,778.62,794.29,801.24,832.78,844.08,866.36,881.47,898.96,920.07,947.02,977.81,994.37,1003.65,1041.68,1090.79
CEU3200000012    ,CEU3200000012    ,32000000,12,2006-M03,2022-M02,375.52,368.92,373.47,381.91,375.25,377.34,378.38,379.73,388.19,394.58,398.91,395.99,392.58,402.49,402.55
CEU3200000013    ,CEU3200000013    ,32000000,13,2006-M03,2022-M02,9.51,9.38,9.63,9.59,9.41,9.39,9.42,9.46,9.67,9.89,9.97,9.83,9.85,10.18,10.04
CEU3200000015    ,CEU3200000015    ,32000000,15,2006-M03,2022-M02,18.92,19.43,19.97,20.11,20.34,20.7,21.05,21.5,21.98,22.8,23.46,23.65,24.15,25.34,26.11
CEU3200000016    ,CEU3200000016    ,32000000,16,2006-M03,2022-M02,100.0,97.1,88.4,88.7,88.7,89.4,89.7,90.4,91.6,92.4,93.8,95.3,95.1,90.6,93.5
CEU3200000017    ,CEU3200000017    ,32000000,17,2006-M03,2022-M02,100.0,99.4,92.6,94.2,95.2,97.8,99.8,102.7,106.5,111.3,116.4,119.4,121.4,121.2,129.0
CEU3200000056    ,CEU3200000056    ,32000000,56,2006-M03,2022-M02,200345.0,194466.0,177086.0,177745.0,177622.0,179109.0,179720.0,181031.0,183499.0,185174.0,187959.0,190949.0,190471.0,181584.0,187273.0
