index,Index,Label,unit,start,last,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CEU4300000001    ,CEU4300000001    ,43000000,1,1972-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,2648.0,2720.1,2754.2,2622.7,2668.9,2767.7,2892.6,3007.2,2963.2,2934.5,2819.0,2777.8,2936.3,3014.2,3061.5,3158.3,3292.7,3388.8,3477.9,3463.9,3461.6,3552.4,3698.5,3834.0,3930.4,4020.5,4160.8,4291.9,4400.7,4361.2,4211.7,4172.7,4235.6,4348.0,4457.0,4528.0,4495.9,4224.8,4179.2,4289.3,4403.7,4486.0,4648.6,4858.6,5003.5,5178.2,5426.4,5664.9,5555.0
CEU4300000006    ,CEU4300000006    ,43000000,6,1972-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,2307.2,2365.6,2393.8,2266.9,2303.9,2380.6,2465.7,2551.4,2513.2,2468.2,2347.4,2309.0,2452.1,2524.5,2554.2,2652.3,2767.5,2856.1,2942.5,2928.9,2933.5,3017.5,3149.8,3256.2,3334.1,3400.5,3514.1,3633.2,3743.3,3707.1,3599.2,3550.0,3623.7,3760.8,3875.8,3922.0,3920.1,3678.3,3617.6,3693.4,3809.8,3875.4,4021.5,4206.5,4327.9,4499.9,4727.7,4951.5,4844.1
CEU4300000010    ,CEU4300000010    ,43000000,10,1972-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,302.2,329.6,350.1,342.8,362.3,391.3,434.7,482.4,506.3,525.6,530.4,546.0,598.5,648.5,691.3,738.0,819.9,844.1,879.7,891.9,901.9,931.9,974.4,1018.4,1042.7,1059.7,1103.0,1154.1,1201.8,1211.7,1148.3,1133.8,1116.4,1130.4,1101.7,1114.0,1102.3,1028.7,1006.2,1013.0,1031.1,1061.5,1105.9,1163.2,1229.0,1276.1,1351.4,1444.4,1391.5
CEU4348100001    ,CEU4348100001    ,43481000,1,1990-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.2,525.4,519.6,516.6,511.2,510.9,525.7,542.0,562.7,586.3,614.4,615.3,563.5,528.3,514.5,500.8,487.0,491.8,490.7,462.8,458.3,456.9,459.2,444.3,444.2,458.6,477.5,491.5,496.9,504.9,430.3
CEU4348100006    ,CEU4348100006    ,43481000,6,1990-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.5,466.6,463.6,467.4,460.5,447.1,457.5,477.4,497.5,519.7,546.1,538.8,492.9,450.2,434.6,430.1,413.5,421.6,437.3,412.8,391.4,381.9,388.3,374.6,375.4,384.2,402.1,424.4,430.6,434.9,364.9
CEU4348100010    ,CEU4348100010    ,43481000,10,1990-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.1,208.3,209.4,212.6,212.6,214.1,223.6,231.4,243.4,257.1,266.0,267.8,242.7,228.9,220.5,213.1,198.0,193.9,194.1,180.8,172.6,167.8,169.3,164.0,161.5,150.8,152.0,166.0,178.1,182.9,155.2
CEU4348110001    ,CEU4348110001    ,43481100,1,1990-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.7,498.0,490.6,486.0,477.4,472.7,486.0,500.8,519.7,542.7,569.5,570.4,519.8,485.0,471.6,456.4,442.2,446.2,443.5,419.1,416.5,415.5,418.0,406.0,406.4,418.5,435.7,447.5,452.2,458.0,384.1
CEU4348120001    ,CEU4348120001    ,43481200,1,1990-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6,27.4,29.0,30.6,33.8,38.1,39.7,41.2,43.1,43.6,44.8,44.9,43.7,43.3,42.9,44.4,44.8,45.6,47.2,43.7,41.7,41.3,41.2,38.3,37.8,40.1,41.9,44.0,44.7,46.9,46.3
CEU4348200001    ,CEU4348200001    ,43482000,1,1947-M01,2021-M11,1516.0,1477.7,1331.0,1354.7,1411.4,1363.3,1341.0,1183.6,1173.9,1159.3,1092.1,932.4,900.6,862.2,795.5,775.6,751.5,736.4,716.1,706.2,679.9,650.5,632.3,617.3,589.9,566.3,564.0,575.0,533.9,523.9,530.7,525.1,541.8,518.3,482.0,418.2,366.1,365.9,349.6,322.9,300.6,290.3,284.8,270.4,251.8,241.8,233.4,223.3,218.8,209.0,202.2,203.8,205.1,205.6,198.1,186.7,184.2,190.9,192.6,192.4,197.6,195.4,184.6,183.0,192.9,195.1,195.6,199.7,203.7,183.6,181.9,181.7,174.3,149.2
CEU4348300001    ,CEU4348300001    ,43483000,1,1990-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.8,57.4,56.7,52.8,52.3,50.8,51.0,50.7,50.5,51.7,56.0,54.0,52.6,54.5,56.4,60.6,62.7,65.5,67.1,63.4,62.3,61.3,63.9,65.3,67.3,65.8,65.6,65.0,65.1,66.6,61.0
