index,Index,Label,unit,start,last,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CEU4300000002    ,CEU4300000002    ,43000000,2,2006-M03,2021-M11,38.4,38.4,38.1,38.3,38.6,38.4,38.7,38.6,38.9,38.8,38.8,39.0,38.5,38.4
CEU4300000003    ,CEU4300000003    ,43000000,3,2006-M03,2021-M11,19.66,20.23,20.42,20.93,21.57,21.93,22.28,22.76,22.81,23.17,23.79,24.25,24.71,25.37
CEU4300000011    ,CEU4300000011    ,43000000,11,2006-M03,2021-M11,755.52,777.63,777.33,801.27,831.8,841.76,861.63,879.66,886.6,897.87,922.04,946.11,951.46,973.48
CEU4300000012    ,CEU4300000012    ,43000000,12,2006-M03,2021-M11,364.38,361.18,362.33,367.46,369.79,366.63,369.87,371.58,374.07,374.1,376.16,376.78,372.16,376.14
CEU4300000013    ,CEU4300000013    ,43000000,13,2006-M03,2021-M11,9.48,9.4,9.52,9.6,9.59,9.55,9.56,9.61,9.62,9.65,9.71,9.66,9.67,9.8
CEU4300000016    ,CEU4300000016    ,43000000,16,2006-M03,2021-M11,100.0,99.3,92.4,91.9,95.0,97.1,99.7,103.2,108.5,111.4,115.3,121.7,125.3,122.5
CEU4300000017    ,CEU4300000017    ,43000000,17,2006-M03,2021-M11,100.0,102.2,96.0,97.9,104.3,108.4,113.0,119.5,125.9,131.3,139.6,150.1,157.6,158.1
CEU4300000056    ,CEU4300000056    ,43000000,56,2006-M03,2021-M11,174039.0,172828.0,160853.0,159993.0,165390.0,169050.0,173448.0,179626.0,188868.0,193912.0,200730.0,211726.0,218084.0,213144.0
CEU4300000057    ,CEU4300000057    ,43000000,57,2006-M03,2021-M11,3421019.0,3496116.0,3284072.0,3348670.0,3567809.0,3706805.0,3865254.0,4089159.0,4307632.0,4492489.0,4774488.0,5134007.0,5389855.0,5407684.0
CEU4348100002    ,CEU4348100002    ,43481000,2,2006-M03,2021-M10,34.7,33.2,33.4,34.9,34.6,33.1,33.0,33.6,34.7,33.8,32.5,32.2,32.1,31.6
