index,Index,Label,unit,start,last,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CEU5000000007    ,CEU5000000007    ,50000000,7,1964-M01,2021-M11,38.2,38.3,38.3,37.6,37.6,37.6,37.2,37.0,37.3,37.3,37.0,36.6,36.7,36.8,36.8,36.6,36.4,36.3,35.8,36.2,36.6,36.5,36.4,36.5,36.1,36.1,35.8,35.6,35.8,36.0,36.0,36.0,36.3,36.3,36.6,36.7,36.8,36.9,36.5,36.2,36.3,36.5,36.6,36.5,36.7,36.6,36.3,36.2,36.0,35.9,35.9,35.7,35.5,35.8,35.6,35.3,36.1
CEU5000000008    ,CEU5000000008    ,50000000,8,1964-M01,2021-M11,4.35,4.47,4.56,4.68,4.85,5.05,5.25,5.53,5.87,6.17,6.52,6.92,7.37,7.84,8.34,8.86,9.47,10.21,10.76,11.18,11.5,11.81,12.08,12.36,12.63,12.99,13.4,13.9,14.29,14.86,15.32,15.68,16.3,17.14,17.67,18.4,19.07,19.8,20.2,21.01,21.4,22.06,23.23,23.96,24.78,25.45,25.87,26.62,27.04,27.98,28.7,29.05,30.05,30.74,31.97,33.93,35.72
CEU5000000030    ,CEU5000000030    ,50000000,30,1964-M01,2021-M11,165.88,171.24,174.52,176.09,182.65,190.18,195.24,204.5,218.72,230.48,241.07,253.21,270.8,288.29,306.71,324.51,344.38,370.36,385.82,404.89,420.45,430.86,439.84,450.77,455.59,468.77,479.5,495.14,511.95,535.19,551.21,564.92,592.45,622.37,646.52,675.47,700.92,731.18,737.94,760.84,776.72,805.11,850.64,874.45,908.78,931.08,939.85,964.85,973.52,1003.65,1030.17,1038.1,1068.23,1100.03,1139.52,1198.97,1288.26
CEU5000000031    ,CEU5000000031    ,50000000,31,1964-M01,2021-M11,531.67,540.19,535.34,524.08,521.86,515.39,500.62,502.46,519.52,515.62,486.03,468.04,473.43,473.38,467.55,443.93,415.42,405.21,398.16,405.7,407.02,403.05,405.01,400.68,389.39,382.36,371.71,368.68,370.44,376.63,378.58,377.12,384.46,394.9,404.83,413.89,414.99,421.43,419.52,423.16,420.99,421.52,431.58,431.26,430.59,444.15,439.25,435.45,430.33,437.66,442.57,447.82,456.36,460.17,464.83,481.09,510.71
CEU5000000032    ,CEU5000000032    ,50000000,32,1964-M01,2021-M11,13.94,14.1,13.99,13.93,13.86,13.69,13.46,13.59,13.94,13.8,13.15,12.79,12.88,12.87,12.71,12.12,11.42,11.17,11.1,11.2,11.13,11.05,11.12,10.99,10.79,10.6,10.39,10.35,10.34,10.46,10.52,10.47,10.58,10.88,11.06,11.27,11.29,11.41,11.48,11.69,11.6,11.55,11.79,11.82,11.74,12.14,12.09,12.01,11.95,12.2,12.33,12.53,12.84,12.86,13.04,13.61,14.16
CEU5000000034    ,CEU5000000034    ,50000000,34,1964-M01,2021-M11,53.0,55.5,58.3,58.6,59.9,61.8,60.4,58.7,61.1,64.1,64.0,59.1,61.2,63.5,66.6,69.0,67.5,67.7,64.0,62.1,68.0,69.1,69.1,71.5,73.1,74.4,76.2,76.1,76.5,78.0,79.2,82.5,86.9,90.4,92.6,98.5,105.0,106.7,100.0,97.0,98.2,99.4,100.2,100.1,100.0,93.5,90.0,88.9,88.9,89.8,90.5,90.8,91.4,92.6,93.0,93.0,88.0
CEU5000000035    ,CEU5000000035    ,50000000,35,1964-M01,2021-M11,11.4,12.3,13.2,13.6,14.4,15.4,15.7,16.1,17.8,19.6,20.7,20.3,22.3,24.7,27.5,30.3,31.6,34.2,34.1,34.4,38.7,40.4,41.3,43.7,45.7,47.9,50.6,52.3,54.1,57.3,60.0,64.1,70.1,76.7,81.0,89.7,99.1,104.5,100.0,100.9,104.1,108.5,115.3,118.7,122.6,117.8,115.2,117.1,119.0,124.4,128.6,130.6,135.9,140.9,147.2,156.2,155.7
CEU5000000081    ,CEU5000000081    ,50000000,81,1964-M01,2021-M11,46427.0,48622.0,51090.0,51385.0,52467.0,54114.0,52904.0,51462.0,53521.0,56154.0,56071.0,51783.0,53579.0,55664.0,58332.0,60464.0,59099.0,59280.0,56050.0,54388.0,59621.0,60582.0,60572.0,62615.0,64036.0,65203.0,66779.0,66657.0,67003.0,68317.0,69380.0,72306.0,76149.0,79218.0,81132.0,86312.0,91958.0,93456.0,87615.0,85004.0,86049.0,87093.0,87827.0,87719.0,87606.0,81949.0,78814.0,77874.0,77915.0,78695.0,79313.0,79571.0,80061.0,81138.0,81475.0,81447.0,77125.0
CEU5000000082    ,CEU5000000082    ,50000000,82,1964-M01,2021-M11,201799.0,217181.0,232877.0,240423.0,254617.0,273386.0,277641.0,284677.0,314208.0,346570.0,365539.0,358539.0,394967.0,436394.0,486348.0,535442.0,559897.0,604955.0,603224.0,608186.0,685787.0,715411.0,731416.0,773741.0,808819.0,847259.0,894827.0,926196.0,957690.0,1014906.0,1062738.0,1133798.0,1241524.0,1357546.0,1433381.0,1587802.0,1753873.0,1850253.0,1769831.0,1785745.0,1841527.0,1921064.0,2040337.0,2101518.0,2170480.0,2085622.0,2039172.0,2072747.0,2106525.0,2202004.0,2275901.0,2311160.0,2405733.0,2494312.0,2604847.0,2763734.0,2755052.0
CEU5051100007    ,CEU5051100007    ,50511000,7,2003-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.3,35.2,35.6,35.4,35.4,35.5,35.4,35.5,36.0,36.4,36.4,36.3,36.9,36.5,36.5,36.9,36.6,37.4
CEU5051100008    ,CEU5051100008    ,50511000,8,2003-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.93,23.36,24.2,24.85,25.4,25.79,26.44,26.78,28.66,29.83,31.68,33.49,34.09,34.5,34.17,35.05,37.21,39.41
CEU5051100030    ,CEU5051100030    ,50511000,30,2003-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.22,822.28,861.93,879.39,898.93,915.66,936.75,951.62,1032.11,1086.76,1153.24,1216.89,1256.92,1260.83,1247.62,1292.5,1363.79,1473.76
CEU5051100031    ,CEU5051100031    ,50511000,31,2003-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.6,445.68,451.27,446.16,443.33,433.85,446.86,444.75,465.81,480.38,502.89,522.78,542.22,538.64,521.91,527.24,547.22,584.25
CEU5051100032    ,CEU5051100032    ,50511000,32,2003-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,12.66,12.67,12.61,12.53,12.22,12.61,12.52,12.93,13.19,13.81,14.39,14.71,14.74,14.29,14.3,14.93,15.62
