index,Index,Label,unit,start,last,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CEU9091912001    ,CEU9091912001    ,90919120,1,1939-M01,2022-M01,320.4,328.5,340.2,348.0,368.2,407.3,439.4,472.5,470.6,497.8,527.0,516.1,521.2,542.0,530.2,532.8,533.7,539.0,555.2,566.7,578.4,590.7,600.8,601.3,602.5,604.0,618.5,685.6,718.7,728.5,737.4,741.1,731.4,702.9,697.9,709.8,699.0,675.8,656.9,660.3,673.3,672.7,674.7,684.1,685.0,705.6,749.6,792.2,814.6,834.7,838.3,825.1,813.2,800.0,793.2,820.6,849.9,867.2,866.0,880.5,889.7,879.7,873.0,842.4,808.6,782.1,774.2,769.7,769.1,747.4,703.4,658.5,630.9,611.2,594.9,593.0,596.9,608.8,615.4,608.5,607.2,602.3,606.0
CEU9091912010    ,CEU9091912010    ,90919120,10,1972-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.5,189.4,195.0,194.3,195.9,216.1,209.5,206.7,220.4,229.7,242.5,258.8,272.3,296.9,327.4,335.3,341.1,341.6,327.1,307.7,297.8,301.7,321.0,339.8,353.1,360.0,360.5,361.4,369.5,352.1,340.2,329.3,323.9,324.6,325.0,329.5,318.8,300.0,281.7,271.2,265.6,262.3,263.0,265.8,273.0,277.7,275.7,277.2,275.6,277.3
CEU9091999901    ,CEU9091999901    ,90919999,1,1975-M03,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1277.2,1299.4,1342.0,1346.8,1448.3,1360.3,1275.0,1293.6,1280.4,1277.3,1269.7,1289.8,1330.4,1335.6,1416.6,1361.2,1374.6,1365.7,1306.7,1238.9,1180.9,1128.3,1117.3,1134.0,1253.3,1158.0,1198.3,1233.3,1229.1,1221.5,1217.7,1215.7,1245.7,1319.2,1472.2,1362.6,1349.2,1324.0,1297.0,1304.5,1318.2,1318.8,1312.0,1324.8,1409.9,1355.1
CEU9091999910    ,CEU9091999910    ,90919999,10,1976-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.6,491.2,529.9,551.2,604.0,586.6,562.4,573.7,577.2,585.2,583.0,598.1,619.8,627.0,653.4,628.7,643.7,637.3,608.8,579.9,556.3,536.6,490.4,489.5,542.3,480.1,501.3,534.3,534.0,539.5,551.4,553.2,574.6,610.3,683.4,629.6,618.1,603.7,589.1,592.5,596.0,598.2,602.8,610.7,649.6,627.8
CEU9092000001    ,CEU9092000001    ,90920000,1,1955-M01,2022-M01,,,,,,,,,,,,,,,,,1168.0,1249.0,1328.0,1415.0,1484.0,1536.0,1607.0,1669.0,1747.0,1856.0,1996.0,2141.0,2302.0,2442.0,2533.0,2664.0,2747.0,2859.0,2923.0,3039.0,3179.0,3273.0,3377.0,3474.0,3541.0,3610.0,3640.0,3640.0,3662.0,3734.0,3832.0,3893.0,3967.0,4076.0,4182.0,4305.0,4355.0,4408.0,4488.0,4576.0,4635.0,4606.0,4582.0,4612.0,4709.0,4786.0,4905.0,5029.0,5002.0,4982.0,5032.0,5075.0,5122.0,5177.0,5169.0,5137.0,5078.0,5055.0,5046.0,5050.0,5077.0,5110.0,5165.0,5173.0,5206.0,5135.0,5207.0
CEU9092000010    ,CEU9092000010    ,90920000,10,1964-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,714.0,774.0,847.0,937.0,1019.0,1093.0,1132.0,1124.0,1165.0,1225.0,1296.0,1382.0,1457.0,1519.0,1546.0,1581.0,1641.0,1668.0,1646.0,1593.0,1687.0,1785.0,1857.0,1928.0,2009.0,2079.0,2137.0,2173.0,2197.0,2238.0,2281.0,2326.0,2316.0,2324.0,2354.0,2412.0,2464.0,2534.0,2621.0,2599.0,2562.0,2575.0,2630.0,2651.0,2684.0,2628.0,2639.0,2643.0,2648.0,2649.0,2651.0,2702.0,2740.0,2779.0,2797.0,2822.0,2781.0,2820.0
CEU9092161101    ,CEU9092161101    ,90921611,1,1955-M01,2022-M01,,,,,,,,,,,,,,,,,308.3,333.8,362.5,388.8,419.8,447.5,474.2,510.5,557.1,608.8,679.1,775.1,873.4,958.0,1042.1,1104.4,1148.7,1187.7,1205.2,1266.8,1322.7,1371.3,1385.2,1367.2,1378.3,1397.9,1420.2,1432.6,1450.1,1488.0,1539.9,1560.9,1586.2,1620.5,1668.1,1729.9,1767.6,1798.6,1834.1,1881.9,1919.0,1910.7,1904.0,1922.2,1983.2,2030.6,2112.9,2242.8,2254.7,2238.1,2259.9,2292.5,2317.5,2354.4,2360.2,2373.1,2374.0,2388.5,2393.3,2389.3,2401.4,2429.2,2478.7,2486.9,2515.2,2435.9,2533.4
CEU9092161110    ,CEU9092161110    ,90921611,10,1964-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,243.8,270.6,304.1,350.4,383.1,413.3,439.3,463.3,494.0,515.8,544.0,571.5,601.8,610.8,605.0,627.2,658.4,670.7,666.2,660.2,692.0,733.3,754.1,775.8,803.4,829.4,849.4,867.5,883.4,904.7,928.8,954.7,956.3,969.2,989.2,1028.6,1058.1,1105.6,1183.6,1203.3,1180.6,1190.6,1227.2,1250.0,1270.3,1240.3,1263.1,1276.0,1287.1,1298.5,1298.3,1318.0,1343.6,1377.4,1392.7,1412.5,1368.2,1417.7
CEU9092200001    ,CEU9092200001    ,90922000,1,1955-M01,2022-M01,,,,,,,,,,,,,,,,,859.8,915.6,965.8,1026.6,1064.7,1088.3,1133.1,1158.0,1189.6,1247.3,1316.8,1365.8,1428.5,1483.6,1491.1,1560.1,1598.6,1671.6,1717.3,1771.9,1856.5,1901.6,1991.8,2106.3,2162.5,2212.1,2220.0,2207.2,2212.3,2246.4,2291.8,2331.9,2380.6,2455.8,2513.8,2574.6,2587.3,2609.7,2653.8,2693.6,2715.5,2695.1,2677.9,2690.2,2725.6,2755.9,2791.8,2786.3,2747.6,2743.9,2771.6,2782.0,2804.3,2822.5,2808.8,2764.1,2703.7,2666.4,2652.8,2660.5,2675.6,2680.9,2686.4,2686.4,2690.9,2699.0,2673.0
CEU9092200010    ,CEU9092200010    ,90922000,10,1972-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671.2,708.6,751.5,810.2,855.5,908.6,940.6,953.8,982.7,997.2,979.5,933.0,995.4,1051.5,1103.1,1152.0,1205.4,1249.4,1287.6,1305.1,1313.1,1333.2,1352.7,1371.4,1359.6,1355.0,1364.3,1383.5,1405.6,1427.9,1437.2,1395.8,1381.0,1384.1,1402.4,1401.2,1413.6,1387.1,1376.2,1366.9,1360.7,1350.3,1352.4,1384.3,1396.1,1401.5,1404.5,1409.1,1412.3,1402.5
