index,Index,Label,unit,start,last,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CEU1000000001    ,CEU1000000001    ,10000000,1,1939-M01,2021-M11,856.0,927.0,967.0,1010.0,958.0,926.0,864.0,885.0,976.0,1014.0,948.0,924.0,956.0,928.0,902.0,825.0,828.0,859.0,864.0,801.0,789.0,771.0,728.0,709.0,694.0,697.0,694.0,690.0,679.0,671.0,683.0,677.0,658.0,672.0,693.0,755.0,802.0,832.0,865.0,902.0,1008.0,1077.0,1180.0,1163.0,997.0,1014.0,974.0,829.0,771.0,770.0,750.0,765.0,739.0,689.0,666.0,659.0,641.0,637.0,654.0,645.0,598.0,599.0,606.0,583.0,572.0,591.0,628.0,684.0,724.0,767.0,694.0,705.0,788.0,848.0,863.0,891.0,813.0,668.0,676.0,727.0,727.0,619.0
CEU1000000006    ,CEU1000000006    ,10000000,6,1947-M01,2021-M11,,,,,,,,,866.0,898.0,829.0,811.0,838.0,801.0,772.0,691.0,688.0,709.0,702.0,630.0,615.0,596.0,556.0,538.0,525.0,526.0,523.0,517.0,501.0,491.0,501.0,496.0,474.0,494.0,502.0,550.0,581.0,606.0,636.0,658.0,737.0,785.0,861.0,834.0,698.0,714.0,686.0,577.0,541.0,545.0,526.0,538.0,515.0,478.0,462.0,461.0,458.0,461.0,479.0,473.0,438.0,446.0,457.0,436.0,420.0,440.0,473.0,519.0,547.0,574.0,510.0,525.0,594.0,641.0,636.0,653.0,592.0,471.0,490.0,541.0,535.0,439.0
CEU1000000010    ,CEU1000000010    ,10000000,10,1960-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,56.0,54.0,54.0,54.0,54.0,54.0,55.0,56.0,56.0,58.0,60.0,60.0,62.0,65.0,71.0,79.0,84.0,88.0,97.0,112.0,123.0,140.0,144.0,128.0,129.0,130.0,121.0,112.0,113.0,112.0,112.0,114.0,109.0,105.0,102.0,98.0,96.0,99.0,100.0,96.0,92.0,90.0,85.0,80.0,80.0,79.0,82.0,93.0,101.0,98.0,98.0,105.0,113.0,116.0,119.0,114.0,98.0,91.0,92.0,94.0,87.0
CEU1011330001    ,CEU1011330001    ,10113300,1,1947-M01,2021-M11,,,,,,,,,92.5,86.7,78.5,91.5,106.4,98.5,96.9,90.9,92.5,99.8,86.3,87.2,94.4,91.0,84.6,83.6,83.5,87.7,84.2,81.1,81.1,79.1,78.4,70.3,69.1,69.0,75.9,80.7,73.5,81.5,84.2,84.8,88.5,87.5,82.1,75.4,82.9,87.5,84.4,84.1,85.4,88.0,86.9,84.6,78.7,78.7,81.0,82.0,82.5,80.7,82.1,80.0,80.8,79.0,73.5,70.4,69.4,67.6,65.2,64.4,60.1,56.6,50.4,49.7,48.7,50.8,51.8,52.0,52.4,51.0,49.6,49.5,49.0,45.8
CEU1011330006    ,CEU1011330006    ,10113300,6,1972-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.8,65.0,67.6,59.3,66.3,69.5,69.1,73.1,71.2,64.4,56.6,64.7,68.2,67.2,71.0,71.2,73.9,71.8,69.6,64.4,64.4,66.1,67.0,66.6,64.8,65.6,63.0,64.7,62.7,59.6,58.7,56.0,55.6,54.1,53.2,50.5,48.4,43.6,42.4,41.3,42.9,43.9,43.0,42.2,41.1,40.8,41.6,42.1,39.4
CEU1011330010    ,CEU1011330010    ,10113300,10,1959-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,2.5,2.0,2.3,2.2,2.5,3.0,3.0,3.0,3.1,3.4,3.7,3.1,2.4,2.3,2.4,3.1,3.3,3.8,4.3,4.7,5.1,5.4,5.4,5.8,6.1,6.5,6.4,6.5,6.5,7.3,7.2,6.7,6.3,6.3,6.7,7.2,7.7,7.9,7.8,7.5,8.1,7.7,7.6,6.7,6.7,7.0,7.1,6.6,6.5,5.6,5.4,4.8,4.9,5.3,4.9,5.3,5.7,5.7,5.7,5.3,4.6,4.1
CEU1021000001    ,CEU1021000001    ,10210000,1,1958-M01,2021-M11,,,,,,,,,,,,,,,,,,,,713.9,694.6,679.8,643.9,625.0,610.2,609.2,609.7,608.4,598.2,591.7,604.1,607.1,589.3,603.1,617.2,674.0,728.4,750.8,781.1,817.4,919.6,989.4,1097.4,1087.8,913.9,926.0,889.1,745.0,685.8,681.6,663.2,680.1,660.5,609.8,584.9,576.5,558.1,556.4,571.3,564.7,517.4,520.2,532.5,512.2,502.7,523.0,562.2,619.7,663.8,709.8,643.3,654.8,739.2,797.2,811.0,838.5,760.4,616.8,626.1,677.8,678.0,573.1
CEU1021000006    ,CEU1021000006    ,10210000,6,1958-M01,2021-M10,,,,,,,,,,,,,,,,,,,,550.6,531.8,515.3,483.1,466.0,452.3,451.0,450.2,445.2,430.2,423.1,432.8,431.5,425.6,434.0,437.3,482.4,521.7,540.1,566.5,588.3,664.4,714.0,796.1,777.7,633.3,645.7,619.0,505.5,470.0,471.5,454.1,468.6,450.1,413.1,395.5,393.6,390.7,395.8,412.7,409.8,373.6,382.9,397.6,377.5,364.2,384.4,419.1,465.6,496.6,525.9,466.4,482.6,552.3,597.9,591.7,610.1,550.1,430.0,449.7,499.4,492.8,399.3
CEU1021000010    ,CEU1021000010    ,10210000,10,1960-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,53.4,51.4,51.5,51.4,50.5,50.5,51.4,52.8,53.0,54.3,56.9,57.8,59.6,62.1,68.2,75.4,79.9,83.0,91.8,106.9,117.5,134.6,138.5,121.8,122.3,123.9,114.4,105.1,105.4,104.7,105.7,107.6,103.1,97.7,94.3,89.9,88.1,90.6,92.7,87.9,83.8,82.6,78.7,73.1,72.6,71.7,75.1,86.3,95.5,92.8,92.6,100.0,107.3,110.6,113.2,107.7,91.9,85.3,86.6,89.6,82.8
CEU1021100001    ,CEU1021100001    ,10211000,1,1972-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.1,135.3,140.4,150.8,156.5,165.0,177.0,192.0,218.6,253.1,264.5,255.6,251.9,244.7,216.6,198.0,194.5,191.0,190.2,191.0,182.2,170.9,162.4,151.7,146.9,144.1,140.8,131.2,124.9,123.7,121.9,120.2,123.4,125.7,134.5,146.2,160.5,159.8,158.7,172.0,187.4,193.5,197.7,193.4,169.8,143.9,142.3,143.6,136.2
CEU1021100006    ,CEU1021100006    ,10211000,6,1972-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.1,60.9,62.3,68.6,73.2,76.6,79.5,83.0,91.7,103.1,112.6,109.7,106.9,104.8,95.6,89.1,88.4,85.2,84.3,86.6,83.8,76.7,72.5,72.7,73.3,74.7,75.3,70.5,67.3,68.4,68.2,66.8,70.2,71.5,78.4,83.3,88.9,85.2,89.0,96.6,106.3,104.4,104.3,107.6,89.5,74.4,78.5,81.0,77.9
CEU1021100010    ,CEU1021100010    ,10211000,10,1972-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9,30.3,32.2,34.2,35.7,37.7,42.2,47.8,56.1,67.7,70.7,67.6,68.6,70.2,63.4,57.9,57.1,57.1,58.0,59.1,57.5,54.5,52.3,48.9,47.2,47.4,48.0,45.7,42.8,41.9,39.0,34.6,33.1,34.4,37.4,41.3,46.2,46.7,44.4,47.7,50.0,49.1,49.1,48.9,45.1,38.5,35.4,36.1,35.1
CEU1021200001    ,CEU1021200001    ,10212000,1,1990-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.2,285.1,271.8,250.9,255.2,252.4,249.4,249.5,243.1,234.5,224.8,218.7,210.6,202.7,205.1,212.8,220.3,223.4,226.0,208.3,204.5,218.4,218.7,209.6,207.2,197.8,180.9,185.8,191.3,190.4,178.5
CEU1021200006    ,CEU1021200006    ,10212000,6,1990-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.2,222.5,211.9,194.6,199.8,198.2,195.8,194.8,189.6,183.1,175.1,171.2,164.3,156.4,159.6,167.1,174.8,178.2,181.9,169.5,163.7,176.2,175.8,166.8,162.2,153.3,137.3,140.0,143.8,142.5,132.6
CEU1021200010    ,CEU1021200010    ,10212000,10,1990-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6,25.9,25.3,23.8,24.0,24.0,24.1,24.6,23.8,22.9,22.2,20.9,19.6,19.3,19.3,19.7,20.6,21.3,19.9,17.4,18.3,20.0,20.3,19.4,19.2,17.7,16.3,16.9,17.4,18.0,17.8
CEU1021210001    ,CEU1021210001    ,10212100,1,1985-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.7,163.0,150.1,139.0,133.1,136.0,125.6,117.5,100.2,103.5,96.7,90.5,89.4,85.3,78.6,72.2,74.3,74.4,70.0,70.6,73.9,78.0,77.2,81.2,81.5,80.8,87.3,84.7,78.1,73.2,64.2,50.8,51.5,51.6,50.5,41.6
CEU1021210010    ,CEU1021210010    ,10212100,10,1985-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,12.1,11.4,11.3,10.7,10.6,10.0,9.4,7.9,7.7,7.1,6.7,6.7,6.2,5.9,5.3,4.7,4.1,3.8,3.9,4.5,4.3,4.6,3.5,3.1,3.6,4.4,4.8,4.1,3.9,3.5,3.0,2.8,2.3,2.4,2.1
CEU1021211101    ,CEU1021211101    ,10212111,1,1990-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.8,51.8,49.4,43.9,44.8,41.8,39.3,38.8,36.8,34.1,31.6,32.3,33.9,32.5,33.3,34.3,36.2,36.3,37.9,37.5,35.9,38.8,37.2,34.1,32.0,29.1,24.2,24.1,23.8,22.6,18.2
CEU1021211301    ,CEU1021211301    ,10212113,1,1990-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.3,73.8,68.1,56.2,58.7,54.9,51.1,50.7,48.6,44.5,40.6,42.0,40.5,37.5,37.2,39.6,41.8,40.9,43.3,44.0,44.9,48.4,47.5,44.0,41.2,35.0,26.6,27.4,27.7,27.9,23.4
CEU1021220001    ,CEU1021220001    ,10212200,1,1990-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4,52.1,50.0,46.9,45.9,48.2,50.5,50.1,46.2,41.5,37.9,33.1,28.8,26.8,27.5,29.0,32.2,36.2,40.0,34.8,36.7,42.0,44.7,44.4,44.0,41.8,39.0,39.5,41.7,42.2,41.6
CEU1021220010    ,CEU1021220010    ,10212200,10,1990-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,4.7,4.8,4.9,4.9,5.1,5.4,5.6,4.9,4.3,3.8,3.4,3.3,3.1,2.9,3.0,2.9,3.3,4.2,3.8,4.0,4.5,4.6,5.0,4.4,4.0,3.8,4.0,4.1,4.2,4.1
CEU1021230001    ,CEU1021230001    ,10212300,1,1990-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.8,107.4,104.4,103.8,105.9,107.5,108.4,109.9,111.6,114.4,114.8,111.4,107.4,105.8,107.1,109.9,110.1,110.0,104.8,92.0,87.0,89.1,89.4,87.1,89.9,91.8,91.1,94.8,98.0,97.8,95.3
CEU1021230010    ,CEU1021230010    ,10212300,10,1990-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,11.2,11.1,11.1,11.4,11.8,12.0,12.3,12.7,12.7,13.0,12.8,12.3,12.4,12.5,12.3,13.5,13.5,12.2,10.5,10.7,11.1,10.9,10.3,10.9,10.2,9.6,10.1,10.9,11.4,11.5
CEU1021231001    ,CEU1021231001    ,10212310,1,1990-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9,42.3,41.3,41.9,43.1,43.7,44.5,45.9,47.4,49.5,50.1,49.1,47.9,46.8,49.3,50.2,51.4,51.6,47.4,42.7,40.7,40.8,39.9,39.2,39.4,40.4,41.6,42.3,42.2,42.2,42.7
CEU1021231006    ,CEU1021231006    ,10212310,6,1990-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,32.3,31.6,32.6,33.6,34.1,35.0,35.9,37.0,39.2,39.4,38.1,36.3,34.3,37.5,38.5,39.4,40.6,37.6,33.4,31.5,30.3,29.3,29.1,29.6,30.7,31.0,31.2,30.5,31.1,32.0
CEU1021231010    ,CEU1021231010    ,10212310,10,1990-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.6,4.5,4.6,4.8,5.0,5.1,5.3,5.7,5.7,5.8,5.8,5.7,6.3,6.3,5.6,5.1,5.1,4.7,4.2,4.1,4.7,4.6,4.3,4.1,3.9,4.2,4.4,4.5,4.3,4.5
CEU1021231201    ,CEU1021231201    ,10212312,1,1990-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6,24.2,23.7,24.0,24.7,25.0,25.4,26.2,26.9,28.0,28.2,27.3,27.0,26.7,26.1,26.6,26.7,26.7,23.8,22.4,21.6,21.6,20.6,20.3,20.2,20.7,21.3,21.7,21.7,22.1,22.4
CEU1021231206    ,CEU1021231206    ,10212312,6,1990-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,18.3,18.1,18.7,19.2,19.5,19.9,20.4,20.9,22.2,22.3,21.4,20.6,19.8,20.2,20.6,20.5,20.8,19.4,18.5,17.7,16.5,15.3,15.1,15.0,15.5,15.9,16.2,15.8,16.7,16.9
CEU1021231210    ,CEU1021231210    ,10212312,10,1990-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,2.9,2.8,2.8,2.9,3.1,3.1,3.3,3.4,3.4,3.5,3.6,3.6,3.7,3.3,2.9,2.6,2.6,2.4,2.2,2.1,2.2,2.1,2.0,2.0,1.9,2.0,2.1,2.1,2.1,2.3
CEU1021231901    ,CEU1021231901    ,10212319,1,1990-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3,18.1,17.5,17.9,18.4,18.7,19.1,19.7,20.5,21.5,21.9,21.8,20.9,20.1,23.2,23.6,24.7,24.9,23.6,20.3,19.1,19.2,19.3,18.9,19.2,19.7,20.3,20.6,20.5,20.1,20.3
CEU1021231906    ,CEU1021231906    ,10212319,6,1990-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,14.0,13.5,14.0,14.3,14.6,15.1,15.5,16.1,17.0,17.1,16.7,15.7,14.5,17.3,17.9,18.9,19.8,18.3,15.0,13.9,13.8,14.0,14.0,14.6,15.2,15.1,15.0,14.7,14.3,15.0
CEU1021231910    ,CEU1021231910    ,10212319,10,1990-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,1.7,1.7,1.8,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.2,2.1,2.7,3.1,2.7,2.4,2.5,2.3,2.0,2.0,2.5,2.5,2.3,2.1,2.0,2.1,2.3,2.4,2.2,2.2
CEU1021232001    ,CEU1021232001    ,10212320,1,1990-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3,43.4,43.0,42.9,43.4,44.7,45.6,46.3,46.5,47.7,48.0,46.5,44.5,44.4,43.9,46.2,45.5,45.1,44.2,37.5,35.0,35.9,37.2,35.4,38.1,39.0,37.9,41.3,44.4,43.1,40.7
CEU1021232101    ,CEU1021232101    ,10212321,1,1990-M01,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,28.6,28.5,28.6,29.0,30.0,30.8,31.5,31.9,32.9,33.3,32.8,32.5,32.0,32.1,34.4,33.6,32.8,32.8,27.6,25.5,25.8,26.2,25.1,27.2,27.4,27.2,29.4,30.0,29.7,30.2
