index,Index,Label,unit,start,last,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CEU5552210057    ,CEU5552210057    ,55522100,57,2006-M03,2022-M01,1617588.0,1619894.0,1577802.0,1630022.0,1693899.0,1766156.0,1744542.0,1775921.0,1870763.0,1922966.0,2061596.0,2328472.0,2529650.0,2739697.0,2893415.0
CEU5552211002    ,CEU5552211002    ,55522110,2,2006-M03,2022-M01,37.4,37.2,37.3,38.3,38.8,37.9,37.7,38.3,38.7,38.4,38.6,39.0,38.8,39.2,38.9
CEU5552211003    ,CEU5552211003    ,55522110,3,2006-M03,2022-M01,23.54,23.81,23.96,24.67,25.36,26.95,26.73,27.57,29.47,30.11,31.83,35.95,39.0,42.35,46.14
CEU5552211011    ,CEU5552211011    ,55522110,11,2006-M03,2022-M01,881.03,885.5,893.0,946.02,983.84,1022.34,1007.79,1055.29,1139.05,1155.46,1227.94,1401.57,1514.88,1659.38,1793.89
CEU5552211012    ,CEU5552211012    ,55522110,12,2006-M03,2022-M01,424.92,411.28,416.25,433.84,437.38,445.28,432.61,445.77,480.58,481.43,500.95,558.16,592.54,641.16,662.03
CEU5552211013    ,CEU5552211013    ,55522110,13,2006-M03,2022-M01,11.35,11.06,11.17,11.31,11.27,11.74,11.47,11.65,12.43,12.55,12.99,14.32,15.25,16.36,17.03
CEU5552211016    ,CEU5552211016    ,55522110,16,2006-M03,2022-M01,100.0,99.3,96.3,98.2,100.0,98.2,97.1,96.8,97.0,97.9,99.4,101.0,101.4,102.0,99.0
CEU5552211017    ,CEU5552211017    ,55522110,17,2006-M03,2022-M01,100.0,100.5,98.1,103.0,107.8,112.5,110.3,113.3,121.4,125.3,134.5,154.2,168.1,183.5,194.1
CEU5552211056    ,CEU5552211056    ,55522110,56,2006-M03,2022-M01,53342.0,52971.0,51391.0,52396.0,53366.0,52399.0,51787.0,51619.0,51726.0,52245.0,53041.0,53853.0,54099.0,54396.0,52817.0
CEU5552211057    ,CEU5552211057    ,55522110,57,2006-M03,2022-M01,1255439.0,1261186.0,1231125.0,1292518.0,1353163.0,1412201.0,1384400.0,1422882.0,1524388.0,1573105.0,1688421.0,1936138.0,2109934.0,2303668.0,2437117.0
CEU5552212002    ,CEU5552212002    ,55522120,2,2006-M03,2022-M01,37.2,37.3,37.1,36.6,37.0,37.3,37.3,37.8,37.4,37.2,37.4,37.7,37.8,37.9,37.6
CEU5552212003    ,CEU5552212003    ,55522120,3,2006-M03,2022-M01,25.31,25.61,25.36,25.62,25.28,26.64,27.16,26.82,26.85,28.13,28.8,30.03,32.01,33.48,35.63
CEU5552212011    ,CEU5552212011    ,55522120,11,2006-M03,2022-M01,942.1,954.39,941.17,936.52,934.45,993.41,1012.02,1012.87,1004.74,1046.92,1077.43,1132.58,1211.38,1268.23,1340.78
CEU5552212012    ,CEU5552212012    ,55522120,12,2006-M03,2022-M01,454.37,443.28,438.7,429.49,415.42,432.68,434.42,427.85,423.91,436.2,439.55,451.03,473.83,490.02,494.81
CEU5552212013    ,CEU5552212013    ,55522120,13,2006-M03,2022-M01,12.21,11.89,11.82,11.75,11.24,11.6,11.66,11.33,11.33,11.72,11.75,11.96,12.52,12.94,13.15
CEU5552212016    ,CEU5552212016    ,55522120,16,2006-M03,2022-M01,100.0,92.1,84.6,79.2,79.4,77.8,76.0,70.9,62.4,53.8,51.7,50.8,49.9,48.5,47.0
CEU5552212017    ,CEU5552212017    ,55522120,17,2006-M03,2022-M01,100.0,93.2,84.8,80.1,79.4,82.0,81.5,75.1,66.2,59.8,58.8,60.3,63.2,64.1,66.1
CEU5552212056    ,CEU5552212056    ,55522120,56,2006-M03,2022-M01,7190.0,6619.0,6085.0,5692.0,5711.0,5597.0,5462.0,5096.0,4487.0,3871.0,3717.0,3654.0,3591.0,3485.0,3378.0
CEU5552212057    ,CEU5552212057    ,55522120,57,2006-M03,2022-M01,181959.0,169532.0,154312.0,145817.0,144404.0,149128.0,148336.0,136679.0,120493.0,108863.0,107043.0,109728.0,114950.0,116677.0,120346.0
CEU5552219002    ,CEU5552219002    ,55522190,2,2006-M03,2022-M01,36.9,37.2,37.2,37.0,37.3,37.6,37.3,37.2,37.2,37.5,37.9,37.6,37.7,38.1,38.2
CEU5552219003    ,CEU5552219003    ,55522190,3,2006-M03,2022-M01,19.79,20.34,21.11,21.53,21.98,22.49,22.9,23.0,23.52,24.1,25.55,26.85,27.89,28.89,29.98
CEU5552219011    ,CEU5552219011    ,55522190,11,2006-M03,2022-M01,729.99,755.67,785.45,796.05,819.4,845.39,852.94,855.58,875.84,903.86,969.14,1008.74,1052.02,1099.52,1143.86
CEU5552219012    ,CEU5552219012    ,55522190,12,2006-M03,2022-M01,352.07,350.98,366.11,365.07,364.28,368.21,366.14,361.41,369.53,376.6,395.37,401.72,411.5,424.84,422.14
CEU5552219013    ,CEU5552219013    ,55522190,13,2006-M03,2022-M01,9.54,9.45,9.84,9.87,9.77,9.8,9.83,9.72,9.92,10.04,10.42,10.69,10.91,11.16,11.06
CEU5552219016    ,CEU5552219016    ,55522190,16,2006-M03,2022-M01,100.0,102.3,100.4,98.0,98.4,100.4,101.8,103.3,106.1,110.1,114.2,116.1,119.8,122.0,123.1
CEU5552219017    ,CEU5552219017    ,55522190,17,2006-M03,2022-M01,100.0,105.1,107.1,106.7,109.4,114.1,117.8,120.1,126.1,134.1,147.5,157.5,168.9,178.2,186.5
CEU5552219056    ,CEU5552219056    ,55522190,56,2006-M03,2022-M01,9088.0,9293.0,9128.0,8908.0,8947.0,9120.0,9250.0,9388.0,9644.0,10006.0,10379.0,10550.0,10890.0,11091.0,11186.0
CEU5552219057    ,CEU5552219057    ,55522190,57,2006-M03,2022-M01,179821.0,188982.0,192670.0,191790.0,196684.0,205091.0,211800.0,215977.0,226813.0,241164.0,265188.0,283271.0,303665.0,320418.0,335322.0
CEU5552220002    ,CEU5552220002    ,55522200,2,2006-M03,2022-M01,38.6,38.4,38.6,38.9,39.4,39.2,38.6,38.1,38.9,38.7,38.8,38.8,38.8,39.2,38.6
CEU5552220003    ,CEU5552220003    ,55522200,3,2006-M03,2022-M01,25.77,25.69,25.24,24.99,25.96,28.62,29.76,30.36,30.17,31.15,32.49,33.94,35.78,39.27,42.4
CEU5552220011    ,CEU5552220011    ,55522200,11,2006-M03,2022-M01,994.71,986.26,974.26,972.76,1021.62,1120.67,1148.28,1157.88,1173.66,1205.3,1260.29,1316.5,1388.05,1538.02,1636.41
CEU5552220012    ,CEU5552220012    ,55522200,12,2006-M03,2022-M01,479.74,458.08,454.12,446.11,454.18,488.11,492.92,489.1,495.18,502.19,514.15,524.28,542.93,594.26,603.91
CEU5552220013    ,CEU5552220013    ,55522200,13,2006-M03,2022-M01,12.43,11.93,11.76,11.46,11.54,12.47,12.77,12.82,12.73,12.98,13.25,13.52,14.0,15.17,15.65
CEU5552220016    ,CEU5552220016    ,55522200,16,2006-M03,2022-M01,100.0,87.9,79.8,79.0,79.4,80.9,82.5,79.7,84.0,85.9,87.7,87.1,84.8,87.9,93.3
CEU5552220017    ,CEU5552220017    ,55522200,17,2006-M03,2022-M01,100.0,87.6,78.1,76.6,80.0,89.9,95.3,93.9,98.4,103.8,110.6,114.7,117.7,133.9,153.5
CEU5552220056    ,CEU5552220056    ,55522200,56,2006-M03,2022-M01,26224.0,23054.0,20926.0,20721.0,20828.0,21227.0,21635.0,20901.0,22040.0,22515.0,23009.0,22840.0,22227.0,23054.0,24461.0
CEU5552220057    ,CEU5552220057    ,55522200,57,2006-M03,2022-M01,675838.0,592289.0,528116.0,517728.0,540614.0,607459.0,643869.0,634661.0,664974.0,701221.0,747510.0,775135.0,795270.0,905240.0,1037209.0
CEU5552229002    ,CEU5552229002    ,55522290,2,2006-M03,2022-M01,38.3,38.1,38.5,39.0,39.5,39.1,38.4,37.8,38.5,38.4,38.5,38.5,38.4,38.8,38.1
CEU5552229003    ,CEU5552229003    ,55522290,3,2006-M03,2022-M01,26.32,25.68,25.08,24.51,25.32,27.85,29.46,29.98,29.87,30.67,31.61,33.71,35.88,39.89,43.4
CEU5552229011    ,CEU5552229011    ,55522290,11,2006-M03,2022-M01,1007.71,976.99,966.65,955.9,1000.71,1089.82,1130.63,1134.57,1148.48,1176.82,1216.85,1298.72,1376.27,1547.19,1654.79
CEU5552229012    ,CEU5552229012    ,55522290,12,2006-M03,2022-M01,486.01,453.77,450.57,438.37,444.88,474.67,485.34,479.26,484.56,490.33,496.43,517.2,538.33,597.81,610.69
CEU5552229013    ,CEU5552229013    ,55522290,13,2006-M03,2022-M01,12.69,11.93,11.69,11.24,11.26,12.13,12.65,12.66,12.6,12.78,12.9,13.42,14.03,15.41,16.02
CEU5552229016    ,CEU5552229016    ,55522290,16,2006-M03,2022-M01,100.0,84.5,77.3,78.4,79.1,80.2,83.3,80.3,84.2,86.7,89.6,88.7,85.1,90.8,98.5
CEU5552229017    ,CEU5552229017    ,55522290,17,2006-M03,2022-M01,100.0,82.5,73.7,73.0,76.1,84.8,93.2,91.5,95.6,101.1,107.6,113.6,116.0,137.5,162.4
CEU5552229056    ,CEU5552229056    ,55522290,56,2006-M03,2022-M01,18337.0,15503.0,14177.0,14381.0,14510.0,14698.0,15268.0,14729.0,15443.0,15905.0,16437.0,16263.0,15613.0,16644.0,18058.0
CEU5552229057    ,CEU5552229057    ,55522290,57,2006-M03,2022-M01,482695.0,398058.0,355542.0,352536.0,367444.0,409327.0,449812.0,441623.0,461259.0,487861.0,519514.0,548244.0,560106.0,663874.0,783776.0
CEU5552229102    ,CEU5552229102    ,55522291,2,2006-M03,2022-M01,39.1,37.7,37.8,38.2,38.4,38.5,38.1,38.6,39.2,37.8,37.8,37.8,38.0,37.4,37.9
CEU5552229103    ,CEU5552229103    ,55522291,3,2006-M03,2022-M01,17.79,17.4,16.56,17.33,18.15,18.4,19.16,19.92,22.1,23.18,23.79,24.65,24.67,26.39,30.17
CEU5552229111    ,CEU5552229111    ,55522291,11,2006-M03,2022-M01,696.44,655.14,625.33,662.34,697.49,707.67,730.86,768.24,865.31,876.3,898.57,932.85,936.56,987.2,1144.77
CEU5552229112    ,CEU5552229112    ,55522291,12,2006-M03,2022-M01,335.89,304.29,291.48,303.75,310.08,308.23,313.73,324.51,365.08,365.11,366.58,371.5,366.33,381.44,422.47
CEU5552229113    ,CEU5552229113    ,55522291,13,2006-M03,2022-M01,8.58,8.08,7.72,7.95,8.07,8.01,8.22,8.41,9.32,9.66,9.71,9.82,9.65,10.2,11.13
CEU5552229116    ,CEU5552229116    ,55522291,16,2006-M03,2022-M01,100.0,88.9,78.7,74.7,71.8,75.4,78.6,82.4,87.5,84.9,84.7,83.0,83.3,78.3,74.6
CEU5552229117    ,CEU5552229117    ,55522291,17,2006-M03,2022-M01,100.0,86.9,73.3,72.7,73.2,78.0,84.7,92.2,108.7,110.6,113.2,115.1,115.5,116.1,126.5
CEU5552229156    ,CEU5552229156    ,55522291,56,2006-M03,2022-M01,4655.0,4138.0,3664.0,3477.0,3340.0,3511.0,3660.0,3834.0,4075.0,3951.0,3941.0,3865.0,3876.0,3644.0,3471.0
CEU5552229157    ,CEU5552229157    ,55522291,57,2006-M03,2022-M01,82812.0,71989.0,60662.0,60245.0,60635.0,64616.0,70132.0,76363.0,90057.0,91573.0,93751.0,95290.0,95638.0,96178.0,104718.0
CEU5552229202    ,CEU5552229202    ,55522292,2,2006-M03,2022-M01,38.0,38.3,39.5,40.1,40.8,40.0,39.0,38.2,38.8,38.8,39.0,39.2,39.0,39.9,38.2
CEU5552229203    ,CEU5552229203    ,55522292,3,2006-M03,2022-M01,29.54,28.77,28.81,26.95,28.07,31.66,33.1,35.11,35.24,35.54,36.31,38.42,42.24,46.71,48.96
CEU5552229211    ,CEU5552229211    ,55522292,11,2006-M03,2022-M01,1123.5,1101.29,1137.95,1082.02,1145.76,1267.49,1291.3,1341.4,1365.8,1377.42,1414.48,1504.25,1648.08,1864.21,1868.87
CEU5552229212    ,CEU5552229212    ,55522292,12,2006-M03,2022-M01,541.86,511.51,530.42,496.21,509.36,552.06,554.31,566.62,576.25,573.91,577.06,599.05,644.64,720.3,689.7
CEU5552229213    ,CEU5552229213    ,55522292,13,2006-M03,2022-M01,14.25,13.36,13.43,12.36,12.48,13.79,14.21,14.83,14.87,14.81,14.81,15.3,16.52,18.05,18.07
CEU5552229216    ,CEU5552229216    ,55522292,16,2006-M03,2022-M01,100.0,77.8,71.1,74.6,76.0,74.9,78.3,71.5,75.8,80.8,85.5,84.8,78.7,91.4,105.8
CEU5552229217    ,CEU5552229217    ,55522292,17,2006-M03,2022-M01,100.0,75.7,69.3,68.0,72.2,80.2,87.7,84.9,90.4,97.2,105.1,110.3,112.5,144.5,175.4
CEU5552229256    ,CEU5552229256    ,55522292,56,2006-M03,2022-M01,10509.0,8171.0,7472.0,7838.0,7988.0,7868.0,8225.0,7511.0,7966.0,8493.0,8988.0,8910.0,8266.0,9602.0,11120.0
CEU5552229257    ,CEU5552229257    ,55522292,57,2006-M03,2022-M01,310469.0,235108.0,215224.0,211246.0,224254.0,249072.0,272271.0,263686.0,280706.0,301828.0,326392.0,342343.0,349132.0,448498.0,544418.0
CEU5552229802    ,CEU5552229802    ,55522298,2,2006-M03,2022-M01,37.9,38.1,37.2,37.1,37.7,37.9,37.1,36.3,37.0,38.1,38.2,37.7,37.3,37.3,38.1
CEU5552229803    ,CEU5552229803    ,55522298,3,2006-M03,2022-M01,28.18,28.47,26.19,26.43,25.94,28.81,31.75,30.01,26.6,27.3,28.33,31.72,33.23,35.08,38.84
CEU5552229811    ,CEU5552229811    ,55522298,11,2006-M03,2022-M01,1067.23,1084.46,973.59,981.94,976.85,1091.12,1178.53,1090.58,984.89,1039.47,1082.66,1194.41,1239.74,1307.54,1481.05
CEU5552229812    ,CEU5552229812    ,55522298,12,2006-M03,2022-M01,514.72,503.69,453.81,450.32,434.27,475.24,505.9,460.67,415.54,433.1,441.69,475.66,484.92,505.21,546.57
CEU5552229813    ,CEU5552229813    ,55522298,13,2006-M03,2022-M01,13.59,13.22,12.21,12.12,11.53,12.55,13.63,12.68,11.22,11.37,11.56,12.63,13.0,13.55,14.33
CEU5552229816    ,CEU5552229816    ,55522298,16,2006-M03,2022-M01,100.0,101.0,95.7,96.8,100.4,104.8,106.6,106.9,107.4,109.2,110.7,109.7,109.4,107.1,109.3
CEU5552229817    ,CEU5552229817    ,55522298,17,2006-M03,2022-M01,100.0,102.0,89.0,90.8,92.4,107.2,120.0,113.8,101.4,105.8,111.3,123.5,129.0,133.2,150.6
CEU5552229856    ,CEU5552229856    ,55522298,56,2006-M03,2022-M01,3171.0,3202.0,3036.0,3069.0,3183.0,3324.0,3379.0,3389.0,3407.0,3462.0,3510.0,3480.0,3470.0,3395.0,3465.0
CEU5552229857    ,CEU5552229857    ,55522298,57,2006-M03,2022-M01,89381.0,91167.0,79510.0,81117.0,82568.0,95773.0,107286.0,101714.0,90634.0,94522.0,99443.0,110373.0,115317.0,119084.0,134566.0
CEU5552230002    ,CEU5552230002    ,55522300,2,2006-M03,2022-M01,36.6,37.2,36.8,36.7,36.7,37.4,37.5,37.4,38.3,38.7,39.1,39.2,38.1,37.7,36.9
CEU5552230003    ,CEU5552230003    ,55522300,3,2006-M03,2022-M01,22.61,22.36,22.05,22.39,22.83,25.28,25.36,26.73,29.42,30.88,32.35,31.57,29.95,32.25,34.67
CEU5552230011    ,CEU5552230011    ,55522300,11,2006-M03,2022-M01,827.08,831.39,811.14,822.55,837.47,945.82,950.01,999.95,1125.41,1193.68,1263.53,1237.65,1139.96,1215.1,1278.72
CEU5552230012    ,CEU5552230012    ,55522300,12,2006-M03,2022-M01,398.9,386.15,378.09,377.22,372.31,411.95,407.8,422.39,474.82,497.35,515.47,492.88,445.89,469.49,471.9
CEU5552230013    ,CEU5552230013    ,55522300,13,2006-M03,2022-M01,10.9,10.39,10.28,10.27,10.15,11.01,10.89,11.29,12.41,12.87,13.2,12.57,11.71,12.46,12.79
CEU5552230016    ,CEU5552230016    ,55522300,16,2006-M03,2022-M01,100.0,88.3,81.2,79.4,79.3,84.7,90.4,88.8,93.0,96.9,100.6,100.8,96.7,98.2,103.7
CEU5552230017    ,CEU5552230017    ,55522300,17,2006-M03,2022-M01,100.0,87.3,79.1,78.6,80.1,94.7,101.4,105.1,121.1,132.3,143.9,140.8,128.1,140.1,159.0
CEU5552230056    ,CEU5552230056    ,55522300,56,2006-M03,2022-M01,11797.0,10419.0,9574.0,9362.0,9352.0,9994.0,10668.0,10480.0,10975.0,11427.0,11864.0,11892.0,11402.0,11588.0,12229.0
CEU5552230057    ,CEU5552230057    ,55522300,57,2006-M03,2022-M01,266693.0,232906.0,211066.0,209606.0,213542.0,252667.0,270547.0,280168.0,322898.0,352902.0,383796.0,375380.0,341532.0,373683.0,424003.0
CEU5552231002    ,CEU5552231002    ,55522310,2,2006-M03,2022-M01,35.4,37.4,37.6,35.8,35.9,37.9,37.9,35.8,37.9,39.0,39.7,40.6,38.1,38.3,36.5
CEU5552231003    ,CEU5552231003    ,55522310,3,2006-M03,2022-M01,28.57,29.02,29.0,27.65,25.5,27.77,31.04,33.34,34.67,36.92,36.26,35.52,35.83,40.21,41.67
CEU5552231011    ,CEU5552231011    ,55522310,11,2006-M03,2022-M01,1012.71,1083.88,1090.93,989.89,915.92,1051.64,1177.18,1193.17,1313.95,1440.86,1438.32,1441.81,1365.5,1541.6,1519.92
CEU5552231012    ,CEU5552231012    ,55522310,12,2006-M03,2022-M01,488.42,503.42,508.5,453.96,407.19,458.04,505.32,504.01,554.37,600.34,586.78,574.18,534.11,595.65,560.92
CEU5552231013    ,CEU5552231013    ,55522310,13,2006-M03,2022-M01,13.78,13.48,13.52,12.68,11.34,12.1,13.32,14.08,14.63,15.38,14.79,14.15,14.01,15.54,15.38
CEU5552231016    ,CEU5552231016    ,55522310,16,2006-M03,2022-M01,100.0,71.7,57.9,52.1,48.6,60.5,66.2,60.5,70.3,77.8,83.7,83.6,76.1,91.2,109.3
CEU5552231017    ,CEU5552231017    ,55522310,17,2006-M03,2022-M01,100.0,72.8,58.8,50.4,43.3,58.8,71.9,70.6,85.3,100.6,106.2,104.0,95.5,128.4,159.4
CEU5552231056    ,CEU5552231056    ,55522310,56,2006-M03,2022-M01,4299.0,3081.0,2490.0,2240.0,2088.0,2599.0,2845.0,2600.0,3022.0,3346.0,3598.0,3596.0,3273.0,3922.0,4698.0
CEU5552231057    ,CEU5552231057    ,55522310,57,2006-M03,2022-M01,122834.0,89393.0,72202.0,61934.0,53230.0,72178.0,88318.0,86684.0,104788.0,123566.0,130456.0,127732.0,117251.0,157680.0,195766.0
CEU5552232002    ,CEU5552232002    ,55522320,2,2006-M03,2022-M01,38.4,37.4,37.1,37.7,37.4,37.2,36.9,37.6,38.1,38.5,38.4,38.4,38.3,38.2,37.6
CEU5552232003    ,CEU5552232003    ,55522320,3,2006-M03,2022-M01,20.88,21.09,21.87,23.86,26.38,29.44,27.39,29.1,32.31,32.34,35.09,33.58,30.03,30.73,32.91
CEU5552232011    ,CEU5552232011    ,55522320,11,2006-M03,2022-M01,800.8,789.02,811.88,898.32,985.18,1096.5,1010.63,1093.9,1229.95,1244.19,1348.27,1290.48,1150.48,1175.14,1238.5
CEU5552232012    ,CEU5552232012    ,55522320,12,2006-M03,2022-M01,386.22,366.47,378.43,411.97,437.98,477.58,433.83,462.08,518.93,518.4,550.04,513.92,450.01,454.05,457.06
CEU5552232013    ,CEU5552232013    ,55522320,13,2006-M03,2022-M01,10.07,9.8,10.19,10.94,11.73,12.82,11.76,12.29,13.63,13.47,14.32,13.37,11.75,11.87,12.15
CEU5552232016    ,CEU5552232016    ,55522320,16,2006-M03,2022-M01,100.0,98.4,96.3,97.3,99.6,103.1,108.9,112.2,116.4,120.3,123.0,124.8,123.7,119.8,118.7
CEU5552232017    ,CEU5552232017    ,55522320,17,2006-M03,2022-M01,100.0,99.4,100.9,111.2,125.8,145.4,143.0,156.4,180.1,186.3,206.8,200.7,178.0,176.3,187.2
