index,Index,Label,unit,start,last,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CEU5000000001    ,CEU5000000001    ,50000000,1,1939-M01,2022-M01,1141.0,1196.0,1342.0,1470.0,1605.0,1635.0,1581.0,1594.0,1658.0,1669.0,1583.0,1625.0,1718.0,1736.0,1785.0,1693.0,1735.0,1778.0,1780.0,1674.0,1718.0,1728.0,1693.0,1723.0,1735.0,1766.0,1824.0,1908.0,1955.0,1991.0,2048.0,2041.0,2009.0,2056.0,2135.0,2160.0,2061.0,2111.0,2185.0,2287.0,2375.0,2361.0,2382.0,2317.0,2253.0,2398.0,2437.0,2445.0,2507.0,2585.0,2622.0,2688.0,2677.0,2641.0,2668.0,2738.0,2843.0,2940.0,3084.0,3218.0,3419.0,3630.0,3629.0,3395.0,3188.0,3118.0,3061.0,3038.0,3032.0,2984.0,2804.0,2707.0,2674.0,2676.0,2706.0,2726.0,2750.0,2794.0,2814.0,2839.0,2864.0,2720.0,2831.0
CEU5000000006    ,CEU5000000006    ,50000000,6,1964-M01,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,1217.0,1268.0,1334.0,1365.0,1394.0,1438.0,1422.0,1392.0,1437.0,1504.0,1516.0,1416.0,1459.0,1514.0,1586.0,1650.0,1626.0,1633.0,1564.0,1502.0,1631.0,1660.0,1663.0,1717.0,1775.0,1807.0,1866.0,1871.0,1871.0,1896.0,1928.0,2007.0,2096.0,2181.0,2217.0,2351.0,2502.0,2531.0,2398.0,2347.0,2371.0,2386.0,2399.0,2403.0,2388.0,2240.0,2170.0,2148.0,2164.0,2194.0,2209.0,2226.0,2252.0,2268.0,2286.0,2305.0,2157.0,2243.0
CEU5000000010    ,CEU5000000010    ,50000000,10,1964-M01,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,797.0,817.0,852.0,877.0,896.0,923.0,929.0,923.0,938.0,968.0,984.0,957.0,982.0,1014.0,1061.0,1106.0,1118.0,1140.0,1128.0,1111.0,1169.0,1192.0,1204.0,1234.0,1275.0,1289.0,1324.0,1319.0,1295.0,1304.0,1334.0,1380.0,1433.0,1481.0,1514.0,1600.0,1697.0,1684.0,1554.0,1428.0,1366.0,1333.0,1306.0,1285.0,1260.0,1170.0,1104.0,1084.0,1076.0,1079.0,1094.0,1102.0,1116.0,1117.0,1119.0,1137.0,1085.0,1124.0
CEU5051100001    ,CEU5051100001    ,50511000,1,1990-M01,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870.6,863.4,854.2,873.1,891.0,910.7,927.2,955.5,982.3,1004.8,1035.0,1020.7,964.1,924.8,909.1,904.1,902.4,901.2,880.4,796.4,759.0,748.6,739.5,732.7,726.9,726.5,730.3,728.6,738.5,764.8,768.0,790.7
CEU5051100006    ,CEU5051100006    ,50511000,6,2003-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643.3,654.5,668.3,689.7,702.4,694.5,628.6,598.4,588.5,580.4,577.1,575.2,572.5,575.0,579.2,588.5,611.6,600.9,609.6
CEU5051100010    ,CEU5051100010    ,50511000,10,1990-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.6,434.6,429.2,440.9,451.6,461.3,470.1,482.3,494.3,497.6,502.5,490.8,460.4,437.1,420.2,415.5,421.1,414.8,409.0,366.8,339.8,334.8,329.4,329.5,325.6,320.4,317.1,308.0,309.5,315.9,311.1,324.0
CEU5051110001    ,CEU5051110001    ,50511100,1,1990-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772.5,755.2,740.4,747.2,754.2,753.5,752.4,760.3,767.4,769.8,774.4,751.8,710.9,685.9,673.3,666.2,658.4,646.0,616.8,538.7,498.2,477.3,452.4,433.0,411.4,392.0,371.5,347.4,322.2,298.8,263.6,247.3
CEU5051110006    ,CEU5051110006    ,50511100,6,2003-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.8,469.3,481.7,497.7,501.9,481.5,418.8,387.3,372.3,354.6,343.5,328.9,314.9,298.6,278.2,258.4,239.9,208.3,190.7
CEU5051110010    ,CEU5051110010    ,50511100,10,1990-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.5,388.6,381.8,388.5,394.7,396.6,398.8,403.8,407.8,407.9,410.0,397.9,375.1,360.4,347.6,342.3,343.0,336.1,319.8,278.1,256.2,250.4,239.0,233.5,223.8,212.8,202.2,186.8,176.5,164.7,145.1,137.2
CEU5051111001    ,CEU5051111001    ,50511110,1,1947-M01,2021-M13,,,,,,,,,238.4,254.5,264.6,268.7,270.7,273.3,277.3,281.5,289.8,299.2,302.1,301.4,305.5,312.0,312.6,314.2,315.5,322.1,331.4,336.9,340.6,343.5,353.2,357.8,358.6,366.6,370.1,367.1,361.5,368.4,379.5,391.5,403.0,402.8,402.7,402.1,408.8,421.9,431.8,441.3,450.0,453.4,452.0,455.7,440.8,433.5,432.8,430.5,429.7,423.4,423.6,425.4,424.5,422.6,406.7,388.9,381.3,375.6,370.0,359.8,346.8,324.2,276.7,253.6,240.8,224.8,213.3,202.1,190.7,176.6,161.4,145.7,131.8,111.7,103.7
