index,Index,Label,unit,start,last,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
WPUIP230000                   ,WPUIP230000                   ,"PPI Commodity data for Inputs to construction industries, excluding capital investment, labor, and imports, not seasonally adjusted",Index base: 2014.12 = 100,2014-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6,99.0,102.6,108.7,110.0,111.4,132.268
WPUIP2300001                  ,WPUIP2300001                  ,"PPI Commodity data for Inputs to construction industries, goods, not seasonally adjusted",Index base: 1986.06 = 100,1986-M06,2022-M04,101.5,106.1,111.0,113.4,114.8,116.7,121.4,125.0,129.1,131.2,133.8,133.5,136.1,138.9,139.1,138.3,140.8,151.8,163.7,175.4,181.4,196.2,188.6,196.8,210.7,214.7,217.1,219.8,211.4,207.9,216.4,231.1,231.2,228.2,271.156
WPUIP23000012                 ,WPUIP23000012                 ,"PPI Commodity data for Inputs to construction industries, energy, not seasonally adjusted",Index base: 2014.12 = 100,2014-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.4,73.6,87.6,105.0,95.8,74.0,118.362
WPUIP23000013                 ,WPUIP23000013                 ,"PPI Commodity data for Inputs to construction industries, goods less foods and energy, not seasonally adjusted",Index base: 2014.12 = 100,2014-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.2,102.8,108.0,109.7,112.1,129.091
WPUIP2300002                  ,WPUIP2300002                  ,"PPI Commodity data for Inputs to construction industries, services, not seasonally adjusted",Index base: 2014.12 = 100,2014-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,102.2,105.0,110.3,113.1,118.3,139.721
WPUIP23000021                 ,WPUIP23000021                 ,"PPI Commodity data for Inputs to construction industries, trade services, not seasonally adjusted",Index base: 2014.12 = 100,2014-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.3,101.9,104.5,110.1,113.1,121.5,152.734
WPUIP23000022                 ,WPUIP23000022                 ,"PPI Commodity data for Inputs to construction industries, transportation and warehousing services, not seasonally adjusted",Index base: 2014.12 = 100,2014-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.4,97.3,99.6,106.3,108.8,108.2,121.708
WPUIP23000023                 ,WPUIP23000023                 ,"PPI Commodity data for Inputs to construction industries, services less trade, transportation, and warehousing, not seasonally adjusted",Index base: 2014.12 = 100,2014-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.1,105.1,108.6,112.2,114.9,113.7,116.984
WPUIP231000                   ,WPUIP231000                   ,"PPI Commodity data for Inputs to new construction, excluding capital investment, labor, and imports, not seasonally adjusted",Index base: 2014.12 = 100,2014-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6,99.2,102.6,108.7,110.1,111.5,132.448
WPUIP2310001                  ,WPUIP2310001                  ,"PPI Commodity data for Inputs to new construction, goods, not seasonally adjusted",Index base: 1986.06 = 100,1986-M06,2022-M04,101.6,106.1,111.0,113.3,114.6,116.9,122.2,125.9,129.8,131.8,134.6,134.3,137.0,139.6,139.6,138.8,141.2,152.0,163.8,175.2,181.1,195.4,188.1,195.8,209.2,213.6,216.2,218.9,210.7,207.5,215.8,230.4,230.5,227.8,271.282
WPUIP23100012                 ,WPUIP23100012                 ,"PPI Commodity data for Inputs to new construction, energy, not seasonally adjusted",Index base: 2014.12 = 100,2014-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.4,73.6,87.6,105.0,95.8,74.0,117.216
WPUIP23100013                 ,WPUIP23100013                 ,"PPI Commodity data for Inputs to new construction, goods less foods and energy, not seasonally adjusted",Index base: 2014.12 = 100,2014-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.3,102.8,108.0,109.7,112.1,129.731
WPUIP2310002                  ,WPUIP2310002                  ,"PPI Commodity data for Inputs to new construction, services, not seasonally adjusted",Index base: 2014.12 = 100,2014-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.9,102.2,105.0,110.3,113.2,118.3,139.252
WPUIP23100021                 ,WPUIP23100021                 ,"PPI Commodity data for Inputs to new construction, trade services, not seasonally adjusted",Index base: 2014.12 = 100,2014-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.3,101.9,104.5,110.1,113.2,121.4,153.027
WPUIP23100022                 ,WPUIP23100022                 ,"PPI Commodity data for Inputs to new construction, transportation and warehousing services, not seasonally adjusted",Index base: 2014.12 = 100,2014-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.4,97.3,99.6,106.3,108.8,108.2,121.708
WPUIP23100023                 ,WPUIP23100023                 ,"PPI Commodity data for Inputs to new construction, services excluding trade, transportation, and warehousing, not seasonally adjusted",Index base: 2014.12 = 100,2014-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.1,105.2,108.7,112.4,115.1,113.9,117.215
WPUIP231100                   ,WPUIP231100                   ,"PPI Commodity data for Inputs to new residential construction, excluding capital investment, labor, and imports, not seasonally adjusted",Index base: 2014.12 = 100,2014-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,99.9,103.3,109.4,110.4,113.0,133.731
WPUIP2311001                  ,WPUIP2311001                  ,"PPI Commodity data for Inputs to residential construction, goods, not seasonally adjusted",Index base: 1986.06 = 100,1986-M06,2022-M04,101.8,105.6,110.3,112.3,114.2,118.4,126.5,130.4,133.3,135.0,138.3,137.5,141.2,141.9,141.6,141.1,143.9,153.3,162.6,173.0,177.2,186.9,185.2,191.3,202.6,207.6,211.1,214.7,208.7,206.1,214.3,228.3,227.9,226.3,266.382
WPUIP23110012                 ,WPUIP23110012                 ,"PPI Commodity data for Inputs to residential construction, energy, not seasonally adjusted",Index base: 2014.12 = 100,2014-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.2,69.2,84.9,104.7,94.4,69.8,111.856
WPUIP23110013                 ,WPUIP23110013                 ,"PPI Commodity data for Inputs to residential construction, goods less foods and energy, not seasonally adjusted",Index base: 2014.12 = 100,2014-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.2,100.6,103.3,108.3,109.5,112.3,128.693
WPUIP2311002                  ,WPUIP2311002                  ,"PPI Commodity data for Inputs to residential construction, services, not seasonally adjusted",Index base: 2014.12 = 100,2014-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,102.6,105.4,110.9,113.1,119.3,141.826
WPUIP23110021                 ,WPUIP23110021                 ,"PPI Commodity data for Inputs to residential construction, trade services, not seasonally adjusted",Index base: 2014.12 = 100,2014-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.4,102.1,104.6,110.5,112.5,122.2,152.148
WPUIP23110022                 ,WPUIP23110022                 ,"PPI Commodity data for Inputs to residential construction, transportation and warehousing services, not seasonally adjusted",Index base: 2014.12 = 100,2014-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.4,97.3,99.6,106.3,108.8,108.2,121.708
