index,Index,Label,unit,start,last,2015,2016,2017,2018,2019,2020,2021
WPUIP813000                   ,WPUIP813000                   ,"PPI Commodity data for Inputs to 813000, membership assoc. & organizations, excl. capital investment, labor, & imports, not seasonally adjusted",Index base: 2014.05 = 100,2014-M05,2022-M04,103.2,110.6,116.7,123.0,125.7,126.5,140.791
WPUIP8130001                  ,WPUIP8130001                  ,"PPI Commodity data for Inputs to 813000, goods, not seasonally adjusted",Index base: 2014.05 = 100,2014-M05,2022-M04,95.5,90.9,96.8,102.7,100.5,93.4,116.889
WPUIP81300012                 ,WPUIP81300012                 ,"PPI Commodity data for Inputs to 813000, energy, not seasonally adjusted",Index base: 2014.05 = 100,2014-M05,2022-M04,92.6,86.0,94.0,101.5,97.5,87.7,121.176
WPUIP81300013                 ,WPUIP81300013                 ,"PPI Commodity data for Inputs to 813000, goods less foods and energy, not seasonally adjusted",Index base: 2014.05 = 100,2014-M05,2022-M04,100.1,100.3,101.0,102.1,105.0,106.3,110.908
WPUIP8130002                  ,WPUIP8130002                  ,"PPI Commodity data for Inputs to 813000, services, not seasonally adjusted",Index base: 2014.05 = 100,2014-M05,2022-M04,103.7,112.1,118.4,124.9,127.9,129.4,142.398
WPUIP81300021                 ,WPUIP81300021                 ,"PPI Commodity data for Inputs to 813000, trade services, not seasonally adjusted",Index base: 2014.05 = 100,2014-M05,2022-M04,102.5,102.3,104.8,106.8,110.5,112.8,117.642
WPUIP81300022                 ,WPUIP81300022                 ,"PPI Commodity data for Inputs to 813000, transportation and warehousing services, not seasonally adjusted",Index base: 2014.05 = 100,2014-M05,2022-M04,100.4,99.7,100.7,102.7,106.7,109.9,115.707
WPUIP81300023                 ,WPUIP81300023                 ,"PPI Commodity data for Inputs to 813000, services less trade, transportation, and warehousing, not seasonally adjusted",Index base: 2014.05 = 100,2014-M05,2022-M04,104.1,113.0,119.5,126.3,129.3,130.6,144.137
WPUIP8130003                  ,WPUIP8130003                  ,"PPI Commodity data for Inputs to 813000, maintenance and repair construction, not seasonally adjusted",Index base: 2014.05 = 100,2014-M05,2022-M04,102.3,103.8,106.0,107.9,110.9,111.3,116.594
