UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2021,999,330425184,162720034,167705150,124173148,126384967,21458338,23319835,2183296,2157415,9648443,10517427,434072,421341,4822737,4904165,128479782,130741627,23666571,25606950,3566626,3604349,11443116,12307476,852814,843790,131412586,136927041,96849942,99563268,19900716,21713340,1200443,1242820,9319049,10188029,312720,307429,3829716,3912155,100270286,103037243,21641706,23525565,2175125,2283697,10837447,11701959,639220,638463,31307448,30778109,27323206,26821699,1557622,1606495,982853,914595,329394,329398,121352,113912,993021,992010,28209496,27704384,2024865,2081385,1391501,1320652,605669,605517,213594,205327
R,7,2021,0,3731264,1906369,1824895,1322275,1265541,300866,288272,35971,34419,109209,104501,7033,6720,131015,125442,1443151,1381266,374786,359027,59561,56979,156822,150120,15752,15092,1407048,1347049,915946,876661,265823,254734,14387,13770,101410,97031,4302,4117,105180,100736,1013567,970139,326205,312547,29456,28194,140938,134915,10652,10222,499321,477846,406329,388880,35043,33538,21584,20649,7799,7470,2731,2603,25835,24706,429584,411127,48581,46480,30105,28785,15884,15205,5100,4870
R,7,2021,1,3733550,1907237,1826313,1327252,1269131,300120,290278,35761,34321,111493,105719,7099,6713,125512,120151,1442775,1379697,369914,357184,58993,56572,157670,149833,15620,14847,1412541,1350661,924352,881553,265342,256760,14320,13802,103738,98301,4352,4115,100437,96130,1017319,970509,322043,311107,29194,28057,142108,134949,10580,10064,494696,475652,402900,387578,34778,33518,21441,20519,7755,7418,2747,2598,25075,24021,425456,409188,47871,46077,29799,28515,15562,14884,5040,4783
R,7,2021,2,3774056,1926668,1847388,1341000,1282329,302601,295547,36092,34719,114953,108512,7256,6808,124766,119473,1455694,1392168,371677,361888,59360,57076,161052,152408,15788,14890,1425259,1362736,932188,886739,267396,261358,14596,14108,107017,100999,4430,4171,99632,95361,1024280,974891,323341,315109,29484,28403,145306,137417,10678,10078,501409,484652,408812,395590,35205,34189,21496,20611,7936,7513,2826,2637,25134,24112,431414,417277,48336,46779,29876,28673,15746,14991,5110,4812
R,7,2021,3,3853369,1968660,1884709,1368373,1306916,308566,301325,36703,34787,120977,113517,7299,6922,126742,121242,1484871,1418339,378368,368493,60353,57468,168088,158211,16027,15165,1461236,1395166,953065,905792,274113,267854,14608,14102,113292,106101,4593,4311,101565,97006,1046918,995404,330851,322375,29771,28663,152599,143326,11025,10367,507424,489543,415308,401124,34453,33471,22095,20685,7685,7416,2706,2611,25177,24236,437953,422935,47517,46118,30582,28805,15489,14885,5002,4798
R,7,2021,4,3921899,2004960,1916939,1398566,1333534,308295,300518,35790,34801,127438,119586,7448,7072,127423,121428,1515602,1445118,377473,367229,59839,57829,175537,164592,16394,15435,1489686,1419767,972957,923356,274445,267554,15639,15025,119743,112262,4777,4447,102125,97123,1067211,1013063,330524,321652,31197,29867,159986,149751,11420,10600,515274,497172,425609,410178,33850,32964,20151,19776,7695,7324,2671,2625,25298,24305,448391,432055,46949,45577,28642,27962,15551,14841,4974,4835
R,7,2021,5,4018214,2053114,1965100,1447876,1379997,308759,302806,35395,34038,125263,118154,7308,7033,128513,123072,1566004,1493151,378318,369966,60014,57604,173550,163894,16306,15559,1525361,1457590,1008548,957539,275504,270524,16152,15540,117570,110902,4630,4446,102957,98639,1103656,1048685,331986,325085,32121,30849,157863,149074,11279,10748,527753,507510,439328,422458,33255,32282,19243,18498,7693,7252,2678,2587,25556,24433,462348,444466,46332,44881,27893,26755,15687,14820,5027,4811
R,7,2021,6,4054705,2072566,1982139,1458791,1390929,314961,306752,35177,34116,128064,120300,7251,7018,128322,123024,1576741,1504009,384457,373812,59912,57750,176077,166042,16240,15517,1545129,1473289,1019119,967114,281168,274004,16503,15799,120691,113209,4637,4466,103011,98697,1114260,1058283,337586,328501,32655,31171,160922,151463,11330,10782,527437,508850,439672,423815,33793,32748,18674,18317,7373,7091,2614,2552,25311,24327,462481,445726,46871,45311,27257,26579,15155,14579,4910,4735
R,7,2021,7,4040598,2067409,1973189,1459300,1386568,314820,306437,35387,34156,124153,117690,6949,6705,126800,121633,1575876,1498351,383021,372893,60033,57704,171814,162602,15970,15225,1543703,1470501,1022623,967745,280883,273805,16844,16126,117106,110985,4512,4336,101735,97504,1116636,1057801,336191,327813,32968,31449,157006,148480,11184,10643,523706,502688,436677,418823,33937,32632,18543,18030,7047,6705,2437,2369,25065,24129,459240,440550,46830,45080,27065,26255,14808,14122,4786,4582
R,7,2021,8,4030152,2059477,1970675,1452355,1385814,313159,305081,35086,33902,126506,119333,6990,6669,125381,119876,1567457,1495814,380161,369985,59577,57422,174047,164055,16104,15191,1538887,1468261,1016849,965882,280209,273181,17025,16270,119645,112612,4595,4313,100564,96003,1109612,1054397,334500,325803,33057,31637,159478,149976,11330,10562,520590,502414,435506,419932,32950,31900,18061,17632,6861,6721,2395,2356,24817,23873,457845,441417,45661,44182,26520,25785,14569,14079,4774,4629
R,7,2021,9,4035133,2062147,1972986,1460949,1393917,313593,304644,36060,34862,121229,115052,6732,6475,123584,118036,1574393,1502270,379870,368359,60569,58281,167577,158953,15642,14949,1537077,1466530,1021283,969587,281037,273376,17058,16443,114512,108575,4353,4177,98834,94372,1112441,1056647,334604,324958,33068,31721,153276,145206,10928,10397,525070,506456,439666,424330,32556,31268,19002,18419,6717,6477,2379,2298,24750,23664,461952,445623,45266,43401,27501,26560,14301,13747,4714,4552
R,7,2021,10,4079085,2086139,1992946,1486903,1416004,315402,306658,34563,33467,118724,112631,6660,6362,123887,117824,1600700,1524156,381663,370093,59411,57261,165004,156278,15642,14808,1548067,1473989,1031271,977339,284288,276037,17332,16493,112163,106345,4320,4106,98693,93669,1122351,1063727,337748,327105,33507,31937,150690,142642,10910,10272,538072,518957,455632,438665,31114,30621,17231,16974,6561,6286,2340,2256,25194,24155,478349,460429,43915,42988,25904,25324,14314,13636,4732,4536
R,7,2021,11,4074527,2079398,1995129,1490197,1424101,313097,304474,33444,32557,114872,110215,6273,6172,121515,117610,1602046,1532126,378224,368127,58132,56723,159659,153048,14929,14485,1537753,1472643,1028213,978367,283136,275510,17169,16974,108686,104338,4208,4105,96341,93349,1117293,1064489,335511,326609,33073,32717,145849,139976,10570,10163,541645,522486,461984,445734,29961,28964,16275,15583,6186,5877,2065,2067,25174,24261,484753,467637,42713,41518,25059,24006,13810,13072,4359,4322
R,7,2021,12,4073224,2077898,1995326,1494465,1428519,315034,307298,33049,32009,111498,107751,6207,6231,117645,113518,1602439,1532852,378271,368978,57170,54858,154472,148793,14545,14310,1539944,1477114,1034009,985085,285631,278627,17379,16946,105376,101957,4181,4208,93368,90291,1120093,1068460,336623,328531,32952,31670,141111,136207,10323,10158,537954,518212,460456,443434,29403,28671,15670,15063,6122,5794,2026,2023,24277,23227,482346,464392,41648,40447,24218,23188,13361,12586,4222,4152
R,7,2021,13,4201187,2144008,2057179,1545036,1475339,324944,317196,34381,33100,115405,111207,6451,6241,117791,114096,1653058,1579938,388195,379494,58446,56429,158381,152162,15048,14250,1587882,1523548,1067335,1017730,294930,288048,18016,17589,109430,105388,4386,4133,93785,90660,1153698,1101166,346194,338489,33640,32573,145279,139467,10698,10039,556126,533631,477701,457609,30014,29148,16365,15511,5975,5819,2065,2108,24006,23436,499360,478772,42001,41005,24806,23856,13102,12695,4350,4211
R,7,2021,14,4220088,2155587,2064501,1560048,1489139,325945,315728,34930,33326,114096,109139,6402,6333,114166,110836,1664757,1590591,386955,375593,58662,56459,155801,148996,14761,14388,1599414,1529872,1081911,1029189,296276,287201,18041,17739,108004,103458,4378,4239,90804,88046,1165565,1110084,345629,335745,33474,32635,142682,136679,10552,10157,556173,534629,478137,459950,29669,28527,16889,15587,6092,5681,2024,2094,23362,22790,499192,480507,41326,39848,25188,23824,13119,12317,4209,4231
R,7,2021,15,4186366,2138362,2048004,1558331,1484038,316985,309944,34203,32876,112971,109694,6300,6110,109572,105342,1658768,1580578,374712,365993,57461,55137,153347,148037,14273,13713,1592965,1523971,1087375,1031768,288683,282325,18029,17562,107138,104289,4279,4143,87461,83884,1167828,1108931,335626,327934,33172,31978,140972,136267,10193,9723,545397,524033,470956,452270,28302,27619,16174,15314,5833,5405,2021,1967,22111,21458,490940,471647,39086,38059,24289,23159,12375,11770,4080,3990
R,7,2021,16,4175761,2131100,2044661,1558453,1485529,313400,304639,33788,32930,114264,113498,6313,6123,104882,101942,1654356,1578589,367955,358165,56666,54973,153162,150835,13957,13493,1595733,1531053,1095226,1041396,285847,278020,17955,17553,108655,108184,4330,4268,83720,81632,1172090,1116147,330156,321736,32867,31911,141321,139632,9997,9785,535367,513608,463227,444133,27553,26619,15833,15377,5609,5314,1983,1855,21162,20310,482266,462442,37799,36429,23799,23062,11841,11203,3960,3708
R,7,2021,17,4187771,2135827,2051944,1569078,1496677,311171,303165,33039,32230,115193,115183,6131,5862,101215,98827,1661644,1587010,363101,354429,55424,54136,152934,151602,13618,13121,1612138,1546614,1114677,1058454,284570,277565,17844,17294,109687,109980,4295,4068,81065,79253,1189115,1131105,326889,319449,32641,31924,141441,140636,9903,9451,523689,505330,454401,438223,26601,25600,15195,14936,5506,5203,1836,1794,20150,19574,472529,455905,36212,34980,22783,22212,11493,10966,3715,3670
R,7,2021,18,4164725,2123462,2041263,1562234,1490792,309461,302210,32838,31557,116234,116330,6095,5866,96600,94508,1650281,1577085,358779,350443,54883,53240,152058,151317,13434,12789,1607666,1543206,1114105,1057724,283290,277439,17576,16991,110873,111146,4256,4116,77566,75790,1185057,1127191,323573,316831,32256,31464,141094,140569,9757,9373,515796,498057,448129,433068,26171,24771,15262,14566,5361,5184,1839,1750,19034,18718,465224,449894,35206,33612,22627,21776,10964,10748,3677,3416
R,7,2021,19,4159121,2121062,2038059,1559343,1487159,314997,307711,32758,31300,114977,114478,5919,5701,93068,91710,1644140,1570506,362292,354911,54559,53095,149239,147691,12967,12578,1609466,1546058,1114162,1058869,289104,282965,17738,17144,109778,109534,4182,3973,74502,73573,1182268,1126013,327734,321571,32183,31726,138554,137439,9536,9186,511596,492001,445181,428290,25893,24746,15020,14156,5199,4944,1737,1728,18566,18137,461872,444493,34558,33340,22376,21369,10685,10252,3431,3392
R,7,2021,20,4270997,2179751,2091246,1597876,1523261,326515,318606,32969,31817,122535,120835,5951,5844,93905,90883,1683166,1605943,373979,364975,55442,53494,157162,153894,13136,12804,1663200,1595601,1147836,1090964,300515,294057,18130,17606,117341,115990,4253,4040,75125,72944,1216191,1157533,339120,332017,33250,32215,146558,143889,9675,9315,516551,495645,450040,432297,26000,24549,14839,14211,5194,4845,1698,1804,18780,17939,466975,448410,34859,32958,22192,21279,10604,10005,3461,3489
R,7,2021,21,4342869,2219811,2123058,1627259,1545173,336872,327579,33920,32403,123190,121839,6211,5815,92359,90249,1711256,1626830,383449,373902,56864,54692,156500,154140,13226,12719,1700701,1627993,1174486,1113559,310924,302844,18841,18037,117976,116958,4429,4135,74045,72460,1241983,1179292,348892,340687,34326,33218,146177,144158,9778,9384,519110,495065,452773,431614,25948,24735,15079,14366,5214,4881,1782,1680,18314,17789,469273,447538,34557,33215,22538,21474,10323,9982,3448,3335
R,7,2021,22,4281451,2187105,2094346,1607326,1528858,329159,320674,32792,31790,121902,120180,6109,5647,89817,87197,1688836,1607768,374093,364992,55339,53943,154309,151173,13274,12384,1683813,1612801,1168236,1108937,303914,296621,18355,17831,116772,115320,4346,4032,72190,70060,1233913,1172465,340672,333004,33837,33111,144123,141300,9826,9188,503292,481545,439090,419921,25245,24053,14437,13959,5130,4860,1763,1615,17627,17137,454923,435303,33421,31988,21502,20832,10186,9873,3448,3196
R,7,2021,23,4291255,2191142,2100113,1606121,1528524,331317,322944,32826,31891,127860,126213,6110,5712,86908,84829,1684707,1605392,374489,365607,55127,53763,159014,156217,12911,12186,1693045,1624778,1170969,1113445,306596,299407,18268,18067,122880,121389,4436,4090,69896,68380,1234299,1175559,341970,334410,33604,33280,149204,146740,9692,9059,498097,475335,435152,415079,24721,23537,14558,13824,4980,4824,1674,1622,17012,16449,450408,429833,32519,31197,21523,20483,9810,9477,3219,3127
