UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
C,7,2015,999,319542480,156900205,162642275,121726351,124599737,20237687,22153146,2018570,1993110,8488349,9344044,376537,371778,4052711,4180460,125324534,128288807,22014414,24029824,3273357,3327098,9990171,10856672,740980,746057,128661635,134906785,96889552,100256209,18911382,20771127,1155207,1197705,8205305,9058656,272107,274153,3228082,3348935,99753483,103207909,20315840,22263399,2055636,2176984,9478005,10340112,558426,569973,28238570,27735490,24836799,24343528,1326305,1382019,863363,795405,283044,285388,104430,97625,824629,831525,25571051,25080898,1698574,1766425,1217721,1150114,512166,516560,182554,176084
C,7,2015,0,3984144,2037728,1946416,1441992,1373735,310293,301239,35025,33912,116174,108722,7082,6727,127162,122081,1558998,1486056,379439,368010,59602,57445,163394,153798,15955,15132,1524135,1451907,1014890,962904,277036,269213,16538,15821,108907,101675,4486,4213,102278,98081,1109500,1053620,333418,323668,32684,31199,148357,139278,11061,10432,513593,494509,427102,410831,33257,32026,18487,18091,7267,7047,2596,2514,24884,24000,449498,432436,46021,44342,26918,26246,15037,14520,4894,4700
C,7,2015,1,3973828,2034037,1939791,1442344,1369823,309765,300835,35256,33900,114200,108043,6784,6500,125688,120690,1558001,1480849,377567,366935,59732,57307,161182,152379,15706,14927,1524129,1451156,1018105,963610,276473,268920,16873,16152,107233,101370,4371,4159,101074,96945,1111629,1053270,331716,322847,32984,31488,146474,138305,10947,10368,509908,488635,424239,406213,33292,31915,18383,17748,6967,6673,2413,2341,24614,23745,446372,427579,45851,44088,26748,25819,14708,14074,4759,4559
C,7,2015,2,3967672,2028128,1939544,1435733,1369552,308142,299529,34965,33598,118099,111356,6806,6488,124383,119021,1550032,1478861,374707,364057,59280,56968,165073,155598,15841,14944,1521423,1451134,1012715,962121,275885,268330,17050,16306,111308,104684,4442,4154,100023,95539,1105111,1050313,330085,320875,33061,31665,150601,141586,11097,10339,506705,488410,423018,407431,32257,31199,17915,17292,6791,6672,2364,2334,24360,23482,444921,428548,44622,43182,26219,25303,14472,14012,4744,4605
C,7,2015,3,3976277,2032589,1943688,1444939,1378116,308702,299265,35925,34551,113806,108188,6555,6297,122662,117271,1557625,1485837,374543,362651,60277,57858,159698,151670,15377,14704,1521352,1451173,1017691,966248,276854,268673,17077,16473,107140,101784,4211,4024,98379,93971,1108538,1053024,330353,320197,33075,31754,145464,138014,10695,10178,511237,492515,427248,411868,31848,30592,18848,18078,6666,6404,2344,2273,24283,23300,449087,432813,44190,42454,27202,26104,14234,13656,4682,4526
C,7,2015,4,4022785,2057652,1965133,1471353,1400870,310534,301509,34387,33223,111879,106324,6503,6192,122996,117015,1584405,1508349,376378,364561,59076,56871,157730,149582,15411,14569,1533470,1459834,1028077,974376,280188,271580,17359,16516,105375,100106,4194,3961,98277,93295,1118865,1060499,333590,322585,33518,31966,143502,136039,10709,10055,524182,505299,443276,426494,30346,29929,17028,16707,6504,6218,2309,2231,24719,23720,465540,447850,42788,41976,25558,24905,14228,13543,4702,4514
C,7,2015,5,4020489,2051812,1968677,1475036,1409594,308259,299520,33272,32359,108464,104364,6138,5971,120643,116869,1586147,1516998,372966,362799,57799,56386,152836,146851,14737,14228,1524052,1459519,1025389,975755,279073,271283,17189,16981,102328,98539,4085,3942,95988,93019,1114224,1061638,331396,322319,33096,32731,139129,133852,10389,9946,527760,509158,449647,433839,29186,28237,16083,15378,6136,5825,2053,2029,24655,23850,471923,455360,41570,40480,24703,23655,13707,12999,4348,4282
C,7,2015,6,4020428,2050863,1969565,1479684,1414168,310145,302416,32859,31821,105248,102267,6100,6036,116827,112857,1586937,1517943,372927,363767,56831,54558,147890,143001,14403,14068,1526822,1464704,1031583,982670,281484,274515,17394,16942,99179,96525,4077,4051,93105,90001,1117468,1065838,332446,324384,32986,31663,134625,130483,10185,9955,524041,504861,448101,431498,28661,27901,15465,14879,6069,5742,2023,1985,23722,22856,469469,452105,40481,39383,23845,22895,13265,12518,4218,4113
C,7,2015,7,4148711,2117169,2031542,1530474,1461041,319906,312218,34144,32946,109295,105915,6336,6050,117014,113372,1637813,1565041,382703,374123,58073,56137,151990,146558,14894,14003,1575181,1511584,1065218,1015498,290712,283953,18024,17589,103382,100156,4273,4003,93572,90385,1151426,1098752,341963,334355,33666,32587,138992,133942,10547,9856,541988,519958,465256,445543,29194,28265,16120,15357,5913,5759,2063,2047,23442,22987,486387,466289,40740,39768,24407,23550,12998,12616,4347,4147
C,7,2015,8,4167765,2129067,2038698,1545889,1474940,320822,310631,34700,33171,108008,103737,6263,6131,113385,110088,1649928,1575734,381399,370083,58290,56155,149407,143310,14561,14138,1587144,1517870,1080228,1027127,292046,283015,18056,17740,101995,98108,4245,4091,90574,87789,1163739,1107829,341387,331525,33507,32653,136409,131066,10360,9963,541923,520828,465661,447813,28776,27616,16644,15431,6013,5629,2018,2040,22811,22299,486189,467905,40012,38558,24783,23502,12998,12244,4201,4175
C,7,2015,9,4133426,2111955,2021471,1544368,1469483,311852,304797,33991,32741,106793,103868,6127,5906,108824,104676,1644147,1565437,369153,360496,57089,54867,146903,141942,14065,13476,1581050,1511605,1086093,1029767,284488,278063,18044,17575,101022,98545,4130,3987,87273,83668,1166421,1106769,331425,323647,33203,32004,134625,130289,10012,9536,530905,509866,458275,439716,27364,26734,15947,15166,5771,5323,1997,1919,21551,21008,477726,458668,37728,36849,23886,22863,12278,11653,4053,3940
C,7,2015,10,4121033,2103824,2017209,1544115,1470744,308171,299362,33600,32822,107690,107021,6088,5939,104160,101321,1639395,1563263,362315,352581,56339,54725,146325,144114,13686,13269,1583621,1518132,1094158,1039512,281646,273654,17998,17579,102140,101804,4140,4135,83539,81448,1170906,1114140,325960,317355,32933,31953,134577,133038,9762,9616,520203,499077,449957,431232,26525,25708,15602,15243,5550,5217,1948,1804,20621,19873,468489,449123,36355,35226,23406,22772,11748,11076,3924,3653
C,7,2015,11,4128897,2106264,2022633,1553554,1481639,305811,297516,32776,32100,107710,107715,5889,5667,100524,97996,1645512,1571262,357371,348394,55031,53826,145192,143763,13321,12869,1599059,1532272,1113592,1056619,280313,272885,17885,17310,102303,102615,4082,3922,80884,78921,1187904,1129034,322646,314736,32718,31924,133825,132936,9634,9248,507205,490361,439962,425020,25498,24631,14891,14790,5407,5100,1807,1745,19640,19075,457608,442228,34725,33658,22313,21902,11367,10827,3687,3621
C,7,2015,12,4098625,2090047,2008578,1544701,1474668,304034,296176,32516,31423,107113,107146,5868,5646,95815,93519,1632085,1560115,352972,343985,54403,52921,142576,141649,13152,12484,1592609,1526298,1112701,1055614,279071,272363,17626,17003,101863,102055,4054,3945,77294,75318,1183467,1124724,319358,311694,32324,31464,131758,131044,9501,9117,497438,482280,432000,419054,24963,23813,14890,14420,5250,5091,1814,1701,18521,18201,448618,435391,33614,32291,22079,21457,10818,10605,3651,3367
C,7,2015,13,4082044,2081713,2000331,1539313,1469667,309541,301245,32377,31128,102744,102197,5687,5532,92051,90562,1623252,1552035,356422,348005,53994,52724,136473,134769,12636,12306,1590653,1524862,1112103,1056163,284988,277413,17806,17135,97701,97357,3978,3844,74077,72950,1179910,1122830,323630,315935,32259,31704,125993,124678,9235,8954,491060,475469,427210,413504,24553,23832,14571,13993,5043,4840,1709,1688,17974,17612,443342,429205,32792,32070,21735,21020,10480,10091,3401,3352
C,7,2015,14,4184014,2135404,2048610,1576576,1504499,321012,311779,32549,31642,106924,105419,5711,5669,92632,89602,1660795,1586080,368029,357667,54802,53123,140812,137721,12765,12520,1640586,1570235,1145553,1087746,296318,288074,18239,17610,101906,100683,4051,3912,74519,72210,1213469,1153731,334949,325954,33361,32212,130433,127871,9347,9078,494818,478375,431023,416753,24694,23705,14310,14032,5018,4736,1660,1757,18113,17392,447326,432349,33080,31713,21441,20911,10379,9850,3418,3442
C,7,2015,15,4249506,2172730,2076776,1605386,1525486,331369,320372,33529,32181,105550,104337,5950,5595,90946,88805,1688188,1605943,377420,366152,56240,54255,138039,135776,12847,12356,1675999,1599560,1172234,1109885,306685,296487,18955,18049,100545,99580,4218,3962,73362,71597,1239228,1174962,344640,334228,34445,33199,127979,125968,9459,9068,496731,477216,433152,415601,24684,23885,14574,14132,5005,4757,1732,1633,17584,17208,448960,430981,32780,31924,21795,21056,10060,9808,3388,3288
C,7,2015,16,4183336,2138534,2044802,1585964,1508335,323871,313286,32457,31547,102170,100639,5798,5400,88274,85595,1666154,1585902,368230,356989,54780,53477,133669,130678,12839,11985,1657503,1581577,1166480,1104730,299795,290148,18480,17849,97227,95883,4089,3853,71432,69114,1231593,1167538,336530,326400,33990,33105,123736,120966,9450,8868,481031,463225,419484,403605,24076,23138,13977,13698,4943,4756,1709,1547,16842,16481,434561,418364,31700,30589,20790,20372,9933,9712,3389,3117
C,7,2015,17,4189682,2142092,2047590,1586853,1507537,326253,315715,32542,31640,105388,104122,5724,5414,85332,83162,1664124,1582982,368810,357724,54629,53255,135623,133193,12380,11738,1664926,1590983,1170129,1109136,302564,293057,18422,18090,100605,99396,4120,3857,69086,67447,1232875,1170532,337893,327925,33777,33295,126065,123858,9236,8688,477166,456607,416724,398401,23689,22658,14120,13550,4783,4726,1604,1557,16246,15715,431249,412450,30917,29799,20852,19960,9558,9335,3144,3050
C,7,2015,18,4194784,2138433,2056351,1583468,1514293,323991,315687,32327,31161,110334,108746,5542,5246,82771,81218,1658417,1587605,364496,356121,54364,52993,140010,137276,12072,11658,1664514,1603678,1169781,1118961,300508,293560,18184,17745,105550,104109,3928,3754,66563,65549,1230270,1178235,333742,326956,33442,33027,130507,128112,8906,8665,473919,452673,413687,395332,23483,22127,14143,13416,4784,4637,1614,1492,16208,15669,428147,409370,30754,29165,20922,19966,9503,9164,3166,2993
C,7,2015,19,4202743,2136892,2065851,1582699,1521861,320767,315944,32194,30840,115158,113121,5490,5426,80584,78659,1655556,1592848,359639,354454,53969,52493,144345,141144,11874,11760,1666610,1615285,1171552,1127793,297849,294136,18137,17558,110479,108464,3859,3844,64734,63490,1230244,1185245,329730,325837,33125,32730,135111,132080,8772,8782,470282,450566,411147,394068,22918,21808,14057,13282,4679,4657,1631,1582,15850,15169,425312,407603,29909,28617,20844,19763,9234,9064,3102,2978
