"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","H6/H6M3_DISCONTINUED/H0.M3.M","H6/H6M3_DISCONTINUED/H0.M3@@M2.M","H6/H6M3_DISCONTINUED/H0.M3_N.M","H6/H6M3_DISCONTINUED/H0.M3@@M2_N.M","H6/H6M3_DISCONTINUED/H0.MDTLB.M","H6/H6M3_DISCONTINUED/H0.MDTLT.M","H6/H6M3_DISCONTINUED/H0.MRP.M","H6/H6M3_DISCONTINUED/H0.MEU.M","H6/H6M3_DISCONTINUED/H0.MMFIN.M","H6/H6M3_DISCONTINUED/H0.MDTLB_N.M","H6/H6M3_DISCONTINUED/H0.MDTLT_N.M","H6/H6M3_DISCONTINUED/H0.MRPAB_N.M","H6/H6M3_DISCONTINUED/H0.MRPT_N.M","H6/H6M3_DISCONTINUED/H0.MRP_N.M","H6/H6M3_DISCONTINUED/H0.MEU_N.M","H6/H6M3_DISCONTINUED/H0.MMFIN_N.M"
"Time Period","H0.M3.M","H0.M3@@M2.M","H0.M3_N.M","H0.M3@@M2_N.M","H0.MDTLB.M","H0.MDTLT.M","H0.MRP.M","H0.MEU.M","H0.MMFIN.M","H0.MDTLB_N.M","H0.MDTLT_N.M","H0.MRPAB_N.M","H0.MRPT_N.M","H0.MRP_N.M","H0.MEU_N.M","H0.MMFIN_N.M"
1959-06,296.3,2.2,294.8,2.3,1.5,0.0,0.0,0.7,0.0,1.6,0.0,0.0,0.0,0.0,0.7,0.0
1959-07,297.4,2.2,296.7,2.3,1.5,0.0,0.0,0.7,0.0,1.6,0.0,0.0,0.0,0.0,0.7,0.0
1959-08,298.5,2.1,297.0,2.2,1.4,0.0,0.0,0.7,0.0,1.5,0.0,0.0,0.0,0.0,0.7,0.0
1959-09,298.8,2.1,298.2,2.1,1.4,0.0,0.0,0.7,0.0,1.4,0.0,0.0,0.0,0.0,0.7,0.0
1959-10,298.5,2.0,298.9,2.0,1.3,0.0,0.0,0.7,0.0,1.3,0.0,0.0,0.0,0.0,0.7,0.0
1959-11,299.1,2.0,299.7,1.9,1.3,0.0,0.0,0.7,0.0,1.2,0.0,0.0,0.0,0.0,0.7,0.0
1959-12,299.7,1.9,302.4,1.8,1.2,0.0,0.0,0.7,0.0,1.1,0.0,0.0,0.0,0.0,0.7,0.0
1960-01,300.1,1.9,303.4,1.9,1.2,0.0,0.0,0.7,0.0,1.2,0.0,0.0,0.0,0.0,0.7,0.0
1960-02,300.4,1.9,300.4,1.9,1.2,0.0,0.0,0.7,0.0,1.2,0.0,0.0,0.0,0.0,0.7,0.0
1960-03,301.4,2.0,300.2,2.0,1.3,0.0,0.0,0.8,0.0,1.3,0.0,0.0,0.0,0.0,0.8,0.0
1960-04,302.2,2.1,302.4,2.1,1.3,0.0,0.0,0.8,0.0,1.3,0.0,0.0,0.0,0.0,0.8,0.0
1960-05,303.0,2.1,301.0,2.2,1.3,0.0,0.0,0.8,0.0,1.4,0.0,0.0,0.0,0.0,0.8,0.0
1960-06,304.5,2.2,303.1,2.2,1.4,0.0,0.0,0.8,0.0,1.4,0.0,0.0,0.0,0.0,0.8,0.0
1960-07,306.4,2.3,305.8,2.3,1.5,0.0,0.0,0.8,0.0,1.5,0.0,0.0,0.0,0.0,0.8,0.0
1960-08,309.3,2.4,307.7,2.5,1.6,0.0,0.0,0.9,0.0,1.6,0.0,0.0,0.0,0.0,0.9,0.0
1960-09,311.0,2.6,310.4,2.6,1.7,0.0,0.0,0.9,0.0,1.7,0.0,0.0,0.0,0.0,0.9,0.0
1960-10,312.2,2.7,312.5,2.6,1.8,0.0,0.0,0.9,0.0,1.7,0.0,0.0,0.0,0.0,0.9,0.0
1960-11,313.6,2.7,314.3,2.6,1.9,0.0,0.0,0.9,0.0,1.7,0.0,0.0,0.0,0.0,0.9,0.0
1960-12,315.2,2.8,318.0,2.7,2.0,0.0,0.0,0.8,0.0,1.9,0.0,0.0,0.0,0.0,0.8,0.0
1961-01,317.1,3.1,320.5,3.0,2.2,0.0,0.0,0.9,0.0,2.1,0.0,0.0,0.0,0.0,0.9,0.0
