"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","H6/H6M3_DISCONTINUED/H0.M3.M","H6/H6M3_DISCONTINUED/H0.M3@@M2.M","H6/H6M3_DISCONTINUED/H0.M3_N.M","H6/H6M3_DISCONTINUED/H0.M3@@M2_N.M","H6/H6M3_DISCONTINUED/H0.MDTLB.M","H6/H6M3_DISCONTINUED/H0.MDTLT.M","H6/H6M3_DISCONTINUED/H0.MRP.M","H6/H6M3_DISCONTINUED/H0.MEU.M","H6/H6M3_DISCONTINUED/H0.MMFIN.M","H6/H6M3_DISCONTINUED/H0.MDTLB_N.M","H6/H6M3_DISCONTINUED/H0.MDTLT_N.M","H6/H6M3_DISCONTINUED/H0.MRPAB_N.M","H6/H6M3_DISCONTINUED/H0.MRPT_N.M","H6/H6M3_DISCONTINUED/H0.MRP_N.M","H6/H6M3_DISCONTINUED/H0.MEU_N.M","H6/H6M3_DISCONTINUED/H0.MMFIN_N.M"
"Time Period","H0.M3.M","H0.M3@@M2.M","H0.M3_N.M","H0.M3@@M2_N.M","H0.MDTLB.M","H0.MDTLT.M","H0.MRP.M","H0.MEU.M","H0.MMFIN.M","H0.MDTLB_N.M","H0.MDTLT_N.M","H0.MRPAB_N.M","H0.MRPT_N.M","H0.MRP_N.M","H0.MEU_N.M","H0.MMFIN_N.M"
1970-02,613.3,27.0,610.3,26.9,19.2,0.1,4.7,3.0,0.0,19.2,0.1,4.6,0.0,4.6,3.0,0.0
1970-03,615.7,28.5,615.7,28.4,20.5,0.2,4.7,3.1,0.0,20.3,0.2,4.8,0.0,4.8,3.2,0.0
1970-04,619.5,31.2,624.2,31.4,23.9,0.2,4.1,3.0,0.0,23.8,0.2,4.2,0.0,4.2,3.1,0.0
1970-05,624.3,32.8,623.8,32.9,25.1,0.3,4.5,2.9,0.0,24.9,0.3,4.8,0.0,4.8,3.0,0.0
1970-06,627.1,31.9,629.0,31.5,24.7,0.4,4.0,2.8,0.0,24.2,0.4,4.1,0.0,4.1,2.9,0.0
1970-07,635.7,36.6,637.1,35.8,30.4,0.4,3.0,2.7,0.0,29.6,0.4,3.0,0.0,3.0,2.8,0.0
1970-08,644.8,40.0,643.6,40.6,34.0,0.5,2.8,2.7,0.0,34.5,0.5,2.8,0.0,2.8,2.8,0.0
1970-09,654.4,43.2,652.7,44.0,37.2,0.6,2.7,2.8,0.0,38.0,0.6,2.6,0.0,2.6,2.8,0.0
1970-10,662.3,45.9,660.5,46.5,39.7,0.6,2.7,2.8,0.0,40.5,0.6,2.7,0.0,2.7,2.8,0.0
1970-11,669.3,48.2,666.4,48.1,42.1,0.7,2.8,2.6,0.0,41.9,0.7,3.0,0.0,3.0,2.5,0.0
1970-12,677.1,50.6,678.2,50.3,44.4,0.7,3.0,2.4,0.0,44.5,0.7,2.9,0.0,2.9,2.2,0.0
1971-01,685.5,52.6,688.4,53.0,46.3,0.8,3.2,2.3,0.0,47.2,0.8,2.8,0.0,2.8,2.1,0.0
1971-02,695.8,54.8,692.7,54.7,48.5,0.9,3.1,2.3,0.0,48.5,0.9,3.0,0.0,3.0,2.3,0.0
1971-03,706.5,56.6,706.3,56.2,50.1,0.9,3.2,2.4,0.0,49.6,0.9,3.3,0.0,3.3,2.5,0.0
1971-04,713.7,55.3,718.9,55.4,47.9,1.0,4.0,2.4,0.0,47.9,1.0,4.0,0.0,4.0,2.5,0.0
1971-05,723.3,56.6,722.7,56.6,48.7,1.1,4.3,2.4,0.0,48.5,1.1,4.6,0.0,4.6,2.5,0.0
1971-06,730.1,57.2,732.1,56.2,49.9,1.1,3.7,2.4,0.0,48.7,1.1,3.8,0.0,3.8,2.5,0.0
1971-07,738.3,58.7,739.8,57.4,51.1,1.2,3.9,2.4,0.0,49.8,1.2,3.9,0.0,3.9,2.5,0.0
1971-08,744.0,58.5,743.1,59.4,50.7,1.3,4.1,2.4,0.0,51.5,1.3,4.1,0.0,4.1,2.5,0.0
1971-09,751.7,59.3,750.0,60.4,51.1,1.3,4.4,2.5,0.0,52.3,1.3,4.2,0.0,4.3,2.5,0.0
1971-10,760.2,61.8,758.3,62.7,53.2,1.4,4.5,2.7,0.0,54.2,1.4,4.4,0.0,4.5,2.6,0.0
1971-11,768.3,63.7,764.9,63.7,54.4,1.5,5.1,2.8,0.0,54.0,1.5,5.5,0.0,5.5,2.7,0.0
1971-12,776.0,65.7,776.6,65.3,56.1,1.5,5.2,2.9,0.0,56.1,1.5,4.9,0.0,5.0,2.7,0.0
1972-01,783.8,66.1,786.1,66.1,56.7,1.6,4.8,3.0,0.0,57.5,1.6,4.2,0.0,4.3,2.8,0.0
1972-02,792.9,67.2,789.2,67.0,57.5,1.7,5.1,3.0,0.0,57.4,1.7,5.0,0.0,5.0,2.9,0.0
1972-03,800.6,67.1,800.5,66.8,57.1,1.7,5.3,3.0,0.0,56.6,1.7,5.3,0.0,5.3,3.1,0.0
1972-04,807.9,69.5,813.2,69.4,58.7,1.8,5.8,3.1,0.0,58.5,1.8,5.8,0.1,5.8,3.2,0.0
1972-05,816.1,72.7,815.4,72.9,62.0,1.9,5.7,3.1,0.0,61.9,1.9,5.8,0.1,5.9,3.2,0.0
1972-06,824.6,74.9,827.0,73.8,63.4,2.0,6.3,3.2,0.0,62.1,2.0,6.4,0.1,6.4,3.3,0.0
1972-07,835.5,76.1,837.8,74.8,63.9,2.1,6.6,3.4,0.0,62.5,2.1,6.7,0.1,6.8,3.5,0.0
1972-08,846.6,77.9,846.1,79.1,65.3,2.2,6.8,3.6,0.0,66.3,2.1,6.8,0.1,6.9,3.7,0.0
1972-09,856.4,78.1,854.8,79.6,66.2,2.2,5.9,3.7,0.0,67.7,2.2,5.8,0.1,5.9,3.8,0.0
1972-10,865.8,78.9,863.6,80.0,66.9,2.3,6.0,3.7,0.0,68.1,2.3,5.9,0.1,6.0,3.6,0.0
1972-11,875.8,81.8,871.9,81.7,69.3,2.4,6.4,3.7,0.0,68.8,2.4,6.7,0.2,6.9,3.6,0.0
1972-12,885.9,83.7,886.2,83.1,70.8,2.5,6.6,3.8,0.0,70.8,2.5,6.1,0.2,6.3,3.6,0.0
1973-01,896.3,86.0,897.8,85.6,71.8,2.5,7.5,4.2,0.0,72.4,2.5,6.5,0.2,6.7,3.9,0.0
1973-02,906.1,92.0,901.7,91.6,76.7,2.6,8.1,4.6,0.0,76.4,2.6,7.8,0.2,8.0,4.5,0.0
1973-03,915.0,99.7,914.7,99.1,84.2,2.7,8.0,4.8,0.0,83.6,2.7,7.7,0.2,7.9,4.9,0.0
1973-04,922.4,102.7,927.8,102.3,87.4,2.8,7.7,4.8,0.0,86.9,2.8,7.4,0.3,7.6,5.0,0.0
1973-05,932.3,105.5,931.6,105.8,89.8,2.9,7.7,5.1,0.0,89.8,2.9,7.6,0.3,7.9,5.3,0.0
1973-06,940.7,107.5,943.5,106.3,90.5,2.9,8.8,5.2,0.0,89.0,2.9,8.7,0.3,9.0,5.4,0.0
1973-07,950.3,113.7,953.2,112.5,95.0,3.0,10.4,5.3,0.0,93.3,3.0,10.3,0.4,10.7,5.4,0.0
1973-08,959.0,120.2,959.5,122.1,100.9,3.1,10.8,5.5,0.0,102.3,3.1,10.7,0.5,11.1,5.6,0.0
1973-09,965.8,126.5,965.0,129.0,105.8,3.2,11.9,5.6,0.0,108.1,3.2,11.6,0.5,12.1,5.6,0.0
1973-10,972.0,129.4,970.2,130.9,107.1,3.3,13.2,5.8,0.0,108.7,3.3,12.7,0.5,13.2,5.6,0.0
1973-11,977.3,128.5,973.8,128.4,106.8,3.4,12.5,5.8,0.0,106.0,3.4,12.8,0.5,13.3,5.6,0.0
1973-12,985.0,129.5,985.2,128.7,107.4,3.6,12.8,5.8,0.0,107.6,3.6,11.6,0.5,12.1,5.5,0.0
1974-01,993.9,134.3,994.6,133.1,111.4,3.7,13.3,5.8,0.0,111.9,3.7,11.4,0.5,11.9,5.5,0.0
1974-02,1002.4,138.2,997.2,137.4,114.6,3.8,13.7,6.0,0.0,114.0,3.9,13.1,0.5,13.5,6.0,0.0
1974-03,1010.7,140.6,1010.0,140.0,115.5,4.0,14.6,6.5,0.0,115.0,4.0,13.9,0.5,14.4,6.6,0.0
1974-04,1020.8,147.9,1025.6,147.0,122.7,4.1,14.2,6.9,0.1,121.8,4.1,13.3,0.6,13.9,7.1,0.1
1974-05,1029.2,154.6,1028.5,155.1,128.5,4.2,14.8,7.2,0.1,128.3,4.2,14.3,0.7,15.0,7.5,0.1
1974-06,1037.8,159.9,1040.4,158.5,132.5,4.3,15.7,7.4,0.1,130.7,4.2,15.1,0.8,15.9,7.6,0.1
1974-07,1043.9,162.5,1047.3,161.3,135.2,4.3,15.3,7.6,0.1,133.4,4.3,14.9,0.9,15.8,7.7,0.1
1974-08,1048.6,164.5,1049.6,166.7,136.5,4.4,15.9,7.5,0.1,138.0,4.4,15.5,1.0,16.5,7.7,0.1
1974-09,1052.9,164.9,1052.6,167.9,136.9,4.5,15.8,7.5,0.2,139.3,4.5,15.4,1.1,16.5,7.4,0.2
1974-10,1058.5,165.2,1057.2,166.8,137.4,4.8,15.2,7.7,0.2,139.0,4.7,14.2,1.1,15.3,7.5,0.2
1974-11,1063.7,165.1,1060.5,165.1,136.6,5.1,15.1,8.1,0.2,135.9,5.1,14.9,1.1,16.0,7.9,0.2
1974-12,1069.9,167.8,1070.8,167.3,139.3,5.4,14.5,8.5,0.2,140.1,5.3,12.5,1.1,13.6,8.1,0.2
1975-01,1075.5,169.2,1076.8,168.9,141.4,5.6,13.5,8.3,0.2,142.2,5.7,11.4,1.1,12.5,8.2,0.2
1975-02,1082.7,168.6,1076.3,167.6,139.8,5.9,14.3,8.3,0.2,139.1,5.9,12.8,1.0,13.9,8.4,0.3
1975-03,1090.0,165.0,1088.7,164.2,136.3,6.1,14.0,8.3,0.3,135.9,6.2,12.7,1.0,13.7,8.3,0.3
1975-04,1095.8,160.7,1100.8,159.7,131.6,6.3,14.3,8.3,0.3,130.8,6.3,13.1,0.9,14.0,8.3,0.3
1975-05,1105.9,158.0,1105.0,158.8,129.5,6.3,13.7,8.3,0.3,129.0,6.3,13.7,0.9,14.6,8.6,0.3
1975-06,1118.7,155.7,1121.2,154.3,126.8,6.3,14.1,8.3,0.3,125.3,6.2,13.1,0.9,14.0,8.5,0.3
1975-07,1128.7,153.6,1131.9,152.2,124.0,6.2,14.7,8.4,0.4,122.6,6.2,13.7,0.9,14.6,8.5,0.4
1975-08,1135.1,152.0,1135.5,153.1,122.4,6.2,14.2,8.8,0.4,123.2,6.2,13.5,0.9,14.4,8.9,0.4
1975-09,1145.9,154.4,1144.5,156.1,122.8,6.2,15.5,9.4,0.4,124.2,6.2,15.1,1.0,16.1,9.2,0.4
1975-10,1153.8,156.0,1151.8,156.2,124.0,6.3,15.7,9.6,0.4,124.8,6.3,14.2,1.1,15.3,9.4,0.4
1975-11,1163.8,156.9,1161.6,156.8,124.9,6.3,15.5,9.7,0.5,124.6,6.3,14.7,1.2,15.9,9.6,0.4
1975-12,1170.2,153.9,1173.3,155.5,123.3,6.4,13.8,10.0,0.5,124.7,6.4,13.0,1.2,14.3,9.8,0.4
1976-01,1181.6,155.0,1183.2,154.8,120.8,6.4,15.8,11.6,0.4,121.9,6.4,13.5,1.2,14.7,11.4,0.5
1976-02,1193.5,153.1,1186.7,152.5,118.1,6.5,16.5,11.7,0.4,117.9,6.5,14.8,1.2,16.0,11.8,0.5
1976-03,1204.6,154.6,1202.1,154.4,118.7,6.5,17.0,12.0,0.4,118.8,6.5,15.4,1.2,16.6,12.1,0.4
1976-04,1216.7,155.9,1221.7,154.8,118.5,6.5,18.0,12.5,0.4,117.6,6.5,16.5,1.2,17.6,12.6,0.4
1976-05,1227.6,155.5,1226.6,156.3,115.7,6.5,19.9,13.1,0.4,114.8,6.4,20.0,1.2,21.2,13.4,0.4
1976-06,1236.1,158.5,1237.9,157.2,118.3,6.6,19.8,13.4,0.4,116.8,6.5,18.5,1.3,19.7,13.7,0.4
1976-07,1245.9,159.6,1249.9,158.3,118.6,6.9,20.0,13.7,0.4,117.2,6.9,18.4,1.4,19.8,14.0,0.4
1976-08,1259.2,160.6,1258.6,161.2,115.3,7.2,23.5,14.0,0.5,115.5,7.3,22.4,1.4,23.8,14.2,0.4
1976-09,1268.2,157.4,1266.8,158.3,113.2,7.5,21.9,14.3,0.5,113.7,7.5,21.2,1.4,22.6,14.1,0.5
1976-10,1280.8,155.8,1280.4,155.4,111.2,7.6,21.7,14.7,0.6,111.6,7.6,19.9,1.4,21.3,14.4,0.5
1976-11,1294.5,156.2,1291.9,156.8,110.1,7.7,22.7,15.1,0.6,110.5,7.7,22.0,1.3,23.3,14.8,0.5
1976-12,1309.9,157.9,1313.6,160.1,110.3,7.8,24.0,15.2,0.6,112.2,7.8,23.4,1.3,24.7,14.8,0.6
1977-01,1322.5,157.3,1324.6,157.0,109.8,7.8,24.0,14.9,0.7,111.1,7.8,21.3,1.3,22.7,14.7,0.7
1977-02,1335.5,158.0,1327.6,157.7,110.5,7.8,24.1,14.7,0.8,110.7,7.8,22.0,1.4,23.4,14.9,0.8
1977-03,1348.4,159.9,1345.2,160.0,110.5,8.0,25.3,15.3,0.8,110.9,8.0,23.4,1.5,24.8,15.4,0.8
1977-04,1360.6,161.0,1366.2,159.6,110.5,8.3,25.4,16.0,0.8,109.5,8.2,23.3,1.6,24.8,16.1,0.8
1977-05,1374.0,164.9,1371.2,165.7,111.7,8.6,27.0,16.8,0.8,110.5,8.5,27.0,1.7,28.6,17.1,0.9
1977-06,1387.6,169.8,1388.2,168.4,114.5,8.9,27.9,17.8,0.8,112.9,8.9,25.8,1.8,27.7,18.1,0.8
1977-07,1400.4,173.6,1405.2,172.3,116.9,9.2,28.4,18.3,0.8,115.5,9.3,26.2,2.0,28.2,18.6,0.8
1977-08,1415.2,178.2,1414.0,178.7,120.0,9.5,29.5,18.5,0.7,119.7,9.6,27.9,2.1,30.0,18.7,0.7
1977-09,1428.0,181.8,1426.9,182.2,122.5,9.7,29.7,19.2,0.7,122.3,9.8,28.4,2.2,30.5,18.9,0.6
1977-10,1441.8,187.8,1442.8,186.9,126.6,9.9,30.7,19.9,0.7,126.7,9.9,27.8,2.3,30.2,19.4,0.7
1977-11,1457.1,194.8,1456.4,196.1,130.9,10.0,32.4,20.8,0.8,132.0,10.0,30.5,2.5,33.0,20.5,0.7
1977-12,1470.4,200.1,1476.2,203.1,135.0,10.2,32.2,21.7,1.0,137.9,10.2,30.4,2.6,33.1,21.1,0.9
1978-01,1486.3,206.6,1488.9,206.6,138.4,10.7,33.5,22.8,1.2,140.1,10.7,29.3,2.8,32.1,22.5,1.2
1978-02,1498.1,212.6,1489.8,212.9,141.8,11.4,34.0,24.1,1.3,142.6,11.3,30.2,2.9,33.1,24.5,1.4
1978-03,1513.0,220.8,1509.7,221.5,146.6,12.0,35.3,25.3,1.6,147.6,11.9,31.8,3.0,34.8,25.6,1.6
1978-04,1528.6,228.2,1533.1,225.7,152.0,12.8,35.6,26.0,1.8,150.3,12.7,31.4,3.2,34.6,26.1,1.9
1978-05,1544.3,233.8,1538.7,233.9,157.3,13.5,34.7,26.2,2.0,155.4,13.4,32.8,3.5,36.4,26.7,2.2
1978-06,1555.4,236.9,1553.7,234.7,159.8,13.9,33.6,27.3,2.2,157.2,13.9,29.7,3.7,33.5,27.7,2.4
1978-07,1567.0,242.9,1571.2,241.1,162.8,14.3,35.0,28.4,2.4,160.4,14.4,31.0,3.8,34.8,28.9,2.5
1978-08,1583.2,249.6,1581.9,250.5,166.0,14.8,36.7,29.5,2.6,165.3,15.1,33.5,3.9,37.4,30.0,2.7
1978-09,1597.2,252.1,1597.0,252.3,167.3,15.3,36.5,30.1,3.0,167.0,15.6,33.2,4.0,37.2,29.6,2.9
1978-10,1611.1,258.8,1612.9,257.6,168.8,15.7,39.5,31.6,3.2,169.1,15.8,34.9,4.1,39.0,30.8,2.9
1978-11,1630.2,271.1,1631.0,272.9,175.7,16.1,41.8,34.2,3.3,177.8,16.0,38.2,4.2,42.4,33.7,2.9
1978-12,1644.5,278.6,1652.6,281.7,179.1,16.5,44.4,35.1,3.5,182.9,16.3,40.8,4.5,45.3,34.1,3.1
1979-01,1656.8,285.2,1660.6,285.4,181.3,17.3,46.3,36.6,3.7,183.3,17.2,40.6,4.5,45.2,36.2,3.6
1979-02,1669.2,291.4,1661.8,292.5,182.9,18.1,47.6,38.6,4.1,184.4,18.0,42.1,4.4,46.6,39.4,4.2
1979-03,1683.2,295.4,1680.5,296.5,183.0,18.7,48.8,40.2,4.7,184.1,18.6,44.0,4.4,48.4,40.5,4.8
1979-04,1700.8,298.7,1703.7,295.2,181.8,19.5,51.5,40.7,5.2,179.4,19.2,45.7,4.5,50.1,40.9,5.5
1979-05,1711.0,300.8,1703.7,301.0,180.5,20.5,52.5,41.3,6.0,178.3,20.4,49.6,4.6,54.2,42.0,6.2
1979-06,1728.1,305.1,1725.1,302.6,177.2,22.2,55.4,43.8,6.5,174.2,22.2,50.3,4.8,55.1,44.2,6.9
1979-07,1743.3,308.5,1746.6,307.3,177.2,23.8,54.1,46.2,7.2,174.6,24.0,48.7,5.1,53.8,47.1,7.8
1979-08,1761.6,315.0,1761.8,317.5,178.9,25.1,53.3,49.9,7.8,178.6,25.5,49.1,5.4,54.5,50.7,8.3
1979-09,1783.1,328.9,1783.6,329.1,184.3,26.3,56.8,53.1,8.3,184.4,26.7,51.9,5.6,57.5,52.2,8.3
1979-10,1796.7,336.3,1798.4,334.8,189.3,28.1,56.2,53.7,8.9,189.9,28.4,50.1,5.6,55.7,52.4,8.4
1979-11,1798.9,333.1,1800.7,334.3,190.0,30.3,49.9,53.1,9.7,192.4,30.3,45.0,5.5,50.4,52.4,8.8
1979-12,1808.7,335.0,1815.2,336.2,190.9,32.2,48.8,52.7,10.4,194.4,31.8,44.1,5.4,49.5,51.0,9.5
1980-01,1823.0,340.3,1826.4,340.1,192.0,33.7,47.4,56.1,11.2,193.6,33.5,41.4,5.4,46.8,55.6,10.6
1980-02,1841.7,347.2,1835.4,349.2,194.4,35.1,47.9,57.9,12.0,196.2,35.0,41.7,5.4,47.1,59.0,11.9
1980-03,1850.2,350.4,1848.5,351.3,197.5,36.1,47.3,57.6,11.9,198.4,35.8,41.5,5.6,47.1,58.0,12.0
1980-04,1854.2,352.0,1856.0,348.3,201.2,37.3,45.0,57.1,11.3,198.1,36.8,38.4,5.6,44.0,57.5,11.9
1980-05,1867.0,354.6,1858.4,354.2,201.0,38.3,43.8,57.5,14.0,198.8,38.1,39.2,5.5,44.7,58.6,14.0
1980-06,1884.4,355.2,1880.3,352.9,194.6,38.9,47.6,57.4,16.7,191.5,38.9,42.0,5.5,47.5,57.7,17.3
1980-07,1903.2,357.7,1906.3,357.3,189.2,39.5,52.2,57.9,18.9,186.7,39.8,46.5,5.4,51.9,59.1,19.9
1980-08,1920.8,359.3,1923.9,363.2,188.5,40.2,54.1,57.4,19.0,188.7,40.7,49.8,5.4,55.2,58.3,20.3
1980-09,1935.2,361.2,1935.5,362.4,191.4,41.4,54.8,55.9,17.9,192.2,41.8,49.5,5.6,55.1,55.0,18.2
1980-10,1953.6,368.8,1956.7,368.3,195.2,43.0,56.4,57.1,17.1,196.3,43.2,50.1,6.1,56.2,55.8,16.8
1980-11,1975.3,379.5,1979.7,380.7,203.5,43.5,56.8,59.2,16.6,205.8,43.4,50.8,6.4,57.2,58.3,15.9
1980-12,1995.5,395.7,2000.8,396.0,215.2,45.0,58.1,61.4,16.0,218.3,44.6,51.8,6.6,58.5,59.5,15.2
1981-01,2020.6,413.6,2023.5,412.9,225.5,46.2,61.5,63.5,16.9,226.6,46.1,54.3,6.8,61.0,63.1,16.1
1981-02,2039.5,420.8,2033.1,422.5,229.9,46.7,60.8,64.4,19.0,231.3,46.8,53.7,6.6,60.3,65.4,18.7
1981-03,2058.1,421.5,2055.4,422.2,228.1,47.1,60.5,64.1,21.7,228.7,46.9,53.8,6.5,60.3,64.4,22.0
1981-04,2086.4,427.1,2087.6,423.2,226.6,47.7,61.3,68.2,23.3,222.8,47.2,53.6,6.7,60.3,68.8,24.0
1981-05,2102.7,438.5,2093.5,438.1,232.5,49.1,61.4,72.4,23.0,230.0,49.0,55.4,6.9,62.3,74.3,22.5
1981-06,2118.4,448.1,2112.0,445.0,236.5,49.4,65.7,73.5,22.9,233.5,49.4,58.3,7.1,65.4,73.9,22.8
1981-07,2137.9,456.0,2140.1,455.0,240.3,50.1,64.7,76.7,24.2,238.0,50.3,56.8,7.2,64.0,78.2,24.6
1981-08,2157.1,462.8,2162.1,467.5,244.0,51.3,63.1,79.2,25.3,245.1,51.7,56.8,7.3,64.1,80.2,26.3
1981-09,2179.4,473.3,2181.7,475.3,246.5,52.3,63.2,82.4,28.9,248.3,52.7,55.9,7.5,63.4,81.4,29.5
1981-10,2204.7,482.9,2209.5,483.1,248.8,52.6,63.1,85.9,32.5,250.5,52.9,55.2,7.8,63.0,83.9,32.7
1981-11,2226.7,490.6,2233.0,492.0,249.4,53.1,65.3,87.7,35.1,251.7,53.1,57.7,8.2,65.9,86.2,35.2
1981-12,2254.5,499.1,2259.0,498.8,250.5,53.8,67.8,88.8,38.2,253.0,53.4,59.0,8.8,67.9,86.4,38.0
1982-01,2275.7,505.4,2276.6,503.8,250.3,54.8,69.1,93.2,37.9,250.6,54.8,59.6,9.2,68.8,92.4,37.2
1982-02,2284.4,509.9,2276.4,511.1,255.0,56.1,68.5,94.4,35.9,255.8,56.3,59.1,9.1,68.3,95.2,35.5
1982-03,2303.0,516.5,2298.8,517.1,257.5,57.1,69.8,95.7,36.4,257.8,56.9,60.5,9.0,69.6,96.1,36.7
1982-04,2328.5,524.5,2328.1,520.3,260.1,57.5,70.1,100.6,36.2,255.9,56.9,60.3,9.2,69.5,101.6,36.4
1982-05,2343.1,527.7,2332.9,528.0,261.4,57.6,67.4,103.0,38.4,259.0,57.4,59.0,9.3,68.3,106.1,37.2
1982-06,2359.7,533.7,2353.0,530.3,262.2,58.2,66.7,107.0,39.6,259.8,58.0,57.2,9.2,66.4,107.5,38.5
1982-07,2372.2,537.8,2373.5,535.7,265.7,58.2,67.5,104.6,41.8,263.9,58.2,57.2,9.2,66.5,106.2,41.0
1982-08,2396.6,547.2,2401.9,551.8,266.4,58.7,71.2,103.4,47.6,268.2,59.0,62.9,9.0,71.9,104.4,48.3
1982-09,2413.0,549.7,2416.5,552.5,265.1,59.8,71.1,104.4,49.3,267.6,60.1,62.2,9.0,71.1,103.6,50.1
1982-10,2435.0,560.3,2441.8,561.1,268.0,61.3,74.1,107.2,49.7,270.0,61.7,65.2,8.9,74.1,104.6,50.7
1982-11,2447.4,559.0,2455.9,561.1,266.0,63.5,73.4,106.2,50.0,267.5,63.6,65.7,8.6,74.3,104.0,51.6
1982-12,2460.6,550.4,2469.1,550.9,261.9,63.7,71.8,104.2,48.8,263.6,63.3,63.2,8.6,71.8,102.1,50.0
1983-01,2488.9,525.6,2492.3,524.5,241.1,60.4,73.3,103.3,47.5,240.8,60.5,64.4,8.6,73.0,102.5,47.7
1983-02,2517.8,517.4,2507.5,518.1,230.0,59.9,76.1,104.3,47.1,229.9,60.2,67.5,8.7,76.1,104.7,47.1
1983-03,2534.1,515.5,2529.3,516.2,223.2,61.7,78.7,106.5,45.5,223.2,61.5,69.3,9.2,78.6,107.3,45.8
1983-04,2553.9,522.0,2555.7,518.7,221.7,65.5,82.0,109.1,43.7,218.8,64.9,71.9,9.8,81.7,110.3,43.1
1983-05,2569.5,523.1,2559.8,524.7,216.2,68.7,85.8,109.0,43.5,214.7,68.5,76.5,10.4,86.9,112.3,42.4
1983-06,2585.0,528.4,2579.8,524.9,216.2,71.1,86.5,111.7,42.9,214.9,70.8,74.3,11.4,85.7,112.1,41.3
1983-07,2596.0,528.2,2597.6,524.9,214.0,75.3,85.2,111.8,41.8,213.1,75.1,71.0,12.5,83.4,112.9,40.4
1983-08,2609.8,532.9,2610.8,535.4,214.3,80.1,84.4,113.1,40.9,216.0,80.4,71.7,13.3,85.0,113.7,40.3
1983-09,2626.3,540.2,2626.0,542.0,214.4,85.4,86.1,113.3,41.0,216.5,85.7,71.7,14.3,86.0,112.8,41.0
1983-10,2646.1,543.9,2649.4,544.4,212.3,90.0,88.6,111.9,41.1,213.7,90.7,73.3,15.4,88.7,109.2,42.0
1983-11,2673.9,558.5,2681.1,560.4,215.6,93.3,93.6,115.1,41.0,216.2,93.6,78.3,16.9,95.3,112.6,42.7
1983-12,2697.4,570.9,2708.5,571.4,219.4,96.7,97.3,116.6,40.9,220.0,96.4,78.6,18.9,97.5,115.1,42.5
1984-01,2714.9,573.7,2721.4,573.5,220.1,101.4,97.9,112.6,41.6,219.7,101.6,78.2,19.2,97.4,112.0,42.8
1984-02,2742.6,581.2,2733.2,582.4,219.5,106.5,98.7,113.0,43.5,219.1,107.0,80.0,19.2,99.2,113.2,43.9
1984-03,2771.9,593.6,2766.6,594.4,223.2,110.6,101.1,114.2,44.5,223.3,110.3,79.1,21.6,100.8,115.7,44.3
1984-04,2801.2,606.3,2802.1,602.8,225.7,115.3,105.6,114.4,45.3,223.5,114.3,80.6,24.8,105.4,115.4,44.3
1984-05,2828.4,620.9,2817.8,623.0,233.3,119.8,107.3,115.0,45.4,232.4,119.4,81.2,27.5,108.7,117.9,44.6
1984-06,2850.2,631.7,2845.8,628.1,240.2,124.7,106.4,113.9,46.5,239.2,124.2,75.3,30.0,105.3,114.3,45.0
1984-07,2871.8,644.9,2870.7,639.4,245.5,130.3,108.3,114.2,46.7,244.4,129.7,73.9,31.8,105.7,114.3,45.3
1984-08,2886.0,652.4,2885.8,653.7,247.6,134.1,111.7,112.2,46.7,249.1,134.5,78.7,33.4,112.1,112.4,45.5
1984-09,2904.7,657.1,2905.6,659.7,250.5,134.9,114.1,110.9,46.8,252.7,135.3,78.6,35.6,114.1,111.2,46.3
1984-10,2930.2,668.0,2932.3,669.4,254.6,139.2,113.4,107.8,53.1,256.1,140.4,78.0,35.8,113.8,105.5,53.7
1984-11,2957.9,673.1,2965.9,676.2,253.3,143.4,111.6,106.9,57.9,253.6,144.0,80.9,33.2,114.1,104.6,59.9
1984-12,2990.6,680.7,3004.6,682.5,255.1,147.1,107.3,108.9,62.3,255.2,146.9,77.2,30.5,107.8,108.2,64.4
1985-01,3018.0,681.9,3026.5,683.3,252.4,149.5,107.1,108.4,64.4,252.0,149.8,77.6,29.0,106.6,108.2,66.8
1985-02,3040.7,683.2,3031.7,684.9,252.1,149.8,110.4,107.7,63.2,251.6,150.4,82.6,28.4,111.0,107.9,64.0
1985-03,3056.6,687.1,3051.6,687.8,257.1,149.1,111.8,107.4,61.7,257.7,148.7,83.1,27.8,110.9,109.2,61.3
1985-04,3062.5,683.7,3062.5,679.4,260.5,150.0,107.5,103.2,62.4,258.8,148.7,79.7,27.1,106.8,103.7,61.4
1985-05,3078.8,685.6,3067.0,687.0,258.8,151.6,106.6,102.7,65.9,258.2,151.0,81.4,26.3,107.7,104.5,65.5
1985-06,3103.6,687.4,3100.0,682.9,256.4,151.4,107.6,101.0,71.0,255.6,150.7,80.8,25.5,106.3,101.2,69.1
1985-07,3112.7,679.6,3111.9,673.7,254.0,149.6,107.5,100.6,67.9,252.7,148.9,79.6,25.7,105.3,100.0,66.8
1985-08,3131.4,683.9,3129.9,684.0,256.5,149.1,108.0,103.6,66.7,257.6,149.4,82.0,26.6,108.5,103.5,65.0
1985-09,3149.7,689.8,3148.5,692.4,260.3,150.0,110.2,103.7,65.6,262.3,150.5,83.2,27.4,110.6,104.6,64.4
