index,Index,Label,unit,start,last,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU5182--5182--               ,PCU5182--5182--               ,"PPI industry group data for Data processing and related services, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,98.8,98.8,99.7,100.3,100.9,100.9,101.1,101.9,102.4,102.8,103.5,103.8,105.0,106.5,106.9,107.4,110.5,111.572
PCU51821-51821-               ,PCU51821-51821-               ,"PPI industry data for Data processing and related services, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,98.8,98.8,99.7,100.3,100.9,100.9,101.1,101.9,102.4,102.8,103.5,103.8,105.0,106.5,106.9,107.4,110.5,111.572
PCU518210518210               ,PCU518210518210               ,"PPI industry data for Data processing, hosting and related services, not seasonally adjusted",Index base: 2000.12 = 100,2000-M12,2022-M04,101.6,102.8,103.0,102.0,102.0,102.9,103.5,104.1,104.2,104.3,105.2,105.7,106.1,106.8,107.1,108.4,110.0,110.3,110.8,114.1,115.168
PCU5182105182101              ,PCU5182105182101              ,"PPI industry data for Data processing, hosting and related services-Business process management services, not seasonally adjusted",Index base: 2000.12 = 100,2000-M12,2022-M04,102.4,103.8,104.4,102.2,102.3,103.6,105.3,107.4,108.4,108.6,109.4,109.3,109.2,109.9,111.3,110.2,110.4,109.4,104.1,104.2,104.243
PCU5182105182104              ,PCU5182105182104              ,"PPI industry data for Data processing, hosting and related services-Data management, information transformation, and related services, not seasonally adjusted",Index base: 2000.12 = 100,2000-M12,2022-M04,100.6,102.7,103.6,104.6,104.8,104.9,105.5,105.7,104.4,104.8,105.1,105.4,104.8,105.4,105.3,105.4,105.0,104.9,105.1,105.1,105.318
PCU5182105182105              ,PCU5182105182105              ,"PPI industry data for Data processing, hosting and related services-Hosting, ASP, and other IT infrastructure provisioning services, not seasonally adjusted",Index base: 2006.12 = 100,2006-M12,2022-M04,,,,,,,100.0,100.3,100.5,99.3,99.3,100.4,101.5,101.4,100.8,100.8,101.4,102.3,105.6,110.2,112.856
PCU518210518210P              ,PCU518210518210P              ,"PPI industry data for Data processing, hosting and related services-Primary services, not seasonally adjusted",Index base: 2000.12 = 100,2000-M12,2022-M04,101.9,103.1,103.4,102.3,102.3,103.2,104.1,104.9,105.0,104.8,105.1,105.6,105.8,106.2,106.5,106.1,106.3,106.6,107.2,109.8,111.267
PCU518210518210SM             ,PCU518210518210SM             ,"PPI industry data for Data processing, hosting and related services-Other receipts, not seasonally adjusted",Index base: 2000.12 = 100,2000-M12,2022-M04,100.2,100.2,100.2,100.2,100.3,100.3,100.3,100.3,100.3,101.2,103.0,104.1,105.4,107.1,107.3,115.2,122.0,122.8,122.8,128.2,128.221
PCU519130519130               ,PCU519130519130               ,"PPI industry data for Internet publishing and web search portals, not seasonally adjusted",Index base: 2009.12 = 100,2009-M12,2022-M04,,,,,,,,,,100.4,98.7,96.0,93.4,92.1,90.6,87.0,84.3,80.7,80.7,80.3,88.621
PCU5191305191301              ,PCU5191305191301              ,"PPI industry data for Internet publishing and web search portals-Internet publishing and web search portals - advertising sales, not seasonally adjusted",Index base: 2009.12 = 100,2009-M12,2022-M04,,,,,,,,,,101.3,97.3,93.5,87.4,84.5,81.4,75.7,70.4,62.5,61.0,60.2,67.3
PCU519130519130101            ,PCU519130519130101            ,"PPI industry data for Internet publishing and web search portals-Internet publishing and web search portals - search and textual advertising sales, not seasonally adjusted",Index base: 2009.12 = 100,2009-M12,2020-M10,,,,,,,,,,100.9,101.0,99.0,99.2,94.6,81.2,76.5,65.6,51.5,47.3,,
PCU519130519130102            ,PCU519130519130102            ,"PPI industry data for Internet publishing and web search portals-Internet publishing and web search portals - display and other advertising sales, not seasonally adjusted",Index base: 2009.12 = 100,2009-M12,2020-M10,,,,,,,,,,101.5,94.7,88.7,74.8,73.8,83.0,76.1,77.0,76.1,77.3,,
PCU5191305191302              ,PCU5191305191302              ,"PPI industry data for Internet publishing and web search portals-Internet publishing and web search portals - subscription, content access, and licensing sales, not seasonally adjusted",Index base: 2009.12 = 100,2009-M12,2022-M04,,,,,,,,,,100.7,100.9,103.7,108.0,109.6,110.9,111.5,113.6,116.1,119.6,122.5,126.286
PCU519130519130P              ,PCU519130519130P              ,"PPI industry data for Internet publishing and web search portals-Primary services, not seasonally adjusted",Index base: 2009.12 = 100,2009-M12,2022-M04,,,,,,,,,,101.0,98.7,97.4,95.1,93.8,92.2,88.8,86.2,82.3,82.6,83.2,89.027
PCU519130519130SM             ,PCU519130519130SM             ,"PPI industry data for Internet publishing and web search portals-Other receipts, not seasonally adjusted",Index base: 2009.12 = 100,2009-M12,2021-M08,,,,,,,,,,97.0,99.1,75.6,66.2,65.3,63.7,,51.3,50.9,48.9,43.8,
