index,Index,Label,unit,start,last,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU488---488---               ,PCU488---488---               ,"PPI industry sub-sector data for Transportation support activities, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,,,,,,,,,,101.1,104.1,106.5,108.5,111.7,108.6,110.7,114.0,115.7,117.5,118.7,118.7,119.2,121.3,123.9,126.3,123.9,142.774
PCU4881--4881--               ,PCU4881--4881--               ,"PPI industry group data for Air transportation support activities, not seasonally adjusted",Index base: 1996.12 = 100,1996-M12,2022-M04,,,,,,102.5,105.2,108.6,114.2,117.5,121.4,125.1,128.1,134.2,138.6,141.0,145.4,149.2,154.5,157.5,159.0,160.7,162.2,165.9,168.9,173.1,177.1,181.5,178.1,191.603
PCU48811-48811-               ,PCU48811-48811-               ,"PPI industry data for Airport operations, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,,,,,,,,,,101.1,104.8,108.6,109.6,112.3,117.9,122.1,123.4,125.3,126.2,127.5,129.8,131.5,133.7,136.3,139.9,135.8,149.908
PCU488119488119               ,PCU488119488119               ,"PPI industry data for Other airport operations, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,,,,,,,,,,101.1,104.8,108.6,109.7,112.4,117.9,122.1,123.4,125.3,126.2,127.5,129.8,131.5,133.7,136.4,139.9,135.9,149.932
PCU4881194881195              ,PCU4881194881195              ,"PPI industry data for Other airport operations-Aeronautical services, not seasonally adjusted",Index base: 2014.06 = 100,2014-M06,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,102.5,104.0,105.7,107.2,109.2,112.9,123.59
PCU488119488119501            ,PCU488119488119501            ,"PPI industry data for Other airport operations-Landing fees, not seasonally adjusted",Index base: 2014.06 = 100,2014-M06,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,101.8,103.6,104.9,102.5,101.0,105.4,124.589
PCU488119488119502            ,PCU488119488119502            ,"PPI industry data for Other airport operations-Terminal rental, not seasonally adjusted",Index base: 2014.06 = 100,2014-M06,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,105.4,108.2,111.9,114.2,119.4,119.8,123.994
PCU488119488119503            ,PCU488119488119503            ,"PPI industry data for Other airport operations-Other aeronautical services, not seasonally adjusted",Index base: 2014.06 = 100,2014-M06,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,101.2,102.0,102.8,105.5,107.3,112.5,123.098
PCU4881194881196              ,PCU4881194881196              ,"PPI industry data for Other airport operations-Non-aeronautical services, not seasonally adjusted",Index base: 2014.06 = 100,2014-M06,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,102.2,103.1,104.8,108.1,112.4,95.6,107.591
PCU488119488119601            ,PCU488119488119601            ,"PPI industry data for Other airport operations-Airport parking, not seasonally adjusted",Index base: 2014.06 = 100,2014-M06,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,102.8,104.8,107.5,110.5,114.1,114.7,115.826
PCU488119488119602            ,PCU488119488119602            ,"PPI industry data for Other airport operations-Lease space for rental cars, not seasonally adjusted",Index base: 2014.06 = 100,2014-M06,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,101.3,104.2,103.5,111.7,116.0,70.4,116.649
PCU488119488119603            ,PCU488119488119603            ,"PPI industry data for Other airport operations-Lease space for concessions, not seasonally adjusted",Index base: 1992.06 = 100,1992-M06,2022-M04,,101.4,104.5,107.6,116.9,121.4,127.3,136.8,152.4,149.2,151.2,146.0,148.5,152.2,151.3,151.0,150.8,145.4,139.5,136.4,137.8,139.5,161.6,161.1,155.4,159.3,162.3,173.6,104.4,123.679
PCU488119488119604            ,PCU488119488119604            ,"PPI industry data for Other airport operations-Other non-aeronautical services, not seasonally adjusted",Index base: 2014.06 = 100,2014-M06,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,101.9,102.2,103.1,104.3,107.5,107.1,106.132
