index,Index,Label,unit,start,last,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU443---443---               ,PCU443---443---               ,"PPI industry sub-sector data for Electronics and appliance stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,99.0,98.9,99.4,106.1,110.8,104.5,102.0,89.4,77.7,83.2,82.7,79.9,73.2,83.1,82.4,80.5,86.6,91.933
PCU4431--4431--               ,PCU4431--4431--               ,"PPI industry group data for Electronics and appliance stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,99.0,98.9,99.4,106.1,110.8,104.5,102.0,89.4,77.7,83.3,82.8,79.9,73.3,83.1,82.4,80.5,86.6,92.465
PCU44310-44310-               ,PCU44310-44310-               ,"PPI industry data for Electronics and appliance stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,99.0,98.9,99.4,106.1,110.8,104.5,102.0,89.4,77.7,83.3,82.8,79.9,73.3,83.1,82.4,80.5,86.6,92.487
PCU443100443100               ,PCU443100443100               ,"PPI industry data for Electronics and appliance stores, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M02,,,,,,,,,93.2,101.0,100.0,94.3,84.9,95.9,93.9,90.0,97.0,103.591
PCU4431004431001              ,PCU4431004431001              ,"PPI industry data for Electronics and appliance stores-Retailing of entertainment and communication products, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M02,,,,,,,,,88.7,109.6,111.4,96.0,72.4,82.6,87.5,73.3,82.2,93.752
PCU4431004431002              ,PCU4431004431002              ,"PPI industry data for Electronics and appliance stores-Retailing of computers, hardware, software, and supplies, not seasonally adjusted",Index base: 2003.06 = 100,2003-M06,2022-M02,92.7,90.0,89.4,89.4,82.4,60.3,59.1,54.8,48.0,46.7,49.7,54.5,56.8,55.8,54.8,54.5,55.0,53.145
PCU4431004431003              ,PCU4431004431003              ,"PPI industry data for Electronics and appliance stores-Retailing of major household appliances, not seasonally adjusted",Index base: 2019.05 = 100,2019-M05,2022-M02,,,,,,,,,,,,,,,,,109.3,115.846
PCU4431004431004              ,PCU4431004431004              ,"PPI industry data for Electronics and appliance stores-Retailing of all other goods, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M02,,,,,,,,,95.3,101.6,96.0,91.9,96.0,107.3,105.8,108.3,124.3,146.369
PCU443100443100P              ,PCU443100443100P              ,"PPI industry data for Electronics and appliance stores-Primary products, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M02,,,,,,,,,92.9,100.7,98.2,92.3,82.3,95.6,93.9,88.6,95.5,102.462
PCU443100443100SM             ,PCU443100443100SM             ,"PPI industry data for Electronics and appliance stores-Other receipts, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2019-M05,,,,,,,,,98.6,99.7,103.2,98.2,91.9,92.3,92.5,,,
