index,Index,Label,unit,start,last,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU212---212---               ,PCU212---212---               ,"PPI industry sub-sector data for Mining (except oil & gas), not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.5,126.6,147.9,158.4,180.8,187.3,203.5,227.1,229.3,221.9,217.8,211.1,208.9,220.7,227.0,233.4,241.9,257.481
PCU2121--2121--               ,PCU2121--2121--               ,"PPI industry group data for Coal mining, not seasonally adjusted",Index base: 1985.12 = 100,1985-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,99.5,96.0,94.6,94.3,96.5,96.3,94.0,93.3,93.2,91.6,91.4,92.2,89.5,87.3,84.8,91.3,93.9,94.4,104.1,118.2,126.9,130.6,162.2,185.7,192.8,211.2,215.6,212.4,203.7,197.7,193.0,199.7,202.7,202.5,191.7,192.617
PCU21211-21211-               ,PCU21211-21211-               ,"PPI industry data for Coal mining, not seasonally adjusted",Index base: 2001.12 = 100,2001-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.5,101.8,112.2,127.4,136.8,140.8,174.8,200.1,207.7,227.6,232.4,228.9,219.5,213.0,208.0,215.1,218.4,218.1,206.6,207.52
PCU212111212111               ,PCU212111212111               ,"PPI industry data for Bituminous coal and lignite surface mining, not seasonally adjusted",Index base: 2001.12 = 100,2001-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.9,101.5,107.1,111.9,117.1,120.9,140.4,149.1,156.8,169.0,176.0,184.4,182.9,179.1,178.6,177.9,182.0,183.2,179.0,181.109
PCU2121112121111              ,PCU2121112121111              ,"PPI industry data for Bituminous coal and lignite surface mining-Raw bituminous coal and lignite from surface mining operations, not seasonally adjusted",Index base: 2001.12 = 100,2001-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.5,98.3,107.5,118.4,121.0,131.6,147.2,151.9,158.7,175.0,191.2,194.3,179.4,174.6,167.9,173.9,175.2,178.7,167.6,162.533
PCU21211121211111             ,PCU21211121211111             ,"PPI industry data for Bituminous coal and lignite surface mining-Raw bituminous coal and lignite from surface operations, for use without processing, not seasonally adjusted",Index base: 2001.12 = 100,2001-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.4,97.5,107.3,111.7,121.4,152.3,179.2,195.7,209.3,245.0,246.7,231.1,237.4,239.9,232.8,233.1,227.5,237.1,268.5,286.197
PCU21211121211112             ,PCU21211121211112             ,"PPI industry data for Bituminous coal and lignite surface mining-Raw bituminous coal and lignite from surface operations, for processing at other establishments, not seasonally adjusted",Index base: 2001.12 = 100,2001-M12,2014-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.2,98.6,107.5,120.8,120.9,120.2,129.6,128.0,131.0,136.8,160.9,173.6,,,,,,,,
PCU2121112121113              ,PCU2121112121113              ,"PPI industry data for Bituminous coal and lignite surface mining-Processed bituminous coal and lignite from surface operations, not seasonally adjusted",Index base: 2001.12 = 100,2001-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.9,102.0,107.1,111.0,116.6,119.0,139.7,149.4,157.5,169.2,174.4,183.8,184.8,181.1,181.7,179.7,185.6,186.6,183.5,186.914
PCU21211121211131             ,PCU21211121211131             ,"PPI industry data for Bituminous coal and lignite surface mining-Processed bituminous coal and lignite from surface operations (wet-washing or other method), not seasonally adjusted",Index base: 2001.12 = 100,2001-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,100.2,105.1,106.3,107.5,107.8,149.3,153.0,156.3,166.2,163.3,157.8,168.7,159.4,156.1,153.0,157.0,157.4,152.5,154.141
PCU21211121211135             ,PCU21211121211135             ,"PPI industry data for Bituminous coal and lignite surface mining-Processed bituminous coal and lignite (mechanically crushed, screened, or sized only), not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.5,115.4,113.1,112.6,114.1,113.2,117.5,118.3,117.4,120.069
