index,Index,Label,unit,start,last,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU5621--5621--               ,PCU5621--5621--               ,"PPI industry group data for Waste collection, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,101.3,102.5,104.5,107.6,112.4,115.5,118.0,120.6,122.1,124.1,127.0,128.5,132.2,135.2,140.8,145.0,149.7,154.621
PCU56211-56211-               ,PCU56211-56211-               ,"PPI industry data for Waste collection, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,101.3,102.5,104.5,107.6,112.4,115.5,118.0,120.6,122.1,124.1,127.0,128.5,132.2,135.2,140.8,145.0,149.7,154.621
PCU562111562111               ,PCU562111562111               ,"PPI industry data for Solid waste collection, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,101.3,102.5,104.5,107.6,112.4,115.5,118.0,120.6,122.1,124.1,127.0,128.5,132.2,135.3,140.8,145.0,149.7,154.64
PCU5621115621112              ,PCU5621115621112              ,"PPI industry data for Solid waste collection-Solid waste collection services, not seasonally adjusted",Index base: 1993.06 = 100,1993-M06,2022-M02,106.3,109.4,109.0,111.0,111.8,115.5,121.8,127.2,130.7,134.6,137.2,138.9,141.5,145.8,152.3,156.4,159.7,163.6,165.8,168.2,172.2,173.8,179.0,183.8,192.0,197.8,204.6,212.139
PCU562111562111P              ,PCU562111562111P              ,"PPI industry data for Solid waste collection-Primary services, not seasonally adjusted",Index base: 1993.06 = 100,1993-M06,2022-M02,106.3,109.4,109.0,111.0,111.8,115.5,121.8,127.2,130.7,134.6,137.2,138.9,141.5,145.8,152.3,156.4,159.7,163.6,165.8,168.2,172.2,173.8,179.0,183.8,192.0,197.8,204.6,212.139
PCU562111562111SM             ,PCU562111562111SM             ,"PPI industry data for Solid waste collection-Other receipts, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2015-M13,,,,,,,,,,,,,,,109.8,113.7,117.0,115.9,117.4,119.8,122.6,125.3,,,,,,
